card,L1_대분류,L2_중분류,process_uid,process_id,process_name,step_no,row_id,기능,시스템,담당자,상태,근거,cross,귀속
t62,회원·인증,로그인,t62-P04,P04,계정 찾기(아이디·비밀번호),2,STD-MEM-009,비밀번호 재설정(이메일 링크),huni-mall → 샵바이,김동학,미착수,SB-042 stub — find-id-form.tsx:50-56,,담당
t62,회원·인증,회원,t62-P05,P05,회원정보 변경·탈퇴,1,STD-MEM-015,회원정보 수정(비밀번호 재확인),huni-mall → 샵바이,김동학,부분,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:42,,담당
t62,회원·인증,회원,t62-P05,P05,회원정보 변경·탈퇴,2,STD-MEM-016,비밀번호 변경,huni-mall → 샵바이,김동학,부분,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:42,,담당
t62,회원·인증,회원,t62-P05,P05,회원정보 변경·탈퇴,3,STD-MEM-017,회원탈퇴,huni-mall → 샵바이,김동학,부분,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:112 · src/components/mypage/withdraw-section.tsx:4,P10 프린팅머니(잔액 처리 미정),담당
t62,회원·인증,회원,t62-P06,P06,회원등급·휴면 생애주기,1,STD-MEM-018,회원등급 산정·자동 승급,샵바이,서희항,미착수,[L4b보강] huni-skin-shopby/src/lib/api/hooks/use-profile.ts:39 (memberGradeName 표시 필드만),P19 쿠폰 발행(등급 쿠폰),담당
t62,회원·인증,회원,t62-P06,P06,회원등급·휴면 생애주기,2,STD-ADC-002,회원등급 수동 조정,운영자(셀러어드민),김동학,미착수,print-kb/wiki/policy/membership-auth.md#MEM-06 · L4 사유: grade_cd ↔ 샵바이 memberGrade 매핑이 미결(X-DEC-GRADE) — 등급가가 걸려 돈 영향,,담당
t62,회원·인증,회원,t62-P06,P06,회원등급·휴면 생애주기,3,STD-MEM-019,휴면계정 전환·복구,샵바이,최숙진,미착수,[L4b보강] huni-skin-shopby/src/lib/auth/shopby-auth.ts:28 (휴면 응답 주석만·전환/복구 화면 0건),,담당
t62,회원·인증,회원(원장전용),t62-P07,P07,구 사이트 회원·프린트머니 잔액 이관,1,STD-MYP-026,구 ASP 코드·DB 미제공 전제 — 이관 원천은 잔액 스냅샷만,결정(최숙진),최숙진,미착수,후니정기미팅 정리260915.html §프린팅머니 · 확정 4,,담당
t62,회원·인증,회원(원장전용),t62-P07,P07,구 사이트 회원·프린트머니 잔액 이관,2,STD-MYP-024,기존 회원·잔액 이관 / PitStop Server 연동 담당 확정,결정(미정),미정,미착수,후니정기미팅 정리260915.html §개발 역할 분담 · 미결 4,,담당
t62,회원·인증,회원,t62-P07,P07,구 사이트 회원·프린트머니 잔액 이관,3,STD-MEM-020,기존 회원 데이터 이관(구 사이트),운영자 → 샵바이,서희항,미착수,print-kb/wiki/policy/membership-auth.md#MEM-01 마이그레이션 이슈 명시 · L4 사유: 돈 걸림. 구 DB 미접근(X-OLDDB-ACCESS-01)이 20개 질문의 공통 선행 블로커. 이관 리허설 미실행.,t65 시스템·플랫폼(컷오버 일정),담당
t62,회원·인증,적립금,t62-P07,P07,구 사이트 회원·프린트머니 잔액 이관,4,STD-MYP-009,기존 프린트머니 잔액 이관,webadmin,서희항,미착수,print-kb/wiki/policy/mypage.md#MYP-02 · print-kb/wiki/policy/custom-dev.md#CST-04 · L4 사유: 돈 걸림. 컷오버 대사 불일치 시 즉시 NO-GO 게이트.,,담당
t62,회원·인증,회원(원장전용),t62-P07,P07,구 사이트 회원·프린트머니 잔액 이관,5,STD-MYP-047,프린트머니 구현 M5 — 구 잔액 마이그레이션 시드 실행(260630 스펙),webadmin,미정,미착수,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:293,,담당
t62,마이페이지,주문(원장전용),t62-P08,P08,마이페이지 주문 조회·상세,1,STD-MYP-017,마이페이지 메인 대시보드(주문요약·프린팅머니·쿠폰 한눈에),huni-mall,김동학,부분,"L3/legacy-normalized.json#F-029,IA-029,SCOPE-029 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:30 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A30:K30 · L2/as-is-inventory.csv#SB-044 huni-skin-shopby/src/components/mypage/dashboard-section.tsx:17-59",,담당
t62,마이페이지,주문(원장전용),t62-P08,P08,마이페이지 주문 조회·상세,2,STD-MYP-018,마이페이지 서브메인(기능군 랜딩) 화면,huni-mall,김동학,부분,"L3/legacy-normalized.json#F-030,IA-030,SCOPE-030 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:31 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A31:K31 || P1판정(260902): huni-skin-shopby/src/app/(main)/mypage/page.tsx:10 DashboardSection · layout.tsx (중첩 라우트 전환)",,담당
t62,마이페이지,주문,t62-P08,P08,마이페이지 주문 조회·상세,3,STD-MYP-001,주문 목록 조회,huni-mall → 샵바이,김동학,부분,huni-skin-shopby/src/lib/api/hooks/use-my-orders.ts:84,,담당
t62,마이페이지,주문,t62-P08,P08,마이페이지 주문 조회·상세,4,STD-MYP-002,주문 상세 조회(사양·파일·상태),huni-mall → 샵바이,김동학,부분,huni-skin-shopby/src/lib/api/hooks/use-my-orders.ts:84 (목록/상세),,담당
t62,마이페이지,주문,t62-P08,P08,마이페이지 주문 조회·상세,5,STD-MYP-003,편집상품 미리보기,huni-mall + 위젯/Edicus,서희항+김동학,미착수,SB-020 stub — huni-skin-shopby/src/components/product/configurator-actions.tsx:170-176 (onClick 없음),t63 원고·파일(에디터·시안),담당
t62,마이페이지,주문(원장전용),t62-P08,P08,마이페이지 주문 조회·상세,6,STD-MYP-019,마이페이지 통합 검색결과 LIST 화면,huni-mall,김동학,미착수,"L3/legacy-normalized.json#F-031,IA-031,SCOPE-031 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:32 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A32:K32 || P1판정(260902): huni-skin-shopby 전수 grep 'mypage.*search' 0건(260902) — 마이페이지 통합 검색 라우트 없음",,담당
t62,마이페이지,보관함(원장전용),t62-P09,P09,편집 디자인·옵션 보관함,1,STD-MYP-030,"편집 디자인 보관함 — 편집 종료 후 보관, 장바구니 담기 전까지 수정 가능",huni-mall + 위젯,김동학+서희항,부분,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 확정 7 / 후니-오픈잔여작업-실무진안내_260909.html §항목 11 · ④ 완료 기준,t63 원고·파일(에디터·업로드),담당
t62,마이페이지,보관함(원장전용),t62-P09,P09,편집 디자인·옵션 보관함,2,STD-MYP-031,보관함 저장 시점 결정(저장 버튼 vs 편집 종료 시 자동),결정(신우진),신우진,미착수,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 미결 2,,담당
t62,마이페이지,보관함,t62-P09,P09,편집 디자인·옵션 보관함,3,STD-MYP-004,옵션보관함 저장/불러오기,huni-mall,김동학,미착수,[L4b보강] huni-skin-shopby/src/components/cart/cart-page.tsx:6 ('shopby 장바구니에는 보관함(draft) 개념이 없어 단일 목록으로 렌더'),,담당
t62,마이페이지,보관함,t62-P09,P09,편집 디자인·옵션 보관함,4,STD-MYP-005,보관 기간 정책 적용·만료 처리,huni-mall/webadmin,김동학,미착수,print-kb/wiki/policy/mypage.md#MYP-01 3개월 권장 · L4 사유: new — 보관 만료 정책은 화면이 아니라 배치 규칙이라 legacy 화면 분모에 수록된 적 없음. 근거 print-kb/mypage.md(ia.md 오염 아님).,,담당
t62,마이페이지,보관함(원장전용),t62-P09,P09,편집 디자인·옵션 보관함,5,STD-MYP-032,편집 후 장바구니를 누르지 않고 이탈한 고객 안내 방법,huni-mall,김동학,미착수,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 미결 3,,담당
t62,마이페이지,보관함(원장전용),t62-P09,P09,편집 디자인·옵션 보관함,6,STD-MYP-033,보관함을 일반 상품까지 확대할지 여부,결정(신우진),신우진,미착수,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 미결 6,,담당
t62,마이페이지,적립금(원장전용),t62-P10,P10,프린팅머니 충전(무통장·가상계좌),1,STD-MYP-051,프린트머니 결정 요청 — 원장 소유 결정 A(샵바이 적립금) vs B′(후니 원장+외부포인트 연동),결정(지니),지니,미착수,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:303,,담당
t62,마이페이지,적립금(원장전용),t62-P10,P10,프린팅머니 충전(무통장·가상계좌),2,STD-MYP-025,프린트머니 정책 — 소멸기한 없음·충전 1:1·추가 적립 없음,결정(신우진),신우진,미착수,후니정기미팅 정리260915.html §프린팅머니 · 확정 3,,담당
t62,마이페이지,적립금(원장전용),t62-P10,P10,프린팅머니 충전(무통장·가상계좌),3,STD-MYP-049,"프린트머니 결정 요청 — 충전 단위·최소/최대(현 화면 6종 10,000~500,000) 유지 여부",결정(지니),지니,미착수,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:299,,담당
t62,마이페이지,적립금(원장전용),t62-P10,P10,프린팅머니 충전(무통장·가상계좌),4,STD-MYP-052,프린트머니 결정 요청 — 충전 전용 입금계좌 분리 여부 · 과입금·부분입금 정책,결정(지니),지니,미착수,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:306,,담당
t62,마이페이지,적립금(원장전용),t62-P10,P10,프린팅머니 충전(무통장·가상계좌),5,STD-MYP-022,프린트머니 원장·외부포인트 API 5종·증빙 발행·충전 운영 화면의 개발 주체·배치 확정,결정(신우진),신우진,미착수,후니정기미팅 정리260915.html §개발 역할 분담 · 미결 2,,담당
t62,마이페이지,적립금(원장전용),t62-P10,P10,프린팅머니 충전(무통장·가상계좌),6,STD-MYP-023,토스 가상계좌 API 연동·입금 알림 수신 담당 확정,결정(미정),미정,미착수,후니정기미팅 정리260915.html §개발 역할 분담 · 미결 3,,담당
t62,마이페이지,적립금(원장전용),t62-P10,P10,프린팅머니 충전(무통장·가상계좌),7,STD-MYP-027,샵바이 외부포인트 연동 협의 완료,샵바이,외부(샵바이(NHN커머스)),구현-미검증,후니정기미팅 정리260915.html §프린팅머니 · 확정 6,,담당
t62,마이페이지,적립금(원장전용),t62-P10,P10,프린팅머니 충전(무통장·가상계좌),8,STD-MYP-042,프린트머니 구현 M0 — 어드민 설정 + 충전권 상품 6종 + 실측 V1~V8,운영자/webadmin,미정,미착수,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:288,,담당
t62,마이페이지,적립금(원장전용),t62-P10,P10,프린팅머니 충전(무통장·가상계좌),9,STD-MYP-043,프린트머니 구현 M1 — webadmin t_pm_charge_txn + 감지·지급 잡(폴링) + 웹훅 신호 연결,webadmin,미정,미착수,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:289,,담당
t62,마이페이지,적립금(원장전용),t62-P10,P10,프린팅머니 충전(무통장·가상계좌),10,STD-MYP-028,충전 입금 확인 = 토스페이먼츠 가상계좌 API 직접 발급,webadmin → 토스,미정,미착수,후니정기미팅 정리260915.html §프린팅머니 · 확정 8,,담당
t62,마이페이지,적립금(원장전용),t62-P10,P10,프린팅머니 충전(무통장·가상계좌),11,STD-MYP-029,입금 확인 자동화 — 가상계좌 DEPOSIT_CALLBACK 웹훅 수신→자동 충전,webadmin,미정,미착수,후니정기미팅 정리260915.html §프린팅머니 · 확정 9(「입금 확인은 가상계좌 입금 알림으로 자동 처리」까지) · DEPOSIT_CALLBACK 명칭 출처: _workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:316,,담당
t62,마이페이지,적립금(원장전용),t62-P10,P10,프린팅머니 충전(무통장·가상계좌),12,STD-MYP-044,프린트머니 구현 M2 — 스킨 충전 화면 배선(useChargePoint → 충전권 주문서),huni-mall,미정,미착수,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:290,,담당
t62,마이페이지,적립금,t62-P10,P10,프린팅머니 충전(무통장·가상계좌),13,STD-MYP-007,프린팅머니 충전(PG 결제→적립 전환),huni-mall,김동학,부분,SB-051 stub — huni-skin-shopby/src/components/mypage/point-section.tsx:11-14 → src/lib/legacy-data/hooks.ts:423-432 (no-op),t63 결제(PG·결제수단),담당
t62,마이페이지,적립금,t62-P10,P10,프린팅머니 충전(무통장·가상계좌),14,STD-MYP-006,프린팅머니 잔액·내역 조회,huni-mall → 샵바이,김동학,부분,huni-skin-shopby/src/lib/api/hooks/use-points.ts:22,,담당
t62,마이페이지,적립금(원장전용),t62-P10,P10,프린팅머니 충전(무통장·가상계좌),15,STD-MYP-048,프린트머니 구현 M6 — PG 계약 후 카드 충전 활성(코드 변경 없이 availablePayTypes 로 자동),huni-mall,미정,미착수,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:294,,담당
t62,마이페이지,적립금(원장전용),t62-P10,P10,프린팅머니 충전(무통장·가상계좌),16,STD-MYP-053,테스트몰 실측 12항(전액결제 payType 조합·expireYmd 생략·externalKey 유일성·웹훅 페이로드 등),webadmin/huni-mall,미정,미착수,_workspace/huni-shopby/HANDOFF.md:16,,담당
t62,마이페이지,적립금(원장전용),t62-P11,P11,프린팅머니 사용·충전 취소·환불,1,STD-MYP-045,프린트머니 구현 M3 — 체크아웃 전액결제 분기,huni-mall,미정,미착수,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:291,t63 결제 · t65 클레임(환불),담당
t62,마이페이지,적립금(원장전용),t62-P11,P11,프린팅머니 사용·충전 취소·환불,2,STD-MYP-046,프린트머니 구현 M4 — 충전 취소/환불 처리 + 운영 화면(txn 목록·재시도),webadmin,미정,미착수,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:292,,담당
t62,마이페이지,적립금(원장전용),t62-P11,P11,프린팅머니 사용·충전 취소·환불,3,STD-MYP-050,프린트머니 결정 요청 — 일부 사용 후 충전 취소 정책(불가 vs 미사용분 부분 환불),결정(지니),지니,미착수,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:300,,담당
t62,마이페이지,적립금,t62-P12,P12,적립금 적립·운영자 수동 지급,1,STD-MYP-008,구매확정 적립금 자동 지급,샵바이,최숙진,미착수,SB-030 partial — huni-skin-shopby/src/components/checkout/checkout-form.tsx:52 (조회는 실API·적립/충전은 mock),t63 장바구니·주문(구매확정),담당
t62,마이페이지,회원,t62-P12,P12,적립금 적립·운영자 수동 지급,2,STD-ADC-004,프린팅머니 수동 지급·차감,운영자(셀러어드민/webadmin),서희항,미착수,print-quote/04_design/ia.md §2.3 SM-A-42 · L4 사유: 프린팅머니가 샵바이 적립금 재해석인지 별도 원장인지 미결(X-DEC-PRINTMONEY). 고객측 충전도 no-op(SB-051 stub),,담당
t62,마이페이지,쿠폰,t62-P13,P13,쿠폰 보유·등록·주문 적용(고객),1,STD-MYP-010,보유 쿠폰 목록,huni-mall → 샵바이,김동학,부분,huni-skin-shopby/src/lib/api/hooks/use-coupons.ts:71,,담당
t62,마이페이지,쿠폰,t62-P13,P13,쿠폰 보유·등록·주문 적용(고객),2,STD-MYP-011,쿠폰 번호 등록,huni-mall → 샵바이,김동학,부분,huni-skin-shopby/src/lib/api/hooks/use-coupons.ts:71,,담당
t62,마이페이지,쿠폰,t62-P13,P13,쿠폰 보유·등록·주문 적용(고객),3,STD-PRM-007,장바구니/주문서 쿠폰 적용,huni-mall → 샵바이,김동학,부분,huni-skin-shopby/src/lib/api/hooks/use-order-coupons.ts:34,t63 장바구니·주문 · 결제,담당
t62,마이페이지,리뷰,t62-P14,P14,리뷰 작성·보상,1,STD-MYP-012,내 리뷰 작성·조회,huni-mall → 샵바이,김동학,부분,huni-skin-shopby/src/lib/api/hooks/use-review-write.ts:38 · use-my-reviews.ts:84,,담당
t62,마이페이지,리뷰,t62-P14,P14,리뷰 작성·보상,2,STD-PRM-009,사진 리뷰 추가 보상,샵바이,최숙진,작동,https://service.shopby.co.kr/accumulation/setting@2026-09-16 21:33,P28 이용후기 관리·블라인드,담당
t62,마이페이지,쿠폰,t62-P14,P14,리뷰 작성·보상,3,STD-PRM-002,리뷰 작성 보상 쿠폰 발행,샵바이,최숙진,미착수,print-kb/wiki/policy/coupon.md#CPN-02 · L4 사유: new — 리뷰 보상 쿠폰은 legacy 3원 어디에도 없음. 근거 print-kb/coupon.md#CPN-02(ia.md 오염 아님).,,담당
t62,마이페이지,리뷰,t62-P14,P14,리뷰 작성·보상,4,STD-PRM-008,리뷰 삭제 시 보상 회수,샵바이,최숙진,미착수,print-kb/wiki/policy/review.md#RVW-03 · L4 사유: new — 리뷰 삭제 시 보상 회수 규칙 미수록. 근거 print-kb/review.md#RVW-03(오염 아님).,,담당
t62,마이페이지,리뷰(원장전용),t62-P14,P14,리뷰 작성·보상,5,STD-PRM-016,이용후기 메인(전체 리뷰 모아보기),huni-mall,김동학,미착수,https://shopby.huniprinting.co.kr/ @ 2026-09-16 21:26,,담당
t62,마이페이지,문의,t62-P15,P15,내 문의 조회(상품Q&A·1:1),1,STD-MYP-013,내 상품Q&A/1:1문의 조회,huni-mall → 샵바이,김동학,미착수,SB-056 absent — huni-skin-shopby/src/app/(main) 하위 inquiry/qna 라우트 부재,P28 게시판·문의 응대 운영,담당
t62,마이페이지,증빙(원장전용),t62-P16,P16,증빙서류 발급(세금계산서·현금영수증),1,STD-MYP-034,증빙 신청 탭 3개(신청 가능 / 신청 완료 / 신용카드 결제),huni-mall,김동학,미착수,후니정기미팅 정리260915.html §증빙서류 · 확정 3,,담당
t62,마이페이지,증빙(원장전용),t62-P16,P16,증빙서류 발급(세금계산서·현금영수증),2,STD-MYP-035,현금 결제 건만 신청 대상 — 세금계산서·현금영수증 중 택1,huni-mall,김동학,미착수,후니정기미팅 정리260915.html §증빙서류 · 확정 4,,담당
t62,마이페이지,증빙(원장전용),t62-P16,P16,증빙서류 발급(세금계산서·현금영수증),3,STD-MYP-036,카드 결제 건·발행 완료 건은 목록에 보이되 비활성+사유 표시,huni-mall,김동학,미착수,후니정기미팅 정리260915.html §증빙서류 · 확정 5,,담당
t62,마이페이지,증빙(원장전용),t62-P16,P16,증빙서류 발급(세금계산서·현금영수증),4,STD-MYP-020,사업자정보 목록,huni-mall,김동학,미착수,https://www.huniprinting.com/mypage/tax01.asp @ 2026-09-16 21:33,,담당
t62,마이페이지,증빙(원장전용),t62-P16,P16,증빙서류 발급(세금계산서·현금영수증),5,STD-MYP-021,사업자정보 등록(쓰기),huni-mall,김동학,미착수,https://www.huniprinting.com/mypage/tax01.asp @ 2026-09-16 21:33,,담당
t62,마이페이지,증빙,t62-P16,P16,증빙서류 발급(세금계산서·현금영수증),6,STD-MYP-015,현금영수증 정보 관리,huni-mall → 샵바이,김동학,미착수,SB-053 stub — document-section.tsx:1-6 · D-18 호출 지점 없음,,담당
t62,마이페이지,증빙,t62-P16,P16,증빙서류 발급(세금계산서·현금영수증),7,STD-MYP-014,증빙서류 발급내역 조회,huni-mall,김동학,미착수,SB-053 stub — huni-skin-shopby/src/components/mypage/document-section.tsx:1-6 (정적 표 UI·API 호출 0) · D-18 endpoint='(호출 지점 없음)',,담당
t62,마이페이지,증빙(원장전용),t62-P16,P16,증빙서류 발급(세금계산서·현금영수증),8,STD-MYP-037,프린트머니 증빙 발행 규칙 — 충전 시 충전액·주문 시 실결제액·환불 시 마이너스 계산서,결정+구현,김동학,미착수,후니정기미팅 정리260915.html §증빙서류 · 확정 7,,담당
t62,마이페이지,증빙(원장전용),t62-P16,P16,증빙서류 발급(세금계산서·현금영수증),9,STD-MYP-038,프린트머니 증빙 발행 시점 세무 확인(충전 시 vs 사용 시),결정(미정),미정,미착수,후니정기미팅 정리260915.html §증빙서류 · 미결 1,,담당
t62,마이페이지,증빙(원장전용),t62-P16,P16,증빙서류 발급(세금계산서·현금영수증),10,STD-MYP-039,세금계산서 API 자동 발행 여부 결정,결정(최숙진·신우진),최숙진+신우진,미착수,후니정기미팅 정리260915.html §증빙서류 · 미결 2,,담당
t62,마이페이지,세금,t62-P16,P16,증빙서류 발급(세금계산서·현금영수증),11,STD-B2B-012,세금계산서 일괄 발행,운영자 — P26 과 공유,미정,미착수,SB-053 stub — document-section.tsx:1-6 · D-18 endpoint='(호출 지점 없음)',P26 B2B 정산·거래처 원장,담당
t62,마이페이지,배송지,t62-P17,P17,배송지 주소록 관리,1,STD-MYP-016,배송지 주소록 관리,huni-mall → 샵바이,김동학,부분,SB-048 done — huni-skin-shopby/src/lib/api/hooks/use-shipping-address.ts:65-125 · SB-028 src/components/checkout/address-modal.tsx:1,t63 배송(주문서 배송지 선택),담당
t62,마이페이지,IA·정책(원장전용),t62-P18,P18,마이페이지 정보구조 정비,1,STD-MYP-040,마이페이지 9개 메뉴 점검·판정표 + 프린트머니 범위 결정,운영자·PM,최숙진+신우진,부분,후니정기미팅 정리260915.html §일정·설계 · 미결 3 / 후니-오픈잔여작업-실무진안내_260909.html §항목 4 · ④ 완료 기준,,담당
t62,마이페이지,IA·정책(원장전용),t62-P18,P18,마이페이지 정보구조 정비,2,STD-MYP-041,프린트머니 화면 피그마 부재·명칭 미정(「마이 포인트」 등),운영자(최숙진),최숙진,미착수,후니정기미팅 정리260915.html §일정·설계 · 미결 4,,담당
t62,마이페이지,IA·정책(원장전용),t62-P18,P18,마이페이지 정보구조 정비,3,STD-MYP-054,마이포인트(/mypage/point·shopby 적립금)와 프린팅머니(/mypage/money·UI 전용) 메뉴 중복 정리 — 노출 메뉴·명칭 확정,huni-mall + 정책,김동학,미착수,huni-skin-shopby/src/components/mypage/mypage-shared.tsx:14-15 NAV 두 항목 · commit 2092b12,P10 프린팅머니 충전,담당
t62,프로모션,쿠폰,t62-P19,P19,쿠폰 기획·발행·소진(운영자),1,STD-ADC-005,쿠폰 생성·발행 관리,운영자(셀러어드민),김동학,미착수,print-quote/04_design/ia.md §2.3 SM-A-43 · L4 사유: 고객측 쿠폰 조회/등록은 done(SB-049)이나 운영자 발행 화면 근거 없음,,담당
t62,프로모션,쿠폰,t62-P19,P19,쿠폰 기획·발행·소진(운영자),2,STD-PRM-006,쿠폰 유효기간 관리,운영자(셀러어드민),최숙진,미착수,print-kb/wiki/policy/coupon.md#CPN-06 · L4 사유: 쿠폰 발행·유효기간 관리 화면 L2 무근거(F-126 돈·L).,,담당
t62,프로모션,쿠폰,t62-P19,P19,쿠폰 기획·발행·소진(운영자),3,STD-PRM-005,쿠폰 동시사용 개수 제한,샵바이 설정,최숙진,부분,SB-029 done — huni-skin-shopby/src/lib/api/hooks/use-order-coupons.ts:34 (최대할인 계산),,담당
