mat_cd,mat_nm,mat_typ_cd,wire,disposition_rev2,disposition_rev1,changed,canonical_mat_cd,opt_item_ref,근거,돈영향
MAT_000005,하드커버,MAT_TYPE.01,1,BLOCKED-CONFIRM,BLOCKED-CONFIRM,N,,NO,"포토북 표지타입(하드커버)=USAGE.06 옵션 의미. 포토북 옵션그룹 0개=옵션화 전혀 안 됨. option_items ref도 없음 → OPTIONIZE 선행 필요. 표지종이 OK행 별존. material-remediation-spec P2-3 동일",0원(단가행0)
MAT_000007,소프트커버,MAT_TYPE.01,1,BLOCKED-CONFIRM,BLOCKED-CONFIRM,N,,NO,"포토북 표지타입(소프트커버) 옵션화 미완. 005와 동일. P2-4",0원(단가행0)
MAT_000006,레더하드커버,MAT_TYPE.06,1,BLOCKED-CONFIRM,BLOCKED-CONFIRM,N,,NO,"포토북 표지타입(레더하드커버) 옵션화 미완. P2-5",0원(단가행0)
MAT_000251,그레이,MAT_TYPE.01,1,BLOCKED-CONFIRM,BLOCKED-CONFIRM,N,,NO,"포토북 면지=그레이=면지색 옵션값. 옵션화 미완(opt ref 없음). P1-A/P2-6",0원(단가행0)
MAT_000214,2개1세트,MAT_TYPE.10,1,BLOCKED-CONFIRM,BLOCKED-CONFIRM,N,,NO,"천정고리 추가상품 수량묶음 라벨. opt 참조 없음·추가상품 옵션 설계 트랙 의존",0원(단가행0)
MAT_000223,우드거치대,MAT_TYPE.10,1,BLOCKED-CONFIRM,BLOCKED-CONFIRM,N,,NO,"PET배너 추가상품(dflt=N). opt 참조 없음·MAT_000222(우드거치대 120mm) 규격 미특정 매칭 모호·추가상품 트랙 의존",0원(단가행0)
MAT_000255,화이트,MAT_TYPE.08,5,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"실사소재 색 라벨=옵션값. option_items 참조 0(옵션화 미완). 활성 .08 정본은 실소재로 색 아님. 자재 REVIVE는 오염 재생산 → W2 색 옵션화가 정답. 1차 BLOCKED를 OPTIONIZE로 구체화",0원(단가행0)
MAT_000256,블랙,MAT_TYPE.08,6,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색 옵션값. opt ref 0 → W2 옵션화. 255와 동일",0원(단가행0)
MAT_000257,홀로그램,MAT_TYPE.08,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색/효과 옵션값. W2 옵션화",0원(단가행0)
MAT_000258,골드,MAT_TYPE.08,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"미러아크릴 색 옵션값. W2 옵션화",0원(단가행0)
MAT_000259,실버,MAT_TYPE.08,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"미러아크릴 색 옵션값. W2 옵션화",0원(단가행0)
MAT_000319,M,MAT_TYPE.09,14,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"봉제부자재 사이즈 라벨(M)=옵션값. option_items 참조 0(전수 확인). W2 사이즈 옵션화. 자재 REVIVE 금지(오염 재생산)",0원(단가행0)
MAT_000320,L,MAT_TYPE.09,13,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"사이즈 라벨(L) 옵션값. W2 옵션화",0원(단가행0)
MAT_000332,세로형,MAT_TYPE.09,5,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"형상 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000263,원형 90mm,MAT_TYPE.09,3,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"형상/사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000272,양면,MAT_TYPE.09,3,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"인쇄면 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000333,가로형,MAT_TYPE.09,3,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"형상 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000264,사각 90mm,MAT_TYPE.09,2,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"형상/사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000271,단면,MAT_TYPE.09,2,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"인쇄면 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000277,2구,MAT_TYPE.09,2,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"구성/수량 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000278,3구,MAT_TYPE.09,2,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"구성/수량 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000279,4구,MAT_TYPE.09,2,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"구성/수량 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000288,블랙 XL,MAT_TYPE.09,2,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색+사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000327,XL,MAT_TYPE.09,2,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000329,직사각,MAT_TYPE.09,2,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"형상 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000330,정사각,MAT_TYPE.09,2,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"형상 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000265,사각 110mm,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"형상/사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000266,원형 102mm,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"형상/사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000267,사각 100mm,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"형상/사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000275,미니 50mm,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000276,일반 100mm,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000280,1구,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"구성/수량 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000282,화이트 M,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색+사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000283,화이트 L,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색+사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000284,화이트 XL,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색+사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000285,화이트 XXL,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색+사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000286,블랙 M,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색+사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000287,블랙 L,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색+사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000289,블랙 XXL,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색+사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000290,양면 가로형,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"인쇄면+형상 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000291,양면 세로형,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"인쇄면+형상 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000292,멜란지 XL,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색+사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000294,2개1팩,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"묶음수 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000295,A5용,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"규격 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000296,A4용,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"규격 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000297,청보라,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000298,빨강,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000299,검정,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000300,파랑,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000301,초록,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000302,핑크,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000303,노랑,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000309,양면인쇄,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"인쇄면 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000310,핑크글리터,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색/효과 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000311,전면만 인쇄,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"인쇄면 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000312,화이트글리터,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색/효과 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000313,배면만 인쇄,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"인쇄면 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000314,블루글리터,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색/효과 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000315,블랙글리터,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색/효과 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000316,양면유광,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"인쇄면+마감 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000317,양면유광 M,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"인쇄면+마감+사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000318,양면유광 L,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"인쇄면+마감+사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000321,정사각M,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"형상+사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000322,직사각M,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"형상+사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000323,11인치,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000324,13인치,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000325,15인치,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000326,S,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000328,직사각L,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"형상+사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000331,마카롱,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"형상/종류 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000334,세로M,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"형상+사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000335,블랙M,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"색+사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
MAT_000336,가로L,MAT_TYPE.09,1,OPTIONIZE,BLOCKED-CONFIRM,Y,,NO,"형상+사이즈 라벨 옵션값. W2 옵션화",0원(단가행0)
