frm_cd,comp_cd,prc_typ_cd,use_dims,use_yn,del_yn,comp_nm
PRF_BOOK_COVER,COMP_PRINT_DIGITAL_S1,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000001""]",Y,N,디지털인쇄비
PRF_CLR_ACRYL,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,투명아크릴 인쇄가공비
PRF_COROTTO_ACRYL,COMP_ACRYL_COROTTO,PRICE_TYPE.01,"[""siz_width"", ""siz_height""]",Y,N,아크릴코롯토 인쇄가공비
PRF_DGP_A,COMP_COAT_GLOSSY,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""coat_side_cnt"", ""min_qty"", ""proc_grp:PROC_000013""]",Y,N,유광코팅비
PRF_DGP_A,COMP_COAT_MATTE,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""coat_side_cnt"", ""min_qty"", ""proc_grp:PROC_000013""]",Y,N,무광코팅비
PRF_DGP_A,COMP_PAPER,PRICE_TYPE.01,"[""plt_siz_cd"", ""mat_cd""]",Y,N,용지비(종이별 절가)
PRF_DGP_A,COMP_PP_CORNER_RIGHT,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000026""]",Y,N,귀돌이비
PRF_DGP_A,COMP_PP_CREASE_1L,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000029""]",Y,N,오시비
PRF_DGP_A,COMP_PP_PERF_1L,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000030""]",Y,N,미싱비
PRF_DGP_A,COMP_PP_VARIMG_1EA,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,N,가변이미지
PRF_DGP_A,COMP_PP_VARTEXT_1EA,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,N,가변텍스트
PRF_DGP_A,COMP_PRINT_DIGITAL_S1,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000001""]",Y,N,디지털인쇄비
PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S1,PRICE_TYPE.01,"[""plt_siz_cd"", ""proc_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000007""]",Y,N,별색인쇄비
PRF_DGP_A_FOIL,COMP_COAT_GLOSSY,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""coat_side_cnt"", ""min_qty"", ""proc_grp:PROC_000013""]",Y,N,유광코팅비
PRF_DGP_A_FOIL,COMP_COAT_MATTE,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""coat_side_cnt"", ""min_qty"", ""proc_grp:PROC_000013""]",Y,N,무광코팅비
PRF_DGP_A_FOIL,COMP_FOIL_PROC_LARGE_SPECIAL,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,박 가공비(대형·특수박)
PRF_DGP_A_FOIL,COMP_FOIL_PROC_LARGE_STD,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,박 가공비(대형·일반박)
PRF_DGP_A_FOIL,COMP_FOIL_SETUP_LARGE,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height""]",Y,N,박·형압 동판셋업비(대형)
PRF_DGP_A_FOIL,COMP_PAPER,PRICE_TYPE.01,"[""plt_siz_cd"", ""mat_cd""]",Y,N,용지비(종이별 절가)
PRF_DGP_A_FOIL,COMP_PP_CORNER_RIGHT,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000026""]",Y,N,귀돌이비
PRF_DGP_A_FOIL,COMP_PP_CREASE_1L,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000029""]",Y,N,오시비
PRF_DGP_A_FOIL,COMP_PP_PERF_1L,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000030""]",Y,N,미싱비
PRF_DGP_A_FOIL,COMP_PP_VARIMG_1EA,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,N,가변이미지
PRF_DGP_A_FOIL,COMP_PP_VARTEXT_1EA,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,N,가변텍스트
PRF_DGP_A_FOIL,COMP_PRINT_DIGITAL_S1,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000001""]",Y,N,디지털인쇄비
PRF_DGP_A_FOIL,COMP_PRINT_SPOT_WHITE_S1,PRICE_TYPE.01,"[""plt_siz_cd"", ""proc_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000007""]",Y,N,별색인쇄비
PRF_DGP_B,COMP_CUT_FULL_DIECUT,PRICE_TYPE.03,"[""plt_siz_cd"", ""min_qty""]",Y,N,커팅 완제품가 완칼(모양엽서·라벨택)
PRF_DGP_B,COMP_PAPER,PRICE_TYPE.01,"[""plt_siz_cd"", ""mat_cd""]",Y,N,용지비(종이별 절가)
PRF_DGP_B,COMP_PRINT_DIGITAL_S1,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000001""]",Y,N,디지털인쇄비
PRF_DGP_C,COMP_CUT_PERF_1H6,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000079""]",Y,N,타공비 (6mm)
PRF_DGP_C,COMP_FOLD_CARD_2H,PRICE_TYPE.01,"[""min_qty""]",Y,N,접지비 카드 2단
PRF_DGP_C,COMP_PAPER,PRICE_TYPE.01,"[""plt_siz_cd"", ""mat_cd""]",Y,N,용지비(종이별 절가)
PRF_DGP_C,COMP_PRINT_DIGITAL_S1,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000001""]",Y,N,디지털인쇄비
PRF_DGP_C_6CR,COMP_CUT_PERF_1H6,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000079""]",Y,N,타공비 (6mm)
PRF_DGP_C_6CR,COMP_FOLD_CARD_6CR,PRICE_TYPE.01,"[""min_qty""]",Y,N,접지비 카드 6크리즈
PRF_DGP_C_6CR,COMP_PAPER,PRICE_TYPE.01,"[""plt_siz_cd"", ""mat_cd""]",Y,N,용지비(종이별 절가)
PRF_DGP_C_6CR,COMP_PRINT_DIGITAL_S1,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000001""]",Y,N,디지털인쇄비
PRF_DGP_CAL_DESK,COMP_BIND_CAL_WALL,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000017""]",Y,N,제본비 벽걸이캘린더
PRF_DGP_CAL_DESK,COMP_PAPER,PRICE_TYPE.01,"[""plt_siz_cd"", ""mat_cd""]",Y,N,용지비(종이별 절가)
PRF_DGP_CAL_DESK,COMP_PRINT_DIGITAL_S1,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000001""]",Y,N,디지털인쇄비
PRF_DGP_CAL_WIDE,COMP_BIND_CAL_WALL,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000017""]",Y,N,제본비 벽걸이캘린더
PRF_DGP_CAL_WIDE,COMP_PAPER,PRICE_TYPE.01,"[""plt_siz_cd"", ""mat_cd""]",Y,N,용지비(종이별 절가)
PRF_DGP_CAL_WIDE,COMP_PRINT_DIGITAL_S1,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000001""]",Y,N,디지털인쇄비
PRF_DGP_D,COMP_COAT_GLOSSY,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""coat_side_cnt"", ""min_qty"", ""proc_grp:PROC_000013""]",Y,N,유광코팅비
PRF_DGP_D,COMP_COAT_MATTE,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""coat_side_cnt"", ""min_qty"", ""proc_grp:PROC_000013""]",Y,N,무광코팅비
PRF_DGP_D,COMP_CUT_PERF_1H6,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000079""]",Y,N,타공비 (6mm)
PRF_DGP_D,COMP_PAPER,PRICE_TYPE.01,"[""plt_siz_cd"", ""mat_cd""]",Y,N,용지비(종이별 절가)
PRF_DGP_D,COMP_PP_CORNER_RIGHT,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000026""]",Y,N,귀돌이비
PRF_DGP_D,COMP_PP_CREASE_1L,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000029""]",Y,N,오시비
PRF_DGP_D,COMP_PP_PERF_1L,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000030""]",Y,N,미싱비
PRF_DGP_D,COMP_PP_VARIMG_1EA,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,N,가변이미지
PRF_DGP_D,COMP_PP_VARTEXT_1EA,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,N,가변텍스트
PRF_DGP_D,COMP_PRINT_DIGITAL_S1,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000001""]",Y,N,디지털인쇄비
PRF_DGP_E,COMP_COAT_GLOSSY,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""coat_side_cnt"", ""min_qty"", ""proc_grp:PROC_000013""]",Y,N,유광코팅비
PRF_DGP_E,COMP_COAT_MATTE,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""coat_side_cnt"", ""min_qty"", ""proc_grp:PROC_000013""]",Y,N,무광코팅비
PRF_DGP_E,COMP_CUT_PERF_1H6,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000079""]",Y,N,타공비 (6mm)
PRF_DGP_E,COMP_FOLD_LEAF_3FOLD,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000056""]",Y,N,접지비 리플렛 3단
PRF_DGP_E,COMP_FOLD_LEAF_4ACC,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000056""]",Y,N,접지비 리플렛 4단아코디언
PRF_DGP_E,COMP_FOLD_LEAF_4GATE,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000056""]",Y,N,접지비 리플렛 4단게이트
PRF_DGP_E,COMP_FOLD_LEAF_HALF,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000056""]",Y,N,접지비 리플렛 반접지
PRF_DGP_E,COMP_PAPER,PRICE_TYPE.01,"[""plt_siz_cd"", ""mat_cd""]",Y,N,용지비(종이별 절가)
PRF_DGP_E,COMP_PP_VARIMG_1EA,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,N,가변이미지
PRF_DGP_E,COMP_PP_VARTEXT_1EA,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,N,가변텍스트
PRF_DGP_E,COMP_PRINT_DIGITAL_S1,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000001""]",Y,N,디지털인쇄비
PRF_DGP_E_FOIL,COMP_COAT_GLOSSY,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""coat_side_cnt"", ""min_qty"", ""proc_grp:PROC_000013""]",Y,N,유광코팅비
PRF_DGP_E_FOIL,COMP_COAT_MATTE,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""coat_side_cnt"", ""min_qty"", ""proc_grp:PROC_000013""]",Y,N,무광코팅비
PRF_DGP_E_FOIL,COMP_CUT_PERF_1H6,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000079""]",Y,N,타공비 (6mm)
PRF_DGP_E_FOIL,COMP_FOIL_PROC_LARGE_SPECIAL,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,박 가공비(대형·특수박)
PRF_DGP_E_FOIL,COMP_FOIL_PROC_LARGE_STD,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,박 가공비(대형·일반박)
PRF_DGP_E_FOIL,COMP_FOIL_SETUP_LARGE,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height""]",Y,N,박·형압 동판셋업비(대형)
PRF_DGP_E_FOIL,COMP_FOLD_LEAF_3FOLD,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000056""]",Y,N,접지비 리플렛 3단
PRF_DGP_E_FOIL,COMP_FOLD_LEAF_4ACC,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000056""]",Y,N,접지비 리플렛 4단아코디언
PRF_DGP_E_FOIL,COMP_FOLD_LEAF_4GATE,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000056""]",Y,N,접지비 리플렛 4단게이트
PRF_DGP_E_FOIL,COMP_FOLD_LEAF_HALF,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000056""]",Y,N,접지비 리플렛 반접지
PRF_DGP_E_FOIL,COMP_PAPER,PRICE_TYPE.01,"[""plt_siz_cd"", ""mat_cd""]",Y,N,용지비(종이별 절가)
PRF_DGP_E_FOIL,COMP_PP_VARIMG_1EA,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,N,가변이미지
PRF_DGP_E_FOIL,COMP_PP_VARTEXT_1EA,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,N,가변텍스트
PRF_DGP_E_FOIL,COMP_PRINT_DIGITAL_S1,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000001""]",Y,N,디지털인쇄비
PRF_DGP_F,COMP_CUT_FULL_DIECUT,PRICE_TYPE.03,"[""plt_siz_cd"", ""min_qty""]",Y,N,커팅 완제품가 완칼(모양엽서·라벨택)
PRF_DGP_F,COMP_PAPER,PRICE_TYPE.01,"[""plt_siz_cd"", ""mat_cd""]",Y,N,용지비(종이별 절가)
PRF_DGP_F,COMP_PRINT_DIGITAL_S1,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000001""]",Y,N,디지털인쇄비
PRF_DGP_INNER,COMP_PAPER,PRICE_TYPE.01,"[""plt_siz_cd"", ""mat_cd""]",Y,N,용지비(종이별 절가)
PRF_DGP_INNER,COMP_PRINT_DIGITAL_S1,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000001""]",Y,N,디지털인쇄비
PRF_ENV_MAKING,COMP_ENV_MAKING,PRICE_TYPE.02,"[""siz_cd"", ""mat_cd"", ""min_qty""]",Y,N,봉투제작 완제품가
PRF_FOLD_SUM,COMP_FOLD_CARD_2H,PRICE_TYPE.01,"[""min_qty""]",Y,N,접지비 카드 2단
PRF_GANGPAN_FIXED,COMP_GANGPAN_PRINT,PRICE_TYPE.02,"[""siz_cd"", ""mat_cd"", ""min_qty""]",Y,N,합판도무송 완제품가(형상·소재별)
PRF_HC_MUSEON_SET,COMP_HC_MUSEON_COVERBIND,PRICE_TYPE.01,"[""min_qty""]",Y,N,하드커버무선 표지+제본 합산(권당)
PRF_HC_TWINRING_SET,COMP_BIND_HC_TWINRING,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000017""]",Y,N,제본비 하드커버트윈링
PRF_LEATHER_RINGBINDER_SET,COMP_HC_MUSEON_COVERBIND,PRICE_TYPE.01,"[""min_qty""]",Y,N,하드커버무선 표지+제본 합산(권당)
PRF_NAMECARD_CLEAR,COMP_NAMECARD_CLEAR_S1,PRICE_TYPE.02,"[""min_qty""]",Y,N,투명명함 완제품가 단면(용지포함)
PRF_NAMECARD_COAT,COMP_NAMECARD_COAT_S1,PRICE_TYPE.02,"[""mat_cd"", ""min_qty"", ""print_opt_cd""]",Y,N,코팅명함 완제품가 단면(용지포함)
PRF_NAMECARD_COAT,COMP_NAMECARD_COAT_S2,PRICE_TYPE.02,"[""mat_cd"", ""min_qty"", ""print_opt_cd""]",Y,N,코팅명함 완제품가 양면(용지포함)
PRF_NAMECARD_FIXED,COMP_NAMECARD_STD_S1,PRICE_TYPE.02,"[""mat_cd"", ""min_qty"", ""print_opt_cd""]",Y,N,스탠다드명함 완제품가 단면(용지포함)
PRF_NAMECARD_FIXED,COMP_NAMECARD_STD_S2,PRICE_TYPE.02,"[""mat_cd"", ""min_qty"", ""print_opt_cd""]",Y,N,스탠다드명함 완제품가 양면(용지포함)
PRF_NAMECARD_FIXED_FOIL,COMP_FOIL_PROC_SMALL_SPECIAL,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,박 가공비(소형·특수박)
PRF_NAMECARD_FIXED_FOIL,COMP_FOIL_PROC_SMALL_STD,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,박 가공비(소형·일반박)
PRF_NAMECARD_FIXED_FOIL,COMP_FOIL_SETUP_SMALL,PRICE_TYPE.03,"[""proc_cd""]",Y,N,박·형압 동판셋업비(소형)
PRF_NAMECARD_FIXED_FOIL,COMP_NAMECARD_STD_S1,PRICE_TYPE.02,"[""mat_cd"", ""min_qty"", ""print_opt_cd""]",Y,N,스탠다드명함 완제품가 단면(용지포함)
PRF_NAMECARD_FIXED_FOIL,COMP_NAMECARD_STD_S2,PRICE_TYPE.02,"[""mat_cd"", ""min_qty"", ""print_opt_cd""]",Y,N,스탠다드명함 완제품가 양면(용지포함)
PRF_NAMECARD_FOIL,COMP_NAMECARD_FOIL_S1_HOLO,PRICE_TYPE.02,"[""print_opt_cd"", ""opt_cd"", ""min_qty"", ""opt_grp:OPT_000080""]",Y,N,오리지널박명함 완제품가 단면·홀로그램/트윙클(종이+동판+박)
PRF_NAMECARD_FOIL,COMP_NAMECARD_FOIL_S1_STD,PRICE_TYPE.02,"[""print_opt_cd"", ""opt_cd"", ""min_qty"", ""opt_grp:OPT_000080""]",Y,N,오리지널박명함 완제품가 단면·일반박(종이+동판+박)
PRF_NAMECARD_FOIL,COMP_NAMECARD_FOIL_S2_HOLO,PRICE_TYPE.02,"[""print_opt_cd"", ""opt_cd"", ""min_qty"", ""opt_grp:OPT_000080""]",Y,N,오리지널박명함 완제품가 양면·홀로그램/트윙클(종이+동판+박)
PRF_NAMECARD_FOIL,COMP_NAMECARD_FOIL_S2_STD,PRICE_TYPE.02,"[""print_opt_cd"", ""opt_cd"", ""min_qty"", ""opt_grp:OPT_000080""]",Y,N,오리지널박명함 완제품가 양면·일반박(종이+동판+박)
PRF_NAMECARD_FOIL,COMP_NAMECARD_FOIL_SETUP_S1_STD,PRICE_TYPE.03,"[""print_opt_cd"", ""min_qty""]",Y,N,박·형압 동판셋업비 단면
PRF_NAMECARD_FOIL,COMP_NAMECARD_FOIL_SETUP_S2_STD,PRICE_TYPE.03,"[""print_opt_cd""]",Y,N,박·형압 동판셋업비 양면
