구분,대상원장,키,제안,근거,근거요지
C.빠진일,t49(webadmin),STD-MFG-018,행 추가 — MES-5 주문 조회 재동기화(integrate · counterpart=mes · 미착수),raw/webadmin/docs/order-to-mes-process.md:476,설계 §8.3 MES-5(선택) · 코드 0
C.빠진일,t49(webadmin),STD-MFG-019,행 추가 — MES→우리 API 인증(VPC 사설 경로+API 키)(build · 미착수),raw/webadmin/docs/order-to-mes-process.md:492,「인터넷에 열지 않는다」 설계 확정 · 구현 0
C.빠진일,t49(webadmin),STD-MFG-020,행 추가 — 주문 큐 비동기 처리(SQS 디커플)(build · 미착수),raw/webadmin/webadmin/catalog/artwork_promote.py:300 · raw/webadmin/docs/order-to-mes-process.md:725,현재는 크론·워커가 없어 주문 등록 요청 안에서 수행 + 5분 스로틀 스윕으로 버티고 있다(승격 주석) — 큐 없음
C.빠진일,t49(webadmin),STD-ART-006,행 추가 — 주문 이후 파일 업로드 경로(결제 후 입고)(build · 미착수),raw/webadmin/ 전수 grep: 재업로드 링크·1회성 서명 링크 발급 → 0건 · raw/webadmin/docs/order-to-mes-process.md:700,설계 4단계(PitStop·n8n 선행) 미착수 · 코드 0
C.빠진일,t49(webadmin),STD-ART-007,행 추가 — 파일 재업로드·버전 이력 보관(build · 부분),raw/webadmin/webadmin/catalog/models.py:1133 (t_ord_artworks),회차 그릇·최신 회차 조회는 있으나 재업로드로 회차를 올리는 경로가 없다
C.빠진일,t49(widget),STD-ART-005,행 추가 — 앞면/뒷면 원고 분리 업로드(build · 미착수),raw/webadmin/webadmin/catalog/widget_api.py:2091 · :2100 · :2108 · :2118,업로드 항목 props 는 accept·max_mb·multi/max_files·inst 뿐 — side 좌표가 없다. 적용면(앞/뒷)은 후가공 공정 축에만 존재
C.빠진일,t49(widget),STD-ART-029,행 추가 — 가변데이터 인쇄(VDP) 데이터 업로드·병합(build · 미착수),raw/webadmin/webadmin/catalog/static/catalog/huni_editor_sdk.js:4,「레드프린팅 전용 KOI-Passive 채널·Sentry·VDP·팔레트는 이식하지 않는다」 — 명시적 미이식
C.빠진일,t49(widget),NEW(허용사이트 등록),행 추가 — 허용사이트 도메인·site_key 등록·회전 관리 화면(build · 미착수),raw/webadmin/webadmin/catalog/admin.py(TWgtSites 미등록) · raw/webadmin/docs/widget-builder-design.html:587,설계가 Phase13 에 「site-key 발급·관리 화면(t_wgt_sites 확장)」을 두었으나 미구현. t49:215(config) 의 선행 조건
C.빠진일,t49(widget),NEW(업로드 재시도),행 추가 — 업로드 실패 자동 재시도(build · 미착수),raw/webadmin/webadmin/catalog/static/catalog/widget.js:784,실패를 {error:…} 로 표시만 하고 재시도하지 않는다 — 계획행 STD-ART-003 의 「실패 재시도」 몫
C.빠진일,t50(pitstop),STD-MFG-036,행 추가 — 원고 바이러스 온디맨드 명시 스캔(integrate · 미착수),raw/webadmin/ 전수 grep: clamav|virus|scan_engine|artwork_scan → 0건 · raw/webadmin/docs/artwork-scan-integration.md,pitstop 23행은 프리플라이트만 덮고 바이러스 검사 자체 행이 없다(PS-09 는 「통과분만 넘기도록 강제」로 전제만 표현)
C.빠진일,t50(pitstop),STD-MFG-040,행 추가 — 감염 파일 격리+담당자 알림+고객 재업로드 요청(integrate · 미착수),raw/webadmin/ 전수 grep: clamav|virus → 0건,위와 같은 근거 — 격리·알림 행 없음
D.결정안건,t58/widget-decisions.md,T4-2,screens.csv 대상 아님 → decisions 로 이관(계약 보충 4),_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/plan-rows.csv (row_id T4-2),「원고 승격 실파일 1건 종단 + 웹훅 해석 소비자 구현」 = 게이트·검증 안건(화면 없음)
D.결정안건,t58/widget-decisions.md,T4-3,screens.csv 대상 아님 → decisions 로 이관,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/plan-rows.csv (row_id T4-3),「파일 검수 경로 결정 — PitStop 조달 또는 사람 검수」 = 구매·방식 결정 안건
D.결정안건,t58/widget-decisions.md,F1-2,screens.csv 대상 아님 → decisions 로 이관,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/plan-rows.csv (row_id F1-2),런타임 시크릿 채움 = 인프라 설정 안건(화면·기능 아님)
D.결정안건,t58/widget-decisions.md,F3-9,screens.csv 대상 아님 → decisions 로 이관,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/plan-rows.csv (row_id F3-9),「Edicus 허용 도메인/콜백에 새 호스트 필요 여부 확인」 = 상대측 확인 안건
D.결정안건,t58/widget-decisions.md,F3-10,screens.csv 대상 아님 → decisions 로 이관,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/plan-rows.csv (row_id F3-10),「전환 후 실측」 = 검증 게이트 안건
E.보강행,t49(widget),t49:218 옆,config 행 신설 — 오픈 전 과업: 편집기 템플릿 연결 구멍 충전(status=진행),raw/webadmin/tools/edicus_coverage_baseline.json,PRD_000062 miss 5 · PRD_000063 miss 16 · PRD_000226 blocked:true (updated 2026-09-16). 계획행 STD-ART-030 상태 미착수인데 원장은 완료로 적혀 있다
E.보강행,t49(widget),t49:222 옆,integrate 행 신설 — verify 응답에 handoff_id 노출(status=미착수),raw/webadmin/webadmin/catalog/widget_api.py:5005 · raw/webadmin/docs/order-to-mes-process.md:650,"verify 응답은 {ok, valid, payload|reason} 뿐 — 설계가 남은 일로 적은 2건 중 submit() 쪽만(widget.js:1011) 해소됐다"
