prd_cd,prd_nm,map_category,status,cat_cd,cat_nm,main_cat_yn,match_level,live_opt_n,live_priced,multi_class,note
PRD_000149,아크릴집게,08 문구,ALIAS(다중분류),CAT_000008,문구,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000149를 08 문구에 추가 노출(중복상품 생성 금지)
PRD_000149,아크릴집게,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000150,아크릴스마트톡,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000150,아크릴스마트톡,10 라이프,ALIAS(다중분류),CAT_000010,라이프,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000150를 10 라이프에 추가 노출(중복상품 생성 금지)
PRD_000151,맥세이프 스마트톡,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000151,맥세이프 스마트톡,10 라이프,ALIAS(다중분류),CAT_000010,라이프,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000151를 10 라이프에 추가 노출(중복상품 생성 금지)
PRD_000152,아크릴명찰,03 인쇄홍보물,ALIAS(다중분류),CAT_000003,인쇄홍보물,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000152를 03 인쇄홍보물에 추가 노출(중복상품 생성 금지)
PRD_000152,아크릴명찰,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000154,아크릴머리끈,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000155,아크릴볼펜,08 문구,ALIAS(다중분류),CAT_000008,문구,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000155를 08 문구에 추가 노출(중복상품 생성 금지)
PRD_000155,아크릴볼펜,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000156,아크릴지비츠,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000157,아크릴네임택,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000157,아크릴네임택,10 라이프,ALIAS(다중분류),CAT_000010,라이프,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000157를 10 라이프에 추가 노출(중복상품 생성 금지)
PRD_000158,아크릴포카키링,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000159,아크릴코스터,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000159,아크릴 코스터,10 라이프,ALIAS(다중분류),CAT_000010,라이프,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000159를 10 라이프에 추가 노출(중복상품 생성 금지)
PRD_000160,아크릴자유형스탠드,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000161,판아크릴,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000162,아크릴포카스탠드,01 엽서,ALIAS(다중분류),CAT_000001,엽서/카드,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000162를 01 엽서에 추가 노출(중복상품 생성 금지)
PRD_000162,아크릴포카스탠드,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000163,아크릴미니파츠,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000164,아크릴코롯토,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000165,아크릴포카코롯토,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000166,아크릴카라비너,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000172,만년다이어리(소프트커버),08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000173,만년다이어리(하드커버),08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000174,만년다이어리(레더하드커버),08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000175,만년다이어리(레더소프트커버),08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000176,먼슬리플래너,08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000177,스프링노트,08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000178,스프링수첩,08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000179,메모패드,08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000181,중철노트,08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000183,틴거울,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000184,컴팩트거울,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000185,카드거울,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000186,사각손거울,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000187,블랙사각손거울,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000188,레더코스터,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000189,코르크코스터,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000190,우드코스터,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000191,린넨코스터,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000192,규조토코스터,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000193,머그컵,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000194,워터북보틀,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000195,벨벳쿠션,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000196,래더여권케이스,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000197,미니매트,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000198,피크닉매트,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000199,투명부채,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000200,핀버튼,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000201,레더스트랩키링,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000202,키캡키링,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000204,미니CD앨범,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000205,양말,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000206,반팔티셔츠,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000207,극세사타월,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000208,슬로건,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000209,후드티셔츠,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000210,초슬림 마우스패드,08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000211,장패드,08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000212,극세사클리너,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000213,틴케이스,08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000214,자석북마크,08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000215,클립보드,08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000216,투명클립보드,08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000217,만년스탬프,03 인쇄홍보물,ALIAS(다중분류),CAT_000003,인쇄홍보물,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000217를 03 인쇄홍보물에 추가 노출(중복상품 생성 금지)
PRD_000217,만년스탬프,08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000219,밴드톡,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000220,폰스트랩,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000221,말랑키링,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000222,말랑증사홀더,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000223,말랑포카홀더,01 엽서,ALIAS(다중분류),CAT_000001,엽서/카드,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000223를 01 엽서에 추가 노출(중복상품 생성 금지)
PRD_000223,말랑포카홀더,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000224,말랑 네임택,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000225,말랑여권케이스,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000226,아크릴쉐이커코롯토,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000227,미니우치와키링,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000228,하트 이미지피켓,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000229,이미지피켓(우치와),10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,N,,
PRD_000230,레더 플랫 파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000231,레더 슬림 파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000232,레더 삼각 파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000233,레더 볼륨 파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000234,레더 스트링 파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000235,레더 스트링 원형파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000236,레더 플랫 클러치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000237,레더 삼각 클러치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000238,레더아이패드/노트북파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000239,캔버스 플랫 파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000240,캔버스 삼각 파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000241,캔버스 스트랩 라벨파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000242,광목 스트링 라벨파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000243,린넨 스트링 파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000244,타이벡 플랫 파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000245,타이벡 슬림 파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000246,타이벡 삼각 파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000247,타이벡 스트링 파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000248,타이벡 플랫 클러치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000249,메쉬슬림파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000250,메쉬볼륨파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000251,레더 플랫 미니파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000252,레더 슬림 미니파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000253,레더 삼각 미니파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000254,레더 볼륨 미니파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000255,레더 원형 미니파우치,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000256,레더 플랫 필통,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000257,레더 슬림 필통,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000258,레더 삼각 필통,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000259,레더 볼륨 필통,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000260,레더 원형 필통,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000261,캔버스 플랫 필통,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000262,캔버스 삼각 필통,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000263,레더토트백,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000264,레더숄더백,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000265,린넨 미니에코백,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000266,린넨 토트백,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000267,린넨 에코백,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000268,캔버스 심플백,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000269,캔버스 포켓심플백,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000270,캔버스 에코백,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000271,캔버스 숄더백,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000272,캔버스 포켓숄더백,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
