std_id,대분류,중분류,기능,상태,오픈차단여부,매핑legacy_id,매핑asis_id,돈여부,주문여부,근거,비고,담당,sub_track,배정근거,done_criteria
STD-CAT-014,상품·카탈로그,상품상세,상품 리뷰 목록·평점 노출,done,작업 항목,F-089;IA-089;SCOPE-089,SB-018,N,N,huni-skin-shopby/src/lib/api/hooks/use-product-reviews.ts:41,R1 · L4 판정 승계,쇼핑개발,web,예외:같은 근거(샵바이 표준 리뷰),"huni-skin-shopby/src/lib/api/hooks/use-product-reviews.ts:41 에 구현이 있고, 라이브 스토어프론트 화면 에서 「상품 리뷰 목록·평점 노출」이 1회 관측된다"
STD-CAT-015,상품·카탈로그,상품상세,사진 리뷰 갤러리,partial,작업 항목,F-018;F-089;IA-018;IA-089;SCOPE-018;SCOPE-089,SB-018,Y,N,huni-skin-shopby/src/lib/api/hooks/use-product-reviews.ts:41 (목록만),R1 · L4 판정 승계 · 안 되는 부분: huni-skin-shopby/src/lib/api/hooks/use-product-reviews.ts:41 (목록만) (출처 근거),쇼핑개발,web,예외:같은 근거,"이미 되는 부분은 확인되고, 남은 부분(huni-skin-shopby/src/lib/api/hooks/use-product-reviews.ts:41 (목록만))이 「사진 리뷰 갤러리」 결과에 표시된 금액이 권위값과 원 단위까지 같은 것이 1건 확인된다"
STD-CAT-016,상품·카탈로그,상품상세,관련상품/함께 주문한 상품 추천,new,작업 항목,,,N,N,print-quote/04_design/ia.md §2.1 리스팅 파생,R1 · L4 판정 승계,쇼핑개발,web,예외:전시 로직 — 상세 콘텐츠 블록이 아님,"「관련상품/함께 주문한 상품 추천」을 담을 그릇(테이블·모듈·화면)이 생기고, 라이브 스토어프론트 화면 에서 그 동작이 1회 관측된다"
STD-CAT-017,상품·카탈로그,상품상세,최근 본 상품,new,작업 항목,,,N,N,print-quote/04_design/ia.md §2.1 GNB 파생,R1 · L4 판정 승계,쇼핑개발,web,예외:같은 근거,"「최근 본 상품」을 담을 그릇(테이블·모듈·화면)이 생기고, 라이브 스토어프론트 화면 에서 그 동작이 1회 관측된다"
STD-CAT-018,상품·카탈로그,상품상세,찜/관심상품,new,작업 항목,,,N,N,print-kb/wiki/policy/mypage.md 파생,R1 · L4 판정 승계,쇼핑개발,web,예외:같은 근거,"「찜/관심상품」을 담을 그릇(테이블·모듈·화면)이 생기고, 라이브 스토어프론트 화면 에서 그 동작이 1회 관측된다"
STD-CAT-019,정보·콘텐츠,콘텐츠,인쇄 가이드 콘텐츠(11종),partial,작업 항목,F-087;IA-087;SCOPE-087,SB-055,N,N,"huni-skin-shopby/src/lib/guide-data.ts:41-50,158-202",R1 · L4 판정 승계 · lead 결정 4 · 대분류 이관(상품·카탈로그 → 정보·콘텐츠) · 안 되는 부분: 미확인 — 근거·비고 어디에도 결손 표기가 없다 · 라이브 페이지 URL 1회 점검으로 닫는다,PM,-,규칙:260616 01_역할정의 PM 「약관·가이드 콘텐츠」 · 게시 지점은 빌더(예외표),"이미 되는 부분은 확인되고, 남은 부분(미확인 — 결손 표기 없음)이 「인쇄 가이드 콘텐츠(11종)」이 1회 관측된다"
STD-CAT-020,정보·콘텐츠,콘텐츠,템플릿/샘플 다운로드 제공,partial,작업 항목,IA-056;SCOPE-056,WA-042;WA-049,N,N,"raw/webadmin/webadmin/config/urls.py:280,283,285,287,288 (가이드파일 조회) · :72-87 (업로드/관리)",R1 · L4 판정 승계 · lead 결정 4 · 대분류 이관(상품·카탈로그 → 정보·콘텐츠) · 안 되는 부분: 미확인 — 근거·비고 어디에도 결손 표기가 없다 · 라이브 페이지 URL 1회 점검으로 닫는다,PM,-,규칙:260616 01_역할정의 PM 「약관·가이드 콘텐츠」 · 게시 지점은 빌더(예외표),"이미 되는 부분은 확인되고, 남은 부분(미확인 — 결손 표기 없음)이 「템플릿/샘플 다운로드 제공」이 1회 관측된다"
STD-CAT-021,상품·카탈로그,콘텐츠,메인 기획전/배너 영역,partial,작업 항목,SCOPE-155,SB-001;SB-002,N,N,huni-skin-shopby/src/app/(main)/page.tsx:1 · BEST 큐레이션 stub src/lib/legacy-data/hooks.ts:60,R1 · L4 판정 승계 · 안 되는 부분: BEST 큐레이션 stub src/lib/legacy-data/hooks.ts:60 (출처 근거),쇼핑개발,builder,규칙:상세페이지 콘텐츠 블록 = 빌더 산출물(같은 근거),"이미 되는 부분은 확인되고, 남은 부분(BEST 큐레이션 stub src/lib/legacy-data/hooks.ts:60)이 「메인 기획전/배너 영역」이 1회 관측된다"
STD-CAT-022,상품·카탈로그,전시,품절/판매중지 상품 표시 및 대체 안내,new,작업 항목,,,N,N,huni-shopby/01_research/order-to-delivery-contract.md §4.2 OUT_OF_STOCK,R1 · L4 판정 승계,쇼핑개발,web,규칙:260616 01_역할정의 「쇼핑몰 사용자 전반」 · 카탈로그 노출은 샵바이 스토어프론트,"「품절/판매중지 상품 표시 및 대체 안내」를 담을 그릇(테이블·모듈·화면)이 생기고, 라이브 스토어프론트 화면 에서 그 동작이 1회 관측된다"
STD-OPT-001,옵션·견적,옵션위젯,상품 상세 내 주문옵션 위젯 마운트(격리 렌더),done,작업 항목,F-033;IA-033;SCOPE-033,SB-010;WA-026,N,N,"huni-skin-shopby/src/components/product/huni-widget.tsx:312-313 · raw/webadmin/webadmin/config/urls.py:184,190,192",R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"huni-skin-shopby/src/components/product/huni-widget.tsx:312-313 에 구현이 있고, 위젯 실화면 + 가격 시뮬레이터 에서 「상품 상세 내 주문옵션 위젯 마운트(격리 렌더)」가 1회 관측된다"
STD-OPT-002,옵션·견적,옵션위젯,정규화 옵션 데이터 계약 기반 위젯 구동,done,작업 항목,F-033;IA-033;SCOPE-033,WA-033;WA-034,N,N,raw/webadmin/webadmin/config/urls.py:246 (위젯 정의 조회) · :247 (카탈로그 조회),R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"raw/webadmin/webadmin/config/urls.py:246 에 구현이 있고, 위젯 실화면 + 가격 시뮬레이터 에서 「정규화 옵션 데이터 계약 기반 위젯 구동」이 1회 관측된다"
STD-OPT-003,옵션·견적,옵션위젯,옵션 컴포넌트 타입 다형 렌더(셀렉트·라디오·체크·수치입력·이미지선택),done,작업 항목,F-033;IA-033;SCOPE-033,WA-026;SB-010,N,N,"raw/webadmin/webadmin/config/urls.py:184,190,192 · src/lib/printly/widget.ts:60-90",R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"raw/webadmin/webadmin/config/urls.py:184,190,192 에 구현이 있고, 위젯 실화면 + 가격 시뮬레이터 에서 「옵션 컴포넌트 타입 다형 렌더(셀렉트·라디오·체크·수치입력·이…」가 1회 관측된다"
STD-OPT-004,옵션·견적,옵션위젯,옵션 선택 캐스케이드(상위 선택이 하위 목록 갱신),partial,작업 항목,F-048;IA-048;SCOPE-048,WA-036;WA-005,N,N,raw/webadmin/webadmin/config/urls.py:249 (validate) · :368 (dim-choices),R1 · L4 판정 승계 · 안 되는 부분: 미확인 — 근거·비고 어디에도 결손 표기가 없다 · 위젯 실화면 + 가격 시뮬레이터 1회 점검으로 닫는다,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"이미 되는 부분은 확인되고, 남은 부분(미확인 — 결손 표기 없음)이 「옵션 선택 캐스케이드(상위 선택이 하위 목록 갱신)」이 1회 관측된다"
STD-OPT-005,옵션·견적,옵션위젯,토글형 후가공 섹션(켜야 하위 선택지 노출),new,작업 항목,,,N,N,print-story/02_capture/order-flow-steps.md §A-7 토글형 후가공,R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"「토글형 후가공 섹션(켜야 하위 선택지 노출)」을 담을 그릇(테이블·모듈·화면)이 생기고, 위젯 실화면 + 가격 시뮬레이터 에서 그 동작이 1회 관측된다"
STD-OPT-006,옵션·견적,옵션위젯,옵션 그룹 접기/펼치기·진행 스텝 표시,new,작업 항목,,,N,N,print-story/02_capture/order-flow-steps.md §C 옵션 테이블 복잡도,R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"「옵션 그룹 접기/펼치기·진행 스텝 표시」를 담을 그릇(테이블·모듈·화면)이 생기고, 위젯 실화면 + 가격 시뮬레이터 에서 그 동작이 1회 관측된다"
STD-OPT-007,옵션·견적,옵션위젯,선택 요약 패널(현재 사양 한눈에),partial,작업 항목,F-063;IA-063;SCOPE-063,SB-011;SB-010,Y,Y,huni-skin-shopby/src/components/product/huni-widget.tsx:162-176 (huni:priced 수신),R1 · L4 판정 승계 · 안 되는 부분: 미확인 — 근거·비고 어디에도 결손 표기가 없다 · 위젯 실화면 + 가격 시뮬레이터 1회 점검으로 닫는다,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"이미 되는 부분은 확인되고, 남은 부분(미확인 — 결손 표기 없음)이 「선택 요약 패널(현재 사양 한눈에)」 결과에 표시된 금액이 권위값과 원 단위까지 같은 것이 1건 확인된다"
STD-OPT-008,옵션·견적,옵션축,용지(자재) 선택,done,작업 항목,F-037;IA-037;P-MAT-PRICEGAP-01;P-MATPOLLUTE-26-01;SCOPE-037,WA-014;WA-034,Y,N,"raw/webadmin/webadmin/config/urls.py:304,307,310,313 (용지 관리+단가) · :247 (카탈로그 조회)",R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"raw/webadmin/webadmin/config/urls.py:304,307,310,313 에 구현이 있고, 위젯 실화면 + 가격 시뮬레이터 에서 「용지(자재) 선택」 결과에 표시된 금액이 권위값과 원 단위까지 같은 것이 1건 확인된다"
STD-OPT-009,옵션·견적,옵션축,평량(g/㎡) 선택,done,작업 항목,F-037;IA-037;SCOPE-037,WA-014,N,N,"raw/webadmin/webadmin/config/urls.py:304,307,310,313 · catalog/paper_views.py:1",R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"raw/webadmin/webadmin/config/urls.py:304,307,310,313 에 구현이 있고, 위젯 실화면 + 가격 시뮬레이터 에서 「평량(g/㎡) 선택」이 1회 관측된다"
STD-OPT-010,옵션·견적,옵션축,비종이 소재 선택(아크릴·PVC·패브릭 등),done,작업 항목,F-037;IA-037;P-GOODS-AXIS-NORM-01;SCOPE-037,WA-013;WA-034,Y,N,"raw/webadmin/webadmin/config/urls.py:344,346 (엔티티 공통 마스터) · :247",R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"raw/webadmin/webadmin/config/urls.py:344,346 에 구현이 있고, 위젯 실화면 + 가격 시뮬레이터 에서 「비종이 소재 선택(아크릴·PVC·패브릭 등)」 결과에 표시된 금액이 권위값과 원 단위까지 같은 것이 1건 확인된다"
STD-OPT-011,옵션·견적,옵션축,인쇄도수 선택(단면/양면·4도/8도·1도),done,작업 항목,F-038;IA-038;P-DIGITAL-BW-01;SCOPE-038,WA-005;WA-034,Y,Y,raw/webadmin/webadmin/config/urls.py:368 (dim-choices) · :247,R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"raw/webadmin/webadmin/config/urls.py:368 에 구현이 있고, 위젯 실화면 + 가격 시뮬레이터 에서 「인쇄도수 선택(단면/양면·4도/8도·1도)」 결과에 표시된 금액이 권위값과 원 단위까지 같은 것이 1건 확인된다"
STD-OPT-012,옵션·견적,옵션축,별색(spot color) 선택,done,작업 항목,F-038;IA-038;SCOPE-038,WA-005;WA-015,N,N,raw/webadmin/webadmin/config/urls.py:368 · :316 (색상칩 스테이징),R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"raw/webadmin/webadmin/config/urls.py:368 에 구현이 있고, 위젯 실화면 + 가격 시뮬레이터 에서 「별색(spot color) 선택」이 1회 관측된다"
STD-OPT-013,옵션·견적,옵션축,화이트/UV white 언더베이스 선택,done,작업 항목,F-038;IA-038;SCOPE-038,WA-005,N,N,raw/webadmin/webadmin/config/urls.py:368,R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"raw/webadmin/webadmin/config/urls.py:368 에 구현이 있고, 위젯 실화면 + 가격 시뮬레이터 에서 「화이트/UV white 언더베이스 선택」이 1회 관측된다"
STD-OPT-014,옵션·견적,옵션축,규격 사이즈 선택(프리셋),done,작업 항목,F-034;IA-034;P-DELYN-SIZE-01;P-SIZEMAP-214-01;SCOPE-034,WA-005;WA-034,Y,Y,raw/webadmin/webadmin/config/urls.py:368 · :247,R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"raw/webadmin/webadmin/config/urls.py:368 에 구현이 있고, 위젯 실화면 + 가격 시뮬레이터 에서 「규격 사이즈 선택(프리셋)」 결과에 표시된 금액이 권위값과 원 단위까지 같은 것이 1건 확인된다"
STD-OPT-015,옵션·견적,옵션축,비규격 사이즈 직접입력(재단 가로·세로),partial,작업 항목,F-035;IA-035;P-AREA-CUSTOM-01;SCOPE-035,WA-005,Y,Y,raw/webadmin/webadmin/config/urls.py:368 (dim-choices),R1 · L4 판정 승계 · 안 되는 부분: 미확인 — 근거·비고 어디에도 결손 표기가 없다 · 위젯 실화면 + 가격 시뮬레이터 1회 점검으로 닫는다,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"이미 되는 부분은 확인되고, 남은 부분(미확인 — 결손 표기 없음)이 「비규격 사이즈 직접입력(재단 가로·세로)」 결과에 표시된 금액이 권위값과 원 단위까지 같은 것이 1건 확인된다"
STD-OPT-016,옵션·견적,옵션축,작업 사이즈 입력·자동 도출(도련 포함),partial,작업 항목,IA-060;P-BLEED-32-01;SCOPE-060,,Y,N,P-BLEED-32-01 HOLD_BASIS 32건 — 라이브 완제품 사이즈에 블리드 미적용(자동제외 중),R1 · L4 판정 승계 · 안 되는 부분: P-BLEED-32-01 HOLD_BASIS 32건 — 라이브 완제품 사이즈에 블리드 미적용(자동제외 중) (출처 근거),인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"이미 되는 부분은 확인되고, 남은 부분(P-BLEED-32-01 HOLD_BASIS 32건 — 라이브 완제품 사이즈에 블리드 미적용(자동제외 중))이 「작업 사이즈 입력·자동 도출(도련 포함)」 결과에 표시된 금액이 권위값과 원 단위까지 같은 것이 1건 확인된다"
STD-OPT-017,옵션·견적,옵션축,수량 선택(구간 프리셋 + 직접입력),done,작업 항목,F-036;IA-036;SCOPE-036,WA-035;WA-023,Y,N,"raw/webadmin/webadmin/config/urls.py:248 (price) · :137,177-181 (수량구간 할인표)",R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"raw/webadmin/webadmin/config/urls.py:248 에 구현이 있고, 위젯 실화면 + 가격 시뮬레이터 에서 「수량 선택(구간 프리셋 + 직접입력)」 결과에 표시된 금액이 권위값과 원 단위까지 같은 것이 1건 확인된다"
STD-OPT-018,옵션·견적,옵션축,건수(디자인 종류 수) 입력 및 총량 = 건수×수량 규칙 표시,new,작업 항목,,,N,N,print-story/02_capture/order-flow-steps.md §A-4 A-5 건수×수량,R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"「건수(디자인 종류 수) 입력 및 총량 = 건수×수량 규칙 표시」를 담을 그릇(테이블·모듈·화면)이 생기고, 위젯 실화면 + 가격 시뮬레이터 에서 그 동작이 1회 관측된다"
STD-OPT-019,옵션·견적,옵션축,페이지 수 입력(책자류 필수 축),partial,작업 항목,P-PHOTOBOOK-PAGEFEE-01;X-ENGINE-PAGE-01,WA-035,Y,N,X-ENGINE-PAGE-01 094 30P 보류(page 전송 코드트랙) · P-PHOTOBOOK-PAGEFEE-01 페이지비 전액 미청구,R1 · L4 판정 승계 · 안 되는 부분: X-ENGINE-PAGE-01 094 30P 보류(page 전송 코드트랙) (출처 근거),인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"이미 되는 부분은 확인되고, 남은 부분(X-ENGINE-PAGE-01 094 30P 보류(page 전송 코드트랙))이 「페이지 수 입력(책자류 필수 축)」 결과에 표시된 금액이 권위값과 원 단위까지 같은 것이 1건 확인된다"
STD-OPT-020,옵션·견적,옵션축,표지/내지/간지 용지 개별 선택,done,작업 항목,F-043;IA-043;SCOPE-043,WA-003;WA-005,N,N,raw/webadmin/webadmin/config/urls.py:356-360 (옵션그룹/옵션/항목 CRUD) · :368,R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"raw/webadmin/webadmin/config/urls.py:356-360 에 구현이 있고, 위젯 실화면 + 가격 시뮬레이터 에서 「표지/내지/간지 용지 개별 선택」이 1회 관측된다"
STD-OPT-021,옵션·견적,옵션축,표지/내지 인쇄도수 개별 선택,done,작업 항목,F-043;IA-043;SCOPE-043,WA-003;WA-005,N,N,raw/webadmin/webadmin/config/urls.py:356-360 · :368,R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"raw/webadmin/webadmin/config/urls.py:356-360 에 구현이 있고, 위젯 실화면 + 가격 시뮬레이터 에서 「표지/내지 인쇄도수 개별 선택」이 1회 관측된다"
STD-OPT-022,옵션·견적,옵션축,제본 방식 선택(중철·무선·PUR·트윈링·하드커버),done,작업 항목,F-042;IA-042;P-PED-BOOK-W12-01;SCOPE-042,WA-003;WA-016,Y,N,raw/webadmin/webadmin/config/urls.py:356-360 · :320-330 (책등 계산),R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"raw/webadmin/webadmin/config/urls.py:356-360 에 구현이 있고, 위젯 실화면 + 가격 시뮬레이터 에서 「제본 방식 선택(중철·무선·PUR·트윈링·하드커버)」 결과에 표시된 금액이 권위값과 원 단위까지 같은 것이 1건 확인된다"
STD-OPT-023,옵션·견적,옵션축,제본 방향 선택(좌철/상철 × 세로/가로),done,작업 항목,F-042;IA-042;SCOPE-042,WA-003,N,N,raw/webadmin/webadmin/config/urls.py:356-360,R1 · L4 판정 승계,인쇄개발,-,규칙:260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」,"raw/webadmin/webadmin/config/urls.py:356-360 에 구현이 있고, 위젯 실화면 + 가격 시뮬레이터 에서 「제본 방향 선택(좌철/상철 × 세로/가로)」가 1회 관측된다"
