scn_id,등급,게이트,단계,전제,조작,기대결과,확인처,PG승인전가능,근거,미확인분기,실행일
P0-11,P0,G4,6 결제(PG),PG 결제승인 완료 · 카드결제 열려 있음,카드로 결제한다,PG 승인이 나고 주문상태가 PAY_DONE(결제완료)으로 잡힌다. nextActions 에 CANCEL_ALL 이 들어 있고 cancelable=true 다,샵바이 주문조회 응답(orderStatusType · nextActions · cancelable) · 셀러어드민 전체주문,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/shopby-order-state-machine.md,nextActions 산출 규칙이 문서화돼 있지 않다 — 실주문으로 실제 값을 관측해 이 기대값을 확정한다,2026-09-30
P0-12,P0,G4,6 결제(PG),가상계좌·무통장이 열려 있고 입금기한이 3~7일로 설정돼 있다,가상계좌로 주문한다(입금하지 않는다),주문상태가 DEPOSIT_WAIT(입금대기)로 잡히고 주문번호가 발급되며 재고가 이미 차감된다. 입금 전에도 즉시 취소가 된다,셀러어드민 전체주문 · 상품 재고 수치,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/shopby-order-state-machine.md,입금기한 기본값과 설정 위치가 매뉴얼에 없다(미확인 9). 원고 tmp 30일보다 짧아야 한다,2026-09-30
P0-13,P0,G4,7 주문 성립(shopby),P0-11 결제 성공 직후,셀러어드민 전체주문 조회를 연다,"그 주문 1건이 목록에 있고, 주문 상세의 옵션 칸에 huni_item·huni_order 두 값이 잘리지 않고 보인다",셀러어드민 주문관리 > 전체주문 조회 > 상세,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/open-questions.md,A-1 미관측 — 텍스트 옵션이 어떻게 렌더되는지(줄바꿈·잘림) 아직 못 봤다,2026-09-30
P0-14,P0,G2,8 후니가 주문 받음,자사몰에 order/register 호출부가 배선돼 있다,주문이 만들어진 직후(입금대기여도) 자사몰이 POST /api/w/v1/order/register 를 부른다,"t_ord_orders 에 (site_cd, shop_ord_no, shop_line_no) 1행이 생기고 ord_sts=REGISTERED 다. 같은 요청을 다시 보내면 already:true 로 돌아오고 행이 늘지 않는다",라이브 DB 읽기전용 SELECT(t_ord_orders) · API 응답,Y,_workspace/huni-launch-runway/07_rebaseline/L0/M1/production-payload.md,자사몰 호출부가 지금 0건이다 — 배선이 이 시나리오의 전제다,2026-09-18
P0-15,P0,G2,8 후니가 주문 받음,샵바이에 웹훅 URL 이 등록돼 있다,결제완료가 나면 샵바이가 웹훅을 쏜다,후니 수신함에 원문이 저장되고 200 을 돌려준다. 저장에 실패하면 500 을 돌려줘 샵바이의 GET /webhooks/failed 에 남는다,웹훅 수신 로그 · 라이브 DB 읽기전용 SELECT,Y,_workspace/huni-launch-runway/07_rebaseline/L0/N3/ARCHITECTURE-v2.md,웹훅 재시도·서명·순서·CHANGE_ORDER_STATUS 상태값이 전부 문서 공백(B-1) — 상태값으로 분기하는 소비자는 회신 전엔 못 짠다. U-3(등록 여부)도 미관측,2026-09-18
P0-16,P0,G2,9 원고 검수/승격,P0-14 로 주문이 등록됐고 원고가 tmp 버킷에 있다,원고 승격이 돈다(order/register 안에서 자동),원고가 tmp 버킷에서 order 버킷으로 복사되고 t_ord_artworks 의 art_sts 가 PROMOTED 다,라이브 DB 읽기전용 SELECT(t_ord_artworks) · S3 order 버킷,Y,_workspace/huni-launch-runway/07_rebaseline/L0/M1/production-payload.md,,2026-09-18
P0-17,P0,G2,9 원고 검수/승격,원고 크기가 사양과 어긋나는 파일을 넣는다,승격을 돌린다,승격이 실패하고 주문이 HOLD 로 잠기며 사유가 남는다(fail-closed). 주문이 조용히 통과하지 않는다,t_ord_orders.ord_sts · 승격 실패 사유,Y,_workspace/huni-launch-runway/07_rebaseline/L0/M3/auto-vs-human.md,,2026-09-18
P0-18,P0,G4,10 생산지시,결제된 주문 1건이 접수 대기에 있다 · MES 자동 접수는 미구현,담당자가 파일을 확인하고 조판한 뒤 의뢰서를 출력해 현장에 넘긴다,의뢰서가 출력되고 주문상태가 「제작중」으로 바뀐다. 현장이 그 종이만 보고 작업을 시작할 수 있다(자재·공정·작업치수가 다 적혀 있다),출력된 의뢰서 종이 · 주문 상태값,N,_workspace/huni-launch-runway/07_rebaseline/L0/M3/auto-vs-human.md,payload.work_size 가 현재 라이브에서 대부분 null 로 추정된다 — 의뢰서에 작업치수가 비면 완성치수로 대체하는 규칙이 필요하다,2026-09-30
P0-19,P0,G4,11 공정,의뢰서가 현장에 도착했다,작업자가 인쇄·가공을 하고 공정마다 완료 신호를 찍는다,공정별 완료가 기록되고 현황표에서 그 주문의 진행 위치가 보인다,MES 공정 현황표,N,_workspace/huni-launch-runway/07_rebaseline/L0/M3/auto-vs-human.md,앞공정 미완료 시 다음공정 차단(interlock)은 요구사항만 있고 구현이 없다,2026-09-30
P0-20,P0,G4,12 포장·출고,모든 공정이 끝났다,"1차포장 후 제작번호 바코드를 찍고, 박스포장 후 송장을 출력하고 주문번호 바코드를 찍는다","제작번호 바코드로 포장완료가 되고, 그 주문의 모든 상품이 포장완료면 자동으로 제작완료가 된다. 주문번호 바코드로 출고완료가 된다",MES 주문 상태값 · 출력된 송장,N,_workspace/huni-launch-runway/07_rebaseline/L0/M3/auto-vs-human.md,,2026-09-30
P0-21,P0,G4,13 배송·주문조회,출고완료 · 송장번호가 나왔다,후니가 샵바이에 상태와 송장번호를 올린다,샵바이 주문상태가 배송중으로 바뀌고 송장번호가 붙는다. 고객 주문조회 화면에서 배송조회가 열린다,샵바이 주문상세(송장번호) · 고객 주문조회 화면,N,_workspace/huni-launch-runway/07_rebaseline/L0/N3/ARCHITECTURE-v2.md,MES→후니 송장 통보(FR-2)와 후니→샵바이 반영(TO-3)이 둘 다 미구현 — 오픈 시점에는 사람이 셀러어드민에 직접 넣는 경로가 필요하다,2026-09-30
P1-01,P1,G4,7 주문 성립(shopby),입금대기 주문 1건,고객이 입금 전에 취소한다 / 입금기한이 지난다,취소완료[환불없음](CANCEL_NO_REFUND)이 되고 환불 절차가 생기지 않는다. 차감됐던 재고가 어떻게 되는지도 함께 본다,셀러어드민 주문 상세 claimStatusType · 재고 수치,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/shopby-order-state-machine.md,역행·취소 시 재고·정산·알림이 어떻게 처리되는지 매뉴얼에 없다(미확인 10),2026-10-01
P1-02,P1,G4,7 주문 성립(shopby),결제완료 주문 1건 · 아직 생산 접수 전,고객이 주문조회에서 취소한다,즉시 취소가 되고 결제수단으로 환불이 돈다. 셀러어드민에서는 품절취소처리 경로로도 같은 결과가 나온다,주문조회 nextActions(CANCEL_ALL) · 셀러어드민 클레임 상태,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/shopby-order-state-machine.md,,2026-10-01
P1-03,P1,G4,10 생산지시,후니가 생산 접수를 확정해 상품준비중으로 올린 주문,고객이 취소를 누른다,즉시 취소가 아니라 취소신청[승인대기](CANCEL_REQUEST)로 들어간다. 후니 접수담당자가 승인하거나 거부해야 끝난다,주문조회 claimStatusType · 셀러어드민 클레임 관리,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/shopby-order-state-machine.md,승인·거부를 하는 화면(후니 접수담당자용)이 아직 없다 — 오픈까지 셀러어드민 수동 처리로 갈지 결정 필요,2026-10-01
P1-04,P1,G4,13 배송·주문조회,배송중 주문 1건,고객이 취소를 시도한다,취소 경로가 없다(nextActions 에 CANCEL_ALL·CANCEL 이 없고 cancelable=false). 대신 반품(RETURN)이 열려 있다,주문조회 nextActions · cancelable · returnable,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/shopby-order-state-machine.md,,2026-10-02
P1-05,P1,G4,13 배송·주문조회,배송완료 주문 1건,고객이 반품을 신청한다 → 후니가 승인하고 수거·환불한다,"반품신청[승인대기](RETURN_REQUEST)로 들어가고, 승인 후 수거진행 → 환불완료로 끝난다. 환불방법은 최초결제수단·현금환불·관리자지정 중 하나이며 PG환불액과 현금환불액을 함께 넣을 수 없다",셀러어드민 클레임 관리 · 환불 화면,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/shopby-order-state-machine.md,,2026-10-02
P1-06,P1,G4,13 배송·주문조회,결제완료 이후 아무 상태의 주문,고객이 교환을 신청한다,교환신청[승인대기](EXCHANGE_REQUEST)로 들어간다. 인쇄물은 사양이 다르면 다시 만들어야 하므로 교환이 실제로 어떤 작업이 되는지도 같이 정한다,셀러어드민 클레임 관리 · exchangeable 플래그,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/shopby-order-state-machine.md,주문 성립 후 옵션·수량을 바꾸는 API 가 샵바이에 없다 — 사양 변경은 교환 클레임이 유일한 길이다,2026-10-02
P1-07,P1,G4,10 생산지시,상품준비중 주문 1건 · 출고가 늦어진다,셀러어드민에서 배송보류 처리(출고예정일·사유·안내알림)를 한다 → 나중에 해제한다,주문이 배송보류로 표시되고 고객에게 안내가 나간다. 해제하면 원래 상태로 돌아온다. 보류 3영업일이 지나면 「배송보류 지연」으로 집계된다,셀러어드민 배송보류 관리 · holdDelivery 플래그,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/shopby-order-state-machine.md,G-3: 어드민 라벨(상품준비중_배송보류)과 API holdDelivery 불리언의 대응이 미확인,2026-10-01
P1-08,P1,G4,10 생산지시,배송보류가 걸린 주문,그 주문의 상태를 바꾸거나 클레임을 처리한다,배송보류가 스스로 풀린다. 배송보류는 조작을 막는 잠금이 아니라 조작이 생기면 풀리는 표식이다,셀러어드민 주문 상세 · holdDelivery 값 변화,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/shopby-order-state-machine.md,,2026-10-01
P1-09,P1,G3,5 장바구니,로그인하지 않은 게스트,위젯에서 사양을 고르고 담기 → 결제까지 간다,게스트도 담기와 결제가 된다. 게스트는 서버 장바구니가 없어 재견적 프록시가 401 로 막히는지 확인한다,브라우저(비로그인) · 네트워크 탭(/api/printly/requote 응답 코드),Y,_workspace/huni-launch-runway/07_rebaseline/L0/N3/open-questions.md,게스트 경로 전체가 라이브 미검증(E-6·U-11). item_id 소유권 검증 설계도 미정(D-6),2026-09-22
P1-10,P1,G3,7 주문 성립(shopby),셀러어드민 계정으로 로그인 가능,실무진이 하루에 도는 동선을 그대로 밟는다 — 전체주문 조회 → 신규 주문 상세 → 클레임 관리 → 배송보류 관리 → 통계,"각 화면이 열리고, 후니 주문이 알아볼 수 있게 보이며, 필요한 값(옵션 2칸·금액·수량)이 잘리지 않는다",셀러어드민 각 화면,Y,_workspace/huni-launch-runway/07_rebaseline/L0/N1/open-questions.md,★2026-09-02 접속 실패 — 통합계정 캡차 차단(selleradmin-observed.md). 이 시나리오는 아직 한 번도 못 돌렸다,2026-09-22
P1-11,P1,G4,13 배송·주문조회,알림톡·문자 템플릿이 설정돼 있다,결제완료·제작중·출고완료·주문취소·가상계좌 주문완료 등 12종 알림을 하나씩 발생시킨다,"알림이 1건씩만 오고(알림톡·SMS 이중발송 없음), 문구에 수량이 「1,316」 같은 금액÷10 숫자로 노출되지 않는다",실제 수신 문자·알림톡 · 셀러어드민 알림 설정,N,_workspace/huni-launch-runway/07_rebaseline/L0/M3/auto-vs-human.md,알림 템플릿의 수량 치환 제거 여부·시점이 샵바이 회신 대기(D-3·U-8). 파일 재업로드·편집기 수정요청 2종은 후니 몫인데 미구현,2026-10-02
P1-12,P1,G4,6 결제(PG),에스크로를 쓰기로 정했다,에스크로 결제 주문을 배송중까지 올린다 → 상태를 되돌리려 한다,배송중부터는 어떤 상태로도 수동 변경이 막힌다. 되돌리기 자체가 봉인된다,셀러어드민 상태변경 버튼 활성 여부,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/shopby-order-state-machine.md,에스크로를 쓸지 여부가 PM 미결(D-5). 쓰면 상태기계가 바뀐다,2026-10-01
P1-13,P1,G3,13 배송·주문조회,셀러어드민 주문처리기간 설정(자동배송완료·자동구매확정 1~30영업일),"현재 설정값을 확인하고, 후니가 상태를 올리는 시점과 겹치는지 본다",자동 전이가 후니의 상태 올리기와 충돌하지 않는다(예: 후니가 배송중을 올리기 전에 배치가 배송완료로 넘기지 않는다),셀러어드민 서비스관리 > 쇼핑몰 관리,Y,_workspace/huni-launch-runway/07_rebaseline/L0/N1/open-questions.md,A-9 미관측 — 현재 설정값을 아직 못 봤다,2026-09-22
P1-14,P1,G4,6 결제(PG),결제 도중 실패하거나 고객이 창을 닫는다,그 주문이 목록에서 어떻게 남는지 본다,"결제실패(PAY_FAIL)는 실패사유가 붙고, 결제포기(PAY_CANCEL)는 사유가 없다. 둘 다 삭제처리만 되고 삭제하면 복구되지 않는다",셀러어드민 전체주문 조회,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/shopby-order-state-machine.md,PAY_WAIT 이 얼마나 유지되는지·타임아웃으로 PAY_CANCEL 이 되는지 매뉴얼에 없다(미확인 5),2026-10-01
P1-15,P1,G4,7 주문 성립(shopby),"결제완료 이후, 송장이 붙기 전인 주문",고객이 배송지·수령자를 바꾼다 → 송장을 붙인 뒤 다시 바꿔 본다,"송장 전에는 배송지 변경이 되고(nextActions 에 CHANGE_ADDRESS), 송장이 붙는 순간 잠긴다. 지역별 배송비가 달라지는 주소로는 애초에 못 바꾼다",주문조회 nextActions · 셀러어드민 수령자 정보 [변경] 버튼,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/shopby-order-state-machine.md,,2026-10-01
P1-G1a,P1,G4,13 배송·주문조회,구매확정된 주문 (해석 ㄱ: 고객 교환신청 완전 불가),고객이 주문조회에서 교환을 시도한다,nextActions 에 EXCHANGE 가 없고 exchangeable=false 다. 화면에 교환 버튼이 없다,주문조회 nextActions · exchangeable,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/open-questions.md,G-1 두 해석 중 (ㄱ). 어느 쪽이 맞는지 미확인 — 실주문 관측 또는 NHN 회신으로 닫는다,2026-10-02
P1-G1b,P1,G4,13 배송·주문조회,구매확정된 주문 (해석 ㄴ: 운영자 대행으로만 가능),"고객은 못 하고, 운영자가 셀러어드민에서 교환 클레임을 대신 만든다",고객 화면에는 교환 버튼이 없지만 셀러어드민에서는 교환 클레임이 만들어진다,고객 주문조회 화면 · 셀러어드민 클레임 관리,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/open-questions.md,G-1 두 해석 중 (ㄴ),2026-10-02
P1-G2a,P1,G4,7 주문 성립(shopby),여러 줄이 담긴 주문 (해석 ㄱ: 부분취소 범위 = 주문취소와 같다),결제완료·상품준비중·배송준비중에서 한 줄만 취소해 본다. 배송중 이후에도 시도한다,"결제완료에서는 즉시, 상품준비중·배송준비중에서는 승인대기로 부분취소가 되고, 배송중 이후에는 막힌다",주문조회 nextActions(CANCEL 단일) · 셀러어드민 부분취소 창,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/open-questions.md,G-2 두 해석 중 (ㄱ) — N1 매트릭스가 가정한 쪽. 검증 전이다,2026-10-01
P1-G2b,P1,G4,7 주문 성립(shopby),여러 줄이 담긴 주문 (해석 ㄴ: 부분취소 범위가 주문취소와 다르다),"같은 조작을 하되, 주문취소가 막히는 상태에서도 부분취소가 되는지 · 되는 상태에서도 부분취소만 막히는지 본다",주문취소와 부분취소의 가능 경계가 서로 다르게 나온다. 그 차이를 그대로 적는다,주문조회 nextActions(CANCEL_ALL vs CANCEL) · 셀러어드민 부분취소 창,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/open-questions.md,G-2 두 해석 중 (ㄴ). ★수량이 곧 금액이라 부분취소 단위가 「수량」이면 환불액이 금액 단위로 쪼개진다 — 돈에 직결,2026-10-01
P2-01,P2,G2,3 실시간 견적,무선책자 A5 (PRD_000069) · 셋트 상품,위젯에서 A5 · 기본 조합으로 가격을 본다,"고치기 전 5,964원 / 권위값 13,160원. 차이는 셋트 레벨 제본 공정(set_procs)이 위젯 요청에 통째로 빠져서다. 고친 뒤 13,160원이 나와야 한다","위젯 가격 표시 · start_price.recalc(['PRD_000069'], dry=True) 의 body 에 set_procs 키가 있는가",Y,_workspace/price-setup/STATUS-260901.md,영향 상품 7종(068 중철·069 무선·070 PUR·071 트윈링·077 레더하드커버·082 하드커버링·094 엽서북),2026-09-18
P2-02,P2,G2,3 실시간 견적,책자 셋트 상품 069·070·072·077,본품 크기를 A4 로 고른다,"고치기 전에는 표지가 A5 로 계산돼 A4(5,742) < A5(5,964) 라는 뒤집힌 값이 나오거나 A4=A5 로 같다. 고친 뒤에는 고른 크기가 구성원까지 내려가 A4 가 A5 보다 비싸진다",위젯 가격 · 위젯 요청 body 의 set_selections · 구성원 siz_cd,Y,_workspace/price-setup/STATUS-260901.md,엽서북(094)은 260902 확인 결과 정상 상속 — 260901 기록이 틀렸다,2026-09-18
P2-03,P2,G2,3 실시간 견적,표지 A4 처럼 품목사이즈 전용 판형(550x375)이 배선된 상품,판형을 지정하지 않고 자동으로 잡히게 둔다 → 그다음 판형을 손으로 지정해 본다,고치기 전에는 자동 경로에서 국4절(SIZ_000499) 하나만 잡혀 08-31·09-01 에 넣은 524행이 안 쓰인다. 손으로 지정하면 정확히 맞는다. 고친 뒤에는 자동으로도 맞는다,sim-meta 응답의 plate_options · 가격 시뮬레이터 결과,Y,_workspace/price-setup/STATUS-260901.md,,2026-09-18
P2-04,P2,G2,3 실시간 견적,표지 사이즈 550x375 를 쓰는 상품 전건,PRD_000073·078 외에 같은 표지 사이즈를 쓰는 상품이 더 있는지 훑는다,"550x375 판형이 필요한 상품이 전부 배선돼 있고, 배선 안 된 상품이 0건이다",라이브 DB 읽기전용 SELECT(판형 배선) · 가격 시뮬레이터,Y,_workspace/price-setup/STATUS-260901.md,아직 확인 안 한 잔여 — 몇 종인지 자체가 미확인,2026-09-18
P2-05,P2,G2,3 실시간 견적,"아크릴 8종 · 1,000개 주문 · 기본 사이즈","각 상품의 가격을 재고, 권위 「계산공식집초안」 r106~r110 대로(수량할인은 인쇄가공비에만 적용) 계산한 값과 맞춰 본다",고치기 전 합계가 권위보다 500만원 낮다(아크릴스마트톡 −150만 · 뱃지 −50만 · 명찰 각 −85만 등). 아크릴키링만 이미 맞다. 고친 뒤 8종 전부 권위값과 같아진다,가격 시뮬레이터 실측 · t_prd_product_discount_tables 의 comp_cd 값,Y,_workspace/price-setup/STATUS-260902.md,★금액이 오르는 교정이라 건별 승인 필요. 교정 화면이 「가격 3화면」 안인지 먼저 확인,2026-09-18
P2-06,P2,G3,5 장바구니,셀러어드민 배송·상품 설정,금지 설정 4종(수량비례 배송비·중량 배송비·최대구매수량·즉시할인)이 실제로 꺼져 있는지 하나씩 본다,네 가지가 전부 꺼져 있다. 하나라도 켜져 있으면 수량이 금액인 구조에서 배송비·할인이 엉뚱하게 붙는다,셀러어드민 배송 설정 · 상품 설정,Y,_workspace/huni-launch-runway/07_rebaseline/L0/N1/open-questions.md,★A-14·U-1 — 가이드의 주장이지 관측이 아니다. 2026-09-02 접속 실패로 아직 못 봤다,2026-09-22
P2-07,P2,G2,5 장바구니,셋트 상품을 장바구니에 담는다,장바구니 줄의 요약(summary) 문구를 읽는다,후가공 라벨이 실제 고른 후가공으로 나온다,샵바이 장바구니 화면 · POST /cart/items 응답의 summary,Y,_workspace/huni-launch-runway/07_rebaseline/L0/M1/customer-journey.md,라이브 관찰에서 셋트 위젯 summary 의 후가공 라벨이 전부 「디지털인쇄」로 나왔다(원인 미확인). 이 붕괴가 셀러어드민까지 번지는지는 E-4 로만 닫힌다 — 서버키 1회 호출이면 승인 전에도 확인 가능,2026-09-18
P2-08,P2,G2,5 장바구니,총액이 큰 주문(예: 10만원 이상),장바구니에 담아 orderCnt 값을 본다,"orderCnt = 총액÷10 이고, 그 값이 상품 재고보다 크면 주문이 거절되는지 확인한다. 거절되면 단건 상한이 99,990원이 된다",샵바이 장바구니 orderCnt · 재고 수치 · 주문 시도 결과,N,_workspace/huni-launch-runway/07_rebaseline/L0/N3/open-questions.md,U-4 미확인. 상한이 성립하면 「10만원 이상 무료배송」 공지가 영구히 도달 불가가 된다,2026-09-18
P1-16,P1,G4,13 배송·주문조회,배송중(DELIVERY_ING) 상태의 주문 1건. 송장번호가 이미 등록돼 있다,잘못 등록된 송장번호를 다른 번호로 바꾼다 (셀러어드민 송장 변경 또는 송장번호 변경 API),"변경 요청이 200 으로 받아들여지고, 주문 상세의 송장번호가 새 번호로 보인다. 주문상태는 배송중 그대로다 (DELIVERY_ING 유지)",셀러어드민 주문 상세 송장 칸 + 응답 코드,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/shopby-order-state-machine.md §3-1 주석6 · order-server-public.yml:1434(송장번호 변경) · :1617-1624,변경 후 고객에게 배송추적 알림이 다시 나가는가 — 미확인(알림 항목 목록 A-7 미관측),2026-10-02
P1-17,P1,G4,13 배송·주문조회,배송완료(DELIVERY_DONE) 상태의 주문 1건. 송장번호가 이미 등록돼 있다,송장번호를 다른 번호로 바꾼다,변경 요청이 200 으로 받아들여지고 새 번호가 보인다. 주문상태는 배송완료 그대로다. 수령자 정보 칸은 잠긴 채(변경 불가) 유지된다,셀러어드민 주문 상세 송장 칸·수령자 정보 칸 + 응답 코드,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/shopby-order-state-machine.md §3-1 주석6 · order-server-public.yml:1434(송장번호 변경) · :1617-1624 · 주석8(송장 입력 후 수령자 정보 잠김),에스크로 결제 주문이면 배송완료 이후 전이가 전면 봉인된다 — 송장 변경도 봉인 대상인지 미확인(state-machine §2-4),2026-10-02
P1-18,P1,G4,13 배송·주문조회,구매확정(BUY_CONFIRM) 상태의 주문 1건. 송장번호가 이미 등록돼 있다,송장번호를 다른 번호로 바꾼다,변경 요청이 200 으로 받아들여지고 새 번호가 보인다. 구매확정 상태는 바뀌지 않는다,셀러어드민 주문 상세 송장 칸 + 응답 코드,N,_workspace/huni-launch-runway/07_rebaseline/L0/N1/shopby-order-state-machine.md §3-1 주석6 · order-server-public.yml:1434(송장번호 변경) · :1617-1624,구매확정 이후 송장 변경이 정산 집계에 영향을 주는가 — 미확인(B 문의서 8·9번 회신 대기),2026-10-02
