no,시스템,영역,기능,우선순위,phase,구분,담당,규모,선행조건,비고,launch_flag
29,쇼핑몰,마이페이지,메인,P0,1차(W1-3),사이트내부,쇼핑개발,S,,,LAUNCH
30,쇼핑몰,마이페이지,서브메인(랜딩페이지),P2,3차(W21~),사이트내부,쇼핑개발,M,,1depth 의 페이지 (랜딩페이지로 사용) - 프로모션이미지 등록가능하게,LAUNCH
31,쇼핑몰,마이페이지,LIST (검색결과),P0,1차(W1-3),사이트내부,쇼핑개발,M,,2depth 의 리스트페이지 (랜딩페이지로 사용),LAUNCH
32,쇼핑몰,인쇄상품,A1 상품 기본정보 세팅(상품코드·주문가능·회원),P0,1차(W3-5),사이트내부,쇼핑개발,S,,적용 상품: 전체,
33,쇼핑몰,인쇄상품,A2 상품별 옵션 목록 불러오기,P0,1차(W1-2),사이트내부,인쇄개발,L,상품 종류마다 옵션 구성이 달라 상품별 옵션목록을 제공해야 함,적용 상품: 전체,
34,쇼핑몰,인쇄상품,B1 규격(사이즈) 선택,P0,1차(W3-5),사이트내부,인쇄개발,M,,적용 상품: 전체,
35,쇼핑몰,인쇄상품,B2 비규격 사용자입력(가로×세로 최소/최대),P0,1차(W3-5),사이트내부,인쇄개발,M,가로×세로 직접입력 시 면적으로 가격 계산,적용 상품: 실사·아크릴,
36,쇼핑몰,인쇄상품,B3 수량 선택+직접입력,P0,1차(W3-5),사이트내부,인쇄개발,M,,적용 상품: 전체,
37,쇼핑몰,인쇄상품,B4 종이/소재 선택(+평량),P0,1차(W3-5),사이트내부,인쇄개발,M,,적용 상품: 전체,
38,쇼핑몰,인쇄상품,B5 인쇄 도수(단/양면)+별색·화이트,P0,1차(W3-5),사이트내부,인쇄개발,M,,적용 상품: 디지털·스티커·책자·캘린더,
39,쇼핑몰,인쇄상품,B6 코팅,P1,2차(W11~20),사이트내부,인쇄개발,S,,적용 상품: 디지털·스티커·책자·실사,
40,쇼핑몰,인쇄상품,B7 커팅/조각수/모서리,P1,2차(W11~20),사이트내부,인쇄개발,M,,적용 상품: 디지털·스티커·아크릴,
41,쇼핑몰,인쇄상품,B8 접지/오시/미싱,P1,2차(W11~20),사이트내부,인쇄개발,M,,적용 상품: 디지털,
42,쇼핑몰,인쇄상품,B9 제본(방향·면지·링컬러·바인더링·투명커버),P0,1차(W5-7),사이트내부,인쇄개발,L,,적용 상품: 책자,
43,쇼핑몰,인쇄상품,B10 내지/표지 그룹 분리,P0,1차(W5-7),사이트내부,인쇄개발,M,,적용 상품: 책자,
44,쇼핑몰,인쇄상품,B11 박/형압(앞·뒤·크기·박칼라),P1,2차(W11~20),사이트내부,인쇄개발,M,,적용 상품: 디지털·책자,
45,쇼핑몰,인쇄상품,B12 캘린더 가공/장수,P1,2차(W11~20),사이트내부,인쇄개발,M,,적용 상품: 캘린더,
46,쇼핑몰,인쇄상품,B13 추가상품(봉투 등),P1,2차(W11~20),사이트내부,인쇄개발,M,,적용 상품: 디지털·스티커·실사 등,
47,쇼핑몰,인쇄상품,B14 개별포장,P2,3차(W21~),사이트내부,인쇄개발,S,,적용 상품: 책자·캘린더,
48,쇼핑몰,인쇄상품,B15 옵션 제약·조건부 노출(같이 못 고르는 조합 등),P0,1차(W5-7),사이트내부,인쇄개발,L,옵션끼리의 규칙(같이 못 고르는 조합·조건부 노출)을 데이터로 정리해야 함,적용 상품: 전체,
49,쇼핑몰,인쇄상품,C1 옵션 변경 시 가격 실시간 재계산,P0,1차(W1-2),사이트내부,인쇄개발,XL,상품 종류별로 가격 계산 방식이 다름 (장수기준·면적기준·단가기준),적용 상품: 전체,
50,쇼핑몰,인쇄상품,C2 수량별 가격표 보기,P1,2차(W11~20),사이트내부,인쇄개발,M,,적용 상품: 전체,
51,쇼핑몰,인쇄상품,C3 견적서 생성·다운로드,P1,2차(W11~20),사이트내부,인쇄개발,M,,적용 상품: 전체,
52,쇼핑몰,인쇄상품,D1 파일 업로드(PDF),P0,1차(W3-5),사이트내부,쇼핑개발,L,,적용 상품: 전체,
53,쇼핑몰,인쇄상품,D2 편집상품 미리보기·썸네일,P0,1차(W3-5),사이트내부,쇼핑개발,M,,적용 상품: 전체,
54,쇼핑몰,인쇄상품,D3 온라인 에디터 연동(템플릿·편집),P2,3차(W21~),외부연동,협업,XL,온라인 디자인 편집기 도입 여부 결정 필요,적용 상품: 전체,
55,쇼핑몰,인쇄상품,D4 가변데이터 인쇄(VDP),P2,3차(W21~),외부연동,협업,L,디자인 편집기에 딸린 기능 (후순위),적용 상품: 명함·라벨,
56,쇼핑몰,인쇄상품,D5 표지/작업 템플릿 다운로드,P1,2차(W11~20),사이트내부,인쇄개발,S,"자료는 인쇄팀, 화면은 쇼핑팀이 함께 작업",적용 상품: 책자·전체,
57,쇼핑몰,인쇄상품,E1 규격 가이드 모달,P1,2차(W11~20),사이트내부,인쇄개발,S,,적용 상품: 전체,
58,쇼핑몰,인쇄상품,E2 인쇄영역·도련 가이드,P1,2차(W11~20),사이트내부,인쇄개발,M,,적용 상품: 전체,
59,쇼핑몰,인쇄상품,E3 주문가능 자재(용지) 목록 모달,P1,2차(W11~20),사이트내부,인쇄개발,M,,적용 상품: 전체,
60,쇼핑몰,인쇄상품,E4 작업/재단/블리드 사이즈 안내,P0,1차(W3-5),사이트내부,인쇄개발,S,,적용 상품: 전체,
61,쇼핑몰,인쇄상품,F1 주문 전 검증(필수옵션·파일·로그인),P0,1차(W5-7),사이트내부,쇼핑개발,M,,적용 상품: 전체,
62,쇼핑몰,인쇄상품,F2 주문 데이터 생성(선택 옵션을 주문으로 변환),P0,1차(W5-7),사이트내부,쇼핑개발,L,주문수량은 1로 두고 총액을 옵션 금액으로 처리 (쇼핑몰 연동 방식),적용 상품: 전체,
63,쇼핑몰,인쇄상품,F3 우측 플로팅 주문박스(가격·CTA),P0,1차(W5-7),사이트내부,쇼핑개발,M,,적용 상품: 전체,
64,쇼핑몰,인쇄상품,F4 장바구니 담기,P0,1차(W5-7),사이트내부,쇼핑개발,M,,적용 상품: 전체,
65,쇼핑몰,인쇄상품,F5 옵션 보관함 저장·불러오기,P1,2차(W11~20),사이트내부,쇼핑개발,M,,적용 상품: 전체,
66,쇼핑몰,인쇄상품,G1 상세설명 콘텐츠(하단 detail),P0,1차(W1-2),사이트내부,쇼핑개발,M,,적용 상품: 전체,
67,쇼핑몰,고객센터,공지사항,P1,2차(W11~20),사이트내부,쇼핑개발,S,,구분필요(이벤트 / 공지 / 상품),
68,쇼핑몰,고객센터,자주묻는질문,P1,2차(W11~20),사이트내부,쇼핑개발,S,,"구분필요(가입/로그인,주문배송결제,취소환불/증빙서류발급",
69,쇼핑몰,고객센터,상품Q&A + 문의하기,P1,2차(W11~20),사이트내부,쇼핑개발,S,,,
70,쇼핑몰,고객센터,대량주문 견적문의,P1,2차(W11~20),사이트내부,쇼핑개발,M,대량주문 견적 화면이 고객용에도 필요 (현재 빠짐),B2B 기업고객 핵심,
71,쇼핑몰,고객센터,기업인쇄상담,P1,2차(W11~20),사이트내부,쇼핑개발,S,,기업서비스신청하기와 연계,
72,쇼핑몰,고객센터,디자인상담,P2,3차(W21~),사이트내부,쇼핑개발,S,,,
73,쇼핑몰,고객센터,비회원 주문조회 (주문번호+이메일+휴대폰),P1,2차(W11~20),사이트내부,쇼핑개발,S,,증빙서류 발급 연동 누락,
74,쇼핑몰,결제,수동카드결제 (PC+모바일),P2,3차(W21~),사이트내부,쇼핑개발,M,,"오프라인 전용, 우선순위 낮음",
75,쇼핑몰,주문,파일/편집 정보입력,P0,1차(W5-7),사이트내부,쇼핑개발,XL,,,
76,쇼핑몰,주문,보관함/장바구니,P0,1차(W5-7),사이트내부,쇼핑개발,M,,,
77,쇼핑몰,주문,배송정보입력,P0,1차(W7-9),사이트내부,쇼핑개발,M,배송비·도서산간 규칙 결정 필요 (PM),도서산간 추가비용 적용 / 배송비 제약조건,
78,쇼핑몰,주문,배송지목록,P0,1차(W7-9),사이트내부,쇼핑개발,S,,,
79,쇼핑몰,주문,배송지입력,P0,1차(W7-9),사이트내부,쇼핑개발,S,,,
80,쇼핑몰,주문,결제하기 (이니시스 연동),P0,1차(W7-9),외부연동,쇼핑개발,L,이니시스 결제 계약 먼저 / 간편결제는 다음 단계 (PM),*간편결제 연동(네이버페이 / 카카오페이 / 토스페이) *포인트로 전액 결제가능,
81,쇼핑몰,주문,주문완료 + 주문완료 메일 발송,P0,1차(W7-9),사이트내부,쇼핑개발,M,,,
82,쇼핑몰,주문,디자인 의뢰하기,P2,3차(W21~),외부연동,쇼핑개발,M,수작 브랜드 유지 여부 결정 필요 (PM),수작/상상 브랜드 연계,
83,쇼핑몰,정보,회사소개,P1,2차(W11~20),사이트내부,쇼핑개발,S,,,
84,쇼핑몰,정보,이용약관,P0,1차(W1-3),사이트내부,쇼핑개발,S,,,
85,쇼핑몰,정보,개인정보보호,P0,1차(W1-3),사이트내부,쇼핑개발,S,,,
86,쇼핑몰,정보,찾아오시는 길,P2,3차(W21~),사이트내부,쇼핑개발,S,,,
87,쇼핑몰,가이드,작업시 유의사항 (11개 가이드),P1,2차(W11~20),사이트내부,쇼핑개발,M,,모니터색상/칼라설정/재단선/용지 등 / 별도 페이지,
88,쇼핑몰,마케팅,랜딩페이지 5종 (종이/제본/캘린더/파우치/스티커),P2,3차(W21~),사이트내부,쇼핑개발,L,,별도 마케팅 페이지,
89,쇼핑몰,마케팅,이용후기 메인,P2,3차(W21~),사이트내부,쇼핑개발,M,,,
90,쇼핑몰,마케팅,체험단 모집 메인,P2,3차(W21~),사이트내부,쇼핑개발,M,,,
91,쇼핑몰,상품,포장재상품 주문하기,P1,2차(W11~20),사이트내부,쇼핑개발,L,,문의하기/견적인쇄 포함,
92,쇼핑몰,상품,굿즈상품 주문하기 + 파우치&백,P1,2차(W11~20),사이트내부,쇼핑개발,L,,,
93,쇼핑몰,상품,수작 상품 (메인+상품페이지),P2,3차(W21~),사이트내부,쇼핑개발,L,수작 브랜드 유지 여부 결정 필요 (PM),수작 브랜드 존치 여부 결정 필요,
94,관리자,관리자,관리자 등록/관리,P0,1차(W1-3),사이트내부,쇼핑개발,M,,,
95,관리자,거래처,거래처관리 (등록/수정/처리),P1,2차(W11~20),사이트내부,쇼핑개발,M,,오프라인 거래처 + 업체목록 .txt 생성,
96,관리자,거래처,매장게시판,P2,3차(W21~),사이트내부,쇼핑개발,S,,,
97,관리자,원장관리,계좌관리 (원장용 계좌 등록),P1,2차(W11~20),사이트내부,쇼핑개발,S,,,
98,관리자,원장관리,원장관리 (오프라인 거래 등록),P1,2차(W11~20),사이트내부,쇼핑개발,L,,Excel 다운/청구서/판매내역 매칭,
99,관리자,원장관리,업체별 미수금,P1,2차(W11~20),사이트내부,쇼핑개발,M,,Excel 다운 포함,
100,관리자,상품관리,인쇄/제본 상품등록 (미리보기/등록/수정),P0,1차(W1-2),사이트내부,인쇄개발,L,,기본값설정 포함,
101,관리자,상품관리,사이즈선택 팝업,P0,1차(W3-5),사이트내부,인쇄개발,M,,실사/디지털/제본/패키지/굿즈,
102,관리자,상품관리,소재선택 팝업,P0,1차(W3-5),사이트내부,인쇄개발,M,,실사/굿즈,
103,관리자,상품관리,종이선택 팝업,P0,1차(W3-5),사이트내부,인쇄개발,M,,디지털/제본/패키지,
104,관리자,상품관리,가격관리 팝업 8종,P0,1차(W1-2),사이트내부,인쇄개발,L,,"DP02,DP04,DP06,GD01,GD02,PK01,PR01,PR02",
105,관리자,상품관리,사이즈관리,P0,1차(W1-2),사이트내부,인쇄개발,S,,,
106,관리자,상품관리,소재관리,P0,1차(W1-2),사이트내부,인쇄개발,S,,,
107,관리자,상품관리,용지관리,P0,1차(W1-2),사이트내부,인쇄개발,S,,,
108,관리자,상품관리,가격관리 (출력/코팅/후가공/제본),P0,1차(W1-2),사이트내부,인쇄개발,XL,,가격 시뮬레이터 핵심,
109,관리자,상품관리,굿즈 카테고리관리,P1,2차(W11~20),사이트내부,인쇄개발,M,,,
110,관리자,상품관리,굿즈 상품등록 (카테고리/옵션),P1,2차(W11~20),사이트내부,인쇄개발,L,,,
111,관리자,상품관리,수작 상품등록,P2,3차(W21~),사이트내부,인쇄개발,M,수작 브랜드 유지 여부 결정 필요 (PM),,
112,관리자,상품관리,포장재 상품등록,P1,2차(W11~20),사이트내부,인쇄개발,M,,,
113,관리자,상품관리,디자인 상품등록,P2,3차(W21~),사이트내부,인쇄개발,M,수작 브랜드 유지 여부 결정 필요 (PM),,
114,관리자,게시판,공지사항 관리 (등록/수정/html생성),P1,2차(W11~20),사이트내부,쇼핑개발,S,,,
115,관리자,게시판,자주묻는질문 관리,P1,2차(W11~20),사이트내부,쇼핑개발,S,,,
116,관리자,게시판,대량주문 견적문의 (확인/답변),P1,2차(W11~20),사이트내부,쇼핑개발,M,PM: 대량견적 사용자측 IA 보완,사용자 측도 미반영,
117,관리자,게시판,기업인쇄상담 (확인/답변),P1,2차(W11~20),사이트내부,쇼핑개발,S,,,
118,관리자,게시판,디자인상담 (확인/답변),P2,3차(W21~),사이트내부,쇼핑개발,S,,,
119,관리자,게시판,상품Q&A (확인/답변),P1,2차(W11~20),사이트내부,쇼핑개발,S,,,
120,관리자,게시판,1:1문의 (확인/답변),P1,2차(W11~20),사이트내부,쇼핑개발,S,,,
121,관리자,게시판,체험단관리 (등록/수정/신청내역),P2,3차(W21~),사이트내부,쇼핑개발,M,,"html문서 DB직접입력, 당첨처리",
122,관리자,게시판,이용후기관리 (관리자등록/수정),P2,3차(W21~),사이트내부,쇼핑개발,M,,관리자 임의등록 기능,
123,관리자,회원관리,회원관리 (주문내역/정보확인),P0,1차(W1-3),사이트내부,쇼핑개발,M,,,LAUNCH
124,관리자,회원관리,탈퇴회원 관리,P1,2차(W11~20),사이트내부,쇼핑개발,S,,,LAUNCH
125,관리자,회원관리,프린팅머니 관리 (수정/처리),P1,2차(W11~20),외부연동,쇼핑개발,M,결제대행(PG) 연동 먼저 (PM),,LAUNCH
126,관리자,회원관리,쿠폰관리 (발행/매칭/사용내역),P1,2차(W11~20),사이트내부,쇼핑개발,L,,출력상품매칭+굿즈카테고리매칭+상품매칭,LAUNCH
127,관리자,회원관리,쿠폰등록내역,P1,2차(W11~20),사이트내부,쇼핑개발,S,,,LAUNCH
128,관리자,회원관리,쿠폰사용내역,P1,2차(W11~20),사이트내부,쇼핑개발,S,,,LAUNCH
129,관리자,통계,인쇄/제본 상품통계 (상세보기),P1,2차(W11~20),사이트내부,쇼핑개발,S,,,
130,관리자,통계,굿즈 상품통계 (상세보기),P1,2차(W11~20),사이트내부,쇼핑개발,S,,,
131,관리자,통계,패키지 상품통계 (상세보기),P1,2차(W11~20),사이트내부,쇼핑개발,S,,,
132,관리자,통계,수작 상품통계 (상세보기),P2,3차(W21~),사이트내부,쇼핑개발,S,,,
133,관리자,통계,월별 매출통계,P1,2차(W11~20),사이트내부,쇼핑개발,M,,핵심 경영지표,
134,관리자,통계,굿즈 발주/정산 (Excel 다운),P1,2차(W11~20),사이트내부,쇼핑개발,M,,외주 정산 관련,
135,관리자,통계,제작상품 팀별통계 (Excel 다운),P2,3차(W21~),사이트내부,쇼핑개발,M,,공정관리와 연계,
136,관리자,주문관리,주문관리-인쇄/제본/굿즈 (상세),P0,1차(W7-9),사이트내부,쇼핑개발,XL,,,
137,관리자,주문관리,파일확인처리,P0,1차(W7-9),사이트내부,쇼핑개발,L,인쇄팀이 정한 파일 검수 기준 필요,,
138,관리자,주문관리,재업로드요청 문자 발송,P1,2차(W11~20),외부연동,쇼핑개발,M,PM: 알림톡/SMS 선행,SMS/알림톡 연동,
139,관리자,주문관리,주문서출력,P0,1차(W7-9),사이트내부,쇼핑개발,M,,,
140,관리자,주문관리,주문상태변경 처리 (+ 문자),P0,1차(W7-9),사이트내부,쇼핑개발,M,,제작진행중/완료 변경시 문자,
141,관리자,주문관리,주문관리-후불결제,P1,2차(W11~20),사이트내부,쇼핑개발,M,,미결제/결제완료 상태관리,
142,관리자,주문관리,증빙서류발급 관리,P1,2차(W11~20),사이트내부,쇼핑개발,M,PM: 증빙발급 정책 확정,,
143,관리자,주문관리,주문상태변경 (일괄),P1,2차(W11~20),사이트내부,쇼핑개발,S,,,
144,관리자,주문관리,고객 SMS 발송,P1,2차(W11~20),외부연동,쇼핑개발,M,PM: 알림톡 통합 선행,알림톡 통합 필요,
145,쇼핑몰,회원,간편로그인(네이버/카카오),P1,2차(W11~20),외부연동,쇼핑개발,M,소셜 OAuth 앱등록·검수 (PM),Shopby 표준·인쇄몰 전환율 핵심,LAUNCH
146,쇼핑몰,회원,회원등급(VIP·B2B 등급가),P1,2차(W11~20),사이트내부,인쇄개발,M,등급별 할인·등급가 정책 (PM),B2B/단골 재구매 핵심,LAUNCH
147,쇼핑몰,회원,휴면회원 전환/해제,P1,2차(W11~20),사이트내부,쇼핑개발,S,개인정보보호법 1년 미접속 의무,법적 필수(Shopby 표준),LAUNCH
148,쇼핑몰,결제,무통장입금/가상계좌+입금확인,P1,2차(W11~20),외부연동,쇼핑개발,M,이니시스 가상계좌 계약 (PM),B2B 계좌이체 선호,
149,쇼핑몰,결제,간편결제(네이버페이),P1,2차(W11~20),외부연동,쇼핑개발,M,네이버페이 가맹 (PM),전환율 향상,
150,쇼핑몰,주문,도서산간 추가배송비 데이터화,P0,1차(W7-9),사이트내부,쇼핑개발,M,권역·배송비 정책 확정 (PM),정확청구·CS분쟁방지 (IA 비고→P0 승격),
151,쇼핑몰,주문,배송비 템플릿/조건부 무료배송,P1,2차(W11~20),사이트내부,쇼핑개발,M,상품군별 배송비 정책,가격정책 일부,
152,쇼핑몰,정보,세금계산서 발행 플로우(B2B),P1,2차(W11~20),외부연동,쇼핑개발,M,국세청/팝빌 연동·사업자정보 동의 (PM),B2B 결제완결성,
153,쇼핑몰,상품,전시 카테고리 트리 운영툴,P0,1차(W3-5),사이트내부,쇼핑개발,M,카테고리 구조 확정,다depth 진열 운영툴 (승격),LAUNCH
154,쇼핑몰,상품,상품 검색·필터 엔진,P1,2차(W11~20),사이트내부,쇼핑개발,M,검색 대상·필터축 정의,탐색성,LAUNCH
155,쇼핑몰,마케팅,베스트/기획전 진열 운영툴,P2,3차(W21~),사이트내부,쇼핑개발,M,진열 운영정책,마케팅 진열,
156,쇼핑몰,마이페이지,첫구매/생일 자동쿠폰,P2,3차(W21~),사이트내부,쇼핑개발,S,자동발급 룰 정의,재구매 유도,LAUNCH
157,관리자,주문관리,생산정보 전달(주문→생산BOM 환원),P0,1차(W9-10),외부연동,인쇄개발,L,MES↔Front 통신 규격 (PM),결제완료시 생산정보 전달 핵심,
158,관리자,상품관리,MES_ITEM_CD 전상품 채번,P0,1차(W9-10),사이트내부,인쇄개발,M,라이브 16/275만 채번됨(실측),생산브릿지·94% 미채번,
159,관리자,주문관리,생산파일명 일관화(Rename 자동),P0,1차(W9-10),사이트내부,인쇄개발,M,파일명 규칙 확정,품목_사이즈_소재_고객_번호_수량,
160,관리자,주문관리,접수파일 썸네일 자동생성,P1,2차(W11~20),사이트내부,인쇄개발,M,인쇄공정 파일 기준,발주 자동화,
161,쇼핑몰,주문,주문상태 추적(고객 마이페이지),P0,1차(W7-9),사이트내부,쇼핑개발,M,주문상태머신 정의,미입금→제작중→출고완료,
162,관리자,주문관리,주문/주문상세 런타임 그릇 구축,P0,1차(W5-7),사이트내부,쇼핑개발,XL,라이브 주문테이블 전무(실측·to-be),커머스 백엔드 그릇,
