영역,shopby기능,제공수준,근거,비고
주문관리,비회원 주문조회(guestToken),표준제공,order-shop:get-guest-orders-order-no(guestToken 헤더)·get-previous-order-guest-token(5309),
주문관리,편집상품 미리보기·인쇄파일 확인(주문건),미제공,feature-matrix.md:32 상품등록 CUSTOM(파일업로드)·인쇄파일 관리 커스텀,인쇄 원고/Edicus·파일확인은 후니 커스텀 영역
정산,정산 현황·세금계산서·거래명세서,표준제공(NATIVE),feature-matrix.md:83-85 정산 NATIVE,
정산,정산 산출이 라인 salePrice/addPrice를 권위로 쓰는지,미확인,스펙 미기재(OQ-4)·정산 NATIVE는 Shopby 보유 라인가 기준 추정,후니 별도권위가 분리(전략 B/D) 시 정합 리스크
배송,배송 설정(배송비·도서산간 추가배송비),표준제공(NATIVE),feature-matrix.md:101 배송설정 NATIVE·order calculate remoteDeliveryAmt(지역추가배송비),
배송,배송지 관리(주소록·최근/예약 배송지),표준제공,order-shop:get/post-profile-shipping-addresses·get-profile-booked-shipping-addresses·member put-profile-address,
배송,배송 현황·운송장(주문건),표준제공(NATIVE),feature-matrix.md:46 배송현황 NATIVE·order:put-guest-orders-order-no-deliveries·later-input-shippings,
상품/옵션,상품 조회(단건/리스트/관련)·상품항목추가,표준제공,product-shop:get-products-product·get-products-search-by-nos·get-custom-property-by-mallno,
상품/옵션,옵션 조회(조합형 COMBINATION·계층/평면),표준제공,product-shop:get-product-options multiLevelOptions/flatOptions·addPrice/buyPrice,
상품/옵션,상품 등록/수정(가격 salePrice·옵션 addPrice),표준제공(API),product-server:post-product-v2(1348-1391)·put-product-options(1802-1810),관리자 상품등록 UI는 CUSTOM(파일업로드)·feature-matrix.md:32
상품/옵션,구매자 작성형 옵션(텍스트 inputs),표준제공,product-shop:get-product-options inputs[]·order optionInputs[],가격효과 0(M-INPUT-1)·사양 무손실 표시 채널
상품/옵션,추가상품(extra product·baseProductNo 종속),표준제공,product-shop:get-extra-products(3611-3633)·order baseProductNo(32035),가산값마다 사전 등록 고정가 필요(M-EXTRA-1)
상품/옵션,옵션 축 개수 제한(선택형 최대5+텍스트 최대5),표준제공(제약),enterprise option.mdx:44-45,CPQ 5축 초과 일체형 불가(조합 폭발)
상품/옵션,연속/조합 동적 가격을 옵션 1행으로 표현,미제공,enterprise option.mdx:60-62 옵션가=고정 addPrice·세트옵션 분리형 불가(157),가격분기마다 옵션행 필요(M-OPT-1)
상품/옵션,주문 직전 옵션 동적 생성(P-B)이 상품심사 유발 여부,미확인,"judgement.mdx:9,35 수정시 승인대기·addPrice 변경 자동승인 예외 미확인(OQ-3)",자동심사 없으면 P-B 사실상 불가
마이페이지,주문조회·증빙(현금영수증/세금계산서),표준제공,order:get-profile-orders·put-guest-orders-order-no-cash-receipt·정산 NATIVE(세금계산서),
마이페이지,회원정보수정·비밀번호변경·탈퇴·휴면,표준제공,member-shop:put-profile·post-profile-check-password·put-profile-expel·get/put-profile-dormancy,
마이페이지,나의 쿠폰·쿠폰등록·쿠폰요약,표준제공,promotion-shop:get-my-coupons·post-register-code-download·get-my-coupon-summary,
마이페이지,리뷰/체험단/Q&A·문의,표준제공(NATIVE),feature-matrix.md:37-38 상품후기/상품문의 NATIVE·게시판 1:1문의 NATIVE(76),리뷰 사진업로드 UI는 스킨/커스텀 가능
마이페이지,옵션보관함(저장된 인쇄옵션),미제공,Shopby 표준에 인쇄 CPQ selections 저장소 부재(스펙 미발견),후니 커스텀(라이브DB selections 저장)·인쇄 특화
쿠폰/적립금,쿠폰 발급/다운로드/코드등록/조회,표준제공,promotion-shop:get-issuable-coupons·post-download-coupons·post-register-code-download·get-my-coupons,
쿠폰/적립금,쿠폰 관리·적립금 관리(어드민),표준제공(NATIVE),feature-matrix.md:64-66 쿠폰관리/적립금관리 NATIVE,
쿠폰/적립금,적립금 사용/적립(주문 흐름),표준제공,order calculate accumulationUseAmt·accumulationAmtWhenBuyConfirm·reserve,
쿠폰/적립금,프린팅머니(충전식 선불 잔액)·머니충전·머니관리,부분(설정·BFF 필요),Shopby 적립금(accumulation)=구매적립형·충전식 선불머니 전용 모델 스펙 미발견,머니충전=PG연동(IA No15 외부연동)·잔액/충전 BFF 또는 적립금 전용운용 필요·legacy 머니 마이그레이션 OQ
쿠폰/적립금,후니 수량구간 단가 ↔ Shopby 수량할인(필수옵션 수량 기준),미제공(모델 상이),enterprise option.mdx:162 구매수량별 추가할인=정률/정액·후니=구간단가(OQ-5),직접 대응 불가·재설계 영역
