mat_cd,mat_nm,mat_typ_cd,classification,rationale,price_ref,used_as_usage,used_in_products,remediation,routing
MAT_000081,아트지 250g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(3행),공통/표지,12,유지(조치 불요),-
MAT_000113,아코팩(웜화이트) 250g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,14,유지(조치 불요),-
MAT_000121,켄도 250g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,4,유지(조치 불요),-
MAT_000093,스노우지 250g (3절),MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000142,유니크라프트 260g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),(미사용),0,유지(조치 불요),-
MAT_000139,큐리어스스킨 다크블루 270g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,3,유지(조치 불요),-
MAT_000140,큐리어스스킨 바이올렛 270g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,3,유지(조치 불요),-
MAT_000137,큐리어스스킨 화이트 270g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(5행),공통,1,유지(조치 불요),-
MAT_000138,큐리어스스킨 레드 270g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,3,유지(조치 불요),-
MAT_000141,큐리어스스킨 블랙 270g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,3,유지(조치 불요),-
MAT_000118,클래식 크래스트 스티플 270g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,7,유지(조치 불요),-
MAT_000132,그문드컬러매트 블루300,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000092,스노우지 300g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/표지,12,유지(조치 불요),-
MAT_000149,아이보리 300g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000082,아트지 300g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(5행),공통/표지,15,유지(조치 불요),-
MAT_000131,인바이런먼트 아이론 352g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000134,마테리카테라로사360,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000133,마테리카 클레이 360g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000135,리메이크스카이380,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000136,뉴에코블랙 400g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),(미사용),0,유지(조치 불요),-
MAT_000147,반투명 PET 260g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000144,투명 PET 260g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000148,반투명 PET 350g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000145,투명 PET 350g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000101,랑데뷰 WH 240g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,7,유지(조치 불요),-
MAT_000102,랑데뷰 WH 310g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,3,유지(조치 불요),-
MAT_000011,투명커버 무광,MAT_TYPE.02,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000010,투명커버 유광,MAT_TYPE.02,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000032,삼각대(그레이),MAT_TYPE.02,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000249,D링(56mm),MAT_TYPE.02,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000042,아크릴 투명 1.5mm,MAT_TYPE.03,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(52행),공통,1,유지(조치 불요),-
MAT_000193,아크릴 화이트 3mm,MAT_TYPE.03,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000195,아크릴 골드 3mm,MAT_TYPE.03,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000194,아크릴 블랙 3mm,MAT_TYPE.03,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000196,아크릴 실버 3mm,MAT_TYPE.03,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(113행),공통,17,유지(조치 불요),-
MAT_000044,아크릴 투명 8mm,MAT_TYPE.03,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,2,유지(조치 불요),-
MAT_000012,링,MAT_TYPE.04,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000021,캘린더링,MAT_TYPE.04,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000023,캘린더링 블랙,MAT_TYPE.04,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000022,캘린더링 화이트,MAT_TYPE.04,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000015,링 메탈링,MAT_TYPE.04,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,2,유지(조치 불요),-
MAT_000014,링 블랙링,MAT_TYPE.04,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,2,유지(조치 불요),-
MAT_000016,링 실버링,MAT_TYPE.04,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000013,링 화이트링,MAT_TYPE.04,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,2,유지(조치 불요),-
MAT_000018,D링 31mm,MAT_TYPE.04,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000019,D링 42mm,MAT_TYPE.04,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000020,D링 56mm,MAT_TYPE.04,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000184,린넨,MAT_TYPE.05,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,7,유지(조치 불요),-
MAT_000185,캔버스(옥스포드),MAT_TYPE.05,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,11,유지(조치 불요),-
MAT_000188,타이벡(소프트),MAT_TYPE.05,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000187,타이벡(하드),MAT_TYPE.05,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000186,레더(화이트),MAT_TYPE.05,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통/표지,6,유지(조치 불요),-
MAT_000047,원형핀,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000046,일자핀,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000215,천정고리,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000056,투명집게,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000057,블랙헤어끈,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000216,투명케이스,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000031,캘린더부자재,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000035,캘린더부자재 끈,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000033,캘린더부자재 삼각대블랙,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000052,아크릴키링 금색고리,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000051,아크릴키링 은색고리,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000050,네오디움 자석,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000213,와이어링 블랙,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000210,와이어링 실버,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000212,와이어링 화이트,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000060,맥세이프 스마트톡,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000053,스마트톡 투명바디,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000054,스마트톡 화이트바디,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000055,투명집게(자석형),MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000252,삼각대(그레이),MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000254,삼각대(블랙),MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000253,링 블랙,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,4,유지(조치 불요),-
MAT_000048,1구자석,MAT_TYPE.07,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
