prd_cd,prd_nm,siz_cd,siz_nm,current_output_paper_typ_cd,prd_c03_count,prd_total,proposed_action
PRD_000027,2단접지카드,SIZ_000130,174x224,,1,6,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000027,2단접지카드,SIZ_000123,202x152,OUTPUT_PAPER_TYPE.03,1,6,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000027,2단접지카드,SIZ_000128,224x174,,1,6,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000027,2단접지카드,SIZ_000023,274x139,,1,6,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000158,66x184,OUTPUT_PAPER_TYPE.03,6,11,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000159,72x190,,6,11,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000153,80x124,OUTPUT_PAPER_TYPE.03,6,11,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000151,80x104,OUTPUT_PAPER_TYPE.03,6,11,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000152,86x110,,6,11,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000154,86x130,,6,11,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000155,90x124,OUTPUT_PAPER_TYPE.03,6,11,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000156,96x130,,6,11,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000002,98x98,OUTPUT_PAPER_TYPE.03,6,11,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000157,104x104,,6,11,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000160,115x170,OUTPUT_PAPER_TYPE.03,6,11,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000161,78x78,OUTPUT_PAPER_TYPE.03,1,4,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000162,78x152,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000163,78x113,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000164,78x222,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000045,인쇄헤더택,SIZ_000165,84x84,OUTPUT_PAPER_TYPE.03,1,4,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000045,인쇄헤더택,SIZ_000166,114x84,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000045,인쇄헤더택,SIZ_000167,144x84,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000045,인쇄헤더택,SIZ_000168,164x84,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000052,반칼 자유형 스티커,SIZ_000057,105x148,OUTPUT_PAPER_TYPE.03,1,3,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000052,반칼 자유형 스티커,SIZ_000007,148x210,,1,3,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000052,반칼 자유형 스티커,SIZ_000050,210x297,,1,3,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000053,반칼 자유형 투명스티커,SIZ_000057,105x148,OUTPUT_PAPER_TYPE.03,1,3,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000053,반칼 자유형 투명스티커,SIZ_000007,148x210,,1,3,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000053,반칼 자유형 투명스티커,SIZ_000050,210x297,,1,3,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000054,반칼 자유형 홀로그램스티커,SIZ_000057,105x148,OUTPUT_PAPER_TYPE.03,1,3,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000054,반칼 자유형 홀로그램스티커,SIZ_000007,148x210,,1,3,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000054,반칼 자유형 홀로그램스티커,SIZ_000050,210x297,,1,3,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000062,반칼팬시스티커,SIZ_000202,94x194,,1,3,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000062,반칼팬시스티커,SIZ_000200,104x144,OUTPUT_PAPER_TYPE.03,1,3,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000062,반칼팬시스티커,SIZ_000201,128x190,,1,3,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000063,반칼팬시투명스티커,SIZ_000202,94x194,,1,3,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000063,반칼팬시투명스티커,SIZ_000200,104x144,OUTPUT_PAPER_TYPE.03,1,3,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000063,반칼팬시투명스티커,SIZ_000201,128x190,,1,3,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000064,소량자유형스티커,SIZ_000061,50x70,OUTPUT_PAPER_TYPE.03,1,7,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000064,소량자유형스티커,SIZ_000063,50x94,,1,7,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000064,소량자유형스티커,SIZ_000065,65x65,,1,7,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000064,소량자유형스티커,SIZ_000062,70x50,,1,7,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000064,소량자유형스티커,SIZ_000043,80x80,,1,7,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000064,소량자유형스티커,SIZ_000064,94x50,,1,7,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000064,소량자유형스티커,SIZ_000036,94x94,,1,7,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000124,린넨패브릭포스터,SIZ_000052,297x420,OUTPUT_PAPER_TYPE.03,1,6,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000124,린넨패브릭포스터,SIZ_000198,420x594,,1,6,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000124,린넨패브릭포스터,SIZ_000054,420x297,,1,6,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000124,린넨패브릭포스터,SIZ_000294,594x841,,1,6,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000124,린넨패브릭포스터,SIZ_000299,594x420,,1,6,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000124,린넨패브릭포스터,SIZ_000302,841x594,,1,6,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
