prd_cd,prd_nm,press_sheet,target_siz,siz_status,output_paper_typ_cd,current_plate_rows,plate_action
PRD_000028,미니접지카드,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,2,COLLAPSE→전지1행
PRD_000029,3단접지카드,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,4,COLLAPSE→전지1행
PRD_000031,프리미엄명함,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,3,COLLAPSE→전지1행
PRD_000032,코팅명함,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,2,COLLAPSE→전지1행
PRD_000033,스탠다드명함,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,2,COLLAPSE→전지1행
PRD_000034,펄명함,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,1,COLLAPSE→전지1행
PRD_000035,모양명함,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,1,COLLAPSE→전지1행
PRD_000036,미니모양명함,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,1,COLLAPSE→전지1행
PRD_000037,오리지널박명함,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,1,COLLAPSE→전지1행
PRD_000038,형압명함,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,1,COLLAPSE→전지1행
PRD_000039,투명명함,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,1,COLLAPSE→전지1행
PRD_000040,화이트인쇄명함,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,1,COLLAPSE→전지1행
PRD_000041,스탠다드 쿠폰/상품권,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,2,COLLAPSE→전지1행
PRD_000042,프리미엄 쿠폰/상품권,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,2,COLLAPSE→전지1행
PRD_000043,인쇄배경지(OPP봉투타입),316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,11,COLLAPSE→전지1행
PRD_000044,인쇄배경지(투명케이스타입),316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,4,COLLAPSE→전지1행
PRD_000045,인쇄헤더택,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,4,COLLAPSE→전지1행
PRD_000046,라벨/택,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,3,COLLAPSE→전지1행
PRD_000047,소량전단지,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,4,COLLAPSE→전지1행
PRD_000048,접지리플렛,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,6,COLLAPSE→전지1행
PRD_000068,중철책자,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,4,COLLAPSE→전지1행
PRD_000069,무선책자,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,2,COLLAPSE→전지1행
PRD_000070,PUR책자,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,2,COLLAPSE→전지1행
PRD_000094,엽서북,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,6,COLLAPSE→전지1행
PRD_000108,탁상형캘린더,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,2,COLLAPSE→전지1행
PRD_000109,미니탁상형캘린더,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,2,COLLAPSE→전지1행
PRD_000110,엽서캘린더,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,6,COLLAPSE→전지1행
PRD_000111,벽걸이캘린더,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,3,COLLAPSE→전지1행
