prd_cd,상품명,상품군,등급,frm_cd,class,견적0원인
PRD_000278,메쉬 토트백,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000204,미니CD앨범,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000197,미니매트,굿즈파우치,L1,,DESIGNED_NOT_LOADED,§18 설계 있음·라이브 t_prc_* 미적재(민팅 대상)→견적 불가
PRD_000227,미니우치와키링,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000109,미니탁상형캘린더,캘린더,L1,,DESIGN_BLOCKED,설계 BLOCKED(§18 정찰가 역산 비정수 의도적 보류)→견적 불가
PRD_000206,반팔티셔츠,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
(미등록),버즈케이스★,굿즈파우치,L0,,기타미바인딩,가격공식 미바인딩(상품-공식 배선 없음)→견적 불가
PRD_000195,벨벳쿠션,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000111,벽걸이캘린더,캘린더,L1,,DESIGN_BLOCKED,설계 BLOCKED(§18 정찰가 역산 비정수 의도적 보류)→견적 불가
PRD_000187,블랙사각손거울,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(자재 결손)→견적 불가
(미등록),블랙젤리,굿즈파우치,L0,,기타미바인딩,가격공식 미바인딩(상품-공식 배선 없음)→견적 불가
PRD_000186,사각손거울,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(자재 결손)→견적 불가
PRD_000208,슬로건,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
(미등록),슬림하드 폰케이스,굿즈파우치,L0,,기타미바인딩,가격공식 미바인딩(상품-공식 배선 없음)→견적 불가
PRD_000051,썬캡,디지털인쇄,L2,PRF_DGP_F,기타미바인딩,전 가격구성요소 단가행 미매칭(디지털인쇄비·용지비(종이별 절가)·커팅 완제품가 완칼(모양엽서·라벨택))→견적0(자재/차원에 맞는 완제품가/단가 없음) | 디지털인쇄비(COMP_PRINT_DIGITAL_S1): 상품 차원에 맞는 단가행 0→견적0 위험 | 용지비(종이별 절가)(COMP_PAPER): 상품 차원에 맞는 단가행 0→견적0 위험
PRD_000163,아크릴미니파츠,아크릴,L2+,PRF_ACRYL_MINIPART,기타미바인딩,전 가격구성요소 단가행 미매칭(미니파츠 단가 미정 · 실무진 확인필요 (120x50 가격표 격자밖))→견적0(자재/차원에 맞는 완제품가/단가 없음) | 미니파츠 단가 미정 · 실무진 확인필요 (120x50 가격표 격자밖)(COMP_ACRYL_MINIPART_TBD): 단가행 전무→견적0
PRD_000170,,아크릴,L2+,PRF_ACRYL_SHAKER_TBD,기타미바인딩,전 가격구성요소 단가행 미매칭(단가/구성 확인필요 (실무진))→견적0(자재/차원에 맞는 완제품가/단가 없음) | 단가/구성 확인필요 (실무진)(COMP_ACRYL_PENDING_TBD): 단가행 전무→견적0
PRD_000226,아크릴쉐이커코롯토,굿즈파우치,L2+,PRF_ACRYL_SHCOROTTO_TBD,기타미바인딩,전 가격구성요소 단가행 미매칭(단가/구성 확인필요 (실무진))→견적0(자재/차원에 맞는 완제품가/단가 없음) | 단가/구성 확인필요 (실무진)(COMP_ACRYL_PENDING_TBD): 단가행 전무→견적0
PRD_000169,,아크릴,L2+,PRF_ACRYL_3DBLOCK_TBD,기타미바인딩,전 가격구성요소 단가행 미매칭(단가/구성 확인필요 (실무진))→견적0(자재/차원에 맞는 완제품가/단가 없음) | 단가/구성 확인필요 (실무진)(COMP_ACRYL_PENDING_TBD): 단가행 전무→견적0
PRD_000168,,아크릴,L2+,PRF_ACRYL_3DCOROTTO_TBD,기타미바인딩,전 가격구성요소 단가행 미매칭(단가/구성 확인필요 (실무진))→견적0(자재/차원에 맞는 완제품가/단가 없음) | 단가/구성 확인필요 (실무진)(COMP_ACRYL_PENDING_TBD): 단가행 전무→견적0
PRD_000156,아크릴지비츠,아크릴,L2+,PRF_ACRYL_ZIBITZ_TBD,기타미바인딩,전 가격구성요소 단가행 미매칭(단가/구성 확인필요 (실무진))→견적0(자재/차원에 맞는 완제품가/단가 없음) | 단가/구성 확인필요 (실무진)(COMP_ACRYL_PENDING_TBD): 단가행 전무→견적0
(미등록),에어팟케이스★,굿즈파우치,L0,,기타미바인딩,가격공식 미바인딩(상품-공식 배선 없음)→견적 불가
PRD_000110,엽서캘린더,캘린더,L1,,DESIGN_BLOCKED,설계 BLOCKED(§18 정찰가 역산 비정수 의도적 보류)→견적 불가
PRD_000112,와이드벽걸이캘린더,캘린더,L1,,DESIGN_BLOCKED,설계 BLOCKED(§18 정찰가 역산 비정수 의도적 보류)→견적 불가
PRD_000049,와이드 접지리플렛,디지털인쇄,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000190,우드코스터,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000194,워터북보틀,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000229,이미지피켓,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
(미등록),임팩트 젤하드,굿즈파우치,L0,,기타미바인딩,가격공식 미바인딩(상품-공식 배선 없음)→견적 불가
PRD_000214,자석북마크,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000030,지그재그엽서,디지털인쇄,L1,,LIVE_UNBOUND,설계됨≠적재됨(상품-공식 미바인딩)→견적 불가
PRD_000171,,굿즈파우치,L2+,PRF_ACRYL_ZIBITZ2_TBD,기타미바인딩,전 가격구성요소 단가행 미매칭(단가/구성 확인필요 (실무진))→견적0(자재/차원에 맞는 완제품가/단가 없음) | 단가/구성 확인필요 (실무진)(COMP_ACRYL_PENDING_TBD): 단가행 전무→견적0
PRD_000240,캔버스 삼각 파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000262,캔버스 삼각 필통,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000271,캔버스숄더백,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000241,캔버스 스트랩 라벨파우치,굿즈파우치,L1,,DESIGNED_NOT_LOADED,§18 설계 있음·라이브 t_prc_* 미적재(민팅 대상)→견적 불가
PRD_000268,캔버스심플백,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000270,캔버스에코백,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000269,캔버스 포켓심플백,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000239,캔버스 플랫 파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000261,캔버스 플랫 필통,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000184,컴팩트거울,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000189,코르크코스터,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000215,클립보드,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(자재 결손)→견적 불가
PRD_000202,키캡키링,굿즈파우치,L1,,DESIGNED_NOT_LOADED,§18 설계 있음·라이브 t_prc_* 미적재(민팅 대상)→견적 불가
PRD_000274,타이벡보냉보틀백,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000277,타이벡 보냉에코백,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000246,타이벡 삼각 파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000247,타이벡 스트링 파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000245,타이벡 슬림 파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000273,타이벡 양면 백팩,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000276,타이벡 에코백,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000244,타이벡 플랫 파우치,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000108,탁상형캘린더,캘린더,L1,,DESIGN_BLOCKED,설계 BLOCKED(§18 정찰가 역산 비정수 의도적 보류)→견적 불가
PRD_000199,투명부채,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원·자재 둘 다 결손(공식 이전 단계))→견적 불가
PRD_000216,투명클립보드,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
(미등록),투명포스터★,실사,L0,,기타미바인딩,가격공식 미바인딩(상품-공식 배선 없음)→견적 불가
PRD_000183,틴거울,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000213,틴케이스,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000165,포카코롯토,아크릴,L2+,PRF_ACRYL_PHCOROTTO_TBD,기타미바인딩,전 가격구성요소 단가행 미매칭(단가/구성 확인필요 (실무진))→견적0(자재/차원에 맞는 완제품가/단가 없음) | 단가/구성 확인필요 (실무진)(COMP_ACRYL_PENDING_TBD): 단가행 전무→견적0
PRD_000220,폰스트랩,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000031,프리미엄명함,디지털인쇄,L2+,PRF_NAMECARD_FIXED,기타미바인딩,전 가격구성요소 단가행 미매칭(스탠다드명함 완제품가 단면(용지포함)·스탠다드명함 완제품가 양면(용지포함))→견적0(자재/차원에 맞는 완제품가/단가 없음)
PRD_000198,피크닉매트,굿즈파우치,L1,,DESIGNED_NOT_LOADED,§18 설계 있음·라이브 t_prc_* 미적재(민팅 대상)→견적 불가
PRD_000200,핀버튼,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000082,하드커버 링책자,책자,L1,,DESIGNED_NOT_LOADED,§18 설계 있음·라이브 t_prc_* 미적재(민팅 대상)→견적 불가
PRD_000228,하트 이미지피켓,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
PRD_000038,형압명함,디지털인쇄,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(자재 결손)→견적 불가
PRD_000040,화이트인쇄명함,디지털인쇄,L1,,LIVE_UNBOUND,설계됨≠적재됨(상품-공식 미바인딩)→견적 불가
PRD_000209,후드티셔츠,굿즈파우치,L1,,NEEDS_BASICS_FIRST,기초데이터 결손→공식 미바인딩(차원(사이즈/비규격) 결손)→견적 불가
