row_id,found,system,evidence,note
STD-ART-024,부분,widget,raw/huni-skin-shopby/src/types/huni-widget.d.ts:9-21 · raw/webadmin/webadmin/catalog/static/catalog/widget.js:1004,handoff payload 의 editors[]에 prjid 가 실려 주문에 연결되나(구조는 확인) Edicus 쪽 실제 인쇄용 고해상 파일 렌더링(definitive_order)은 edicus_lookup.py 주석상 미배선 — 주문 연결은 부분, 인쇄용 파일 변환은 미완.
STD-ART-025,Y,widget,raw/webadmin/webadmin/catalog/static/catalog/widget.js:378-394,_onEditor 가 매번 selections/sel_opts/proc_sels 를 모아 서버 resolve 를 다시 불러 ps_cd/tmpl_uri 를 재산출 — 옵션 변경 시 편집기 규격이 재동기화됨.
STD-ART-026,부분,webadmin,raw/webadmin/webadmin/catalog/artwork_promote.py:3 · raw/webadmin/webadmin/catalog/widget_api.py:3628-3636,고객이 올린 원고는 30일 시한부인 임시 버킷 이 코드 주석상 여러 곳에서 전제되지만 그 30일 만료·삭제는 S3 버킷 수명주기(인프라 설정)이지 이 저장소 코드가 정의/집행하지 않음 — 정책 반영은 간접 확인, 코드상 만료 삭제 로직 자체는 없음.
STD-ART-027,부분,webadmin,raw/webadmin/webadmin/catalog/edicus_lookup.py:401-415 · raw/webadmin/webadmin/catalog/edicus_lookup.py:433-462,clone_project() 함수(TODO edicus-G9 재주문 설계의 열쇠)는 존재하나 이 함수들은 어디에서도 호출되지 않는다(433-438 주석) — 재사용 재주문 경로는 설계만 있고 미배선.
STD-ART-029,Y,edicus,raw/edicus_dev/demo-vdp/context.js:19-23 · raw/edicus_dev/demo-vdp/context.js:164-170 · raw/webadmin/webadmin/catalog/edicus_lookup.py:391,Edicus 공식 데모(demo-vdp)에 VDP 데이터 업로드·저장(loadVdpData/saveVdpData) 기능이 있으나 webadmin/huni-mall 쪽에는 VDP 취소 시 데이터 삭제를 언급하는 주석 한 줄(edicus_lookup.py:391) 외 통합 코드가 없음 — Edicus SDK 자체 기능만 확인, 후니 통합은 미착수.
STD-ART-030,Y,webadmin,raw/webadmin/webadmin/catalog/edicus_views.py:327-419 · raw/webadmin/webadmin/CLAUDE.md:38 · raw/webadmin/tools/audit_edicus_coverage.py:1-20,gap_report()가 편집기 버튼은 켜졌는데 템플릿 0행([C]류, no_editor_mapping) 케이스를 판정 로직으로 구현, CLAUDE.md:38에 2026-09-15 메모패드 신고로 발견된 실제 사고 기록.
STD-ART-031,Y,webadmin,raw/webadmin/webadmin/catalog/edicus_views.py:327-419 · raw/webadmin/tools/audit_edicus_coverage.py:82-232,gap_report()의 dead(죽은 행 = 템플릿이 가리키는 값을 고객이 못 고름, 삭제된 사이즈코드 포함) 판정과 audit_edicus_coverage.py 전수 감사 스크립트로 구현·라이브 실측 완료(CLAUDE.md:38 기술).
STD-ART-032,N,webadmin,찾지 못했다(webadmin/catalog·tools·.planning 전수 grep 메모패드/memo pad/테스트용 단순 상품 — 메모패드는 실사고 재현 사례로만 등장하고 에디쿠스 테스트 전용 상품을 의도적으로 제공하는 기능/문서는 없음),CLAUDE.md·STATE.md 의 메모패드 언급은 전부 STD-ART-030/031 사고 재현·감사 도입 계기이지 테스트용 단순 상품 제공 자체는 별도 산출물로 존재하지 않음.
STD-ORD-001,Y,huni-mall,src/components/product/huni-widget.tsx:188-284 · src/lib/guest-cart.ts:53-57,el.submit() 핸드오프 결과로 OrderLine(옵션+파일/편집 참조 포함 optionInputs)을 만들어 회원은 addToCart 비회원은 addGuestLine 으로 담는다.
STD-ORD-002,Y,huni-mall,src/components/cart/cart-page.tsx:57-70 · src/components/cart/cart-page.tsx:262-330,isGuest 여부로 useCart(회원)/useGuestCart(게스트) 분기해 lines 를 렌더.
STD-ORD-003,Y,huni-mall,src/components/cart/cart-page.tsx:73-80 · src/components/cart/cart-page.tsx:117-160 · src/components/cart/cart-page.tsx:296-321,updateLine 이 회원=memberActions.updateCartItem/게스트=updateGuestLine 로 저장을 추상화하고 위젯 라인은 applyQty 로 재견적 후 수량·옵션을 갱신.
STD-ORD-004,Y,huni-mall,src/components/cart/cart-page.tsx:81-84 · src/components/cart/cart-page.tsx:191-195,removeLines/removeSelected — 회원=memberActions.removeCartItems 게스트=removeGuestLines(localStorage).
STD-ORD-005,Y,huni-mall,src/components/cart/cart-page.tsx:109-110,selectedLines 를 lineAmount 로 클라이언트 합산해 totalAmount 표시.
STD-ORD-006,부분,shopby,docs/shopby/shopby-api/order-shop-public.yml:1129,shopby 스펙에 POST /cart/validate(구매가능 검증) 엔드포인트가 정의돼 있으나 huni-mall 코드(src/lib/api) 전수 grep 결과 이 엔드포인트를 호출하는 곳이 없음 — 서버 능력은 있으나 몰이 아직 연결하지 않음.
STD-ORD-007,Y,huni-mall,src/lib/guest-cart.ts:1-20 · src/lib/guest-cart.ts:35-50,shopby /cart 는 회원 전용 이라 게스트 장바구니는 localStorage(KEY=huni_guest_cart)에만 저장 — 서버 비영속 확인.
STD-ORD-008,Y,huni-mall,src/components/cart/cart-page.tsx:289-293 · src/components/product/huni-widget.tsx:61-68,장바구니 라인의 optionLabel(구성 요약)과 huni_order 페이로드(qty/total/summary)로 인쇄사양 요약을 라인에 표시.
STD-ORD-009,Y,huni-mall,src/lib/api/hooks/use-order-sheet.ts:5-6 · src/lib/api/hooks/use-order-sheet.ts:40-49,useCreateOrderSheet 이 POST /order-sheets 로 cartNos/products 를 실어 주문서를 만든다.
STD-ORD-010,Y,huni-mall,src/lib/api/hooks/use-order-sheet.ts:6 · src/lib/api/hooks/use-order-sheet.ts:177-183,useOrderSheet 이 GET /order-sheets/{orderSheetNo} 로 주문서 요약을 조회.
STD-ORD-011,Y,huni-mall,src/lib/api/hooks/use-order-sheet.ts:248-268 · src/components/checkout/checkout-form.tsx:172-206 · src/components/checkout/checkout-form.tsx:298-319,POST /order-sheets/{no}/calculate 로 쿠폰·주소 반영 서버 재계산(calc) 후 dispTotal 표시, applyCoupon/selectCoupon 으로 쿠폰 적용.
STD-ORD-012,Y,huni-mall,src/components/checkout/checkout-form.tsx:244-334 · src/components/checkout/checkout-form.tsx:400-401,address.recipient/phone 필드로 수령자 정보를 ordererName/ordererContact1 로 주문자 정보를 입력·전송.
STD-ORD-013,Y,huni-mall,src/components/common/address-search-modal.tsx:4-5 · src/components/common/address-search-modal.tsx:77 · src/components/checkout/checkout-form.tsx:984-991,AddressSearchModal 이 GET /addresses/search(우편번호 찾기)로 zipCode/roadAddress 를 검색해 채워 넣는다.
STD-ORD-014,Y,huni-mall,src/components/checkout/checkout-form.tsx:733,배송메모 TextField(register(address.memo))로 배송 요청사항 입력.
STD-ORD-015,부분,shopby,docs/shopby/shopby-api/order-shop-public.yml:2707,/later-input/order(배송지 나중입력 주문) 엔드포인트가 shopby 스펙에 존재하나 huni-mall(src/) 전수 grep 결과 later-input 을 호출하는 코드가 없음 — 서버 능력만 있고 몰 쪽 미구현.
STD-ORD-016,부분,huni-mall,찾지 못했다(checkout-form.tsx·guest-checkout-form.tsx·checkout-controls.tsx 전수 grep 작업명/orderTitle/주문 제목 — 없음. 다만 huni-widget.tsx:62-68 huni_order 페이로드에 위젯 요약 텍스트가 실려 간접적으로 작업 식별에 쓰일 수 있음),전용 주문 제목 입력 필드는 못 찾음 — 위젯 요약(summary)이 그 역할을 부분 대체하는 것으로 추정.
STD-ORD-017,N,huni-mall,찾지 못했다(checkout-form.tsx·guest-checkout-form.tsx·shopby yml order-shop-public.yml 전수 grep 오늘출고/토요일출고/당일출고/Saturday — 없음),출고 옵션(오늘출고·토요일출고) 선택 UI/필드를 huni-mall·shopby 스펙 어디서도 못 찾음.
STD-ORD-018,Y,huni-mall,src/components/checkout/order-summary.tsx:12 · src/components/checkout/order-summary.tsx:79-98 · src/components/checkout/checkout-form.tsx:281,RHF Controller 로 zod agree 필드를 연결한 동의 체크박스(라디오/체크 1개) — 구매·개인정보 제3자 약관을 세분한 다중 체크는 못 찾음(단일 동의로 보임).
STD-ORD-019,Y,huni-mall,src/lib/api/hooks/use-order-sheet.ts:9 · src/lib/api/hooks/use-order-sheet.ts:338-341 · docs/shopby/shopby-api/order-shop-public.yml:4688,결제(POST /payments/reserve → PG 외부창) 주석과 무통장입금 reserve 요청 바디 빌더로 주문 예약·금액 검증 구현.
STD-ORD-020,Y,huni-mall,src/components/order/order-complete-view.tsx:1-24,OrderCompleteView 컴포넌트와 order-complete/[orderNo] 라우트로 완료 화면·주문번호 표시.
STD-ORD-021,Y,huni-mall,src/lib/api/hooks/use-my-orders.ts:108-122,ORDER_STATUS_LABEL_KO 매핑과 mypage/orders 상세 페이지로 회원 주문 상태 조회.
STD-ORD-022,부분,huni-mall,src/components/order/guest-order-lookup.tsx:1-9 · src/components/order/guest-order-lookup.tsx:25-28 · src/components/order/guest-order-lookup.tsx:136-196,실제 구현은 주문번호+주문 비밀번호(password) 기반이며 문서화된 POST /guest/orders/{orderNo}의 mobileNo 파라미터는 UI 폼에서 쓰이지 않음(휴대전화 입력칸 없음) — 요구된 주문번호+휴대전화 방식과 불일치, 비회원 전용 별도 폼(회원과 다른 컴포넌트)인 것은 확인.
STD-ORD-023,Y,huni-mall,src/lib/api/hooks/use-my-orders.ts:108-122,ORDER_STATUS_LABEL_KO 가 DEPOSIT_WAIT/PAY_DONE/PRODUCT_PREPARE/DELIVERY_PREPARE/DELIVERY_ING/DELIVERY_DONE/BUY_CONFIRM 전 단계를 한글 라벨로 매핑 — 요청된 전이 순서와 정확히 일치.
STD-ORD-024,N,webadmin,찾지 못했다(webadmin/catalog/*.py 전수 grep 검판/후가공 단계/공정 노출 — 후가공은 전부 가격 구성요소 용어이고 MES 는 원고 전달 대상일 뿐 고객에게 인쇄 공정 진행 단계를 노출하는 코드/화면은 huni-mall·webadmin 어디서도 못 찾음),artwork_promote.py 의 MES 관련 주석은 원고를 MES 에 넘긴다는 내부 파이프라인 설명이지 고객 화면 노출 기능이 아님.
STD-ORD-025,Y,shopby,docs/shopby/shopby-api/order-shop-public.yml:1950-1958 · docs/shopby/shopby-api/order-shop-public.yml:6612-6620 · docs/shopby/shopby-api/order-shop-public.yml:1996-2008,배송중 배송완료 상태의 상품주문을 구매확정 처리하는 API 가 비회원(1950)·회원(6612) 양쪽에 있고 delivery-done(자동/수령확인 2008)도 별도 존재 — 고객 수동 확정과 자동 확정 경로 모두 shopby 스펙에 존재.
STD-ORD-026,N,huni-mall,찾지 못했다(src 전수 grep 재주문/reorder — src/lib/guide-data.ts:193 에 재주문·재견적 방법 이라는 가이드 문서 제목만 있고 실제 재주문 버튼/로직 코드는 없음),가이드 스텁 문서 제목 외 실제 재주문(동일 사양 반복) 기능 코드를 찾지 못함.
STD-ORD-027,N,webadmin,찾지 못했다(webadmin/catalog/admin.py 에 TOrdOrders 를 등록한 admin 클래스 없음 — Django admin 화면에서 주문을 수기 등록하는 경로 없음),TOrdOrders 모델(models.py:1058)은 order/register S2S 수신 전용이고 오프라인 주문을 위한 별도 등록 화면/API 는 못 찾음.
STD-ORD-028,Y,widget,raw/webadmin/webadmin/catalog/static/catalog/widget.js:1004 · src/components/product/huni-widget.tsx:55-81,widget.js 가 body.editors/files 를 실어 handoff 하고 huni-widget.tsx buildOptionInputs() 가 그 결과를 shopby OrderLine.optionInputs(huni_token/huni_order)로 변환 — 선택옵션→주문항목 변환 확인.
STD-ORD-029,부분,huni-mall,src/lib/api/requote.ts:1-9 · src/app/api/printly/requote/route.ts:1-19 · src/components/cart/cart-page.tsx:162-189,생략 → 결제 직전 재견적 인프라(requote.ts·requote/route.ts)는 존재하나 실제 호출은 cart-page.tsx 의 로드시 정규화에서만 쓰이고 checkout-form.tsx(결제 버튼 클릭 시점)에는 requote 호출이 없음 — grep 결과 checkout-form.tsx 에 requote 문자열 0건.
STD-ORD-030,Y,webadmin,raw/webadmin/webadmin/catalog/widget_api.py:5286-5303 · raw/webadmin/webadmin/catalog/artwork_promote.py:5-8,POST /api/w/v1/order/register(쇼핑몰→후니 260818)가 주문 등록 직후 사양·원고를 쇼핑몰 주문번호에 묶어 보관 — 다만 huni-mall(src/) 전수 grep 결과 이 엔드포인트를 호출하는 코드가 없어 수신측(webadmin) 엔드포인트는 있으나 호출측(huni-mall) 배선은 미착수로 보인다(scope.csv 상태 미착수와 일치).
STD-ORD-031,N,huni-mall,찾지 못했다(huni-mall src/lib·src/app/api 전수 grep mail/알림/notification/SMTP — 회원가입·소셜 인증 관련 email 필드만 있고 주문완료 메일·알림 발송 로직 없음. webadmin 도 send_mail/EmailMessage/SMTP/알림톡 전수 grep 0건),양쪽 저장소 어디에도 주문완료 메일/알림 발송을 구현한 코드가 없음(Shopby 플랫폼 자체 알림 설정에 의존할 가능성 있으나 코드 근거는 없음).
STD-ORD-032,Y,huni-mall,src/components/checkout/checkout-form.tsx:827-852 · src/components/checkout/guest-checkout-form.tsx:55 · src/components/checkout/guest-checkout-form.tsx:323-365,회원(checkout-form.tsx)·비회원(guest-checkout-form.tsx) 양쪽 모두 은행 선택 드롭다운+입금자명 입력 필드를 거의 동일한 구조로 구현 — 회원 주문서와 동일 UI 패턴 확인.
