프로세스,프로세스명,종류,row_id,내용,진단,제안 담당,선행
P02,검색으로 상품 찾기,다 코드는 있는데 연결 안 됨,STD-CAT-006,검색어 자동완성·인기검색어,인기검색어는 shop API GET /products/favoriteKeywords 로 구현(usePopularKeywords). 자동완성은 grep 0건 - 부분 구현.,김동학,코드는 있는데 원장 상태가 「부분」다
P02,검색으로 상품 찾기,나 행은 있는데 코드 0,STD-CAT-005,종이/소재명 기준 검색(아트지·스노우지 등),검색은 상품명 키워드 매칭뿐. 예시 `test` 백틱.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P03,상품 상세 읽고 판단하기,가 원장에 행 없음,,상세 → 주문옵션 위젯으로 넘어가는 진입 지점(CTA),상세를 읽은 손님이 위젯으로 들어가는 자리가 원장에 행으로 없다,김동학,원장 735행에 행을 새로 섞지 않는다 — 이 제안으로만 남긴다
P03,상품 상세 읽고 판단하기,다 코드는 있는데 연결 안 됨,STD-CAT-007,상품 상세페이지 본문(이미지·설명 블록),shopby 상품상세(v3) 조회 + vibe-canvas 발행 탭 우선,김동학+최숙진,코드는 있는데 원장 상태가 「부분」다
P03,상품 상세 읽고 판단하기,다 코드는 있는데 연결 안 됨,STD-CAT-034,상세페이지 탭 6종 자동 등록(디자인가이드·디자인보기 포함),vibe-canvas 발행 탭(차별점-디자인보기-디자인가이드-유의사항 4종) + 정적 고정 탭(product-sections.tsx 폴백)으로 상세페이지 탭이 자동 매칭-등록됨. 6종은 발행 4종+정적 2종 합산으로 추정.,김동학+서희항+최숙진,코드는 있는데 원장 상태가 「부분」다
P03,상품 상세 읽고 판단하기,다 코드는 있는데 연결 안 됨,STD-CAT-029,메뉴 슬러그형 목업 상세(/product/calendar 등) 잔존 — 「(44 Reviews)」·더미 옵션,메뉴 슬러그형(예 /product/calendar) 목업 상세 10개 컨피규레이터 전부에 (44 Reviews) 하드코딩 더미 문구가 잔존.,김동학,코드는 있는데 원장 상태가 「미착수」다
P03,상품 상세 읽고 판단하기,다 코드는 있는데 연결 안 됨,STD-CAT-042,레거시 mock 훅 제거 — legacy-data 참조 17파일(configurator 11종·홈 뉴스/프로모·포인트 모달),home/news.tsx,김동학,코드는 있는데 원장 상태가 「미착수」다
P03,상품 상세 읽고 판단하기,나 행은 있는데 코드 0,STD-CAT-008,동일 계열 상품 분기 안내(일반명함/고급지명함/부분UV명함 등),일반명함/고급지명함/부분UV명함처럼 같은 계열 상품 간 분기를 안내하는 UI 없음.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P03,상품 상세 읽고 판단하기,다 코드는 있는데 연결 안 됨,STD-CAT-009,후가공 용어 설명 툴팁(도무송·오시·형압·귀돌이),인쇄가이드 후가공 섹션에 도무송-형압-귀도리-오시-박(포일) 항목이 정적 목록(스텁)으로만 존재. 상품 상세 화면 내 인라인 툴팁은 아니고 별도 가이드 페이지 목록 - 스텁 상태.,김동학+최숙진,코드는 있는데 원장 상태가 「미착수」다
P03,상품 상세 읽고 판단하기,다 코드는 있는데 연결 안 됨,STD-CAT-011,상품별 제작 소요일/출고 기준 안내,208,김동학+서희항,코드는 있는데 원장 상태가 「미착수」다
P03,상품 상세 읽고 판단하기,다 코드는 있는데 연결 안 됨,STD-CAT-012,재작업 불가 사항 고지(폰트 아웃라인 등),105,김동학+최숙진,코드는 있는데 원장 상태가 「부분」다
P03,상품 상세 읽고 판단하기,다 코드는 있는데 연결 안 됨,STD-CAT-019,인쇄 가이드 콘텐츠(11종),파일작업-책자-인쇄와종이-후가공-주문-편집기 6개 카테고리 각 12개씩 인쇄가이드 항목 등록(원장 표기 11종). stub() 헬퍼로 본문은 이 가이드는 준비중입니다 로 대부분 스텁.,최숙진+김동학,코드는 있는데 원장 상태가 「부분」다
P03,상품 상세 읽고 판단하기,라 결정 미정,STD-CAT-020,템플릿/샘플 다운로드 제공,템플릿/샘플 다운로드 제공 기능 코드 없음. 가이드 항목 제목만 존재.,미정,사람이 정해야 끝나는 안건 — 코드가 없는 것이 결함이 아니다
P03,상품 상세 읽고 판단하기,다 코드는 있는데 연결 안 됨,STD-CAT-015,사진 리뷰 갤러리,리뷰 아이템에 fileUrls(사진) 필드가 있어 목록에 사진이 섞여 나오나 사진만 모아 보는 전용 갤러리 뷰-필터는 grep 상 확인 안 됨 - 부분(목록 내 포함만).,김동학,코드는 있는데 원장 상태가 「부분」다
P03,상품 상세 읽고 판단하기,나 행은 있는데 코드 0,STD-CAT-013,상품 Q&A 게시,Shopby API 스펙(전체/상품별 문의 목록 조회)은 있으나 huni-mall 코드에 이를 호출-렌더하는 라우트나 컴포넌트가 없음.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P03,상품 상세 읽고 판단하기,다 코드는 있는데 연결 안 됨,STD-CAT-016,관련상품/함께 주문한 상품 추천,10455 relatedProductNos 필드는 스펙상 존재,김동학,코드는 있는데 원장 상태가 「미착수」다
P03,상품 상세 읽고 판단하기,다 코드는 있는데 연결 안 됨,STD-CAT-017,최근 본 상품,4635(profile/recent-products) 스펙 존재,김동학,코드는 있는데 원장 상태가 「미착수」다
P03,상품 상세 읽고 판단하기,다 코드는 있는데 연결 안 됨,STD-CAT-018,찜/관심상품,찜 기능은 주석상 별도 있음으로 언급되나 실제 like-products 를 호출하는 코드-화면(버튼-목록)은 grep 0건 - 미구현으로 판단.,김동학,코드는 있는데 원장 상태가 「미착수」다
P04,디자인 상품 고르기,나 행은 있는데 코드 0,STD-CAT-033,디자인 상품 화면 구조 — 카테고리 → 디자인 목록 → 상세 페이지,디자인 상품(에디터 전용)의 화면 구조가 3단계로 분리된 코드는 없음. webadmin api_designs는 prd_cd 단위 디자인 목록 API만 제공.,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P04,디자인 상품 고르기,다 코드는 있는데 연결 안 됨,STD-CAT-035,디자인 식별 규약 — PS코드 1개 + 템플릿 경로(이름) 구분·정사각형 공용 템플릿,20-30,서희항,코드는 있는데 원장 상태가 「미착수」다
P04,디자인 상품 고르기,다 코드는 있는데 연결 안 됨,STD-CAT-036,디자인 목록 API — webadmin 등록분을 신규몰이 불러오는 연동,GET /api/w/v1/designs 엔드포인트(api_designs)가 site_key+prd_cd 로 디자인 목록(designs.api_payload)을 반환. huni-mall 쪽에서 이 엔드포인트를 호출하는 코드는 grep 0건 - API는 있으나 신규몰 소비 코드 미확인.,서희항,코드는 있는데 원장 상태가 「미착수」다
P04,디자인 상품 고르기,다 코드는 있는데 연결 안 됨,STD-CAT-037,디자인 그룹핑 기준(태그·그룹·복수 그룹 등록·노출 순서),251,최숙진,코드는 있는데 원장 상태가 「미착수」다
P04,디자인 상품 고르기,라 결정 미정,STD-CAT-038,디자인 목록용 API·어드민 기능 개발자 협의,STD-CAT-036과 037이 이미 구현돼 있어 API 자체는 존재하나 개발자 협의라는 행위 자체를 코드로 증명할 수 없음.,신우진,사람이 정해야 끝나는 안건 — 코드가 없는 것이 결함이 아니다
P05,옵션 위젯 띄우고 고르기,나 행은 있는데 코드 0,STD-OPT-001,상품 상세 내 주문옵션 위젯 마운트(격리 렌더),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P05,옵션 위젯 띄우고 고르기,나 행은 있는데 코드 0,STD-OPT-002,정규화 옵션 데이터 계약 기반 위젯 구동,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P05,옵션 위젯 띄우고 고르기,나 행은 있는데 코드 0,STD-OPT-003,옵션 컴포넌트 타입 다형 렌더(셀렉트·라디오·체크·수치입력·이미지선택),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P05,옵션 위젯 띄우고 고르기,나 행은 있는데 코드 0,STD-OPT-006,옵션 그룹 접기/펼치기·진행 스텝 표시,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P05,옵션 위젯 띄우고 고르기,다 코드는 있는데 연결 안 됨,STD-OPT-004,옵션 선택 캐스케이드(상위 선택이 하위 목록 갱신),코드는 있는데 원장 상태가 「부분」다,서희항,코드는 있는데 원장 상태가 「부분」다
P05,옵션 위젯 띄우고 고르기,나 행은 있는데 코드 0,STD-OPT-005,토글형 후가공 섹션(켜야 하위 선택지 노출),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P05,옵션 위젯 띄우고 고르기,다 코드는 있는데 연결 안 됨,STD-OPT-037,옵션 조합 제약 규칙 평가(불가 조합 차단·사유 표시),코드는 있는데 원장 상태가 「부분」다,서희항,코드는 있는데 원장 상태가 「부분」다
P05,옵션 위젯 띄우고 고르기,다 코드는 있는데 연결 안 됨,STD-OPT-038,자재→가능 인쇄방식 게이팅,코드는 있는데 원장 상태가 「부분」다,서희항,코드는 있는데 원장 상태가 「부분」다
P05,옵션 위젯 띄우고 고르기,다 코드는 있는데 연결 안 됨,STD-OPT-039,공정 택일 그룹(상호배타) 처리,코드는 있는데 원장 상태가 「부분」다,서희항,코드는 있는데 원장 상태가 「부분」다
P05,옵션 위젯 띄우고 고르기,나 행은 있는데 코드 0,STD-OPT-040,필수 동반 옵션 강제(예 인쇄없음 시 후가공 필수),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P05,옵션 위젯 띄우고 고르기,나 행은 있는데 코드 0,STD-OPT-041,수량 최소/최대/증분 검증,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P05,옵션 위젯 띄우고 고르기,나 행은 있는데 코드 0,STD-OPT-042,사이즈 범위·비율 검증(매트릭스 밖 사이즈 차단),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P05,옵션 위젯 띄우고 고르기,나 행은 있는데 코드 0,STD-OPT-007,선택 요약 패널(현재 사양 한눈에),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,나 행은 있는데 코드 0,STD-OPT-008,용지(자재) 선택,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,나 행은 있는데 코드 0,STD-OPT-009,평량(g/㎡) 선택,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,나 행은 있는데 코드 0,STD-OPT-010,비종이 소재 선택(아크릴·PVC·패브릭 등),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,다 코드는 있는데 연결 안 됨,STD-OPT-058,주문가능 자재(용지) 목록 모달,코드는 있는데 원장 상태가 「미착수」다,김동학+최숙진,코드는 있는데 원장 상태가 「미착수」다
P06,인쇄 사양 축 입력하기,나 행은 있는데 코드 0,STD-OPT-011,인쇄도수 선택(단면/양면·4도/8도·1도),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,나 행은 있는데 코드 0,STD-OPT-012,별색(spot color) 선택,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,나 행은 있는데 코드 0,STD-OPT-013,화이트/UV white 언더베이스 선택,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,나 행은 있는데 코드 0,STD-OPT-014,규격 사이즈 선택(프리셋),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,나 행은 있는데 코드 0,STD-OPT-015,비규격 사이즈 직접입력(재단 가로·세로),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,나 행은 있는데 코드 0,STD-OPT-016,작업 사이즈 입력·자동 도출(도련 포함),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,나 행은 있는데 코드 0,STD-OPT-057,규격 가이드 모달(사이즈 안내 팝업),코드·명세를 뒤졌으나 구현을 찾지 못했다,김동학+최숙진,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,나 행은 있는데 코드 0,STD-OPT-017,수량 선택(구간 프리셋 + 직접입력),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,나 행은 있는데 코드 0,STD-OPT-018,건수(디자인 종류 수) 입력 및 총량 = 건수×수량 규칙 표시,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,나 행은 있는데 코드 0,STD-OPT-019,페이지 수 입력(책자류 필수 축),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,나 행은 있는데 코드 0,STD-OPT-020,표지/내지/간지 용지 개별 선택,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,나 행은 있는데 코드 0,STD-OPT-021,표지/내지 인쇄도수 개별 선택,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,나 행은 있는데 코드 0,STD-OPT-022,제본 방식 선택(중철·무선·PUR·트윈링·하드커버),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,나 행은 있는데 코드 0,STD-OPT-023,제본 방향 선택(좌철/상철 × 세로/가로),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P06,인쇄 사양 축 입력하기,다 코드는 있는데 연결 안 됨,STD-OPT-056,캘린더 가공·장수(월수) 선택,코드는 있는데 원장 상태가 「구현-미검증」다,김동학,코드는 있는데 원장 상태가 「구현-미검증」다
P07,후가공·부자재 고르기,나 행은 있는데 코드 0,STD-OPT-024,코팅 선택(무광/유광 × 단면/양면),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P07,후가공·부자재 고르기,나 행은 있는데 코드 0,STD-OPT-025,박 선택(색상 다종 × 면 × 크기 × 내용같음/틀림),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P07,후가공·부자재 고르기,다 코드는 있는데 연결 안 됨,STD-OPT-026,형압(양각/음각) 선택,코드는 있는데 원장 상태가 「부분」다,서희항,코드는 있는데 원장 상태가 「부분」다
P07,후가공·부자재 고르기,다 코드는 있는데 연결 안 됨,STD-OPT-027,오시 선택(줄 수 × 방향),코드는 있는데 원장 상태가 「부분」다,서희항,코드는 있는데 원장 상태가 「부분」다
P07,후가공·부자재 고르기,나 행은 있는데 코드 0,STD-OPT-028,미싱 선택,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P07,후가공·부자재 고르기,나 행은 있는데 코드 0,STD-OPT-029,타공 선택(직경 × 개수 × 위치),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P07,후가공·부자재 고르기,나 행은 있는데 코드 0,STD-OPT-030,귀돌이/라운딩 선택(반경 × 모서리 위치),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P07,후가공·부자재 고르기,나 행은 있는데 코드 0,STD-OPT-031,도무송(전체/부분·모양·개수) 선택,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P07,후가공·부자재 고르기,나 행은 있는데 코드 0,STD-OPT-032,넘버링(일반/난수 × 자릿수 × 개수) 선택,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P07,후가공·부자재 고르기,나 행은 있는데 코드 0,STD-OPT-033,부분UV/에폭시 선택,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P07,후가공·부자재 고르기,나 행은 있는데 코드 0,STD-OPT-034,부자재 선택(케이스·폴리백·포장),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P07,후가공·부자재 고르기,나 행은 있는데 코드 0,STD-OPT-035,상품별 기본제공 부자재 규칙 표시,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P07,후가공·부자재 고르기,나 행은 있는데 코드 0,STD-OPT-036,추가상품(악세사리) 템플릿 묶음 선택,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P08,실시간 견적 받기,나 행은 있는데 코드 0,STD-OPT-043,옵션 변경 시 실시간 재견적,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P08,실시간 견적 받기,나 행은 있는데 코드 0,STD-OPT-044,서버 권위 가격 계산(클라이언트 계산 금지),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P08,실시간 견적 받기,나 행은 있는데 코드 0,STD-OPT-049,원자합산형 가격 계산(디지털인쇄),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P08,실시간 견적 받기,다 코드는 있는데 연결 안 됨,STD-OPT-048,면적 기반 가격 계산(실사·현수막·아크릴),코드는 있는데 원장 상태가 「부분」다,서희항,코드는 있는데 원장 상태가 「부분」다
P08,실시간 견적 받기,다 코드는 있는데 연결 안 됨,STD-OPT-050,고정가형 가격 계산(수량×옵션),코드는 있는데 원장 상태가 「부분」다,서희항,코드는 있는데 원장 상태가 「부분」다
P08,실시간 견적 받기,다 코드는 있는데 연결 안 됨,STD-OPT-051,셋트/부품조립 상품 합산 가격 계산,코드는 있는데 원장 상태가 「부분」다,서희항,코드는 있는데 원장 상태가 「부분」다
P08,실시간 견적 받기,나 행은 있는데 코드 0,STD-OPT-052,판걸이수 기반 판형 원가 반영,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P08,실시간 견적 받기,나 행은 있는데 코드 0,STD-OPT-047,수량구간 할인 적용,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P08,실시간 견적 받기,나 행은 있는데 코드 0,STD-OPT-046,가격 내역 분해 표시(인쇄비·후가공비·부가세),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P08,실시간 견적 받기,나 행은 있는데 코드 0,STD-OPT-045,가격 0원/계산불가 상태 처리 및 사용자 안내,코드·명세를 뒤졌으나 구현을 찾지 못했다,최숙진,코드·명세를 뒤졌으나 구현을 찾지 못했다
P09,견적 저장·대량주문 문의,나 행은 있는데 코드 0,STD-OPT-053,견적 결과 저장(옵션보관함),코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P09,견적 저장·대량주문 문의,나 행은 있는데 코드 0,STD-OPT-054,견적서 PDF/출력물 발급,코드·명세를 뒤졌으나 구현을 찾지 못했다,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P09,견적 저장·대량주문 문의,나 행은 있는데 코드 0,STD-OPT-055,대량주문 견적 문의 접수,코드·명세를 뒤졌으나 구현을 찾지 못했다,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P10,원고 올리기,다 코드는 있는데 연결 안 됨,STD-ART-002,대용량 파일 분할/재개 업로드,100MB 이상 파일은 _uploadMultipart 로 10MB 단위 분할 전송(분할은 구현). 다만 조각 실패 시 ops.abort 로 전체 중단 후 처음부터 다시 시작하며 이미 올라간 조각부터 이어받기는 코드에 없다 — 재개(resume)는 미구현,서희항,코드는 있는데 원장 상태가 「구현-미검증」다
P10,원고 올리기,다 코드는 있는데 연결 안 됨,STD-ART-003,업로드 진행률·실패 재시도,paintFileProgress 가 파일별 %를 실시간 갱신하고 pvfileretry 버튼과 retryUploads로 실패 재시도를 제공한다.,서희항,코드는 있는데 원장 상태가 「부분」다
P10,원고 올리기,다 코드는 있는데 연결 안 됨,STD-ART-004,건수별 개별 파일 업로드(디자인 N종),multi 모드에서 cap(최대 개수)까지 파일을 누적하고 build_order_key 의 seq(1-based 순번)가 벌(건수)별 별도 경로를 만든다.,서희항,코드는 있는데 원장 상태가 「부분」다
P10,원고 올리기,다 코드는 있는데 연결 안 됨,STD-ART-005,앞면/뒷면 파일 분리 업로드,파일은 item·mbr·inst 단위로 구분 업로드되어 구성요소(반제품)별 분리는 되나 앞면/뒷면 이라는 이름의 축은 코드에서 직접 확인 못함(item 단위 분리로 대체 구현된 것으로 추정).,서희항,코드는 있는데 원장 상태가 「부분」다
