L0,L1_대분류,L2_중분류,L3_프로세스,L3_프로세스명,L4_순번,row_id,기능,시스템,담당자,상태,근거,cross
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,11,STD-CAT-043,목록·검색 시작가를 webadmin `GET /api/w/v1/catalog`(게시 위젯+시작가) 로 이관 — 「10원~」 더미 대체 개발안,webadmin + huni-mall,김동학+서희항,미착수,raw/webadmin/webadmin/config/urls.py:248 · huni-skin-shopby/src/lib/api/server/catalog.ts:86,t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,12,STD-CAT-040,시작가가 API 로 샵바이에 내려가는데 쇼핑몰에 반영되지 않는 원인 확인,webadmin,서희항·최숙진,미착수,raw/webadmin/webadmin/catalog/shopby_sync.py:1-384 · huni-skin-shopby/src/lib/api/server/catalog.ts:86,t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,13,STD-CAT-041,판매중 상품 수 3갈래(대시보드 291·상품목록 판매중 297/검색 291·API ONSALE 226) 기준 정리,webadmin,최숙진,미착수,「미확인」 — 찾지못했다 대시보드 291-상품목록 297/291-API ONSALE 226 이라는 3갈래 수치 불일치의 원인이 될 단일 코드 지점을 특정하지 못함 - 여러 화면의 집계 로직 각각을 대조해야 하는 교차검증 성격의 조사이며 이번 범위에서는 원인 코드를 확정할 수 없었다,t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,14,STD-CAT-024,포장재 상품군 주문 경로(전용 옵션·주문 흐름),huni-mall,김동학,부분,_workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:92 (선행 카드 증거 · 실재 확인),t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,15,STD-CAT-025,굿즈 상품군 주문 경로(파우치·백 포함),huni-mall,김동학,부분,huni-skin-shopby/src/components/home/home-content.ts:64,t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,16,STD-CAT-026,수작 상품 메인·상품페이지 경로,huni-mall,김동학,미착수,_workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:94 (선행 카드 증거 · 실재 확인),t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,17,STD-CAT-031,캘린더 4종 1차 오픈 포함 확정,huni-mall,최숙진+신우진,부분,huni-skin-shopby/src/lib/product-menu.ts:22,t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,18,STD-CAT-032,포토앨범 1차 오픈 제외 — 전달·문의 멘트 통일,huni-mall,최숙진,부분,huni-skin-shopby/src/lib/product-menu.ts:41,t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,19,,카테고리 트리 ↔ webadmin 상품군의 매핑 규약,huni-mall,김동학+서희항,원장 행 없음,「미확인」,t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,검색,P02,검색으로 상품 찾기,1,STD-CAT-006,검색어 자동완성·인기검색어,huni-mall,김동학,부분,huni-skin-shopby/src/app/(main)/search/page.tsx:1-6,
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,검색,P02,검색으로 상품 찾기,2,STD-CAT-004,상품명 통합검색,huni-mall,김동학,작동,huni-skin-shopby/src/app/(main)/search/page.tsx:1-14 · huni-skin-shopby/src/lib/api/server/catalog.ts:181-182,
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,검색,P02,검색으로 상품 찾기,3,STD-CAT-005,종이/소재명 기준 검색(아트지·스노우지 등),huni-mall,김동학,미착수,「미확인」 — 찾지못했다 소재 필터 관련 코드 없음,
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,검색,P02,검색으로 상품 찾기,4,,검색 결과 0건 안내 화면,huni-mall,김동학,원장 행 없음,「미확인」,
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,1,STD-CAT-007,상품 상세페이지 본문(이미지·설명 블록),huni-mall,김동학+최숙진,부분,huni-skin-shopby/src/components/product/product-sections.tsx:1-15,t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,2,STD-CAT-034,상세페이지 탭 6종 자동 등록(디자인가이드·디자인보기 포함),huni-mall,김동학+서희항+최숙진,부분,huni-skin-shopby/src/lib/printly/detail-tabs.ts:18-31,t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,3,STD-CAT-029,메뉴 슬러그형 목업 상세(/product/calendar 등) 잔존 — 「(44 Reviews)」·더미 옵션,huni-mall,김동학,미착수,huni-skin-shopby/src/components/product/configurators/print-configurator.tsx:379,t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,4,STD-CAT-042,레거시 mock 훅 제거 — legacy-data 참조 17파일(configurator 11종·홈 뉴스/프로모·포인트 모달),huni-mall,김동학,미착수,huni-skin-shopby/src/lib/legacy-data/index.ts:1,t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,5,STD-CAT-008,동일 계열 상품 분기 안내(일반명함/고급지명함/부분UV명함 등),huni-mall,김동학,미착수,「미확인」 — 찾지못했다 계열 분기 안내 UI grep 0건 - MENU_PRODUCTS 는 메뉴 슬러그 분기일 뿐,t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,6,STD-CAT-010,재단사이즈 vs 작업사이즈 설명 가이드,huni-mall,김동학,작동,huni-skin-shopby/src/lib/guide-data.ts:87,t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,7,STD-CAT-009,후가공 용어 설명 툴팁(도무송·오시·형압·귀돌이),huni-mall,김동학+최숙진,미착수,huni-skin-shopby/src/lib/guide-data.ts:178-184,t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,8,STD-CAT-011,상품별 제작 소요일/출고 기준 안내,huni-mall,김동학+서희항,미착수,huni-skin-shopby/src/components/product/product-sections.tsx:151,t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,9,STD-CAT-012,재작업 불가 사항 고지(폰트 아웃라인 등),huni-mall,김동학+최숙진,부분,huni-skin-shopby/src/lib/guide-data.ts:100,t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,10,STD-CAT-019,인쇄 가이드 콘텐츠(11종),huni-mall,최숙진+김동학,부분,huni-skin-shopby/src/lib/guide-data.ts:158-206,t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,11,STD-CAT-020,템플릿/샘플 다운로드 제공,huni-mall,미정,미실측,「미확인」 — 찾지못했다 guide-data.ts 전체에서 실제 파일 다운로드 링크-템플릿/샘플 파일 경로 grep 0건 - 템플릿 불러오기와 저장(204행)은 편집기 사용법 가이드 제목일 뿐 다운로드 기능 아님,t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,12,STD-CAT-014,상품 리뷰 목록·평점 노출,huni-mall,김동학+최숙진,작동,huni-skin-shopby/src/components/product/product-sections-interactive.tsx:247-248,t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,13,STD-CAT-015,사진 리뷰 갤러리,huni-mall,김동학,부분,huni-skin-shopby/src/lib/api/hooks/use-product-reviews.ts:16-34,t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,14,STD-CAT-013,상품 Q&A 게시,huni-mall + shopby,김동학,미착수,「미확인」 — 찾지못했다 huni-skin-shopby app main 하위 inquiry-qna 문의 라우트 grep 0건. docs shopby-api product-shop-public.yml products/inquiries 및 display-shop-public.yml ProductInquiry 태그(3180-3360행)에 명세는 존재,t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,15,STD-CAT-016,관련상품/함께 주문한 상품 추천,huni-mall + shopby,김동학,미착수,print-quote/04_design/ia.md (선행 카드 증거 · 실재 확인),t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,16,STD-CAT-017,최근 본 상품,huni-mall + shopby,김동학,미착수,print-quote/04_design/ia.md (선행 카드 증거 · 실재 확인),t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,17,STD-CAT-018,찜/관심상품,huni-mall + shopby,김동학,미착수,print-kb/wiki/policy/mypage.md (선행 카드 증거 · 실재 확인),t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세 · 콘텐츠,P03,상품 상세 읽고 판단하기,18,,상세 → 주문옵션 위젯으로 넘어가는 진입 지점(CTA),huni-mall,김동학,원장 행 없음,「미확인」,t65 — 상품 Q&A·리뷰의 운영자 응대(STD-CLM)는 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세(디자인 상품),P04,디자인 상품 고르기,1,STD-CAT-033,디자인 상품 화면 구조 — 카테고리 → 디자인 목록 → 상세 페이지,huni-mall,서희항,미착수,「미확인」 — 찾지못했다 huni-skin-shopby 에 카테고리에서 디자인목록으로 상세로 이어지는 3단 전용 라우트 grep 0건 - design-calendar-configurator.tsx 는 기존 상품상세 내 옵션 패널일 뿐 별도 디자인 목록 페이지 아님,t65 — 디자인 등록·그룹핑 운영(STD-ADP)은 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세(디자인 상품),P04,디자인 상품 고르기,2,STD-CAT-035,디자인 식별 규약 — PS코드 1개 + 템플릿 경로(이름) 구분·정사각형 공용 템플릿,webadmin,서희항,미착수,raw/webadmin/webadmin/catalog/designs.py:8-10,t65 — 디자인 등록·그룹핑 운영(STD-ADP)은 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세(디자인 상품),P04,디자인 상품 고르기,3,STD-CAT-036,디자인 목록 API — webadmin 등록분을 신규몰이 불러오는 연동,webadmin,서희항,미착수,raw/webadmin/webadmin/config/urls.py:288,t65 — 디자인 등록·그룹핑 운영(STD-ADP)은 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세(디자인 상품),P04,디자인 상품 고르기,4,STD-CAT-037,디자인 그룹핑 기준(태그·그룹·복수 그룹 등록·노출 순서),webadmin,최숙진,미착수,raw/webadmin/webadmin/catalog/designs.py:235-236,t65 — 디자인 등록·그룹핑 운영(STD-ADP)은 t65
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,상품상세(디자인 상품),P04,디자인 상품 고르기,5,STD-CAT-038,디자인 목록용 API·어드민 기능 개발자 협의,webadmin,신우진,미착수,「미확인」 — 찾지못했다 디자인 목록용 API-어드민 기능에 대한 개발자 협의 자체는 코드/명세 대상이 아닌 프로세스 항목 - raw/webadmin 및 docs/shopby 어디에도 협의 회의록-TODO 주석 형태의 근거 없음,t65 — 디자인 등록·그룹핑 운영(STD-ADP)은 t65
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션위젯 · 제약,P05,옵션 위젯 띄우고 고르기,1,STD-OPT-001,상품 상세 내 주문옵션 위젯 마운트(격리 렌더),widget,서희항,작동,raw/webadmin/webadmin/catalog/static/catalog/widget.js:136 · raw/webadmin/webadmin/catalog/static/catalog/widget.js:1032 · huni-skin-shopby/src/components/product/huni-widget.tsx:304-313,t65 — 제약규칙 등록·관리(webadmin 폼빌더)는 운영 쪽
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션위젯 · 제약,P05,옵션 위젯 띄우고 고르기,2,STD-OPT-002,정규화 옵션 데이터 계약 기반 위젯 구동,widget,서희항,작동,raw/webadmin/webadmin/catalog/static/catalog/widget.js:145 · raw/webadmin/webadmin/catalog/widget_api.py:1172,t65 — 제약규칙 등록·관리(webadmin 폼빌더)는 운영 쪽
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션위젯 · 제약,P05,옵션 위젯 띄우고 고르기,3,STD-OPT-003,옵션 컴포넌트 타입 다형 렌더(셀렉트·라디오·체크·수치입력·이미지선택),widget,서희항,작동,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:5019 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:5159 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:5182 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:2454-2493 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:789-841,t65 — 제약규칙 등록·관리(webadmin 폼빌더)는 운영 쪽
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션위젯 · 제약,P05,옵션 위젯 띄우고 고르기,4,STD-OPT-006,옵션 그룹 접기/펼치기·진행 스텝 표시,widget,서희항,부분,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:5289-5307,t65 — 제약규칙 등록·관리(webadmin 폼빌더)는 운영 쪽
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션위젯 · 제약,P05,옵션 위젯 띄우고 고르기,5,STD-OPT-004,옵션 선택 캐스케이드(상위 선택이 하위 목록 갱신),widget,서희항,부분,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:2918-2934 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:690-760,t65 — 제약규칙 등록·관리(webadmin 폼빌더)는 운영 쪽
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션위젯 · 제약,P05,옵션 위젯 띄우고 고르기,6,STD-OPT-005,토글형 후가공 섹션(켜야 하위 선택지 노출),widget,서희항,부분,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:5491-5646,t65 — 제약규칙 등록·관리(webadmin 폼빌더)는 운영 쪽
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션위젯 · 제약,P05,옵션 위젯 띄우고 고르기,7,STD-OPT-037,옵션 조합 제약 규칙 평가(불가 조합 차단·사유 표시),webadmin,서희항,부분,raw/webadmin/webadmin/catalog/models.py:814-829 · raw/webadmin/webadmin/catalog/widget_api.py:3370-3409 · raw/webadmin/webadmin/catalog/widget_api.py:4389-4392 · raw/webadmin/webadmin/catalog/static/catalog/widget.js:924-939 · raw/webadmin/webadmin/catalog/static/catalog/constraint_engine.js:1-54,t65 — 제약규칙 등록·관리(webadmin 폼빌더)는 운영 쪽
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션위젯 · 제약,P05,옵션 위젯 띄우고 고르기,8,STD-OPT-038,자재→가능 인쇄방식 게이팅,webadmin,서희항,부분,raw/webadmin/webadmin/catalog/models.py:814-829 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:4066-4067,t65 — 제약규칙 등록·관리(webadmin 폼빌더)는 운영 쪽
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션위젯 · 제약,P05,옵션 위젯 띄우고 고르기,9,STD-OPT-039,공정 택일 그룹(상호배타) 처리,webadmin,서희항,부분,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:4029-4131,t65 — 제약규칙 등록·관리(webadmin 폼빌더)는 운영 쪽
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션위젯 · 제약,P05,옵션 위젯 띄우고 고르기,10,STD-OPT-040,필수 동반 옵션 강제(예 인쇄없음 시 후가공 필수),webadmin,서희항,부분,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:4100-4101,t65 — 제약규칙 등록·관리(webadmin 폼빌더)는 운영 쪽
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션위젯 · 제약,P05,옵션 위젯 띄우고 고르기,11,STD-OPT-041,수량 최소/최대/증분 검증,widget,서희항,작동,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:2804-2901 · raw/webadmin/webadmin/catalog/models.py:539-541,t65 — 제약규칙 등록·관리(webadmin 폼빌더)는 운영 쪽
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션위젯 · 제약,P05,옵션 위젯 띄우고 고르기,12,STD-OPT-042,사이즈 범위·비율 검증(매트릭스 밖 사이즈 차단),widget,서희항,부분,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:3921-3930 · raw/webadmin/webadmin/catalog/models.py:555-560,t65 — 제약규칙 등록·관리(webadmin 폼빌더)는 운영 쪽
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션위젯 · 제약,P05,옵션 위젯 띄우고 고르기,13,STD-OPT-007,선택 요약 패널(현재 사양 한눈에),widget,서희항,작동,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:7867-7900,t65 — 제약규칙 등록·관리(webadmin 폼빌더)는 운영 쪽
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션축,P06,인쇄 사양 축 입력하기,1,STD-OPT-008,용지(자재) 선택,webadmin,서희항,작동,raw/webadmin/webadmin/catalog/models.py:155-160 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:714,
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션축,P06,인쇄 사양 축 입력하기,2,STD-OPT-009,평량(g/㎡) 선택,webadmin,서희항,작동,raw/webadmin/webadmin/catalog/models.py:167 · raw/webadmin/webadmin/catalog/paper_views.py:419,
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션축,P06,인쇄 사양 축 입력하기,3,STD-OPT-010,비종이 소재 선택(아크릴·PVC·패브릭 등),webadmin,서희항,작동,raw/webadmin/webadmin/catalog/models.py:160-161 · raw/webadmin/webadmin/catalog/tmpl_combo.py:54,
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션축,P06,인쇄 사양 축 입력하기,4,STD-OPT-058,주문가능 자재(용지) 목록 모달,webadmin,김동학+최숙진,미착수,_workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:60 (선행 카드 증거 · 실재 확인),
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션축,P06,인쇄 사양 축 입력하기,5,STD-OPT-011,인쇄도수 선택(단면/양면·4도/8도·1도),webadmin,서희항,작동,raw/webadmin/webadmin/catalog/models.py:48-56,
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션축,P06,인쇄 사양 축 입력하기,6,STD-OPT-012,별색(spot color) 선택,webadmin,서희항,작동,raw/webadmin/webadmin/catalog/models.py:213 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:3995-4005,
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션축,P06,인쇄 사양 축 입력하기,7,STD-OPT-013,화이트/UV white 언더베이스 선택,widget,서희항,작동,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:4001-4067,
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션축,P06,인쇄 사양 축 입력하기,8,STD-OPT-014,규격 사이즈 선택(프리셋),webadmin,서희항,작동,raw/webadmin/webadmin/catalog/models.py:534-550 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:2795,
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션축,P06,인쇄 사양 축 입력하기,9,STD-OPT-015,비규격 사이즈 직접입력(재단 가로·세로),webadmin,서희항,작동,raw/webadmin/webadmin/catalog/models.py:555-560 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:3114-3174,
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션축,P06,인쇄 사양 축 입력하기,10,STD-OPT-016,작업 사이즈 입력·자동 도출(도련 포함),webadmin,서희항,부분,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:3921-3930 · raw/webadmin/webadmin/catalog/cover_rule_db.py:212,
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션축,P06,인쇄 사양 축 입력하기,11,STD-OPT-057,규격 가이드 모달(사이즈 안내 팝업),shopby,김동학+최숙진,미착수,「미확인」 — 찾지 못했다(huni-skin-shopby/src 전체 및 raw/webadmin/webadmin/catalog/static/catalog/*.js에서 사이즈 안내 모달 관련 코드 grep 0건),
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션축,P06,인쇄 사양 축 입력하기,12,STD-OPT-017,수량 선택(구간 프리셋 + 직접입력),widget,서희항,작동,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:5010-5024 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:5033-5041,
t63 프로세스 정리 B — 탐색~결제,옵션·견적,옵션축,P06,인쇄 사양 축 입력하기,13,STD-OPT-018,건수(디자인 종류 수) 입력 및 총량 = 건수×수량 규칙 표시,widget,서희항,작동,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:5045-5052 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:2977,
