prd_cd,prd_nm,source_prices,family,blocked_reason,target_route
PRD_000238,레더 아이패드/노트북 파우치,35000;48000;58000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000239,캔버스 플랫 파우치,8800;9800,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000240,캔버스 삼각 파우치,9800;11500,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000243,린넨 스트링 파우치,8500;10000;11000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000244,타이벡 플랫 파우치,8600;9800;13500,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000245,타이벡 슬림 파우치,6800;8000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000246,타이벡 삼각 파우치,7000;8000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000247,타이벡 스트링 파우치,10000;12000;15000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000249,메쉬슬림파우치,8600;10000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000252,레더 슬림 미니파우치,6000;6500,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000254,레더 볼륨 미니파우치,7500;8000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000273,타이벡 양면 백팩,17500;22000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000274,타이벡보냉보틀백,19500;21000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000280,레더라벨제작,200;240;290,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000001,OPP접착봉투,1100;1200;1400;1500;3250,F1-accessory,다중가격(size/spec) → PK 충돌,Phase-0 DDL 후: size 차원 component_prices | 봉투종류 matrix
PRD_000002,OPP비접착봉투,600;900;1000;1100;1200;1300;1400;1500,F1-accessory,다중가격(size/spec) → PK 충돌,Phase-0 DDL 후: size 차원 component_prices | 봉투종류 matrix
PRD_000003,트래싱지 카드봉투,3600;6000;6800;10000;12000;13600;28000;32000,F1-accessory,다중가격(size/spec) → PK 충돌,Phase-0 DDL 후: size 차원 component_prices | 봉투종류 matrix
PRD_000004,카드봉투,1000;1500,F1-accessory,다중가격(size/spec) → PK 충돌,해소됨: 라이브 .05 분할(PRD_000281 화이트=1000/PRD_000282 블랙=1500) → INSERTABLE로 적재
PRD_000005,캘린더봉투,2400;2500,F1-accessory,다중가격(size/spec) → PK 충돌,Phase-0 DDL 후: size 차원 component_prices | 봉투종류 matrix
PRD_000009,투명케이스,3000;3500,F1-accessory,다중가격(size/spec) → PK 충돌,Phase-0 DDL 후: size 차원 component_prices | 봉투종류 matrix
PRD_000010,행택끈,3000;4000,F1-accessory,다중가격(size/spec) → PK 충돌,Phase-0 DDL 후: size 차원 component_prices | 봉투종류 matrix
PRD_000013,우드봉,7000;9800;12000,F1-accessory,다중가격(size/spec) → PK 충돌,Phase-0 DDL 후: size 차원 component_prices | 봉투종류 matrix
PRD_000014,우드행거,16000;18000;20000,F1-accessory,다중가격(size/spec) → PK 충돌,Phase-0 DDL 후: size 차원 component_prices | 봉투종류 matrix
