# NO-LOAD (추적용 reference, 적재 금지) — 라이브 t_siz_sizes work/cut은 이미 77/77 채워짐(numeric(8,2) NOT NULL). 75행 무의미·cm 2건 회귀. 권위=라이브 DB. 근거: 03_validation/.../correction-validation-report.md. 상세=t_siz_sizes_dims.SKIP.md
# 경고: SIZ_000399/402(피크닉매트)의 아래 work/cut 값(100/70·100/150)은 cm 원본 보존값으로 *틀림*. 라이브 정확값=1000/700·1000/1500(mm 환산). 적재 시 회귀.
siz_cd,siz_nm,work_width,work_height,cut_width,cut_height,_note
SIZ_000223,정사각90x90mm(1EA),90,90,90,90,모양=정사각 (옵션/규격 귀속 확인필요)
SIZ_000224,직사각35x25mm(2EA),35,25,35,25,모양=직사각 (옵션/규격 귀속 확인필요)
SIZ_000226,직사각40x30mm(2EA),40,30,40,30,모양=직사각 (옵션/규격 귀속 확인필요)
SIZ_000228,직사각42x20mm(2EA),42,20,42,20,모양=직사각 (옵션/규격 귀속 확인필요)
SIZ_000230,직사각50x20mm(2EA),50,20,50,20,모양=직사각 (옵션/규격 귀속 확인필요)
SIZ_000232,직사각50x30mm(2EA),50,30,50,30,모양=직사각 (옵션/규격 귀속 확인필요)
SIZ_000234,직사각55x15mm(2EA),55,15,55,15,모양=직사각 (옵션/규격 귀속 확인필요)
SIZ_000236,직사각55x20mm(2EA),55,20,55,20,모양=직사각 (옵션/규격 귀속 확인필요)
SIZ_000238,직사각55x24mm(2EA),55,24,55,24,모양=직사각 (옵션/규격 귀속 확인필요)
SIZ_000240,직사각55x33mm(2EA),55,33,55,33,모양=직사각 (옵션/규격 귀속 확인필요)
SIZ_000242,직사각90x40mm(2EA),90,40,90,40,모양=직사각 (옵션/규격 귀속 확인필요)
SIZ_000244,직사각90x50mm(1EA),90,50,90,50,모양=직사각 (옵션/규격 귀속 확인필요)
SIZ_000245,직사각90x60mm(1EA),90,60,90,60,모양=직사각 (옵션/규격 귀속 확인필요)
SIZ_000247,직사각90x70mm(1EA),90,70,90,70,모양=직사각 (옵션/규격 귀속 확인필요)
SIZ_000249,직사각90x80mm(1EA),90,80,90,80,모양=직사각 (옵션/규격 귀속 확인필요)
SIZ_000355,100x100mm원형,100,100,100,100,모양=원형 (옵션/규격 귀속 확인필요)
SIZ_000356,100x100mm사각,100,100,100,100,모양=사각 (옵션/규격 귀속 확인필요)
SIZ_000367,43x71mm하트자물쇠,43,71,43,71,모양=하트자물쇠 (옵션/규격 귀속 확인필요)
SIZ_000368,59x54mm하트,59,54,59,54,모양=하트 (옵션/규격 귀속 확인필요)
SIZ_000369,68x70mm원형,68,70,68,70,모양=원형 (옵션/규격 귀속 확인필요)
SIZ_000399,100x70cm(1인용),100,70,100,70,[회귀-적재금지] 라이브 정확값=1000/700mm(cm 환산 완료됨). 이 100/70은 틀림
SIZ_000402,100x150cm(2인용),100,150,100,150,[회귀-적재금지] 라이브 정확값=1000/1500mm(cm 환산 완료됨). 이 100/150은 틀림
SIZ_000419,원형13x13,13,13,13,13,"원본 단위 미표기: 13x13 (mm 가정, 확인필요) / 모양=원형 (옵션/규격 귀속 확인필요)"
SIZ_000420,원형19x19,19,19,19,19,"원본 단위 미표기: 19x19 (mm 가정, 확인필요) / 모양=원형 (옵션/규격 귀속 확인필요)"
SIZ_000421,원형24x24,24,24,24,24,"원본 단위 미표기: 24x24 (mm 가정, 확인필요) / 모양=원형 (옵션/규격 귀속 확인필요)"
SIZ_000422,원형35x35,35,35,35,35,"원본 단위 미표기: 35x35 (mm 가정, 확인필요) / 모양=원형 (옵션/규격 귀속 확인필요)"
SIZ_000423,사각30x30,30,30,30,30,"원본 단위 미표기: 30x30 (mm 가정, 확인필요) / 모양=사각 (옵션/규격 귀속 확인필요)"
SIZ_000424,사각67x32,67,32,67,32,"원본 단위 미표기: 67x32 (mm 가정, 확인필요) / 모양=사각 (옵션/규격 귀속 확인필요)"
SIZ_000425,사각78x28,78,28,78,28,"원본 단위 미표기: 78x28 (mm 가정, 확인필요) / 모양=사각 (옵션/규격 귀속 확인필요)"
SIZ_000492,레더15x30,15,30,15,30,"원본 단위 미표기: 15x30 (mm 가정, 확인필요) / 명칭 접두=레더 (색상/자재 mat_cd 분리 대상)"
SIZ_000494,레더20x40,20,40,20,40,"원본 단위 미표기: 20x40 (mm 가정, 확인필요) / 명칭 접두=레더 (색상/자재 mat_cd 분리 대상)"
SIZ_000496,레더30x50,30,50,30,50,"원본 단위 미표기: 30x50 (mm 가정, 확인필요) / 명칭 접두=레더 (색상/자재 mat_cd 분리 대상)"
