prd_cd,proc_cd,excl_grp_cd,mand_proc_yn,disp_seq,reg_dt,upd_dt,_provenance
PRD_000155,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:아크릴볼펜 인쇄사양=풀빼다 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000157,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴네임택 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000157,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:아크릴네임택 인쇄사양=배면양면 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000158,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴 포카키링 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000158,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:아크릴 포카키링 인쇄사양=배면양면 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000160,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴자유형스탠드 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000160,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:아크릴자유형스탠드 인쇄사양=배면양면 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000161,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:판아크릴 인쇄사양=배면양면 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000162,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴포카스탠드 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000162,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:아크릴포카스탠드 인쇄사양=배면양면 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000163,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴미니파츠 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000163,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:아크릴미니파츠 인쇄사양=배면양면 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
