table,pk,comp_cd,current_note,corrected_note
t_prc_price_components,COMP_PP_VARIMG_3EA,COMP_PP_VARIMG_3EA,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,가변 이미지 3개 추가비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).
t_prc_price_components,COMP_PP_VARTEXT_1EA,COMP_PP_VARTEXT_1EA,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,가변 텍스트 1개 추가비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).
t_prc_price_components,COMP_PP_VARTEXT_2EA,COMP_PP_VARTEXT_2EA,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,가변 텍스트 2개 추가비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).
t_prc_price_components,COMP_PP_VARTEXT_3EA,COMP_PP_VARTEXT_3EA,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,가변 텍스트 3개 추가비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).
t_prc_price_components,COMP_PRINT_DIGITAL_S1,COMP_PRINT_DIGITAL_S1,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,디지털 인쇄비(단면). 출력매수·사이즈·도수(흑백/칼라)별 장당 단가표.
t_prc_price_components,COMP_PRINT_DIGITAL_S2,COMP_PRINT_DIGITAL_S2,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,디지털 인쇄비(양면). 출력매수·사이즈·도수(흑백/칼라)별 장당 단가표.
t_prc_price_components,COMP_PRINT_SPOT_CLEAR_S1,COMP_PRINT_SPOT_CLEAR_S1,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,별색(클리어) 인쇄비 단면. 출력매수·사이즈별 장당 단가표.
t_prc_price_components,COMP_PRINT_SPOT_CLEAR_S2,COMP_PRINT_SPOT_CLEAR_S2,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,별색(클리어) 인쇄비 양면. 출력매수·사이즈별 장당 단가표.
t_prc_price_components,COMP_PRINT_SPOT_GOLD_S1,COMP_PRINT_SPOT_GOLD_S1,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,별색(금색) 인쇄비 단면. 출력매수·사이즈별 장당 단가표.
t_prc_price_components,COMP_PRINT_SPOT_GOLD_S2,COMP_PRINT_SPOT_GOLD_S2,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,별색(금색) 인쇄비 양면. 출력매수·사이즈별 장당 단가표.
t_prc_price_components,COMP_PRINT_SPOT_PINK_S1,COMP_PRINT_SPOT_PINK_S1,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,별색(핑크) 인쇄비 단면. 출력매수·사이즈별 장당 단가표.
t_prc_price_components,COMP_PRINT_SPOT_PINK_S2,COMP_PRINT_SPOT_PINK_S2,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,별색(핑크) 인쇄비 양면. 출력매수·사이즈별 장당 단가표.
t_prc_price_components,COMP_PRINT_SPOT_SILVER_S1,COMP_PRINT_SPOT_SILVER_S1,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,별색(은색) 인쇄비 단면. 출력매수·사이즈별 장당 단가표.
t_prc_price_components,COMP_PRINT_SPOT_SILVER_S2,COMP_PRINT_SPOT_SILVER_S2,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,별색(은색) 인쇄비 양면. 출력매수·사이즈별 장당 단가표.
t_prc_price_components,COMP_PRINT_SPOT_WHITE_S1,COMP_PRINT_SPOT_WHITE_S1,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,별색(화이트) 인쇄비 단면. 출력매수·사이즈별 장당 단가표.
t_prc_price_components,COMP_PRINT_SPOT_WHITE_S2,COMP_PRINT_SPOT_WHITE_S2,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,별색(화이트) 인쇄비 양면. 출력매수·사이즈별 장당 단가표.
t_prc_component_prices,3,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥1,코팅(국4절)/유광코팅/단면 출력매수 1장 이상
t_prc_component_prices,4,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥1,코팅(국4절)/유광코팅/양면 출력매수 1장 이상
t_prc_component_prices,7,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥2,코팅(국4절)/유광코팅/단면 출력매수 2장 이상
t_prc_component_prices,8,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥2,코팅(국4절)/유광코팅/양면 출력매수 2장 이상
t_prc_component_prices,11,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥5,코팅(국4절)/유광코팅/단면 출력매수 5장 이상
t_prc_component_prices,12,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥5,코팅(국4절)/유광코팅/양면 출력매수 5장 이상
t_prc_component_prices,15,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥10,코팅(국4절)/유광코팅/단면 출력매수 10장 이상
t_prc_component_prices,16,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥10,코팅(국4절)/유광코팅/양면 출력매수 10장 이상
t_prc_component_prices,19,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥20,코팅(국4절)/유광코팅/단면 출력매수 20장 이상
t_prc_component_prices,20,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥20,코팅(국4절)/유광코팅/양면 출력매수 20장 이상
t_prc_component_prices,23,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥30,코팅(국4절)/유광코팅/단면 출력매수 30장 이상
t_prc_component_prices,24,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥30,코팅(국4절)/유광코팅/양면 출력매수 30장 이상
t_prc_component_prices,27,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥40,코팅(국4절)/유광코팅/단면 출력매수 40장 이상
t_prc_component_prices,28,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥40,코팅(국4절)/유광코팅/양면 출력매수 40장 이상
t_prc_component_prices,31,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥50,코팅(국4절)/유광코팅/단면 출력매수 50장 이상
t_prc_component_prices,32,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥50,코팅(국4절)/유광코팅/양면 출력매수 50장 이상
t_prc_component_prices,35,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥70,코팅(국4절)/유광코팅/단면 출력매수 70장 이상
t_prc_component_prices,36,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥70,코팅(국4절)/유광코팅/양면 출력매수 70장 이상
t_prc_component_prices,39,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥100,코팅(국4절)/유광코팅/단면 출력매수 100장 이상
t_prc_component_prices,40,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥100,코팅(국4절)/유광코팅/양면 출력매수 100장 이상
t_prc_component_prices,43,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥150,코팅(국4절)/유광코팅/단면 출력매수 150장 이상
t_prc_component_prices,44,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥150,코팅(국4절)/유광코팅/양면 출력매수 150장 이상
t_prc_component_prices,47,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥200,코팅(국4절)/유광코팅/단면 출력매수 200장 이상
t_prc_component_prices,48,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥200,코팅(국4절)/유광코팅/양면 출력매수 200장 이상
t_prc_component_prices,51,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥250,코팅(국4절)/유광코팅/단면 출력매수 250장 이상
t_prc_component_prices,52,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥250,코팅(국4절)/유광코팅/양면 출력매수 250장 이상
t_prc_component_prices,55,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥300,코팅(국4절)/유광코팅/단면 출력매수 300장 이상
t_prc_component_prices,56,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥300,코팅(국4절)/유광코팅/양면 출력매수 300장 이상
t_prc_component_prices,59,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥400,코팅(국4절)/유광코팅/단면 출력매수 400장 이상
t_prc_component_prices,60,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥400,코팅(국4절)/유광코팅/양면 출력매수 400장 이상
t_prc_component_prices,63,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥500,코팅(국4절)/유광코팅/단면 출력매수 500장 이상
t_prc_component_prices,64,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥500,코팅(국4절)/유광코팅/양면 출력매수 500장 이상
t_prc_component_prices,67,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥700,코팅(국4절)/유광코팅/단면 출력매수 700장 이상
t_prc_component_prices,68,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥700,코팅(국4절)/유광코팅/양면 출력매수 700장 이상
t_prc_component_prices,71,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥900,코팅(국4절)/유광코팅/단면 출력매수 900장 이상
t_prc_component_prices,72,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥900,코팅(국4절)/유광코팅/양면 출력매수 900장 이상
t_prc_component_prices,75,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥1000,코팅(국4절)/유광코팅/단면 출력매수 1000장 이상
t_prc_component_prices,76,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥1000,코팅(국4절)/유광코팅/양면 출력매수 1000장 이상
t_prc_component_prices,79,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥1500,코팅(국4절)/유광코팅/단면 출력매수 1500장 이상
t_prc_component_prices,80,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥1500,코팅(국4절)/유광코팅/양면 출력매수 1500장 이상
t_prc_component_prices,83,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥2500,코팅(국4절)/유광코팅/단면 출력매수 2500장 이상
t_prc_component_prices,84,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥2500,코팅(국4절)/유광코팅/양면 출력매수 2500장 이상
t_prc_component_prices,87,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥5000,코팅(국4절)/유광코팅/단면 출력매수 5000장 이상
t_prc_component_prices,88,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥5000,코팅(국4절)/유광코팅/양면 출력매수 5000장 이상
t_prc_component_prices,91,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/단면 출력매수≥1000000,코팅(국4절)/유광코팅/단면 출력매수 1000000장 이상
t_prc_component_prices,92,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_GUK4→SIZ_000499] 코팅(국4절)/유광코팅/양면 출력매수≥1000000,코팅(국4절)/유광코팅/양면 출력매수 1000000장 이상
t_prc_component_prices,95,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥1,코팅(3절)/유광코팅/단면 출력매수 1장 이상
t_prc_component_prices,96,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥1,코팅(3절)/유광코팅/양면 출력매수 1장 이상
t_prc_component_prices,99,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥2,코팅(3절)/유광코팅/단면 출력매수 2장 이상
t_prc_component_prices,100,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥2,코팅(3절)/유광코팅/양면 출력매수 2장 이상
t_prc_component_prices,103,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥5,코팅(3절)/유광코팅/단면 출력매수 5장 이상
t_prc_component_prices,104,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥5,코팅(3절)/유광코팅/양면 출력매수 5장 이상
t_prc_component_prices,107,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥10,코팅(3절)/유광코팅/단면 출력매수 10장 이상
t_prc_component_prices,108,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥10,코팅(3절)/유광코팅/양면 출력매수 10장 이상
t_prc_component_prices,111,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥20,코팅(3절)/유광코팅/단면 출력매수 20장 이상
t_prc_component_prices,112,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥20,코팅(3절)/유광코팅/양면 출력매수 20장 이상
t_prc_component_prices,115,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥30,코팅(3절)/유광코팅/단면 출력매수 30장 이상
t_prc_component_prices,116,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥30,코팅(3절)/유광코팅/양면 출력매수 30장 이상
t_prc_component_prices,119,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥40,코팅(3절)/유광코팅/단면 출력매수 40장 이상
t_prc_component_prices,120,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥40,코팅(3절)/유광코팅/양면 출력매수 40장 이상
t_prc_component_prices,123,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥50,코팅(3절)/유광코팅/단면 출력매수 50장 이상
t_prc_component_prices,124,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥50,코팅(3절)/유광코팅/양면 출력매수 50장 이상
t_prc_component_prices,127,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥70,코팅(3절)/유광코팅/단면 출력매수 70장 이상
t_prc_component_prices,128,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥70,코팅(3절)/유광코팅/양면 출력매수 70장 이상
t_prc_component_prices,131,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥100,코팅(3절)/유광코팅/단면 출력매수 100장 이상
t_prc_component_prices,132,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥100,코팅(3절)/유광코팅/양면 출력매수 100장 이상
t_prc_component_prices,135,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥150,코팅(3절)/유광코팅/단면 출력매수 150장 이상
t_prc_component_prices,136,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥150,코팅(3절)/유광코팅/양면 출력매수 150장 이상
t_prc_component_prices,139,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥200,코팅(3절)/유광코팅/단면 출력매수 200장 이상
t_prc_component_prices,140,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥200,코팅(3절)/유광코팅/양면 출력매수 200장 이상
t_prc_component_prices,143,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥250,코팅(3절)/유광코팅/단면 출력매수 250장 이상
t_prc_component_prices,144,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥250,코팅(3절)/유광코팅/양면 출력매수 250장 이상
t_prc_component_prices,147,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥300,코팅(3절)/유광코팅/단면 출력매수 300장 이상
t_prc_component_prices,148,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥300,코팅(3절)/유광코팅/양면 출력매수 300장 이상
t_prc_component_prices,151,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥400,코팅(3절)/유광코팅/단면 출력매수 400장 이상
t_prc_component_prices,152,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥400,코팅(3절)/유광코팅/양면 출력매수 400장 이상
t_prc_component_prices,155,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥500,코팅(3절)/유광코팅/단면 출력매수 500장 이상
t_prc_component_prices,156,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥500,코팅(3절)/유광코팅/양면 출력매수 500장 이상
t_prc_component_prices,159,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥700,코팅(3절)/유광코팅/단면 출력매수 700장 이상
t_prc_component_prices,160,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥700,코팅(3절)/유광코팅/양면 출력매수 700장 이상
t_prc_component_prices,163,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥900,코팅(3절)/유광코팅/단면 출력매수 900장 이상
t_prc_component_prices,164,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥900,코팅(3절)/유광코팅/양면 출력매수 900장 이상
t_prc_component_prices,167,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥1000,코팅(3절)/유광코팅/단면 출력매수 1000장 이상
t_prc_component_prices,168,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥1000,코팅(3절)/유광코팅/양면 출력매수 1000장 이상
t_prc_component_prices,171,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥1500,코팅(3절)/유광코팅/단면 출력매수 1500장 이상
t_prc_component_prices,172,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥1500,코팅(3절)/유광코팅/양면 출력매수 1500장 이상
t_prc_component_prices,175,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/단면 출력매수≥2500,코팅(3절)/유광코팅/단면 출력매수 2500장 이상
t_prc_component_prices,176,COMP_COAT_GLOSSY,[siz-corrected: SIZ_PENDING_3JEOL→SIZ_000077] 코팅(3절)/유광코팅/양면 출력매수≥2500,코팅(3절)/유광코팅/양면 출력매수 2500장 이상
