prd_cd,product_group,axis,needed,owner_inspector,verdict,confidence,evidence,note
PRD_000192,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000193,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000193,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000193,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000193,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000194,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000194,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000194,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000194,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000195,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000195,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000195,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000195,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000196,굿즈파우치,옵션그룹,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),variant/가공 없음 단일상품
PRD_000196,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000196,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000196,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000197,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000197,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000197,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000197,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000198,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000198,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000198,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000198,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000199,굿즈파우치,옵션그룹,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),variant/가공 없음 단일상품
PRD_000199,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000199,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000199,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000200,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000200,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000200,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000200,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000201,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000201,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000201,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000201,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000202,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000202,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000202,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000202,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000203,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000203,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000203,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000203,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000204,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000204,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000204,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000204,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000205,굿즈파우치,옵션그룹,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),variant/가공 없음 단일상품
PRD_000205,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000205,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000205,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000206,굿즈파우치,옵션그룹,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),variant/가공 없음 단일상품
PRD_000206,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000206,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000206,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000207,굿즈파우치,옵션그룹,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),variant/가공 없음 단일상품
PRD_000207,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000207,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000207,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000208,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000208,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000208,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000208,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000209,굿즈파우치,옵션그룹,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),variant/가공 없음 단일상품
PRD_000209,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000209,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000209,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000210,굿즈파우치,옵션그룹,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),variant/가공 없음 단일상품
PRD_000210,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000210,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000210,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000211,굿즈파우치,옵션그룹,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),variant/가공 없음 단일상품
PRD_000211,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000211,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000211,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000212,굿즈파우치,옵션그룹,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),variant/가공 없음 단일상품
PRD_000212,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000212,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000212,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000213,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000213,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000213,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000213,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000214,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000214,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000214,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000214,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000215,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000215,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000215,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000215,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000216,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000216,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000216,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000216,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000217,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000217,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000217,굿즈파우치,추가상품,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),addons 0행(전역 addon=PRD_000016만). 추가상품 옵션 보유 미배선
PRD_000217,굿즈파우치,추가상품 템플릿,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),templates/sets 0행. addon 5상품과 동치 needed
PRD_000218,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000218,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000218,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000218,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000219,굿즈파우치,옵션그룹,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),variant/가공 없음 단일상품
PRD_000219,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000219,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000219,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000220,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000220,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000220,굿즈파우치,추가상품,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용
PRD_000220,굿즈파우치,추가상품 템플릿,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),추가상품 미사용=템플릿 불요
PRD_000221,굿즈파우치,옵션그룹,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),option_groups/options/option_items 라이브 0행(전 굿즈 0). DEAD_LINK/ORPHAN 불가(해소 대상 0)
PRD_000221,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000221,굿즈파우치,추가상품,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),addons 0행(전역 addon=PRD_000016만). 추가상품 옵션 보유 미배선
PRD_000221,굿즈파우치,추가상품 템플릿,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),templates/sets 0행. addon 5상품과 동치 needed
PRD_000222,굿즈파우치,옵션그룹,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),variant/가공 없음 단일상품
PRD_000222,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000222,굿즈파우치,추가상품,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),addons 0행(전역 addon=PRD_000016만). 추가상품 옵션 보유 미배선
PRD_000222,굿즈파우치,추가상품 템플릿,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),templates/sets 0행. addon 5상품과 동치 needed
PRD_000223,굿즈파우치,옵션그룹,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),variant/가공 없음 단일상품
PRD_000223,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
PRD_000223,굿즈파우치,추가상품,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),addons 0행(전역 addon=PRD_000016만). 추가상품 옵션 보유 미배선
PRD_000223,굿즈파우치,추가상품 템플릿,Y,cpq-link,MISSING,HIGH,라이브 0행; needed=Y인데 미적재(전건 MISSING),templates/sets 0행. addon 5상품과 동치 needed
PRD_000224,굿즈파우치,옵션그룹,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),variant/가공 없음 단일상품
PRD_000224,굿즈파우치,제약규칙,N,cpq-link,N/A,HIGH,라이브 0행=정합(needed=N),constraints 0행(범위 내 EXTRA 0). 별표=신규기종 마커일뿐
