prd_cd,prd_nm,current_qty_unit_typ_cd,target_qty_unit_typ_cd,use_yn,_provenance,_sheet
PRD_000031,프리미엄명함,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000032,코팅명함,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000033,스탠다드명함,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000034,펄명함,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000035,모양명함,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000036,미니모양명함,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000037,오리지널박명함,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000038,형압명함,NULL,QTY_UNIT.02,N,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000039,투명명함,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000040,화이트인쇄명함,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000041,스탠다드 쿠폰/상품권,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000042,프리미엄 쿠폰/상품권,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000043,인쇄배경지(OPP봉투타입),NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000044,인쇄배경지(투명케이스타입),NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000045,인쇄헤더택,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000046,라벨/택,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000047,소량전단지,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000048,접지리플렛,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000049,와이드 접지리플렛,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000050,봉투제작,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000051,썬캡,NULL,QTY_UNIT.02,N,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000068,중철책자,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6),booklet
PRD_000069,무선책자,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6),booklet
PRD_000070,PUR책자,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6),booklet
PRD_000071,트윈링책자,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6),booklet
PRD_000072,하드커버책자,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6),booklet
PRD_000077,레더 하드커버책자,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6),booklet
PRD_000082,하드커버 링책자,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6),booklet
PRD_000088,레더 링바인더,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6),booklet
PRD_000094,엽서북,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6),booklet
PRD_000097,떡메모지,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6),booklet
PRD_000100,포토북 [디자인명],NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6),booklet
PRD_000172,만년다이어리(소프트커버),NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6),stationery
PRD_000173,만년다이어리(하드커버),NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6),stationery
PRD_000174,만년다이어리(레더하드커버),NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6),stationery
PRD_000175,만년다이어리(레더소프트커버),NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6),stationery
PRD_000176,먼슬리플래너,NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6),stationery
PRD_000177,스프링노트,NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6),stationery
PRD_000178,스프링수첩,NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6),stationery
PRD_000179,메모패드,NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6),stationery
PRD_000180,메모패드(내지커스텀) 준비중,NULL,QTY_UNIT.03,N,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6),stationery
PRD_000181,중철노트,NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6),stationery
PRD_000097,떡메모지,NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6),stationery
PRD_000052,반칼 자유형 스티커,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(sticker 낱장=매=QTY_UNIT.02). 라이브 현재 NULL (R6/G-SK-7),sticker
PRD_000053,반칼 자유형 투명스티커,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(sticker 낱장=매=QTY_UNIT.02). 라이브 현재 NULL (R6/G-SK-7),sticker
PRD_000054,반칼 자유형 홀로그램스티커,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(sticker 낱장=매=QTY_UNIT.02). 라이브 현재 NULL (R6/G-SK-7),sticker
PRD_000055,낱장 자유형 스티커,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(sticker 낱장=매=QTY_UNIT.02). 라이브 현재 NULL (R6/G-SK-7),sticker
PRD_000056,낱장 자유형 투명스티커,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(sticker 낱장=매=QTY_UNIT.02). 라이브 현재 NULL (R6/G-SK-7),sticker
PRD_000057,대형 자유형 스티커,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(sticker 낱장=매=QTY_UNIT.02). 라이브 현재 NULL (R6/G-SK-7),sticker
PRD_000058,반칼원형스티커,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(sticker 낱장=매=QTY_UNIT.02). 라이브 현재 NULL (R6/G-SK-7),sticker
PRD_000059,반칼정사각스티커,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(sticker 낱장=매=QTY_UNIT.02). 라이브 현재 NULL (R6/G-SK-7),sticker
PRD_000060,반칼직사각스티커,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(sticker 낱장=매=QTY_UNIT.02). 라이브 현재 NULL (R6/G-SK-7),sticker
PRD_000061,반칼띠지스티커,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(sticker 낱장=매=QTY_UNIT.02). 라이브 현재 NULL (R6/G-SK-7),sticker
PRD_000062,반칼팬시스티커,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(sticker 낱장=매=QTY_UNIT.02). 라이브 현재 NULL (R6/G-SK-7),sticker
PRD_000063,반칼팬시투명스티커,NULL,QTY_UNIT.02,N,C-4 상품군별 일괄(sticker 낱장=매=QTY_UNIT.02). use_yn=N 미출시이나 컬럼 업데이트 무해(출시 시 즉시 유효). 라이브 현재 NULL (R6/G-SK-7),sticker
PRD_000064,소량자유형스티커,NULL,QTY_UNIT.02,N,C-4 상품군별 일괄(sticker 낱장=매=QTY_UNIT.02). use_yn=N 미출시. 라이브 현재 NULL (R6/G-SK-7),sticker
PRD_000065,스티커팩,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(sticker 팩도 낱장계열 매=QTY_UNIT.02). 라이브 현재 NULL (R6/G-SK-7),sticker
PRD_000066,합판도무송스티커,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(sticker 낱장=매=QTY_UNIT.02). 라이브 현재 NULL (R6/G-SK-7),sticker
PRD_000067,타투스티커,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(sticker 낱장=매=QTY_UNIT.02). 라이브 현재 NULL (R6/G-SK-7),sticker
PRD_000108,탁상형캘린더,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(캘린더=EA=QTY_UNIT.01). 라이브 현재 NULL (R6 G-CL-6),calendar
PRD_000109,미니탁상형캘린더,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(캘린더=EA=QTY_UNIT.01). 라이브 현재 NULL (R6 G-CL-6),calendar
PRD_000110,엽서캘린더,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(캘린더=EA=QTY_UNIT.01). 라이브 현재 NULL (R6 G-CL-6),calendar
PRD_000111,벽걸이캘린더,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(캘린더=EA=QTY_UNIT.01). 라이브 현재 NULL (R6 G-CL-6),calendar
PRD_000112,와이드벽걸이캘린더,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(캘린더=EA=QTY_UNIT.01). 라이브 현재 NULL (R6 G-CL-6),calendar
PRD_000146,아크릴키링,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴키링 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000147,아크릴마그넷,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴마그넷 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000148,아크릴뱃지,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴뱃지 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000149,아크릴집게,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴집게 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000150,아크릴스마트톡,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴스마트톡 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000151,맥세이프 스마트톡,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 맥세이프 스마트톡 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000152,아크릴명찰,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴명찰 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000153,아크릴명찰(골드실버),NULL,QTY_UNIT.01,N,C-4 굿즈→EA: 아크릴명찰(골드실버) qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000154,아크릴 머리끈,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴 머리끈 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000155,아크릴볼펜,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴볼펜 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000156,아크릴지비츠,NULL,QTY_UNIT.01,N,C-4 굿즈→EA: 아크릴지비츠 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000157,아크릴네임택,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴네임택 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000158,아크릴 포카키링,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴 포카키링 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000159,아크릴 코스터,NULL,QTY_UNIT.01,N,C-4 굿즈→EA: 아크릴 코스터 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000160,아크릴자유형스탠드,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴자유형스탠드 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000161,판아크릴,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 판아크릴 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000162,아크릴포카스탠드,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴포카스탠드 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000163,아크릴미니파츠,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴미니파츠 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000164,아크릴코롯토,NULL,QTY_UNIT.01,N,C-4 굿즈→EA: 아크릴코롯토 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000165,포카코롯토,NULL,QTY_UNIT.01,N,C-4 굿즈→EA: 포카코롯토 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000166,아크릴카라비너,NULL,QTY_UNIT.01,N,C-4 굿즈→EA: 아크릴카라비너 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000168,아크릴입체코롯토,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴입체코롯토 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000169,아크릴입체블럭,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴입체블럭 qty_unit NULL → QTY_UNIT.01(EA),acrylic
PRD_000118,아트프린트포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000119,아트페이퍼포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000120,방수포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000121,접착방수포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000122,접착투명포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000123,아트패브릭포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000124,린넨패브릭포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000125,캔버스패브릭포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000126,레더아트프린트,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000127,타이벡프린트,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000128,메쉬프린트,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000129,폼보드,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000130,포맥스보드,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000131,프레임리스우드액자,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000132,레더아트액자,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000133,캔버스 행잉포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000134,린넨 우드봉 족자,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000135,족자포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000136,PET배너,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000137,메쉬배너,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000138,일반현수막,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000139,메쉬현수막,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000140,무광시트커팅,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000141,홀로그램 시트커팅,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000142,유광아크릴스티커,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000143,미러아크릴스티커,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000144,미니보드스탠딩,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000145,미니배너,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌,silsa
PRD_000100,포토북 [디자인명],NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(photobook=권). R5 G-PB-6. 라이브 현재 NULL(글로벌 272 NULL). 포토북=책자형 1권 단위 → 권(QTY_UNIT.03). 세트(QTY_UNIT.04) 대안은 컨펌 D-PB-5,photobook
PRD_000001,OPP접착봉투,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL,product-accessory
PRD_000002,OPP비접착봉투,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL,product-accessory
PRD_000003,트래싱지 카드봉투,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL,product-accessory
PRD_000004,카드봉투,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL,product-accessory
PRD_000005,캘린더봉투,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL,product-accessory
PRD_000006,볼체인,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL,product-accessory
PRD_000007,와이어링,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL,product-accessory
PRD_000008,천정고리,NULL,QTY_UNIT.01,N,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL,product-accessory
PRD_000009,투명케이스,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL,product-accessory
PRD_000010,행택끈,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL,product-accessory
PRD_000011,자석고정용고무판,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=봉투/케이스 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL,product-accessory
PRD_000012,우드거치대,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(부자재 PRD_TYPE.03=상품액세서리 기본단위=EA=QTY_UNIT.01). 라이브 현재 NULL,product-accessory
