legacy_id,원천,원판정,돈여부,주문여부,기능서술
P-19SHEET-BATCH-01,runway,검증대기,True,False,계층4 전 19시트 전사슬 배치화 미완
P-3JEOL-01,runway,미착수,True,False,3절 라인 — 썬캡 아이보리 용지단가 국4절 carry(~20% 저평가) + 나머지 3상품 미완성
P-ACC-20-01,runway,검증대기,True,True,상품악세사리 20건 L1(기성) — 고정가 라이브 적재 여부 미실측
P-ACRYL-ADDON-6-01,runway,미착수,True,True,아크릴 부속 미청구 (147~154) — 6상품 본체전용 공식 + 부속 옵션 미노출
P-ACRYL-INTEGRITY-156-01,runway,미착수,True,True,아크릴 무결성 게이트 NO-GO — 면적 미적재 156셀 + 12/13 상품 공식 0바인딩
P-ACRYL-RINGCONFIRM-01,runway,검증대기,True,False,아크릴키링 고리 견적 실화면 + 아크릴 3상품 입력경로 규명 (담당자 회신 대기)
P-ACRYL-TBD-01,runway,미착수,True,True,"아크릴 단가 미수신 — *_TBD 6건(단가/구성) · TBD 4상품(165/168/169/170) 단가행 부재 · 163 placeholder 10,000"
P-ANCHOR-149-01,runway,미착수,True,True,깨진 가격 앵커 149건 / 40상품 — 화면에 보이는데 0원
P-AREA-CUSTOM-01,runway,미착수,True,True,비규격 사용자입력 면적가 미배선 — 폼보드129 · 맥세이프151
P-AUTH-3SHEET-01,runway,미착수,True,False,권위 3시트 260705 재추출 미완 (엽서북떡메·제본·출력소재IMPORT)
P-AXIS-265-01,runway,미착수,True,True,축(차원) 미적재 265건 — needed=Y인데 라이브에 없음
P-BLEED-32-01,runway,미착수,True,False,HOLD_BASIS 32건 — 라이브 완제품 사이즈에 블리드 미적용(자동제외 중)
P-BOOK-5ITEM-01,runway,미착수,True,False,068~070 책자 표지/내지 5비목 누락 — 저청구
P-CALENDAR-DESIGNBLOCKED-5-01,runway,미착수,True,True,캘린더 5건 전부 DESIGN_BLOCKED — 가격공식 설계 자체가 막힘
P-CAT-INTEGRITY-01,runway,미착수,False,True,라이브 카테고리 귀속 무결성 — 미귀속 상품(072·077·110 등) · main_cat_yn 결손 · 말단 미매칭 6건
P-CATCONF-QUEUE-01,runway,미착수,True,False,카테고리 교정 큐 (전 11시트) — 아크릴20 미바인딩 · GP-2 FORMULA · CPQ MISS · 배치1~3 NO-GO 교정명세
P-CONSTRAINT-DATA-01,runway,미착수,False,True,OQ-G15 제약규칙(B15) 데이터 정리 미완 (1차 W5-7)
P-CONSTRAINT-OG-048-01,runway,미착수,False,False,048/049 코팅×종이두께 옵션그룹 미적재 — 제약 UI 등록 BLOCKED
P-CPQ-CLASSA-01,runway,미착수,False,True,CPQ 클래스A 즉시 교정 2건 — PRD_000146 고리 그룹 sel_typ/min/max NULL · TMPL-000013 테스트 잔재
P-CPQ-OPT-020-01,runway,미착수,False,True,PRD_000020 화이트인쇄엽서 옵션 미적재(NOOPT) — 종이·인쇄·후가공 선택 UI 부재
P-D5-17-01,runway,검증대기,True,False,D5 미실측 17건 (UNSCORED·축 미탑재) — 명함 6건 포함
P-DBMAP-APPROVAL-01,runway,설계완료·구현대기,True,False,dbmap 승인 대기 잔여 — 아크릴 다중옵션 부속 3 · 146 볼체인 addon · 맥세이프 바디가격(업체 미정) · 스티커 나머지 CPQ · 책자 070/097
P-DBMAP-NEXT-01,runway,미착수,True,False,dbmap 다음 시작점 — 문구·아크릴 잔여 시트 가격/CPQ 확대 (또는 §27 배선 잔여)
P-DBMAP-OPEN-01,runway,미착수,True,False,dbmap 최신 미해결 — 폰케이스류·아크릴스탠드 addon(base 상품 없음) · 220 orphan siz · 217 빈 잉크칼라 · 무가격5
P-DBMAP-UNDERCHARGE-01,runway,미착수,True,False,돈크리티컬 저청구 3건 묶음 — 캘린더 장수 공식 약 12배 저청구 · 책자071 트윈링 · 실사 미니배너/미니보드 수량 floor
P-DCAL-LOAD-01,runway,설계완료·구현대기,True,False,디자인캘린더 실 적재 승인 대기 — Q-DCAL 컨펌 5건 선결 (AUTHORITY·ROUTE·FIN·ENVELOPE·DSC)
P-DEADPARENT-500-01,runway,미착수,False,True,옵션 항목 500건 / 74상품이 죽은 부모에 매달림 — 선택지 손실 (전건 인간 판정)
P-DEDUP-AXISMOVE-01,runway,미착수,False,False,자재 252/254 축이동 대기 (BLOCKED) — 캘린더 삼각대 자재→공정 param 축이동 미결
P-DEDUP-CATBLIND-01,runway,미착수,False,True,round-24 D-1 정정 필요 — category-blind dedupe 오류로 다중분류 의도 소실 (타 상품군 동형 오류 가능)
P-DEDUP-PROC-3-01,runway,미착수,True,False,"공정 중복정리 BLOCKED 3건 (미싱086·오시090·타공092) — 부모↔자식 가격사슬 단절, 논리삭제 시 가격 전손"
P-DEDUP-SIZE-BLOCKED-01,runway,미착수,True,False,사이즈 중복정리 BLOCKED — D-2/D-3(A3 174/315 · A2 197/317) 가격종속 · SIZ_000499 판형 모델링 의도 미확인
P-DELYN-SIZE-01,runway,미착수,True,True,옵션 참조 사이즈 행 논리삭제로 견적 0원 — 5상품 10건 (D-001~D-005 · E_CELL_SHORT)
P-DESIGNED22-01,runway,설계완료·구현대기,True,True,DESIGNED_NOT_LOADED 22건 — 설계만 되고 라이브 미적재 (돈크리티컬)
P-DIECUT-2-01,runway,검증대기,True,False,완칼 die-cut 절대값 골든 미검증 (023/046 pcode 미상)
P-DIGITAL-BW-01,runway,미착수,True,True,디지털 흑백 1도 POPT_000008/009 상품 미연결 — 단가는 적재됐으나 손님이 선택 불가
P-DRIFT-10-01,runway,미착수,True,False,verify_price_coverage 실측 10 findings — HANDOFF의 '전수 DRIFT 0' 주장과 불일치
P-DTLOPT-SWEEP-01,runway,미착수,True,False,옵션 dtl_opt 누락 전수 점검(저청구 헌팅) 미실행 — 다른 상품도 동일 원인 저청구 가능
P-DUPSIZE-WIRING-01,runway,미착수,True,False,DUP_SIZE_WIRING 22셀 / 11상품 — 중복 사이즈 배선 (§17 선행 필수)
P-EDICUS-MISSING-01,runway,미착수,False,True,EDICUS 미등록/결손 — 셋트문구 5종 · 레더하드커버 · 벽걸이캘린더 2사이즈
P-EDITORYN-01,runway,미착수,True,True,editor_yn 교정 미적용 — N→Y 13건 · Y→N 5건 (5건은 PRICE=0 위험)
P-EDX-BOOK5-01,runway,미착수,True,False,"D-16 책자 5종 배선 단절 — PRD_000072는 총액 796,900원인데 구성원 기여 0"
P-EDX-HIGH40-01,runway,미착수,True,False,🟠HIGH 40건 — 셋트 합산 제외 7 · size_blind 6 · 가격 무차별(단일고정가) 25
P-EDX-MISSINGCELL-01,runway,미착수,True,False,missing-cells 38건 — BINDING_FAIL·미적재/오배선 셀
P-EDX-SIZECONF-01,runway,미착수,True,False,차원 정합 결함 248행 (🔴53 · 🟠40 · 🟡110 · ⚪45) — 🔴53 전수 재검증 필요
P-FOIL-DTLOPT-01,runway,미착수,True,False,박 공정상세옵션(prcs_dtl_opt) 설계 미완 + 적재본 미작동 (key=siz_width 교체 필요)
P-FOIL-E2E-01,runway,검증대기,True,False,박 분기 활성(2026-07-01) 후 시뮬레이터 e2e 미실행 — 6상품 본체+박 합계 미확인
P-GOLDEN-83-01,runway,검증대기,True,False,"골든 전수대조 미수행 — L3+ 83상품은 계산만 성립, 정답가 미검증"
P-GOODS-AXIS-NORM-01,runway,미착수,True,False,굿즈 축 오적재 — 판형 85행 EXTRA(작업·재단 사이즈가 판형에) + 자재 76행 MISMATCH(옵션값 67행 혼입)
P-GOODS-DIRECTPRICE-01,runway,미착수,True,True,굿즈파우치 97건 — 직접단가 110건 미적재 (최대 미적재 구멍)
P-GOODS-DISCOUNT-203-01,runway,미착수,True,False,PRD_000203 할인타입 DSC_ACR_QTY 오귀속 — 굿즈에 아크릴 할인표가 물림 (잠재 오청구)
P-GOODS-NOAUTH-5-01,runway,미착수,True,True,굿즈 NO_AUTHORITY 5상품 — 가격·선택가격 둘 다 비어 권위 자체가 없음 (투명부채·미니CD앨범·극세사타월·타이벡북커버·말랑증사홀더)
P-GOODS57-LOAD-01,runway,설계완료·구현대기,True,True,굿즈 57상품 가격 적재 미실행 (적재본 323행·band 배정 준비 완료)
P-HDX-BACKLOG-01,runway,미착수,True,False,hdx 백로그 — 원자합산형 수량정합 · 검토11 권위대조 · 명함 박 저청구 · 레더링바인더A4 적재
P-HYGIENE-670-01,runway,검증대기,False,False,데이터 위생 — WORK_NULL 115 · MULTI_DFLT 86 · 미태깅 421 · 규격-0size 48 · TAG_MISMATCH 55
P-L0-7-01,runway,미착수,False,True,L0 미적재 7상품 — 상품·구성요소가 라이브에 아예 없음(엑셀에만 존재)
P-L1-109-01,runway,미착수,True,True,L1 구성요소만 109상품 — 가격공식 미바인딩 (D2 FAIL)
P-L2-31-01,runway,미착수,True,False,L2+ 근접 31상품 — 공식은 붙었으나 골든 미달(WARN)
P-MAT-PRICEGAP-01,runway,미착수,True,False,자재 price_gap 26항목 / 8상품 — 자재는 적재됐으나 단가행 없음
P-MATPOLLUTE-26-01,runway,미착수,False,False,자재 오염 .08/.10 (26행) — 색/형상/사이즈/구수가 자재행에 오적재된 잔재
P-MATPOLLUTE-WIDGET-3-01,runway,미착수,True,False,게이트 Q6 조건 — 자재오염 위젯 누수 3건 제외 강제
P-MINIBOARD-QTY-01,runway,미착수,True,True,미니보드스탠딩(144)·미니배너(145) 수량축 — min1 < 완제품가 시작4 저청구 + 1~3개 견적불가
P-MISMAP-FP-12-01,runway,검증대기,False,False,오매핑 FP 가드 12건 — 오염이 아닐 수 있어 판정 필요
P-MUG-193-01,runway,미착수,True,True,"머그컵(193) 반투명·투명 7,500 가격축 통째 소실 — 손님이 선택 불가"
P-NAMECARD-MAT-01,runway,미착수,True,False,명함 034 펄 · 040 화이트 자재 collapse (등록 MAT ≠ 단가행 MAT) + 037 박 CPQ 옵션그룹 선결
P-NEEDSBASICS-97-01,runway,미착수,True,True,NEEDS_BASICS_FIRST 97건 (굿즈/파우치 87 포함) — 차원·자재부터 필요
P-OPT-D7-65-01,runway,미착수,False,True,위젯 착수 가능 83상품 중 D7(옵션) PASS 18뿐 — 65상품 옵션 미비
P-ORPHAN-211-01,runway,미착수,True,False,가격사슬 순환고리 잔여 211 — 죽은공식 11 · 공식미연결 상품 125 · 죽은구성요소 21 · EMPTY_DECL 54
P-OVERCHARGE-8-01,runway,미착수,True,False,§21 확증 과대청구 8건 — use_dims 판별차원 미충전으로 단가행이 전부 매칭돼 silent 합산
P-PED-BOOK-W12-01,runway,미착수,True,False,책자 W1 제본비 재배선 · W2 중철 단가행 교정 — 돈크리티컬 과청구 50%
P-PED-BOOK-W34-01,runway,미착수,True,False,책자 완성가 (W3/W4 표지+내지 부품 합산) — DV-BK2/BK3/BK4 저청구 위험
P-PED-CANVAS-01,runway,미착수,True,False,Q-SB-CH1 — CANVAS_HANGING 차원 정합 (셀 표기 분리)
P-PED-DSCLINK-4-01,runway,미착수,True,False,"Q-ST-DSC-LINK (돈크리티컬) — DSC_STAT_QTY 링크 누락 4건, 누락 시 +150,000 과청구"
P-PED-NEXT-01,runway,미착수,True,False,가격엔진 설계 다음 시작점 — 실 적재 승인 큐 소진 · 확정 결함 정립(D-CB-1/2/4) · 인간 결정 큐
P-PED-POSTER-WIRE-01,runway,미착수,True,False,"G-S1 — 후가공 배선 0건 (PRF_POSTER disp_seq 2~), 컨펌큐 해소 후 배선"
P-PED-PUNCH-01,runway,미착수,True,False,"Q-SB-PUNCH-DIM — 배너 후가공 판별차원 미충전 시 타공 4+6+8 silent 합산 20,000 과청구"
P-PED-STATIONERY-9-01,runway,설계완료·구현대기,True,False,문구 본체 9건 product_prices INSERT · 떡메모 PRD_000097 바인딩 미실행
P-PETBANNER-136-01,runway,미착수,True,False,"RC-2 PET배너(136) HOLD-1 — 거치대 택1 그룹 의미 중복, 실무진 CONFIRM 후 적재"
P-PHOTOBOOK-D12-01,runway,미착수,True,False,D-12 포토북 10x10 × 소프트커버 단가행 부재 → 0원 (런칭 차단)
P-PHOTOBOOK-DBL-01,runway,미착수,True,False,"포토북100 셋트 이중합산 의심 (final 2,700,000 vs set_contrib 1,500,000)"
P-PHOTOBOOK-PAGEFEE-01,runway,미착수,True,False,D-15 포토북 페이지비 전액 미청구 — 건당 최대 315만원 누락 (최우선 런칭 차단)
P-PHOTOCARD-024-01,runway,미착수,True,True,포토카드(024) 셋트 옵션 선택 시 묶음수 차원이 화면에 없어 0원
P-POSTER-FORMULA-SPLIT-01,runway,미착수,True,False,실사 27상품 가격사슬 단절 — 28상품이 단일 공식에 묶였는데 그 공식은 인화지 1개만 합산
P-POSTER-OPT-POLLUTION-01,runway,미착수,True,True,실사 28상품(특히 134/135) 옵션 레이어 오염 — 도수·사이즈·자재·스티커·후가공이 타상품에서 대량 혼입 (면적 적재 1차 차단)
P-POSTER-TRANSPOSE-01,runway,미착수,True,False,포스터사인 transpose 687셀 — blanket swap 단독은 NO-GO(14셀 회귀) + 진짜 미적재 2셀
P-PRD042-MISWIRE-01,runway,미착수,True,True,PRD_042 스타드림 '종이' 옵션 ref가 비종이 굿즈 자재로 오배선 → 잘못된 금액 발현 (codex 적발)
P-PRICED0-6-01,runway,미착수,True,True,PRICED-0 돈크리티컬 6건 — 위젯 절대 제외 (077/082/088 적재 여부 하네스 간 불일치)
P-PRINTLY-HUNI-SIZE-01,runway,미착수,True,False,후니 반칼원형 작은 원형 사이즈 미등록 + dflt_yn 3중복
P-PRODUCT-IMAGE-01,runway,미착수,False,False,상품 이미지 전건 미등록 — 라이브 DB에 소스 자체가 없음
P-QUOTE0-100-01,runway,미착수,True,True,견적0 100상품 (NEEDS_BASICS_FIRST 67 포함)
P-QUOTE0-NAMECARD-01,runway,미착수,True,True,명함 계열 견적0 — 프리미엄명함031·펄명함034·047 용지 미배선
P-RC1-PRESET-01,runway,미착수,True,False,"RC-1 프리셋(R-B3-PRICE) 미모델링 — 실사 118/120/121/123 A3/A2/A1 프리셋 과대청구(A3·A2 +5,000 · A1 +8,000)"
P-READINESS-FOLLOWUP-3-01,runway,미착수,True,False,준비도 후속 3건 (§26 배지 반영·의심시트 셀단위·돈크리티컬 교정)
P-REVERSE-4-01,runway,미착수,True,False,역방향 4건 (인쇄배경지 74×74류 SIZ_000039~042) — 올바른 판형 회신 대기
P-REVIEW-25-01,runway,검증대기,False,False,REVIEW 잔여 25건 — 대부분 분담 FP·기추적
P-SET-072-01,runway,설계완료·구현대기,True,False,072 면지 통합 재설계 COMMIT 승인 대기 · 내지 반제품 승격 그릇 적재 대기
P-SET-088-01,runway,설계완료·구현대기,True,True,088 레더링바인더 재설계 적재 승인 대기 (게이트 S1~S8 GO·COMMIT 미실행) · 면지 전파 조율 · 실무진 공유
P-SET-INNER-PAGE-01,runway,미착수,True,False,D-2 내지 페이지가격 미실현 — semi_role.01 부재로 내지비 0
P-SET-MEMBRANE-PRINT-01,runway,미착수,True,False,D-3 인쇄면지(082 MAT_385·088) 인쇄비 0 — 면지 멤버 무공식
P-SET-PREMIUM-UNDER-01,runway,미착수,True,False,"프리미엄 정확값 트랙 저청구 잔존 (077 레더 +3,900 · 082 면지 유료 · 표지/면지 ×2)"
P-SILENT-7-01,runway,미착수,True,False,돈크리티컬 silent 합산 7건 — 타 상품 부속이 자재로 묵음 가산
P-SIZEMAP-214-01,runway,미착수,True,False,verify_size_mapping 실측 214 findings / 128 warns (260714)
P-SOT-RELOAD-65-01,runway,미착수,True,False,SOT 260702 재적재 후속 33+32셀 별도 High 큐
P-STATIONERY-SPARSE-01,runway,미착수,True,False,문구 sparse grid 충전 · 무지내지 min/max · 177 재분류 · 굿즈 NEITHER-gap 가격 적재
P-STICKER-INTEGRITY-01,runway,미착수,True,False,스티커 무결성 게이트 NO-GO — 돈크리티컬 실결함 다수 라이브 재현
P-STICKER-REPRICE-01,runway,미착수,True,False,가격표 260702 스티커 소재 연당가 변경 → 스티커 가격사슬 재적재 필요 (High)
P-UNDER-5-01,runway,미착수,True,False,진짜 저청구 5건 webadmin 확증 대기 — 타공·UV평판·도장인쇄·전사인쇄
P-UNDERCHARGE-BATCH-3-01,runway,미착수,True,False,배치 적발 저청구 3건 실무진 액션 대기 — 메쉬배너 타공 dtl_opt 누락 · TRAP_MIN 8상품 · 출력소재 specialty 30셀 미적재
P-USAGECD-3-01,runway,미착수,False,False,usage_cd 표시명 정합 (068~070 표지/내지 자재) — 가격 무관
P-VERIFY-104-01,runway,검증대기,True,False,I-VERIFY-1 가격소스 보유 104상품 strict 실호출 final_price>0 실비율 미검증
P-VERIFY-SET7-01,runway,검증대기,True,False,I-VERIFY-3 셋트 7부모 evaluate_set_price PRICE≠0·이중합산 0 미검증
P-WIDGET-BLOCKED-200-01,runway,미착수,False,True,위젯 선행 불가 200상품 (준비도 L3 미만)
P-WIRE-PROPOSAL-LOAD-01,runway,설계완료·구현대기,True,False,round-19 가격 폐루프 제안본 3종 DB 미적재 (명함 공식분리·031 박·033 MATGROUP·042 박 공용 comp)
P-WRONGCODE-4-01,runway,미착수,True,False,사이즈 WRONG_CODE 4건 미교정 — 스티커 그리드 540행 재키 결합 블로커
P-YELLOW-CAT-01,runway,미착수,True,False,OQ-8 YELLOW 카테고리 미적재 상품 — 진성 부재인가 적재 대상인가 미판정
P-ZEROQUOTE-119-01,runway,미착수,True,True,0원 견적 조합 119건 / 32상품 — 손님이 0원에 주문 가능 (4주째 OPEN)
X-AGED-ADMIN-01,runway,검증대기,False,False,admin-analysis / feature-matrix 출처 AGED (3.5개월) — 라이브 재확인 권장
X-BATCH-REST-01,runway,미착수,False,False,통합 배치 hdx 가격 파일럿 잔여 (전부 선택) — codex 2차 · 타 도메인 확장
X-CHK-CS-01,runway,미착수,False,False,고객센터 응대 스크립트·FAQ 미확인
X-CHK-DNS-01,runway,미착수,False,False,도메인·SSL·DNS 전환 계획 미확인
X-CHK-PGTEST-01,runway,미착수,False,False,테스트 결제 전 구간 리허설 미확인 — 카드·계좌·취소·부분취소·환불
X-CHK-TRAINING-01,runway,미착수,False,False,운영자 교육·인수인계 세션 미확인
X-CONFIRM-BASECODE-5-01,runway,미착수,False,False,기초코드 컨펌 큐 5건 (AX-5·B-PO-1·PO-1b·AX-6·SZ-2) 사용자/실무진 결정 대기
X-CONFIRM-DSCDOUBLE-01,runway,미착수,True,False,Q-ST-DSC-DOUBLE — 떡메모 unit 내장 볼륨할인 위에 DSC_STAT_QTY 추가 = 의도된 추가할인 vs 이중할인
X-CONFIRM-FOIL-042-SHEET-01,runway,미착수,True,False,WIRE-3b 042 박 소형/대형 시트 권위(박 면적) 미확정 — 실무진/디자인 회신 대기
X-CONFIRM-FOILAREA-01,runway,미착수,False,False,박영역 상한 CONFIRM (Q-FOIL-SIZE2) — 027/069/070 트림이 대형격자 초과
X-CONFIRM-FOMEX-01,runway,미착수,True,True,"포맥스 컨펌큐 — A1 3종 미적재 · 3mm 권위충돌(8,300/11,500 vs 8,500/13,000) · mat×siz 교차조합 0원"
X-CONFIRM-GOODS-FIN1-01,runway,미착수,True,False,굿즈 가격 의미 컨펌 2건 — C-GP-4 가공 가산 개당 vs 1회 정액(라벨·맥세이프·에폭시) · C-GP-5 구수 가격축 여부
X-CONFIRM-MAT32-01,runway,미착수,False,False,자재 MAT_000032 적재 승인 보류 — 사용자 '질문 명확화' 요청 미해소
X-CONFIRM-MEMOPAD-01,runway,미착수,True,False,Q-ST-MEMO1 — 메모패드 2사이즈 2가격 = 사이즈 차원 공식 vs 별 prd_cd 미결
X-CONFIRM-PRICE-2-01,runway,미착수,True,False,돈크리티컬 가격 권위충돌 2건 — 일반현수막 타공수8 라이브 8000 vs 권위 5000 · 족자 천정고리 라이브 6500 vs 권위 '4000?'
