std_id,대분류,기능,매핑legacy_id,매핑asis_id,상태,근거,사유
STD-PRM-002,프로모션,리뷰 작성 보상 쿠폰 발행,,,new,,new — 리뷰 보상 쿠폰은 legacy 3원 어디에도 없음. 근거 print-kb/coupon.md#CPN-02(ia.md 오염 아님).
STD-PRM-003,프로모션,재구매 쿠폰 발행,,,new,,new — 재구매 쿠폰 미수록. 근거 print-kb/coupon.md#CPN-03(오염 아님).
STD-PRM-004,프로모션,회원등급(VIP) 쿠폰 발행,SCOPE-146;F-146,,todo,,회원등급(STD-MEM-018) 종속. 돈 걸림.
STD-PRM-005,프로모션,쿠폰 동시사용 개수 제한,SCOPE-126;IA-126;F-126,SB-029,partial,SB-029 done — huni-skin-shopby/src/lib/api/hooks/use-order-coupons.ts:34 (최대할인 계산),적용측 계산은 배선. 동시사용 개수 정책 설정 화면은 미구현.
STD-PRM-006,프로모션,쿠폰 유효기간 관리,SCOPE-126;IA-126;F-126,,todo,,쿠폰 발행·유효기간 관리 화면 L2 무근거(F-126 돈·L).
STD-PRM-007,프로모션,장바구니/주문서 쿠폰 적용,SCOPE-126;IA-126;F-126,SB-029,done,huni-skin-shopby/src/lib/api/hooks/use-order-coupons.ts:34,★status-flip: F-126 미착수(돈) 중 주문서 적용 축만 done.
STD-PRM-008,프로모션,리뷰 삭제 시 보상 회수,,,new,,new — 리뷰 삭제 시 보상 회수 규칙 미수록. 근거 print-kb/review.md#RVW-03(오염 아님).
STD-PRM-009,프로모션,사진 리뷰 추가 보상,SCOPE-018;IA-018;F-018,SB-052,todo,SB-052 done(리뷰 작성 자체),사진 리뷰 화면은 legacy 실재하나 「추가 보상」 규칙은 미수록·미구현.
STD-PRM-010,프로모션,기획전/할인 이벤트 페이지,SCOPE-155;SCOPE-088;IA-088;F-088,SB-001,todo,SB-001 partial — huni-skin-shopby/src/lib/legacy-data/hooks.ts:352-360 (프로모 데이터원 legacy mock 빈배열),legacy SCOPE-155 SOLVED(운영툴 native) vs 실측 빈 목록 — 충돌 보존.
STD-PRM-011,프로모션,체험단 모집·신청·당첨·후기,SCOPE-019;IA-019;F-019;SCOPE-090;IA-090;F-090;F-121;X-SHOPBY-NATIVE-01,,todo,,체험단 native 지원 범위 미확인. 3차 후보.
STD-PRM-012,프로모션,알림톡/SMS 마케팅 발송,X-SMS-CONTRACT-01;F-144,,todo,,알림톡/SMS 계약 미체결 — 1차 영향·조기 필요.
STD-PRM-013,프로모션,이메일 뉴스레터 발송,,,new,,new(★ia.md 오염) — 근거출처가 print-quote/04_design/ia.md 파생이라 §4-1 상 「독립 발견」으로 신뢰하면 과대평가. 후니 IA 계보 안에서 파생된 항목.
STD-PRM-014,프로모션,마케팅 수신동의 관리,SCOPE-004;IA-004;X-MIG-CONSENT-01,SB-038;SB-046,partial,"[L4b보강] huni-skin-shopby/src/lib/validations/auth.ts:67-68 (marketingSms/marketingEmail 수집) · src/lib/api/hooks/use-profile.ts:34,92 (smsAgreed 조회)",수집·조회는 배선. 이관 시 동의일시 날조 금지(X-MIG-CONSENT-01) 법적 리스크 잔존.
STD-B2B-001,B2B,거래처(기업회원) 등록·관리,SCOPE-095;IA-095;F-095,WA-060,partial,WA-060 partial — raw/webadmin/webadmin/catalog/models.py:87 (TCusCustomers 모델만·전용 운영화면 urls.py 부재),그릇은 있고 화면이 없다.
STD-B2B-002,B2B,거래처별 단가/할인율 설정,SCOPE-146;F-146;X-DEC-GRADE-01,,todo,,돈 걸림. 등급가 매핑 미결이 선행.
STD-B2B-003,B2B,거래처 소속 담당자 다계정,SCOPE-095;IA-095;F-095,WA-060,todo,WA-060 partial(모델만),다계정 구조 미구현.
STD-B2B-004,B2B,후불 여신한도 설정,F-141,,todo,,F-141 후불결제(돈·주문) 미착수.
STD-B2B-005,B2B,후불 주문 승인·미결제 관리,F-141,,todo,,후불 승인·미결제 관리 L2 무근거.
STD-B2B-006,B2B,월 마감 청구서 발행,SCOPE-098;IA-098;F-098,,todo,,돈 걸림(F-098). 원장 월마감 미구현.
STD-B2B-007,B2B,업체별 미수금 관리,SCOPE-099;IA-099;F-099,,todo,,돈 걸림(F-099).
STD-B2B-008,B2B,거래처 원장(온·오프라인 통합),SCOPE-098;IA-098;F-098;SCOPE-097;IA-097;F-097,,todo,,온·오프라인 통합 원장 + 계좌관리. 전부 CUSTOM.
STD-B2B-009,B2B,원장 데이터 파일 생성(.txt 연계),SCOPE-095;IA-095;F-095,,todo,,.txt 연계 생성 미구현.
STD-B2B-010,B2B,대량 견적 요청 접수·회신,F-070;F-116,SB-056,todo,SB-056 absent(문의 라우트 부재),대량견적 접수 창구 자체가 없음.
STD-B2B-011,B2B,견적서 발행(사업자 양식),F-051,,todo,,F-051 견적서 생성·다운로드는 L4a 도메인 std 와도 물린다 — legacy 1:N 공유(§4-2).
STD-B2B-012,B2B,세금계산서 일괄 발행,SCOPE-152;F-152;F-142;X-TAXDOC-01,SB-053,todo,SB-053 stub — document-section.tsx:1-6 · D-18 endpoint='(호출 지점 없음)',★호출 지점 부재 서비스. 돈 걸림.
STD-SYS-001,시스템·플랫폼,관리자 계정 등록·관리,SCOPE-094;IA-094,SB-059;WA-058,partial,SB-059 stub — huni-skin-shopby/src/app/(admin)/admin/page.tsx:1-8 (자리표시) · WA-058 partial — raw/webadmin/webadmin/catalog/admin.py:2242-2310,webadmin Django 표준 CRUD 로 계정관리는 가능. 스토어프론트측 관리자 화면은 껍데기.
STD-SYS-002,시스템·플랫폼,역할 기반 세분 권한 제어,SCOPE-094;IA-094,SB-060,partial,SB-060 partial — huni-skin-shopby/src/proxy.ts:21-23 (ADMIN 검사 미활성 주석) · src/lib/api/hooks/use-admins.ts:20,가드 코드는 있으나 비활성. 7조직 세분권한(OMG-06)은 미착수.
STD-SYS-003,시스템·플랫폼,관리자 작업 감사로그,,,new,,new(★ia.md 오염) — 근거출처가 ia.md §2.3 TR-SYS 라 §4-1 상 독립 발견으로 신뢰 불가.
STD-SYS-004,시스템·플랫폼,PG 연동 설정,X-PG-CONTRACT-01;F-080;F-074;X-DEC-NAVERPAY-01,SB-033;SB-032,partial,SB-033 done — huni-skin-shopby/src/lib/payments/ncp-pay.ts:47-70 · src/app/api/pay-config/route.ts:8 / SB-032 absent — src/components/checkout/checkout-form.tsx:8-9 ('PG 연동은 후속 — 현재는 무통장만 동작'),"돈 걸림. SDK 로더는 배선, 실 PG 수단은 미연동 + 이니시스 계약 미체결."
STD-SYS-005,시스템·플랫폼,배송비 정책 설정,X-DEC-SHIPPING-01;F-150,,todo,,도서산간 권역 정책 미확정(1차 W7-9).
STD-SYS-006,시스템·플랫폼,알림(SMS/알림톡/이메일) 템플릿 설정,X-SMS-CONTRACT-01;F-138;F-144,,todo,,알림 템플릿 관리 L2 무근거. 계약 선행.
STD-SYS-007,시스템·플랫폼,커머스 플랫폼 API 인증·토큰 관리,X-OPS-TOKEN-01;X-SHOPBY-IPALLOW-01,SB-061;SB-062,done,SB-061 huni-skin-shopby/src/app/api/shopby/[...path]/route.ts:21-45 · SB-062 src/app/api/shop/[...path]/route.ts:27-48,★status-flip: 프록시+토큰 주입 배선 done. 단 토큰 만료 재발급 절차(X-OPS-TOKEN-01)는 운영과제로 잔존.
STD-SYS-008,시스템·플랫폼,인쇄 도메인 DB ↔ 커머스 상품 동기화,X-MAPPING-MASTER-01;X-SIM-PRODUCT-SEMANTIC-01;X-SHOPBY-ASSIGN-VOLATILE-01;X-SHOPBY-HYGIENE-01,WA-045;WA-046;SB-015,partial,WA-045 done — raw/webadmin/webadmin/catalog/shopby_sync.py:1-30 · WA-046 done — catalog/shopby_client.py:1-50 · SB-015 partial — huni-skin-shopby/src/lib/printly/product-code-map.ts:41-49 (수동 7건만 등록),메인이미지 동기화는 done. 상품코드 매핑 마스터는 수동 7건 — 소유·동기화 주체 미정.
STD-SYS-009,시스템·플랫폼,가격 계산 결과 카트 주입 브리지,X-PRICE-BRIDGE-01;X-BFF-ENDPOINT-01;X-NHN-POLICY-01;F-049,SB-012;SB-025,done,SB-012 huni-skin-shopby/src/lib/api/widget-order.ts:26-35 · src/components/product/huni-widget.tsx:257-265 · SB-025 src/app/api/printly/requote/route.ts:16-50,★status-flip 최중요: 원장이 「1차 최대 리스크·미확정」으로 잡은 가격 브리지가 실측에선 10원×orderCnt 환원 + 재견적 라우트까지 배선돼 있다. 돈 걸림이라 L5 시나리오 검증 필수.
STD-SYS-010,시스템·플랫폼,원고 저장소(스토리지) 연동,X-WGTF-S3-01;X-FILEMETA-01,WA-037;WA-052,done,WA-037 raw/webadmin/webadmin/config/urls.py:250-252 · catalog/s3_artwork.py:208-280 · WA-052 catalog/artwork_promote.py:1,★status-flip: presign/멀티파트 + tmp→order 버킷 승격까지 done. 단 스토어프론트측 업로드 UI 는 SB-019 stub(L4a 도메인).
STD-SYS-011,시스템·플랫폼,디자인 에디터 외부 서비스 연동,X-DEC-EDICUS-01;X-WGTF-EDICUS-01;X-EDX-D3-01;X-EDX-D8-01;F-054,WA-041;WA-047;SB-020,partial,WA-041 done — raw/webadmin/webadmin/config/urls.py:274-275 · catalog/edicus_lookup.py:214-260 · WA-047 done — catalog/edicus_views.py:278-674 / SB-020 stub — huni-skin-shopby/src/components/product/configurator-actions.tsx:170-176,"백엔드 resolve/token 은 done, 스토어프론트 진입 버튼이 데드. 도입 결정(X-DEC-EDICUS-01) 자체가 미정."
STD-SYS-012,시스템·플랫폼,본인인증 서비스 연동,X-AUTH-CONTRACT-01;SCOPE-007;IA-007;F-007,SB-043,todo,SB-043 absent(grep 무결과) · L2 D-17 endpoint='(호출 지점 없음)',★호출 지점 부재 서비스. STD-MEM-003 과 동일 블로커.
STD-SYS-013,시스템·플랫폼,우편번호/주소 검색 서비스 연동,,SB-028,new,SB-028 done — huni-skin-shopby/src/lib/daum-postcode.ts:10 · L2 D-10,new & done — 우편번호 서비스는 legacy 화면 분모 밖(주소검색 모달의 내부 의존). 근거 huni-shopby 계약(오염 아님).
STD-SYS-014,시스템·플랫폼,택배사 배송추적 연동,X-CHK-DELIVERY-01,,todo,,택배사 연동·송장·배송추적 경로 미확인. L2 연계서비스 18건에도 택배사 없음.
STD-SYS-015,시스템·플랫폼,웹 로그/전환 분석 도구 연동,,,new,[L4b보강] huni-skin-shopby/src 전역 gtag|GA4|googletagmanager|analytics grep 무결과,new(★ia.md 오염) — 근거출처가 ia.md 통계 파생. 실측으로도 분석 도구 0건.
STD-SYS-016,시스템·플랫폼,주문/결제 실패 모니터링·알림,X-CHK-ONCALL-01;X-CHK-CAPACITY-01,WA-055,partial,WA-055 done — raw/webadmin/webadmin/catalog/abuse_log.py:1 · rate_alerts.py:61-75 (텔레그램 알림),위젯 남용 탐지 한정. 주문/결제 실패 경로 모니터링은 미커버 — 부분 인정.
STD-SYS-017,시스템·플랫폼,데이터 백업·복구 절차,X-CHK-BACKUP-01,,todo,,DB 스냅샷·복구 리허설 미확인.
STD-SYS-018,시스템·플랫폼,개인정보 보관·파기 정책 적용,X-CHK-PRIVACY-01;SCOPE-084;IA-084;SCOPE-085;IA-085,SB-057,partial,SB-057 done — huni-skin-shopby/src/app/(main)/terms/page.tsx:1 · privacy/page.tsx:1 · src/lib/legal/markdown.ts:1,게시는 done. 보관·파기 절차 적용(개정·게시 갱신 포함)은 미확인 — 낙관 done 회피.
STD-SYS-019,시스템·플랫폼,반응형/모바일 대응,,,new,,new — 반응형은 전 화면 횡단 품질축이라 화면 단위 legacy 분모에 행이 없다. 근거 print-story 실측(오염 아님). L2 가 판정하지 않아 상태 미상.
STD-SYS-020,시스템·플랫폼,SEO 메타·사이트맵,X-CHK-SEO-01;X-PB-RISK-01,,todo,[L4b보강] huni-skin-shopby/src 전역 sitemap|robots grep 무결과,SEO 자산 0건.
STD-SYS-021,시스템·플랫폼,페이지 빌더(운영자 화면 편집),X-PB-GATE-01;X-PB-CONCEPT-01;X-PB-INVENTORY-01;X-PB-DESIGN-01;X-PB-OPSSIM-01;X-PB-CLEANUP-01;X-PB-REVERIFY-01;X-PB-DOC-01;X-PB-EMPTYVAL-01;X-PB-C7-01;X-PB-T4-01;X-PB-UX-01;X-PB-PARTNER-BUG-01;X-PB-PARTNER-CFG-01;X-PB-PARTNER-OPT-01,,todo,,페이지빌더 게이트 NO-GO — 문서 정본 승격 불가. 15건 전부 미해소.
STD-SYS-022,시스템·플랫폼,구 사이트 → 신규 사이트 URL 리다이렉트,X-CHK-SEO-01;X-CHK-OLDSITE-01,,todo,,구 URL 리다이렉트 맵·이전 사이트 종료 계획 미확인.
