prd_cd,product_group,prd_nm,axis,verdict,evidence,repro_sql,cell_source,confidence,money_impact
PRD_000053,스티커,반칼 자유형 투명스티커,묶음수,N/A,권위 묶음수 needed=N(연속수량)·라이브 부재,SELECT bdl_qty FROM t_prd_product_bundle_qtys WHERE prd_cd='PRD_000053' AND del_yn='N';,엑셀:건수표기 없음(needed=N),high,
PRD_000053,스티커,반칼 자유형 투명스티커,사이즈코드,MATCH,"권위 사이즈='A6 (105 x 148 mm)'·라이브 3행 siz=[SIZ_000170,SIZ_000172,SIZ_000196]","SELECT siz_cd,del_yn FROM t_prd_product_sizes WHERE prd_cd='PRD_000053';",엑셀:사이즈(필수),high,
PRD_000053,스티커,반칼 자유형 투명스티커,인쇄옵션,MATCH,권위 화이트별색='화이트인쇄(단면)' 커팅='반칼(자유형)'·라이브 print_opt_cd=POPT_000001,"SELECT print_opt_cd,print_side FROM t_prd_product_print_options WHERE prd_cd='PRD_000053' AND del_yn='N';",엑셀:별색인쇄/코팅/커팅,med,
PRD_000053,스티커,반칼 자유형 투명스티커,자재,MATCH,권위 소재='투명스티커'·라이브 mat 1행 [MAT_000162],SELECT m.mat_nm FROM t_prd_product_materials p JOIN t_mat_materials m ON p.mat_cd=m.mat_cd WHERE p.prd_cd='PRD_000053' AND p.del_yn='N';,엑셀:종이(필수)/소재(필수),high,
PRD_000053,스티커,반칼 자유형 투명스티커,판형,MATCH,"권위 출력용지규격='330x470'·라이브 plate 4행 siz=[SIZ_000007,SIZ_000050,SIZ_000057,SIZ_000521]","SELECT siz_cd,output_paper_typ_cd FROM t_prd_product_plate_sizes WHERE prd_cd='PRD_000053' AND del_yn='N';",엑셀:파일사양_출력용지규격,med,
PRD_000053,스티커,반칼 자유형 투명스티커,페이지룰,N/A,권위 페이지룰 needed=N(낱장/단품)·라이브 부재,"SELECT page_min,page_max FROM t_prd_product_page_rules WHERE prd_cd='PRD_000053';",엑셀:페이지 없음(needed=N),high,
PRD_000054,스티커,반칼 자유형 홀로그램스티커,공정,MATCH,권위 커팅='반칼(자유형)' 조각수=''·라이브 proc 실가공 [['반칼']],SELECT pr.proc_nm FROM t_prd_product_processes p JOIN t_proc_processes pr ON p.proc_cd=pr.proc_cd WHERE p.prd_cd='PRD_000054' AND p.del_yn='N';,엑셀:커팅/조각수/가공(옵션)_가공,med,
PRD_000054,스티커,반칼 자유형 홀로그램스티커,도수,MATCH,권위 도수='단면'·라이브 print_options side=단면 colr=CLR_000005/CLR_000001,"SELECT print_side,front_colrcnt_cd,back_colrcnt_cd,print_opt_cd FROM t_prd_product_print_options WHERE prd_cd='PRD_000054' AND del_yn='N';",엑셀:인쇄(옵션)/인쇄사양/소재(실사출력),high,
PRD_000054,스티커,반칼 자유형 홀로그램스티커,묶음수,N/A,권위 묶음수 needed=N(연속수량)·라이브 부재,SELECT bdl_qty FROM t_prd_product_bundle_qtys WHERE prd_cd='PRD_000054' AND del_yn='N';,엑셀:건수표기 없음(needed=N),high,
PRD_000054,스티커,반칼 자유형 홀로그램스티커,사이즈코드,MATCH,"권위 사이즈='A6 (105 x 148 mm)'·라이브 3행 siz=[SIZ_000170,SIZ_000172,SIZ_000196]","SELECT siz_cd,del_yn FROM t_prd_product_sizes WHERE prd_cd='PRD_000054';",엑셀:사이즈(필수),high,
PRD_000054,스티커,반칼 자유형 홀로그램스티커,인쇄옵션,MATCH,권위 화이트별색='화이트인쇄(단면)' 커팅='반칼(자유형)'·라이브 print_opt_cd=POPT_000001,"SELECT print_opt_cd,print_side FROM t_prd_product_print_options WHERE prd_cd='PRD_000054' AND del_yn='N';",엑셀:별색인쇄/코팅/커팅,med,
PRD_000054,스티커,반칼 자유형 홀로그램스티커,자재,MATCH,권위 소재='홀로그램스티커'·라이브 mat 1행 [MAT_000163],SELECT m.mat_nm FROM t_prd_product_materials p JOIN t_mat_materials m ON p.mat_cd=m.mat_cd WHERE p.prd_cd='PRD_000054' AND p.del_yn='N';,엑셀:종이(필수)/소재(필수),high,
PRD_000054,스티커,반칼 자유형 홀로그램스티커,판형,MATCH,"권위 출력용지규격='330x470'·라이브 plate 4행 siz=[SIZ_000007,SIZ_000050,SIZ_000057,SIZ_000521]","SELECT siz_cd,output_paper_typ_cd FROM t_prd_product_plate_sizes WHERE prd_cd='PRD_000054' AND del_yn='N';",엑셀:파일사양_출력용지규격,med,
PRD_000054,스티커,반칼 자유형 홀로그램스티커,페이지룰,N/A,권위 페이지룰 needed=N(낱장/단품)·라이브 부재,"SELECT page_min,page_max FROM t_prd_product_page_rules WHERE prd_cd='PRD_000054';",엑셀:페이지 없음(needed=N),high,
PRD_000055,스티커,낱장 자유형 스티커,공정,MATCH,권위 커팅='완칼(자유형)' 조각수='5조각'·라이브 proc 실가공 [['PROC_000053']],SELECT pr.proc_nm FROM t_prd_product_processes p JOIN t_proc_processes pr ON p.proc_cd=pr.proc_cd WHERE p.prd_cd='PRD_000055' AND p.del_yn='N';,엑셀:커팅/조각수/가공(옵션)_가공,med,
PRD_000055,스티커,낱장 자유형 스티커,도수,MATCH,권위 도수='단면'·라이브 print_options side=단면 colr=CLR_000005/CLR_000001,"SELECT print_side,front_colrcnt_cd,back_colrcnt_cd,print_opt_cd FROM t_prd_product_print_options WHERE prd_cd='PRD_000055' AND del_yn='N';",엑셀:인쇄(옵션)/인쇄사양/소재(실사출력),high,
PRD_000055,스티커,낱장 자유형 스티커,묶음수,N/A,권위 묶음수 needed=N(연속수량)·라이브 부재,SELECT bdl_qty FROM t_prd_product_bundle_qtys WHERE prd_cd='PRD_000055' AND del_yn='N';,엑셀:건수표기 없음(needed=N),high,
PRD_000055,스티커,낱장 자유형 스티커,사이즈코드,MATCH,"권위 사이즈='A4 (210 x 297 mm)'·라이브 3행 siz=[SIZ_000172,SIZ_000174,SIZ_000197]","SELECT siz_cd,del_yn FROM t_prd_product_sizes WHERE prd_cd='PRD_000055';",엑셀:사이즈(필수),high,
PRD_000055,스티커,낱장 자유형 스티커,인쇄옵션,MATCH,권위 화이트별색='' 커팅='완칼(자유형)'·라이브 print_opt_cd=POPT_000001,"SELECT print_opt_cd,print_side FROM t_prd_product_print_options WHERE prd_cd='PRD_000055' AND del_yn='N';",엑셀:별색인쇄/코팅/커팅,med,
PRD_000055,스티커,낱장 자유형 스티커,자재,MATCH,권위 소재='유포지+엠보코팅'·라이브 mat 1행 [MAT_000154],SELECT m.mat_nm FROM t_prd_product_materials p JOIN t_mat_materials m ON p.mat_cd=m.mat_cd WHERE p.prd_cd='PRD_000055' AND p.del_yn='N';,엑셀:종이(필수)/소재(필수),high,
PRD_000055,스티커,낱장 자유형 스티커,판형,MATCH,"권위 출력용지규격='210 x 297'·라이브 plate 3행 siz=[SIZ_000050,SIZ_000052,SIZ_000198]","SELECT siz_cd,output_paper_typ_cd FROM t_prd_product_plate_sizes WHERE prd_cd='PRD_000055' AND del_yn='N';",엑셀:파일사양_출력용지규격,med,
PRD_000055,스티커,낱장 자유형 스티커,페이지룰,N/A,권위 페이지룰 needed=N(낱장/단품)·라이브 부재,"SELECT page_min,page_max FROM t_prd_product_page_rules WHERE prd_cd='PRD_000055';",엑셀:페이지 없음(needed=N),high,
PRD_000056,스티커,낱장 자유형 투명스티커,공정,MATCH,권위 커팅='완칼(자유형)' 조각수='5조각'·라이브 proc 실가공 [['PROC_000053']],SELECT pr.proc_nm FROM t_prd_product_processes p JOIN t_proc_processes pr ON p.proc_cd=pr.proc_cd WHERE p.prd_cd='PRD_000056' AND p.del_yn='N';,엑셀:커팅/조각수/가공(옵션)_가공,med,
PRD_000056,스티커,낱장 자유형 투명스티커,도수,MATCH,권위 도수='단면'·라이브 print_options side=단면 colr=CLR_000005/CLR_000001,"SELECT print_side,front_colrcnt_cd,back_colrcnt_cd,print_opt_cd FROM t_prd_product_print_options WHERE prd_cd='PRD_000056' AND del_yn='N';",엑셀:인쇄(옵션)/인쇄사양/소재(실사출력),high,
PRD_000056,스티커,낱장 자유형 투명스티커,묶음수,N/A,권위 묶음수 needed=N(연속수량)·라이브 부재,SELECT bdl_qty FROM t_prd_product_bundle_qtys WHERE prd_cd='PRD_000056' AND del_yn='N';,엑셀:건수표기 없음(needed=N),high,
PRD_000056,스티커,낱장 자유형 투명스티커,사이즈코드,MATCH,"권위 사이즈='A4 (210 x 297 mm)'·라이브 3행 siz=[SIZ_000172,SIZ_000174,SIZ_000197]","SELECT siz_cd,del_yn FROM t_prd_product_sizes WHERE prd_cd='PRD_000056';",엑셀:사이즈(필수),high,
PRD_000056,스티커,낱장 자유형 투명스티커,인쇄옵션,MATCH,권위 화이트별색='화이트인쇄(단면)' 커팅='완칼(자유형)'·라이브 print_opt_cd=POPT_000001,"SELECT print_opt_cd,print_side FROM t_prd_product_print_options WHERE prd_cd='PRD_000056' AND del_yn='N';",엑셀:별색인쇄/코팅/커팅,med,
PRD_000056,스티커,낱장 자유형 투명스티커,자재,MATCH,권위 소재='투명전용지'·라이브 mat 1행 [MAT_000243],SELECT m.mat_nm FROM t_prd_product_materials p JOIN t_mat_materials m ON p.mat_cd=m.mat_cd WHERE p.prd_cd='PRD_000056' AND p.del_yn='N';,엑셀:종이(필수)/소재(필수),high,
PRD_000056,스티커,낱장 자유형 투명스티커,판형,MATCH,"권위 출력용지규격='210 x 297'·라이브 plate 3행 siz=[SIZ_000050,SIZ_000052,SIZ_000198]","SELECT siz_cd,output_paper_typ_cd FROM t_prd_product_plate_sizes WHERE prd_cd='PRD_000056' AND del_yn='N';",엑셀:파일사양_출력용지규격,med,
PRD_000056,스티커,낱장 자유형 투명스티커,페이지룰,N/A,권위 페이지룰 needed=N(낱장/단품)·라이브 부재,"SELECT page_min,page_max FROM t_prd_product_page_rules WHERE prd_cd='PRD_000056';",엑셀:페이지 없음(needed=N),high,
PRD_000057,스티커,대형 자유형 스티커,공정,MATCH,권위 커팅='완칼(자유형)' 조각수='5조각'·라이브 proc 실가공 [['PROC_000053']],SELECT pr.proc_nm FROM t_prd_product_processes p JOIN t_proc_processes pr ON p.proc_cd=pr.proc_cd WHERE p.prd_cd='PRD_000057' AND p.del_yn='N';,엑셀:커팅/조각수/가공(옵션)_가공,med,
PRD_000057,스티커,대형 자유형 스티커,도수,MATCH,권위 도수='단면'·라이브 print_options side=단면 colr=CLR_000005/CLR_000001,"SELECT print_side,front_colrcnt_cd,back_colrcnt_cd,print_opt_cd FROM t_prd_product_print_options WHERE prd_cd='PRD_000057' AND del_yn='N';",엑셀:인쇄(옵션)/인쇄사양/소재(실사출력),high,
PRD_000057,스티커,대형 자유형 스티커,묶음수,N/A,권위 묶음수 needed=N(연속수량)·라이브 부재,SELECT bdl_qty FROM t_prd_product_bundle_qtys WHERE prd_cd='PRD_000057' AND del_yn='N';,엑셀:건수표기 없음(needed=N),high,
PRD_000057,스티커,대형 자유형 스티커,사이즈코드,MATCH,권위 사이즈='400 x 600 mm'·라이브 1행 siz=[SIZ_000199],"SELECT siz_cd,del_yn FROM t_prd_product_sizes WHERE prd_cd='PRD_000057';",엑셀:사이즈(필수),high,
PRD_000057,스티커,대형 자유형 스티커,인쇄옵션,MATCH,권위 화이트별색='' 커팅='완칼(자유형)'·라이브 print_opt_cd=POPT_000001,"SELECT print_opt_cd,print_side FROM t_prd_product_print_options WHERE prd_cd='PRD_000057' AND del_yn='N';",엑셀:별색인쇄/코팅/커팅,med,
PRD_000057,스티커,대형 자유형 스티커,자재,MATCH,권위 소재='유포지+엠보코팅'·라이브 mat 1행 [MAT_000154],SELECT m.mat_nm FROM t_prd_product_materials p JOIN t_mat_materials m ON p.mat_cd=m.mat_cd WHERE p.prd_cd='PRD_000057' AND p.del_yn='N';,엑셀:종이(필수)/소재(필수),high,
PRD_000057,스티커,대형 자유형 스티커,판형,MATCH,권위 출력용지규격='400 x 600'·라이브 plate 1행 siz=[SIZ_000199],"SELECT siz_cd,output_paper_typ_cd FROM t_prd_product_plate_sizes WHERE prd_cd='PRD_000057' AND del_yn='N';",엑셀:파일사양_출력용지규격,med,
PRD_000057,스티커,대형 자유형 스티커,페이지룰,N/A,권위 페이지룰 needed=N(낱장/단품)·라이브 부재,"SELECT page_min,page_max FROM t_prd_product_page_rules WHERE prd_cd='PRD_000057';",엑셀:페이지 없음(needed=N),high,
PRD_000058,스티커,반칼원형스티커,공정,MATCH,권위 커팅='원형 25mm (24ea)' 조각수=''·라이브 proc 실가공 [['스티커완칼']],SELECT pr.proc_nm FROM t_prd_product_processes p JOIN t_proc_processes pr ON p.proc_cd=pr.proc_cd WHERE p.prd_cd='PRD_000058' AND p.del_yn='N';,엑셀:커팅/조각수/가공(옵션)_가공,med,
PRD_000058,스티커,반칼원형스티커,도수,MATCH,권위 도수='단면'·라이브 print_options side=단면 colr=CLR_000005/CLR_000001,"SELECT print_side,front_colrcnt_cd,back_colrcnt_cd,print_opt_cd FROM t_prd_product_print_options WHERE prd_cd='PRD_000058' AND del_yn='N';",엑셀:인쇄(옵션)/인쇄사양/소재(실사출력),high,
PRD_000058,스티커,반칼원형스티커,묶음수,N/A,권위 묶음수 needed=N(연속수량)·라이브 부재,SELECT bdl_qty FROM t_prd_product_bundle_qtys WHERE prd_cd='PRD_000058' AND del_yn='N';,엑셀:건수표기 없음(needed=N),high,
PRD_000058,스티커,반칼원형스티커,사이즈코드,MATCH,"권위 사이즈='A5 (148 x 210 mm)'·라이브 2행 siz=[SIZ_000170,SIZ_000520]","SELECT siz_cd,del_yn FROM t_prd_product_sizes WHERE prd_cd='PRD_000058';",엑셀:사이즈(필수),high,
PRD_000058,스티커,반칼원형스티커,인쇄옵션,MATCH,권위 화이트별색='' 커팅='원형 25mm (24ea)'·라이브 print_opt_cd=POPT_000001,"SELECT print_opt_cd,print_side FROM t_prd_product_print_options WHERE prd_cd='PRD_000058' AND del_yn='N';",엑셀:별색인쇄/코팅/커팅,med,
PRD_000058,스티커,반칼원형스티커,자재,MATCH,"권위 소재='유포스티커'·라이브 mat 5행 [MAT_000084,MAT_000153,MAT_000155,MAT_000156,MAT_000242]",SELECT m.mat_nm FROM t_prd_product_materials p JOIN t_mat_materials m ON p.mat_cd=m.mat_cd WHERE p.prd_cd='PRD_000058' AND p.del_yn='N';,엑셀:종이(필수)/소재(필수),high,
PRD_000058,스티커,반칼원형스티커,판형,MATCH,"권위 출력용지규격='330x470'·라이브 plate 3행 siz=[SIZ_000007,SIZ_000050,SIZ_000521]","SELECT siz_cd,output_paper_typ_cd FROM t_prd_product_plate_sizes WHERE prd_cd='PRD_000058' AND del_yn='N';",엑셀:파일사양_출력용지규격,med,
PRD_000058,스티커,반칼원형스티커,페이지룰,N/A,권위 페이지룰 needed=N(낱장/단품)·라이브 부재,"SELECT page_min,page_max FROM t_prd_product_page_rules WHERE prd_cd='PRD_000058';",엑셀:페이지 없음(needed=N),high,
PRD_000059,스티커,반칼정사각스티커,공정,MATCH,권위 커팅='30x30mm (20ea)' 조각수=''·라이브 proc 실가공 [['스티커완칼']],SELECT pr.proc_nm FROM t_prd_product_processes p JOIN t_proc_processes pr ON p.proc_cd=pr.proc_cd WHERE p.prd_cd='PRD_000059' AND p.del_yn='N';,엑셀:커팅/조각수/가공(옵션)_가공,med,
PRD_000059,스티커,반칼정사각스티커,도수,MATCH,권위 도수='단면'·라이브 print_options side=단면 colr=CLR_000005/CLR_000001,"SELECT print_side,front_colrcnt_cd,back_colrcnt_cd,print_opt_cd FROM t_prd_product_print_options WHERE prd_cd='PRD_000059' AND del_yn='N';",엑셀:인쇄(옵션)/인쇄사양/소재(실사출력),high,
PRD_000059,스티커,반칼정사각스티커,묶음수,N/A,권위 묶음수 needed=N(연속수량)·라이브 부재,SELECT bdl_qty FROM t_prd_product_bundle_qtys WHERE prd_cd='PRD_000059' AND del_yn='N';,엑셀:건수표기 없음(needed=N),high,
PRD_000059,스티커,반칼정사각스티커,사이즈코드,MATCH,"권위 사이즈='A5 (148 x 210 mm)'·라이브 2행 siz=[SIZ_000170,SIZ_000520]","SELECT siz_cd,del_yn FROM t_prd_product_sizes WHERE prd_cd='PRD_000059';",엑셀:사이즈(필수),high,
PRD_000059,스티커,반칼정사각스티커,인쇄옵션,MATCH,권위 화이트별색='' 커팅='30x30mm (20ea)'·라이브 print_opt_cd=POPT_000001,"SELECT print_opt_cd,print_side FROM t_prd_product_print_options WHERE prd_cd='PRD_000059' AND del_yn='N';",엑셀:별색인쇄/코팅/커팅,med,
PRD_000059,스티커,반칼정사각스티커,자재,MATCH,"권위 소재='유포스티커'·라이브 mat 5행 [MAT_000084,MAT_000153,MAT_000155,MAT_000156,MAT_000242]",SELECT m.mat_nm FROM t_prd_product_materials p JOIN t_mat_materials m ON p.mat_cd=m.mat_cd WHERE p.prd_cd='PRD_000059' AND p.del_yn='N';,엑셀:종이(필수)/소재(필수),high,
PRD_000059,스티커,반칼정사각스티커,판형,MATCH,"권위 출력용지규격='330x470'·라이브 plate 3행 siz=[SIZ_000007,SIZ_000050,SIZ_000521]","SELECT siz_cd,output_paper_typ_cd FROM t_prd_product_plate_sizes WHERE prd_cd='PRD_000059' AND del_yn='N';",엑셀:파일사양_출력용지규격,med,
PRD_000059,스티커,반칼정사각스티커,페이지룰,N/A,권위 페이지룰 needed=N(낱장/단품)·라이브 부재,"SELECT page_min,page_max FROM t_prd_product_page_rules WHERE prd_cd='PRD_000059';",엑셀:페이지 없음(needed=N),high,
PRD_000060,스티커,반칼직사각스티커,공정,MATCH,권위 커팅='20x40mm (20ea)' 조각수=''·라이브 proc 실가공 [['스티커완칼']],SELECT pr.proc_nm FROM t_prd_product_processes p JOIN t_proc_processes pr ON p.proc_cd=pr.proc_cd WHERE p.prd_cd='PRD_000060' AND p.del_yn='N';,엑셀:커팅/조각수/가공(옵션)_가공,med,
PRD_000060,스티커,반칼직사각스티커,도수,MATCH,권위 도수='단면'·라이브 print_options side=단면 colr=CLR_000005/CLR_000001,"SELECT print_side,front_colrcnt_cd,back_colrcnt_cd,print_opt_cd FROM t_prd_product_print_options WHERE prd_cd='PRD_000060' AND del_yn='N';",엑셀:인쇄(옵션)/인쇄사양/소재(실사출력),high,
PRD_000060,스티커,반칼직사각스티커,묶음수,N/A,권위 묶음수 needed=N(연속수량)·라이브 부재,SELECT bdl_qty FROM t_prd_product_bundle_qtys WHERE prd_cd='PRD_000060' AND del_yn='N';,엑셀:건수표기 없음(needed=N),high,
PRD_000060,스티커,반칼직사각스티커,사이즈코드,MATCH,"권위 사이즈='A5 (148 x 210 mm)'·라이브 2행 siz=[SIZ_000170,SIZ_000520]","SELECT siz_cd,del_yn FROM t_prd_product_sizes WHERE prd_cd='PRD_000060';",엑셀:사이즈(필수),high,
PRD_000060,스티커,반칼직사각스티커,인쇄옵션,MATCH,권위 화이트별색='' 커팅='20x40mm (20ea)'·라이브 print_opt_cd=POPT_000001,"SELECT print_opt_cd,print_side FROM t_prd_product_print_options WHERE prd_cd='PRD_000060' AND del_yn='N';",엑셀:별색인쇄/코팅/커팅,med,
PRD_000060,스티커,반칼직사각스티커,자재,MATCH,"권위 소재='유포스티커'·라이브 mat 5행 [MAT_000084,MAT_000153,MAT_000155,MAT_000156,MAT_000242]",SELECT m.mat_nm FROM t_prd_product_materials p JOIN t_mat_materials m ON p.mat_cd=m.mat_cd WHERE p.prd_cd='PRD_000060' AND p.del_yn='N';,엑셀:종이(필수)/소재(필수),high,
PRD_000060,스티커,반칼직사각스티커,판형,MATCH,"권위 출력용지규격='330x470'·라이브 plate 3행 siz=[SIZ_000007,SIZ_000050,SIZ_000521]","SELECT siz_cd,output_paper_typ_cd FROM t_prd_product_plate_sizes WHERE prd_cd='PRD_000060' AND del_yn='N';",엑셀:파일사양_출력용지규격,med,
PRD_000060,스티커,반칼직사각스티커,페이지룰,N/A,권위 페이지룰 needed=N(낱장/단품)·라이브 부재,"SELECT page_min,page_max FROM t_prd_product_page_rules WHERE prd_cd='PRD_000060';",엑셀:페이지 없음(needed=N),high,
PRD_000061,스티커,반칼띠지스티커,공정,MATCH,권위 커팅='10x190mm (9ea)' 조각수=''·라이브 proc 실가공 [['스티커완칼']],SELECT pr.proc_nm FROM t_prd_product_processes p JOIN t_proc_processes pr ON p.proc_cd=pr.proc_cd WHERE p.prd_cd='PRD_000061' AND p.del_yn='N';,엑셀:커팅/조각수/가공(옵션)_가공,med,
PRD_000061,스티커,반칼띠지스티커,도수,MATCH,권위 도수='단면'·라이브 print_options side=단면 colr=CLR_000005/CLR_000001,"SELECT print_side,front_colrcnt_cd,back_colrcnt_cd,print_opt_cd FROM t_prd_product_print_options WHERE prd_cd='PRD_000061' AND del_yn='N';",엑셀:인쇄(옵션)/인쇄사양/소재(실사출력),high,
PRD_000061,스티커,반칼띠지스티커,묶음수,N/A,권위 묶음수 needed=N(연속수량)·라이브 부재,SELECT bdl_qty FROM t_prd_product_bundle_qtys WHERE prd_cd='PRD_000061' AND del_yn='N';,엑셀:건수표기 없음(needed=N),high,
PRD_000061,스티커,반칼띠지스티커,사이즈코드,MATCH,"권위 사이즈='A5 (148 x 210 mm)'·라이브 2행 siz=[SIZ_000170,SIZ_000520]","SELECT siz_cd,del_yn FROM t_prd_product_sizes WHERE prd_cd='PRD_000061';",엑셀:사이즈(필수),high,
PRD_000061,스티커,반칼띠지스티커,인쇄옵션,MATCH,권위 화이트별색='' 커팅='10x190mm (9ea)'·라이브 print_opt_cd=POPT_000001,"SELECT print_opt_cd,print_side FROM t_prd_product_print_options WHERE prd_cd='PRD_000061' AND del_yn='N';",엑셀:별색인쇄/코팅/커팅,med,
PRD_000061,스티커,반칼띠지스티커,자재,MATCH,"권위 소재='유포스티커'·라이브 mat 5행 [MAT_000084,MAT_000153,MAT_000155,MAT_000156,MAT_000242]",SELECT m.mat_nm FROM t_prd_product_materials p JOIN t_mat_materials m ON p.mat_cd=m.mat_cd WHERE p.prd_cd='PRD_000061' AND p.del_yn='N';,엑셀:종이(필수)/소재(필수),high,
PRD_000061,스티커,반칼띠지스티커,판형,MATCH,"권위 출력용지규격='330x470'·라이브 plate 3행 siz=[SIZ_000007,SIZ_000050,SIZ_000521]","SELECT siz_cd,output_paper_typ_cd FROM t_prd_product_plate_sizes WHERE prd_cd='PRD_000061' AND del_yn='N';",엑셀:파일사양_출력용지규격,med,
PRD_000061,스티커,반칼띠지스티커,페이지룰,N/A,권위 페이지룰 needed=N(낱장/단품)·라이브 부재,"SELECT page_min,page_max FROM t_prd_product_page_rules WHERE prd_cd='PRD_000061';",엑셀:페이지 없음(needed=N),high,
PRD_000062,스티커,반칼팬시스티커,공정,MATCH,권위 커팅='원형 32mm' 조각수=''·라이브 proc 실가공 [['스티커완칼']],SELECT pr.proc_nm FROM t_prd_product_processes p JOIN t_proc_processes pr ON p.proc_cd=pr.proc_cd WHERE p.prd_cd='PRD_000062' AND p.del_yn='N';,엑셀:커팅/조각수/가공(옵션)_가공,med,
PRD_000062,스티커,반칼팬시스티커,도수,MATCH,권위 도수='단면'·라이브 print_options side=단면 colr=CLR_000005/CLR_000001,"SELECT print_side,front_colrcnt_cd,back_colrcnt_cd,print_opt_cd FROM t_prd_product_print_options WHERE prd_cd='PRD_000062' AND del_yn='N';",엑셀:인쇄(옵션)/인쇄사양/소재(실사출력),high,
PRD_000062,스티커,반칼팬시스티커,묶음수,N/A,권위 묶음수 needed=N(연속수량)·라이브 부재,SELECT bdl_qty FROM t_prd_product_bundle_qtys WHERE prd_cd='PRD_000062' AND del_yn='N';,엑셀:건수표기 없음(needed=N),high,
PRD_000062,스티커,반칼팬시스티커,사이즈코드,MATCH,"권위 사이즈='100 x 140 mm'·라이브 3행 siz=[SIZ_000058,SIZ_000059,SIZ_000060]","SELECT siz_cd,del_yn FROM t_prd_product_sizes WHERE prd_cd='PRD_000062';",엑셀:사이즈(필수),high,
PRD_000062,스티커,반칼팬시스티커,인쇄옵션,MATCH,권위 화이트별색='' 커팅='원형 32mm'·라이브 print_opt_cd=POPT_000001,"SELECT print_opt_cd,print_side FROM t_prd_product_print_options WHERE prd_cd='PRD_000062' AND del_yn='N';",엑셀:별색인쇄/코팅/커팅,med,
