prd_cd,상품명,CN유형,대상축(var),근거,기존제약유무,우선순위
PRD_000021,핑크별색엽서,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000022,금은별색엽서,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000023,모양엽서,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000024,포토카드,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000025,투명포토카드,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000026,종이슬로건,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000027,2단접지카드,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000028,미니접지카드,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000029,3단접지카드,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000030,지그재그엽서,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000031,프리미엄명함,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000032,코팅명함,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000033,스탠다드명함,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000034,펄명함,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000035,모양명함,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000036,미니모양명함,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000037,오리지널박명함,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000038,형압명함,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000039,투명명함,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000040,화이트인쇄명함,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000041,스탠다드 쿠폰/상품권,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000042,프리미엄 쿠폰/상품권,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000043,인쇄배경지(OPP봉투타입),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000044,인쇄배경지(투명케이스타입),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000045,인쇄헤더택,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000046,라벨/택,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000047,소량전단지,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000048,접지리플렛,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000049,와이드 접지리플렛,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000050,봉투제작,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000051,썬캡,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000052,반칼 자유형 스티커,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000053,반칼 자유형 투명스티커,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000054,반칼 자유형 홀로그램스티커,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000055,낱장 자유형 스티커,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000056,낱장 자유형 투명스티커,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000057,대형 자유형 스티커,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000058,반칼원형스티커,CN-3,siz_cd+sel_opts,RULE_001(RULE_TYPE.03) A5 커팅 필수동반(siz SIZ_000426 + 8개 sel_opts),Y(RULE_001),확정(등록됨)
PRD_000059,반칼정사각스티커,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000060,반칼직사각스티커,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000061,반칼띠지스티커,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000062,반칼팬시스티커,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000063,반칼팬시투명스티커,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000064,소량자유형스티커,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000065,스티커팩,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000066,합판도무송스티커,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000067,타투스티커,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000068,중철책자,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000069,무선책자,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000070,PUR책자,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000071,트윈링책자,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000072,하드커버책자,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000073,하드커버책자-표지(전용지),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000074,하드커버책자-면지(화이트면지),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000075,하드커버책자-면지(블랙면지),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000076,하드커버책자-면지(그레이면지),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000077,레더 하드커버책자,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000078,레더 하드커버책자-표지(레더(화이트)),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000079,레더 하드커버책자-면지(화이트면지),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000080,레더 하드커버책자-면지(블랙면지),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000081,레더 하드커버책자-면지(그레이면지),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000082,하드커버 링책자,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000083,하드커버 링책자-표지(전용지),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000084,하드커버 링책자-면지(화이트면지),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000085,하드커버 링책자-면지(블랙면지),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000086,하드커버 링책자-면지(그레이면지),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000087,하드커버 링책자-면지(인쇄면지),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000088,레더 링바인더,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000089,레더 링바인더-표지(레더(화이트)),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000090,레더 링바인더-면지(화이트면지),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000091,레더 링바인더-면지(블랙면지),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000092,레더 링바인더-면지(그레이면지),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000093,레더 링바인더-면지(인쇄면지),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000094,엽서북,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000095,엽서북-내지(몽블랑240),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000096,엽서북-표지(스노우300),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000097,떡메모지,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000098,떡메모지-내지(백모조120),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000100,포토북 [디자인명],NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000101,포토북 [디자인명]-내지(몽블랑130),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000102,포토북 [디자인명]-표지(하드커버),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000103,포토북 [디자인명]-표지(아트250+무광코팅),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000104,포토북 [디자인명]-면지(그레이),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000105,포토북 [디자인명]-표지(레더하드커버),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000106,포토북 [디자인명]-표지(레더),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000107,포토북 [디자인명]-표지(소프트커버),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000108,탁상형캘린더,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000109,미니탁상형캘린더,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000110,엽서캘린더,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000111,벽걸이캘린더,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000112,와이드벽걸이캘린더,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000118,아트프린트포스터,CN-5,width/height,nonspec 자유치수 w[200.00~1200.00] h[200.00~3000.00]·컬럼정의+기존 RULE_TYPE.01 범위규칙 실재=충족(중복금지),Y(RULE_001),Low(충족)
PRD_000119,아트페이퍼포스터,CN-5,width/height,nonspec 자유치수 w[200.00~900.00] h[200.00~3000.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000120,방수포스터,CN-5,width/height,nonspec 자유치수 w[200.00~1200.00] h[200.00~3000.00]·컬럼정의+기존 RULE_TYPE.01 범위규칙 실재=충족(중복금지),Y(RULE_001),Low(충족)
PRD_000121,접착방수포스터,CN-5,width/height,nonspec 자유치수 w[200.00~1200.00] h[200.00~3000.00]·컬럼정의+기존 RULE_TYPE.01 범위규칙 실재=충족(중복금지),Y(RULE_001),Low(충족)
PRD_000122,접착투명포스터,CN-5,width/height,nonspec 자유치수 w[200.00~1200.00] h[200.00~3000.00]·컬럼정의+기존 RULE_TYPE.01 범위규칙 실재=충족(중복금지),Y(RULE_001),Low(충족)
PRD_000123,아트패브릭포스터,CN-5,width/height,nonspec 자유치수 w[200.00~1200.00] h[200.00~3000.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000124,린넨패브릭포스터,CN-5,width/height,nonspec 자유치수 w[200.00~1200.00] h[200.00~3000.00]·컬럼정의+기존 RULE_TYPE.01 범위규칙 실재=충족(중복금지),Y(RULE_001),Low(충족)
PRD_000125,캔버스패브릭포스터,CN-5,width/height,nonspec 자유치수 w[200.00~1200.00] h[200.00~3000.00]·컬럼정의+기존 RULE_TYPE.01 범위규칙 실재=충족(중복금지),Y(RULE_001),Low(충족)
PRD_000126,레더아트프린트,CN-5,width/height,nonspec 자유치수 w[200.00~600.00] h[200.00~3000.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000127,타이벡프린트,CN-5,width/height,nonspec 자유치수 w[200.00~1200.00] h[200.00~3000.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000128,메쉬프린트,CN-5,width/height,nonspec 자유치수 w[200.00~600.00] h[200.00~3000.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000129,폼보드,CN-2,mat_cd__usage_cd+siz_cd,COMP_POSTER_FOAMBOARD_BOARD 상품제공 mat4×siz2=8셀 중 단가행 4셀만(50%)·나머지 4셀 0원 위험. 자재명 규격내장(A3/A2 전용)→대각선만 유효. [증거:verify_cn2b.py·§26],N,확정(R_DEMO_MATSIZ 등록됨)
PRD_000130,포맥스보드,CN-2,mat_cd__usage_cd+siz_cd,COMP_POSTER_FOMEXBOARD_BOARD 상품제공 mat4×siz2=8셀 중 4셀(50%)·나머지 0원 위험. 자재명 규격내장→대각선만. [증거:verify_cn2b.py·§26],N,확정(R_DEMO_MATSIZ 등록됨)
PRD_000131,프레임리스우드액자,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000132,레더아트액자,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000133,캔버스 행잉포스터,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000134,린넨 우드봉 족자,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000135,족자포스터,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000136,PET배너,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000137,메쉬배너,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000138,일반현수막,CN-5,width/height,nonspec 자유치수 w[500.00~1750.00] h[500.00~5000.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000139,메쉬현수막,CN-5,width/height,nonspec 자유치수 w[500.00~900.00] h[500.00~3000.00]·컬럼정의+기존 RULE_TYPE.01 범위규칙 실재=충족(중복금지),Y(RULE_001),Low(충족)
PRD_000140,무광시트커팅,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000141,홀로그램 시트커팅,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000142,유광아크릴스티커,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000143,미러아크릴스티커,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000144,미니보드스탠딩,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000145,미니배너,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000146,아크릴키링,CN-5,width/height,nonspec 자유치수 w[20.00~100.00] h[20.00~100.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000147,아크릴마그넷,CN-5,width/height,nonspec 자유치수 w[20.00~80.00] h[20.00~80.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000148,아크릴뱃지,CN-5,width/height,nonspec 자유치수 w[30.00~80.00] h[30.00~80.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000149,아크릴집게,CN-5,width/height,nonspec 자유치수 w[30.00~60.00] h[30.00~60.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000150,아크릴스마트톡,CN-5,width/height,nonspec 자유치수 w[50.00~80.00] h[50.00~80.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000151,맥세이프 스마트톡,CN-5,width/height,nonspec 자유치수 w[50.00~80.00] h[50.00~80.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000152,아크릴명찰,CN-5,width/height,nonspec 자유치수 w[60.00~80.00] h[20.00~50.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000153,아크릴명찰(골드실버),CN-5,width/height,nonspec 자유치수 w[60.00~80.00] h[20.00~50.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000154,아크릴 머리끈,CN-5,width/height,nonspec 자유치수 w[20.00~40.00] h[20.00~40.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000155,아크릴볼펜,CN-5,width/height,nonspec 자유치수 w[20.00~40.00] h[20.00~40.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000156,아크릴지비츠,CN-5,width/height,nonspec 자유치수 w[15.00~35.00] h[15.00~35.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000157,아크릴네임택,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000158,아크릴 포카키링,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000159,아크릴 코스터,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000160,아크릴자유형스탠드,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000161,판아크릴,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000162,아크릴포카스탠드,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000163,아크릴미니파츠,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000164,아크릴코롯토,CN-5,width/height,nonspec 자유치수 w[30.00~80.00] h[30.00~80.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000165,포카코롯토,CN-2 AMBIG,(단가행 전무),PRF_ACRYL_*_TBD dead_wire(COMP_ACRYL_PENDING_TBD 단가/구성 확인필요)→견적0. 해법=단가적재(실무진 답변)이지 제약아님·설계이관 금지·사용자컨펌큐. [§27 wiring round22],N,BLOCKED(실무진)
PRD_000166,아크릴카라비너,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000168,아크릴입체코롯토,CN-2 AMBIG,(단가행 전무),PRF_ACRYL_*_TBD dead_wire(COMP_ACRYL_PENDING_TBD 단가/구성 확인필요)→견적0. 해법=단가적재(실무진 답변)이지 제약아님·설계이관 금지·사용자컨펌큐. [§27 wiring round22],N,BLOCKED(실무진)
PRD_000169,아크릴입체블럭,CN-2 AMBIG,(단가행 전무),PRF_ACRYL_*_TBD dead_wire(COMP_ACRYL_PENDING_TBD 단가/구성 확인필요)→견적0. 해법=단가적재(실무진 답변)이지 제약아님·설계이관 금지·사용자컨펌큐. [§27 wiring round22],N,BLOCKED(실무진)
PRD_000170,아크릴쉐이커★,CN-2 AMBIG,(단가행 전무),PRF_ACRYL_*_TBD dead_wire(COMP_ACRYL_PENDING_TBD 단가/구성 확인필요)→견적0. 해법=단가적재(실무진 답변)이지 제약아님·설계이관 금지·사용자컨펌큐. [§27 wiring round22],N,BLOCKED(실무진)
PRD_000171,지비츠★,CN-5,width/height,nonspec 자유치수 w[15.00~35.00] h[15.00~35.00]·컬럼정의 있으나 UI강제 범위규칙 없음=off-grid 0/과금 위험,N,High
PRD_000172,만년다이어리(소프트커버),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000173,만년다이어리(하드커버),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000174,만년다이어리(레더하드커버),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000175,만년다이어리(레더소프트커버),NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000176,먼슬리플래너,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
