prd_cd,prd_nm,상품군,제약시나리오,앞분류CN,엔진처리방식,제약필요여부,정정여부,근거(pricing.py 사상 적용)
PRD_000043,인쇄배경지(OPP봉투타입),디지털인쇄,커팅모양별 주문가능 사이즈 제한,CN-3 AMBIG,정확매칭(opt_cd×siz_cd·잠정),제약신설 가능성(AMBIG 실무진큐),유지,커팅모양×허용사이즈 매핑 미명시·조건부 후보이나 목록 부재. 실무진 답변 후 재판정
PRD_000046,라벨/택,디지털인쇄,커팅모양별 주문가능 사이즈 제한,CN-3 AMBIG,정확매칭(opt_cd×siz_cd·잠정),제약신설 가능성(AMBIG 실무진큐),유지,동일 매핑 미명시 AMBIG
PRD_000118,아트프린트포스터,포스터/사인,자유치수 min/max 범위,CN-5,구간ceiling(siz_width/siz_height TIER),정합검증만(제약불필요·PASS),★정정,자유치수=nonspec 상품컬럼 w[200-1200]h[200-3000]+엔진 tier ceiling/ERR_ABOVE_MAX. 단가행 max tier w1200 h3000=nonspec max 정합PASS. RULE_001 .01=nonspec컬럼+엔진 이중=중복제약(은퇴후보). 앞 제약있음→재판정 제약불필요
PRD_000119,아트페이퍼포스터,포스터/사인,자유치수 min/max 범위,CN-5,구간ceiling(siz_width/siz_height TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[200-900]h[200-3000]·단가행 COMP_POSTER_ARTPAPER_MATTE max w900 h3000 정합PASS. 앞 누락(제약신설필요)→재판정 엔진이미처리·제약불필요
PRD_000120,방수포스터,포스터/사인,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[200-1200]·단가행 max w1200 h3000 PASS. RULE_001 .01=중복제약(은퇴후보). 앞 제약있음→제약불필요
PRD_000121,접착방수포스터,포스터/사인,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[200-1200] PASS·RULE_001 중복제약(은퇴후보). 앞 제약있음→제약불필요
PRD_000122,접착투명포스터,포스터/사인,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[200-1200]·COMP_POSTER_ADH_CLEAR_PVC max w1200 h3000 PASS·RULE_001 중복(은퇴후보). 앞 제약있음→제약불필요
PRD_000123,아트패브릭포스터,포스터/사인,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[200-1200] PASS. 앞 누락(미등록)→엔진이미처리·제약불필요
PRD_000124,린넨패브릭포스터,포스터/사인,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[200-1200]·COMP_POSTER_LINEN_FABRIC max w1200 h3000 PASS·RULE_001 중복(은퇴후보). 앞 제약있음→제약불필요
PRD_000125,캔버스패브릭포스터,포스터/사인,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[200-1200]·COMP_POSTER_CANVAS_FABRIC max w1200 h3000 PASS·RULE_001 중복(은퇴후보). 앞 제약있음→제약불필요
PRD_000126,레더아트프린트,포스터/사인,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[200-600]≤단가행 max w1200(grid가 nonspec 초과=무해) PASS. 앞 누락(미등록)→엔진이미처리·제약불필요
PRD_000127,타이벡프린트,포스터/사인,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[200-1200] PASS. 앞 누락(미등록)→엔진이미처리·제약불필요
PRD_000128,메쉬프린트,포스터/사인,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[200-600]≤단가행 max w1200 PASS. 앞 누락(미등록)→엔진이미처리·제약불필요
PRD_000138,일반현수막,포스터/사인,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[500-1750]h[500-5000]·COMP_POSTER_BANNER_NORMAL max w1750 h5000 EXACT정합 PASS. 앞 누락(미등록)→엔진이미처리·제약불필요
PRD_000139,메쉬현수막,포스터/사인,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[500-900]h[500-3000]·COMP_POSTER_BANNER_MESH max w1200 h5000(초과=무해) PASS·RULE_001 중복(은퇴후보). 앞 제약있음→제약불필요
PRD_000146,아크릴키링,아크릴/굿즈,자유치수 min/max 범위,CN-5,구간ceiling(siz_width/siz_height TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[20-100]h[20-100]·COMP_ACRYL_CLEAR3T max w200 h200(nonspec 초과=무해) PASS. 앞 누락(미등록·C-9)→엔진이미처리·제약불필요(C-9 폼빌더 수치범위 개발 가격정확성엔 불요)
PRD_000147,아크릴마그넷,아크릴/굿즈,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[20-80]·CLEAR3T max200 PASS. 앞 누락(C-9)→엔진이미처리·제약불필요
PRD_000148,아크릴뱃지,아크릴/굿즈,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[30-80]·CLEAR3T max200 PASS. 앞 누락(C-9)→엔진이미처리·제약불필요
PRD_000149,아크릴집게,아크릴/굿즈,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[30-60]·CLEAR3T max200 PASS. 앞 누락(C-9)→엔진이미처리·제약불필요
PRD_000150,아크릴스마트톡,아크릴/굿즈,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[50-80]·CLEAR3T max200 PASS. 앞 누락(C-9)→엔진이미처리·제약불필요
PRD_000151,맥세이프 스마트톡,아크릴/굿즈,자유치수 min/max 범위,CN-5,구간ceiling(TIER·공식바인딩 확인필요),정합검증만(제약불필요·AMBIG-바인딩),★정정,nonspec w[50-80]h[50-80]. 공식바인딩 스냅샷 미검출→§18/§7 확인 큐(크기범위는 nonspec컬럼 처리). 앞 누락(C-9)→엔진이미처리·제약불필요
PRD_000152,아크릴명찰,아크릴/굿즈,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[60-80]h[20-50]·CLEAR3T max200 PASS. 앞 누락(C-9)→엔진이미처리·제약불필요
PRD_000153,아크릴명찰(골드실버),아크릴/굿즈,자유치수 min/max 범위,CN-5,NULL wildcard(단가행 크기 미티어·고정가),엔진이미처리(제약불필요),★정정,nonspec w[60-80]h[20-50]·COMP_ACRYL_NAMETAG_GS 단가행 siz_width/height 전부 NULL=크기 무관 고정가→크기가 가격 안가름. 크기범위=주문가드만(§6). 앞 누락(C-9)→제약불필요
PRD_000154,아크릴 머리끈,아크릴/굿즈,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[20-40]·CLEAR3T max200 PASS. 앞 누락(C-9)→엔진이미처리·제약불필요
PRD_000155,아크릴볼펜,아크릴/굿즈,자유치수 min/max 범위,CN-5,NULL wildcard(단가행 크기 미티어·고정가),엔진이미처리(제약불필요),★정정,nonspec w[20-40]·COMP_ACRYL_BALLPEN 단가행 크기 NULL=고정가→크기 무가격. 주문가드만(§6). 앞 누락(C-9)→제약불필요
PRD_000156,아크릴지비츠,아크릴/굿즈,자유치수 min/max 범위,CN-5,NULL wildcard(단가행 크기 미티어·고정가),엔진이미처리(제약불필요),★정정,nonspec w[15-35]i1·COMP_ACRYL_ZIBITZ 단가행 크기 NULL=고정가→크기 무가격. 주문가드만(§6). 앞 누락(C-9)→제약불필요
PRD_000164,아크릴코롯토,아크릴/굿즈,자유치수 min/max 범위,CN-5,구간ceiling(TIER),정합검증만(제약불필요·PASS),★정정,nonspec w[30-80]h[30-80]·COMP_ACRYL_COROTTO max w80 h80 EXACT정합 PASS. 앞 누락(C-9)→엔진이미처리·제약불필요
PRD_000171,지비츠,아크릴/굿즈,자유치수 min/max 범위,CN-5,NULL wildcard(고정가),엔진이미처리(제약불필요),★정정,nonspec w[15-35]i1·COMP_ACRYL_ZIBITZ 크기 NULL=고정가. 주문가드만(§6). 앞 누락(C-9)→제약불필요
PRD_000027,2단접지카드,디지털인쇄,박 선택시 박크기 ∈[30x30 90x140],CN-5,엔진외(foil_w/foil_h=엔진 미참조 차원),제약불필요(가격영향無·주문가드 §6),★부분정정,권위 엑셀 박크기 min/max 실재(최소30x30/최대90x140·digital-print-l1). 박비용=박칼라(opt)가 가름·박크기는 NON_QTY_DIMS/TIER 아님=엔진 미처리이나 가격 불변. 제약트랙 아님=§6 UI 유효범위+제조도메인(CN-1). 앞 CN-5 BLOCKED-VAR→엔진외 주문가드 명확화
PRD_000028,미니접지카드,디지털인쇄,박 선택시 박크기 ∈[30x30 80x40],CN-5,엔진외(foil_w/foil_h),제약불필요(가격영향無·주문가드 §6),★부분정정,권위 박크기 min30x30/max80x40 실재·박크기 무가격→엔진외 주문가드
PRD_000029,3단접지카드,디지털인쇄,박 선택시 박크기 ∈[30x30 90x140],CN-5,엔진외(foil_w/foil_h),제약불필요(가격영향無·주문가드 §6),★부분정정,권위 박크기 실재·무가격→엔진외 주문가드
PRD_000031,프리미엄명함,디지털인쇄,박 선택시 박크기 ∈[20x20 80x40],CN-5,엔진외(foil_w/foil_h),제약불필요(가격영향無·주문가드 §6),★부분정정,권위 박크기 min20x20/max80x40 실재·무가격→엔진외 주문가드
PRD_000034,펄명함,디지털인쇄,박 선택시 박크기 ∈[20x20 80x40],CN-5,엔진외(foil_w/foil_h),제약불필요(가격영향無·주문가드 §6),★부분정정,권위 박크기 실재·무가격→엔진외 주문가드
PRD_000038,형압명함,디지털인쇄,형압 선택시 형압크기 ∈[20x20 80x40],CN-5,엔진외(foil_w/foil_h),제약불필요(가격영향無·주문가드 §6),★부분정정,권위 형압크기 min20x20/max80x40 실재·무가격→엔진외 주문가드
PRD_000042,프리미엄 쿠폰/상품권,디지털인쇄,박 선택시 박크기 ∈[30x30 130x58],CN-5,엔진외(foil_w/foil_h),제약불필요(가격영향無·주문가드 §6),★부분정정,권위 박크기 min30x30/max130x58 실재·무가격→엔진외 주문가드
PRD_000027,2단접지카드,디지털인쇄,박 선택시 최소수량 강제,CN-5-COND,조건부 min_qty(무조건 min_qty만 엔진 처리·조건부는 미처리),제약신설 필요(조건부·AMBIG값),유지,박 on→bdl_qty≥N→수량구간 할인테이블이 총가 가름=간접 가격영향. 무조건 min_qty=상품컬럼(엔진 ERR_BELOW_MIN)이나 조건부 delta는 엔진 미처리→조건부 제약 후보. 권위 수량min 불일치(프리미엄쿠폰 base12/박10)=AMBIG 실무진큐
PRD_000029,3단접지카드,디지털인쇄,박 선택시 최소수량 강제,CN-5-COND,조건부 min_qty(엔진 미처리),제약신설 필요(조건부·AMBIG값),유지,동일·값 AMBIG(§23 HANDOFF item3)
PRD_000031,프리미엄명함,디지털인쇄,박 선택시 최소수량 강제,CN-5-COND,조건부 min_qty(엔진 미처리),제약신설 필요(조건부·AMBIG값),유지,동일·값 AMBIG
PRD_000034,펄명함,디지털인쇄,박 선택시 최소수량 강제,CN-5-COND,조건부 min_qty(엔진 미처리),제약신설 필요(조건부·AMBIG값),유지,동일·값 AMBIG
PRD_000069,무선책자,책자/셋트,박 선택시 최소수량 강제,CN-5-COND,조건부 min_qty(엔진 미처리),제약신설 필요(조건부·AMBIG값),유지,박/형압 on→수량구간 가름=간접 가격영향·조건부 엔진 미처리→제약 후보. 값 §23 실무진 확인 필요=AMBIG
PRD_000070,PUR책자,책자/셋트,박 선택시 최소수량 강제,CN-5-COND,조건부 min_qty(엔진 미처리),제약신설 필요(조건부·AMBIG값),유지,동일·값 AMBIG
PRD_000058,반칼원형스티커,스티커,RULE_001 죽은규칙(siz_cd+sel_opts),CN-3,조건부(현재 미발현·조건 실효),제약불필요(점검만·사용자 유지),유지,RULE_001 .03 현재 미발현 죽은규칙이나 사용자 지시 테스트중 유지. 재작성 금지
PRD_000165,포카코롯토,아크릴/굿즈,단가행 전무→견적 0원,CN-2 AMBIG,엔진외(단가행 전무=매칭0=0원),제약불필요(§7 단가적재·제약금지),유지,0원 원인=단가부재→해법=§7 단가적재. 제약으로 막으면 상품 주문불가(오차단). BLOCKED 실무진·미출시 가능성
PRD_000168,아크릴입체코롯토,아크릴/굿즈,단가행 전무→견적 0원,CN-2 AMBIG,엔진외(단가행 전무),제약불필요(§7·제약금지),유지,use_yn=N 정리됨·§7 트랙
PRD_000169,아크릴입체블럭,아크릴/굿즈,단가행 전무→견적 0원,CN-2 AMBIG,엔진외(단가행 전무),제약불필요(§7·제약금지),유지,use_yn=N·§7 트랙
PRD_000170,아크릴쉐이커,아크릴/굿즈,단가행 전무→견적 0원,CN-2 AMBIG,엔진외(단가행 전무),제약불필요(§7·제약금지),유지,use_yn=N·§7 트랙
PRD_000226,아크릴쉐이커코롯토,아크릴/굿즈,단가행 전무→견적 0원,CN-2 AMBIG,엔진외(단가행 전무),제약불필요(§7·제약금지),유지,BLOCKED 실무진·§7 트랙
GROUP_ENVELOPE,봉투/부속(PRD_000001~015),봉투/부속,해당없음(자재×사이즈 격자단순·누락셀0),NONE,정확매칭(누락셀0=엇갈림 없음),제약불필요,유지,전 조합 단가행 충전·조건부 관계 부재. candidates.csv 전수 NONE
GROUP_BOOKLET,책자/포토북/셋트(065~117 除069/070),책자/셋트,해당없음(페이지=page_rules·셋트=§23),NONE,페이지 t_prd_product_page_rules·셋트 §23,제약불필요,유지,페이지 범위=별도 테이블·셋트 구성=§23·조건부 옵션 관계 부재
GROUP_MISC,캘린더/맵/디자인캘린더/굿즈파우치/문구/실사,기타,해당없음(옵션 단순·조건부 관계 부재),NONE,정확매칭(단순),제약불필요,유지,candidates.csv 전수 NONE
