prd_cd,norm,category,old_status,method,required,verdict,evidence,sheet,live_opt,live_priced
PRD_000193,머그컵,10 라이프,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:머그컵,0,N
PRD_000237,레더삼각클러치,11 에코백,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:레더 삼각 클러치,0,N
PRD_000009,투명케이스,12 포장,🟡신규출시,고정가형(수량별 고정단가),수량(필수),QUOTABLE,상품마스터 상품악세사리 고정가 전건 존재,상품악세사리:투명케이스,0,N
PRD_000037,오리지널박명함,03 인쇄홍보물,🟡신규출시,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:오리지널박명함,0,N
PRD_000124,린넨패브릭포스터,04 포스터,✅정상등록가능,면적매트릭스형(포스터사인 가로x세로) / 일부 고정가형,소재/가로/세로/수량,QUOTABLE,포스터사인 면적매트릭스 또는 고정가형(실사 가격표) 존재,실사:린넨패브릭포스터,5,Y
PRD_000142,유광아크릴스티커,05 사인,🟡신규출시,면적매트릭스형(포스터사인 가로x세로) / 일부 고정가형,소재/가로/세로/수량,QUOTABLE,포스터사인 면적매트릭스 또는 고정가형(실사 가격표) 존재,실사:유광아크릴스티커,0,Y
PRD_000082,하드커버링책자,06 책자,🟡신규출시,원자합산형(내지+표지+제본+용지),사이즈/내지페이지/제본/도수/수량,QUOTABLE,디지털인쇄비+제본+출력소재 가격표 존재; 합산형 견적성립,책자:하드커버 링책자,0,N
PRD_000177,스프링노트,08 문구,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(문구) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,문구:스프링노트,0,N
PRD_000155,아크릴볼펜,09 아크릴,🟡신규출시,고정가형(아크릴 완제품 고정단가),사이즈/수량,QUOTABLE,데이터시트 아크릴 고정가 존재(키링/마그넷 등),아크릴:아크릴볼펜,0,N
PRD_000238,레더아이패드노트북파우치,11 에코백,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:레더 아이패드/노트북 파우치,0,N
PRD_000004,카드봉투,12 포장,🟡신규출시,고정가형(수량별 고정단가),수량(필수),QUOTABLE,상품마스터 상품악세사리 고정가 전건 존재,상품악세사리:카드봉투,0,N
PRD_000058,반칼원형스티커,02 스티커,🟡신규출시,고정가형(스티커 규격/소재/수량 단가표),규격/소재/수량,QUOTABLE,스티커 가격표(260527) 단가 존재; 고정가형 견적성립,스티커:반칼원형스티커,0,Y
PRD_000038,형압명함,03 인쇄홍보물,🟡신규출시,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:형압명함,0,N
PRD_000125,캔버스패브릭포스터,04 포스터,✅정상등록가능,면적매트릭스형(포스터사인 가로x세로) / 일부 고정가형,소재/가로/세로/수량,QUOTABLE,포스터사인 면적매트릭스 또는 고정가형(실사 가격표) 존재,실사:캔버스패브릭포스터,1,Y
PRD_000143,미러아크릴스티커,05 사인,🟡신규출시,면적매트릭스형(포스터사인 가로x세로) / 일부 고정가형,소재/가로/세로/수량,QUOTABLE,포스터사인 면적매트릭스 또는 고정가형(실사 가격표) 존재,실사:미러아크릴스티커,0,Y
PRD_000178,스프링수첩,08 문구,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(문구) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,문구:스프링수첩,0,N
PRD_000156,아크릴지비츠,09 아크릴,🟡신규출시,면적매트릭스형(아크릴 소재별 가로x세로),소재/가로/세로/수량,QUOTABLE,아크릴 가격표 면적매트릭스 존재; 자유형 견적성립,아크릴:아크릴지비츠,0,N
PRD_000188,레더코스터,10 라이프,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:레더코스터,0,N
PRD_000283,트레싱지봉투,12 포장,🟡신규출시,미상,?,NEEDS-DOMAIN,데이터시트 매칭 부재(sheet_match 공란),,0,N
PRD_000027,2단접지카드,01 엽서,✅정상등록가능,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:2단접지카드,25,Y
PRD_000059,반칼정사각스티커,02 스티커,🟡신규출시,고정가형(스티커 규격/소재/수량 단가표),규격/소재/수량,QUOTABLE,스티커 가격표(260527) 단가 존재; 고정가형 견적성립,스티커:반칼정사각스티커,0,Y
PRD_000179,메모패드,08 문구,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(문구) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,문구:메모패드,0,N
PRD_000157,아크릴네임택,09 아크릴,🟡신규출시,면적매트릭스형(아크릴 소재별 가로x세로),소재/가로/세로/수량,QUOTABLE,아크릴 가격표 면적매트릭스 존재; 자유형 견적성립,아크릴:아크릴네임택,0,N
PRD_000189,코르크코스터,10 라이프,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:코르크코스터,0,N
PRD_000005,캘린더봉투,12 포장,🟡신규출시,고정가형(수량별 고정단가),수량(필수),QUOTABLE,상품마스터 상품악세사리 고정가 전건 존재,상품악세사리:캘린더봉투,0,N
PRD_000029,3단접지카드,01 엽서,✅정상등록가능,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:3단접지카드,25,Y
PRD_000060,반칼직사각스티커,02 스티커,🟡신규출시,고정가형(스티커 규격/소재/수량 단가표),규격/소재/수량,QUOTABLE,스티커 가격표(260527) 단가 존재; 고정가형 견적성립,스티커:반칼직사각스티커,0,Y
PRD_000181,중철노트,08 문구,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(문구) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,문구:중철노트,0,N
PRD_000158,아크릴포카키링,09 아크릴,🟡신규출시,면적매트릭스형(아크릴 소재별 가로x세로),소재/가로/세로/수량,QUOTABLE,아크릴 가격표 면적매트릭스 존재; 자유형 견적성립,아크릴:아크릴 포카키링,0,N
PRD_000190,우드코스터,10 라이프,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:우드코스터,0,N
PRD_000239,캔버스플랫파우치,11 에코백,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:캔버스 플랫 파우치,0,N
