종류,엑셀값,DB값,비고분류,비고
size,30 x 40 mm,30x40,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,30 x 70mm,30x70,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,40 x 40 mm,40x40,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,40 x 50 mm,40x50,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,40 x 60 mm,40x60,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,20 x 20 mm,20x20,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,60 x 60 mm,60x60,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,70 x 60 mm,70x60,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,60 x 20 mm,60x20,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,70 x 25 mm,70x25,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,80 x 30 mm,80x30,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,15 x 15 mm,15x15,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,25 x 25 mm,25x25,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,35 x 35 mm,35x35,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,100 x 100 mm 원형,100x100mm원형,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,100 x 100 mm 사각,100x100mm사각,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,120 x 60 mm,120x60,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,120 x 90 mm,120x90,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,120 x 120 mm,120x120,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,120 x 150 mm,120x150,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,120 x 180 mm,120x180,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,68 x 103 mm,68x103,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,120 x 50 mm,120x50,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,70 x 70 mm,70x70,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,55 x 86mm,55x86,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,40 x 69 mm 자물쇠,40x69mm자물쇠,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,43 x 71 mm 하트자물쇠,43x71mm하트자물쇠,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,59 x 54 mm 하트,59x54mm하트,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,68 x 70 mm 원형,68x70mm원형,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,80*80,80x80,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,100*150,100x150,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,60 x 70 mm,60x70,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,60 x 80 mm,60x80,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,60 x 90 mm,60x90,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,60 x 100 mm,60x100,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,60 x 110 mm,60x110,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,130 x 190 mm,130x190,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,90 x 145 mm,90x145,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,144 x 206 mm,144x206,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,182 x 257 mm,182x257,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,S (75x130 mm),S(75x130mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,M (95x166 mm),M(95x166mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,L (120x218 mm),L(120x218mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,45 x 45 cm,45x45cm,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A5용 (164 x 230 mm),A5용(164x230mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A4용 (230 x 330 mm),A4용(230x330mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,원형 13x13mm,원형13x13,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,원형 19x19mm,원형19x19,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,원형 24x24mm,원형24x24,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,원형 35x35mm,원형35x35,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,사각 30x30mm,사각30x30,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,사각 67x32mm,사각67x32,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
