sheet,gubun,prd_nm,mes_item_cd,output_paper_value,material_class,note
실사,,레더아트액자,004-0015,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,캔버스 행잉포스터,004-0017,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,린넨 우드봉 족자,004-0018,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,족자포스터,004-0016,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,PET배너,005-0001,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,메쉬배너,005-0002,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,일반현수막,005-0003,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,메쉬현수막,005-0004,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,무광시트커팅,005-0005,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,홀로그램 시트커팅,005-0006,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,유광아크릴스티커,005-0007,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,미러아크릴스티커,005-0008,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,미니보드스탠딩,005-0009,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,미니배너,005-0010,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
아크릴,단품형,아크릴키링,009-0001,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,단품형,아크릴마그넷,009-0002,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,단품형,아크릴뱃지,009-0003,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,단품형,아크릴집게,009-0004,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,단품형,아크릴스마트톡,009-0005,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,단품형,맥세이프 스마트톡,009-0006,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,단품형,아크릴명찰,009-0007,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,단품형,아크릴명찰(골드실버),,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,단품형,아크릴 머리끈,009-0011,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,단품형,아크릴볼펜,009-0008,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,단품형,아크릴지비츠,,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,단품형,아크릴네임택,009-0020,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,단품형,아크릴 포카키링,009-0010,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,단품형,아크릴 코스터,,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,조합형,아크릴자유형스탠드,009-0012,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,조합형,판아크릴,009-0013,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,조합형,아크릴포카스탠드,009-0014,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,조합형,아크릴미니파츠,009-0015,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,조합형,아크릴코롯토,,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,조합형,포카코롯토,,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
아크릴,조합형,아크릴카라비너,,,AREA_NA,"아크릴=완제품/면적 모델, 출력용지규격 비적용"
문구(가격포함),플래너,만년다이어리(소프트커버),008-0020,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(문구 완제품)
문구(가격포함),플래너,만년다이어리(하드커버),008-0021,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(문구 완제품)
문구(가격포함),플래너,만년다이어리(레더하드커버),008-0022,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(문구 완제품)
문구(가격포함),플래너,만년다이어리(레더소프트커버),008-0023,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(문구 완제품)
문구(가격포함),플래너,먼슬리플래너,008-0002,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(문구 완제품)
문구(가격포함),노트,스프링노트,008-0004,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(문구 완제품)
문구(가격포함),노트,스프링수첩,008-0005,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(문구 완제품)
문구(가격포함),노트,메모패드,008-0006,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(문구 완제품)
문구(가격포함),노트,메모패드(내지커스텀) 준비중,,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(문구 완제품)
문구(가격포함),노트,중철노트,008-0007,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(문구 완제품)
문구(가격포함),노트,떡메모지,008-0008,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(문구 완제품)
굿즈파우치(가격포함),소품,틴거울,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),소품,컴팩트거울,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),소품,카드거울,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),소품,사각손거울,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),소품,블랙사각손거울,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),라이프,레더코스터,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),라이프,코르크코스터,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),라이프,우드코스터,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),라이프,린넨패브릭코스터,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),라이프,규조토코스터,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),라이프,머그컵,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),라이프,워터북보틀,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),라이프,벨벳쿠션,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),여행/아웃도어,레더여권케이스,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),여행/아웃도어,미니매트,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),여행/아웃도어,피크닉매트,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),여행/아웃도어,투명부채,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),기념품/액세서리,핀버튼,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),기념품/액세서리,레더스트랩키링,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),기념품/액세서리,키캡키링,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),기념품/액세서리,LED투명키캡키링,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),기념품/액세서리,미니CD앨범,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패션,양말,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패션,반팔티셔츠,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패션,극세사타월,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패션,슬로건,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패션,후드티셔츠,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),데스크/사무용품,초슬림마우스패드,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),데스크/사무용품,장패드,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),데스크/사무용품,극세사클리너,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),데스크/사무용품,틴케이스,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),데스크/사무용품,자석북마크,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),데스크/사무용품,클립보드,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),데스크/사무용품,투명클립보드,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),데스크/사무용품,만년스탬프,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),데스크/사무용품,타이벡북커버,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),디지털악세서리,밴드톡,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),디지털악세서리,폰스트랩,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),말랑(PVC고주파),말랑키링,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),말랑(PVC고주파),말랑증사홀더,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),말랑(PVC고주파),말랑포카홀더,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),말랑(PVC고주파),말랑네임택,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),말랑(PVC고주파),말랑여권케이스,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),말랑(PVC고주파),아크릴쉐이커코롯토,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),말랑(PVC고주파),미니우치와키링,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),말랑(PVC고주파),하트 이미지피켓,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),말랑(PVC고주파),이미지피켓,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),레더파우치,레더 플랫 파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),레더파우치,레더 슬림 파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),레더파우치,레더 삼각 파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),레더파우치,레더 볼륨 파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),레더파우치,레더 스트링 파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),레더파우치,레더 스트링 원형파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),레더파우치,레더 플랫 클러치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),레더파우치,레더 삼각 클러치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),레더파우치,레더 아이패드/노트북 파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패브릭파우치,캔버스 플랫 파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패브릭파우치,캔버스 삼각 파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패브릭파우치,캔버스 스트랩 라벨파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패브릭파우치,광목 스트링 라벨파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패브릭파우치,린넨 스트링 파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),타이벡파우치,타이벡 플랫 파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),타이벡파우치,타이벡 슬림 파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),타이벡파우치,타이벡 삼각 파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),타이벡파우치,타이벡 스트링 파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),타이벡파우치,타이벡 플랫 클러치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),메쉬파우치,메쉬슬림파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),메쉬파우치,메쉬볼륨파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),미니파우치,레더 플랫 미니파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),미니파우치,레더 슬림 미니파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),미니파우치,레더 삼각 미니파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),미니파우치,레더 볼륨 미니파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),미니파우치,레더 원형 미니파우치,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),필통,레더 플랫 필통,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),필통,레더 슬림 필통,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),필통,레더 삼각 필통,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),필통,레더 볼륨 필통,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),필통,레더 원형 필통,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),필통,캔버스 플랫 필통,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),필통,캔버스 삼각 필통,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),레더에코백,레더토트백,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),레더에코백,레더숄더백,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패브릭에코백,린넨 미니에코백,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패브릭에코백,린넨 토트백,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패브릭에코백,린넨 에코백,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패브릭에코백,캔버스심플백,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패브릭에코백,캔버스 포켓심플백,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패브릭에코백,캔버스에코백,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패브릭에코백,캔버스숄더백,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),패브릭에코백,캔버스 포켓숄더백,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),타이벡에코백,타이벡 양면 백팩,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),타이벡에코백,타이벡보냉보틀백,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),타이벡에코백,타이벡 보냉 미니백,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),타이벡에코백,타이벡 에코백,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),타이벡에코백,타이벡 보냉에코백,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),메쉬에코백,메쉬 토트백,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),메쉬에코백,메쉬 에코백,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),에코백부자재,레더라벨제작,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),폰케이스,슬림하드 폰케이스,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
