prd_nm,분류,엑셀값(전지),DB값(작업사이즈),비고
반칼 자유형 투명스티커,의미불일치(전지vs작업사이즈),330x470,105x148|148x210|210x297,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
반칼 자유형 홀로그램스티커,의미불일치(전지vs작업사이즈),330x470,105x148|148x210|210x297,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
반칼띠지스티커,의미불일치(전지vs작업사이즈),330x470|330x470,148x210|210x297,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
반칼원형스티커,의미불일치(전지vs작업사이즈),330x470|330x470,148x210|210x297,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
반칼정사각스티커,의미불일치(전지vs작업사이즈),330x470|330x470,148x210|210x297,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
반칼직사각스티커,의미불일치(전지vs작업사이즈),330x470|330x470,148x210|210x297,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
반칼팬시스티커,의미불일치(전지vs작업사이즈),330x470,104x144|128x190|94x194,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
반칼팬시투명스티커,의미불일치(전지vs작업사이즈),330x470,104x144|128x190|94x194,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
벽걸이캘린더,의미불일치(전지vs작업사이즈),316x467,214x301|214x424|304x424,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
소량자유형스티커,의미불일치(전지vs작업사이즈),330x470,50x70|50x94|65x65,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
소량전단지,의미불일치(전지vs작업사이즈),316x467|316x467|316x467,152x214|216x303|303x426,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
스탠다드 쿠폰/상품권,의미불일치(전지vs작업사이즈),316x467|316x467,152x72|152x79,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
스탠다드명함,의미불일치(전지vs작업사이즈),316x467|316x467,88x54|92x52,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
스탠다드엽서,의미불일치(전지vs작업사이즈),316x467,100x100|102x152|137x137,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
스티커팩,의미불일치(전지vs작업사이즈),330x470,75x110,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
엽서캘린더,의미불일치(전지vs작업사이즈),316x467,134x224|149x149|149x304,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
와이드 접지리플렛,의미불일치(전지vs작업사이즈),330x660|330x660|330x660,635x303|644x303|646x303,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
와이드벽걸이캘린더,의미불일치(전지vs작업사이즈),330x660,304x629,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
인쇄배경지(OPP봉투타입),의미불일치(전지vs작업사이즈),316x467|316x467|316x467,104x104|115x170|66x184,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
인쇄배경지(투명케이스타입),의미불일치(전지vs작업사이즈),316x467,78x113|78x152|78x222,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
인쇄헤더택,의미불일치(전지vs작업사이즈),316x467,114x84|144x84|164x84,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
접지리플렛,의미불일치(전지vs작업사이즈),316x467|316x467|316x467,214x152|302x216|303x216,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
종이슬로건,의미불일치(전지vs작업사이즈),316x467|316x467,302x102|402x147,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
지그재그엽서,의미불일치(전지vs작업사이즈),330x660|330x660,154x604|604x154,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
코팅명함,의미불일치(전지vs작업사이즈),316x467|316x467,88x54|92x52,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
코팅엽서,의미불일치(전지vs작업사이즈),316x467,100x100|102x152|112x172,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
타투스티커,의미불일치(전지vs작업사이즈),210x297,90x190,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
탁상형캘린더,의미불일치(전지vs작업사이즈),316x467|316x467,134x224|224x149,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
투명명함,의미불일치(전지vs작업사이즈),315x467,92x52,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
투명엽서,의미불일치(전지vs작업사이즈),315x467,100x100|102x152|137x137,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
투명포토카드,의미불일치(전지vs작업사이즈),315x467,57x88,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
펄명함,의미불일치(전지vs작업사이즈),316x467,92x52,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
포토카드,의미불일치(전지vs작업사이즈),316x467,57x88,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
프리미엄 쿠폰/상품권,의미불일치(전지vs작업사이즈),316x467|316x467,152x72|152x79,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
프리미엄명함,의미불일치(전지vs작업사이즈),316x467|316x467|316x467,88x54|92x52|92x57,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
프리미엄엽서,의미불일치(전지vs작업사이즈),316x467,100x100|102x152|112x172,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
핑크별색엽서,의미불일치(전지vs작업사이즈),316x467,100x100|102x152|137x137,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
형압명함,의미불일치(전지vs작업사이즈),316x467,92x52,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
화이트인쇄명함,의미불일치(전지vs작업사이즈),316x467,92x52,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
화이트인쇄엽서,의미불일치(전지vs작업사이즈),316x467,100x100|102x152|137x137,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
PET배너,DB-only(EXTRA),(엑셀 출력용지규격 공란),600x1800,"DB 작업사이즈 보유, 엑셀 전지컬럼 공란. typ=PRD_TYPE.04. 삭제금지"
PUR책자,DB-only(EXTRA),(엑셀 출력용지규격 공란),150x214|213x303,"DB 작업사이즈 보유, 엑셀 전지컬럼 공란. typ=PRD_TYPE.04. 삭제금지"
광목 스트링 라벨파우치,DB-only(EXTRA),(엑셀 출력용지규격 공란),100x40|100x70,"DB 작업사이즈 보유, 엑셀 전지컬럼 공란. typ=PRD_TYPE.03. 삭제금지"
규조토코스터,DB-only(EXTRA),(엑셀 출력용지규격 공란),110x110|112x112,"DB 작업사이즈 보유, 엑셀 전지컬럼 공란. typ=PRD_TYPE.03. 삭제금지"
극세사클리너,DB-only(EXTRA),(엑셀 출력용지규격 공란),160x153,"DB 작업사이즈 보유, 엑셀 전지컬럼 공란. typ=PRD_TYPE.03. 삭제금지"
떡메모지,DB-only(EXTRA),(엑셀 출력용지규격 공란),74x124|94x94,"DB 작업사이즈 보유, 엑셀 전지컬럼 공란. typ=PRD_TYPE.03. 삭제금지"
레더 링바인더,DB-only(EXTRA),(엑셀 출력용지규격 공란),611x374|622x374|636x374,"DB 작업사이즈 보유, 엑셀 전지컬럼 공란. typ=PRD_TYPE.04. 삭제금지"
레더 볼륨 미니파우치,DB-only(EXTRA),(엑셀 출력용지규격 공란),165x187|200x187,"DB 작업사이즈 보유, 엑셀 전지컬럼 공란. typ=PRD_TYPE.03. 삭제금지"
레더 볼륨 파우치,DB-only(EXTRA),(엑셀 출력용지규격 공란),240x334|290x334,"DB 작업사이즈 보유, 엑셀 전지컬럼 공란. typ=PRD_TYPE.03. 삭제금지"
레더 볼륨 필통,DB-only(EXTRA),(엑셀 출력용지규격 공란),270x214,"DB 작업사이즈 보유, 엑셀 전지컬럼 공란. typ=PRD_TYPE.03. 삭제금지"
