종류,prd_nm,엑셀값,DB값,정정값,비고
bundle_qty,낱장 자유형 투명스티커,5조각 | 6조각 | 7조각 | 8조각 | 9조각 | 10조각 | *최소크기 30x30 / 10조각이내,(DB 미적재),,"MISSING; 정정X; [스티커] 조각수, DB 미적재. 조각=QTY_UNIT 직접없음(확인필요). *최대/최소 안내값 분리필요"
bundle_qty,대형 자유형 스티커,5조각 | 6조각 | 7조각 | 8조각 | 9조각 | 10조각 | *최소크기 30x30 / 10조각이내,(DB 미적재),,"MISSING; 정정X; [스티커] 조각수, DB 미적재. 조각=QTY_UNIT 직접없음(확인필요). *최대/최소 안내값 분리필요"
bundle_qty,소량자유형스티커,*1조각,(DB 미적재),,"MISSING; 정정X; [스티커] 조각수, DB 미적재. 조각=QTY_UNIT 직접없음(확인필요). *최대/최소 안내값 분리필요"
bundle_qty,탁상형캘린더,30P,(DB 미적재),,"MISSING; 정정X; [디자인캘린더(가격포함)] 페이지묶음(P), DB 미적재. P단위→권/세트? 확인필요"
bundle_qty,미니탁상형캘린더,26P,(DB 미적재),,"MISSING; 정정X; [디자인캘린더(가격포함)] 페이지묶음(P), DB 미적재. P단위→권/세트? 확인필요"
bundle_qty,엽서캘린더,12P,(DB 미적재),,"MISSING; 정정X; [디자인캘린더(가격포함)] 페이지묶음(P), DB 미적재. P단위→권/세트? 확인필요"
bundle_qty,벽걸이캘린더,13P,(DB 미적재),,"MISSING; 정정X; [디자인캘린더(가격포함)] 페이지묶음(P), DB 미적재. P단위→권/세트? 확인필요"
bundle_qty,와이드벽걸이캘린더,13P,(DB 미적재),,"MISSING; 정정X; [디자인캘린더(가격포함)] 페이지묶음(P), DB 미적재. P단위→권/세트? 확인필요"
bundle_qty,아크릴자유형스탠드,2조각 | 3조각 | 4조각 | 5조각 | 6조각,(DB 미적재),,"MISSING; 정정X; [아크릴] 조각수, DB 미적재. 조각=QTY_UNIT 직접없음(확인필요). *최대/최소 안내값 분리필요"
bundle_qty,아크릴미니파츠,10조각,(DB 미적재),,"MISSING; 정정X; [아크릴] 조각수, DB 미적재. 조각=QTY_UNIT 직접없음(확인필요). *최대/최소 안내값 분리필요"
bundle_qty,OPP접착봉투,(엑셀 묶음수컬럼 공란),(DB 미적재),50(QTY_UNIT.02),"정정 보강분: siz_nm 내 장수/개수 분리. 엑셀 묶음수컬럼은 공란, 사이즈명에 은닉. sheet=['상품악세사리(가격포함)']"
bundle_qty,OPP비접착봉투,(엑셀 묶음수컬럼 공란),(DB 미적재),50(QTY_UNIT.02) | 20(QTY_UNIT.02),"정정 보강분: siz_nm 내 장수/개수 분리. 엑셀 묶음수컬럼은 공란, 사이즈명에 은닉. sheet=['상품악세사리(가격포함)']"
bundle_qty,트래싱지 카드봉투,(엑셀 묶음수컬럼 공란),(DB 미적재),20(QTY_UNIT.02) | 40(QTY_UNIT.02) | 100(QTY_UNIT.02) | 30(QTY_UNIT.02),"정정 보강분: siz_nm 내 장수/개수 분리. 엑셀 묶음수컬럼은 공란, 사이즈명에 은닉. sheet=['상품악세사리(가격포함)']"
bundle_qty,카드봉투,(엑셀 묶음수컬럼 공란),(DB 미적재),10(QTY_UNIT.02),"정정 보강분: siz_nm 내 장수/개수 분리. 엑셀 묶음수컬럼은 공란, 사이즈명에 은닉. sheet=['상품악세사리(가격포함)']"
bundle_qty,캘린더봉투,(엑셀 묶음수컬럼 공란),(DB 미적재),10(QTY_UNIT.02),"정정 보강분: siz_nm 내 장수/개수 분리. 엑셀 묶음수컬럼은 공란, 사이즈명에 은닉. sheet=['상품악세사리(가격포함)']"
bundle_qty,투명케이스,(엑셀 묶음수컬럼 공란),(DB 미적재),10(QTY_UNIT.01),"정정 보강분: siz_nm 내 장수/개수 분리. 엑셀 묶음수컬럼은 공란, 사이즈명에 은닉. sheet=['상품악세사리(가격포함)']"
bundle_qty,자석고정용고무판,(엑셀 묶음수컬럼 공란),(DB 미적재),20(QTY_UNIT.01),"정정 보강분: siz_nm 내 장수/개수 분리. 엑셀 묶음수컬럼은 공란, 사이즈명에 은닉. sheet=['상품악세사리(가격포함)']"
bundle_qty,합판도무송스티커,(엑셀 묶음수컬럼 공란),(DB 미적재),8(QTY_UNIT.01) | 6(QTY_UNIT.01) | 3(QTY_UNIT.01) | 2(QTY_UNIT.01) | 1(QTY_UNIT.01),"정정 보강분: siz_nm 내 장수/개수 분리. 엑셀 묶음수컬럼은 공란, 사이즈명에 은닉. sheet=['스티커']"
bundle_qty,피크닉매트,(엑셀 묶음수컬럼 공란),(DB 미적재),1(QTY_UNIT.04) | 2(QTY_UNIT.04),"정정 보강분: siz_nm 내 장수/개수 분리. 엑셀 묶음수컬럼은 공란, 사이즈명에 은닉. sheet=['굿즈파우치(가격포함)']"
bundle_qty,떡메모지,(엑셀 묶음수컬럼 공란),50(QTY_UNIT.03) | 100(QTY_UNIT.03) | 50(QTY_UNIT.03) | 100(QTY_UNIT.03),,"DB EXTRA: DB에 묶음행 존재(50(QTY_UNIT.03) | 100(QTY_UNIT.03) | 50(QTY_UNIT.03) | 100(QTY_UNIT.03)), 엑셀 묶음수컬럼 공란(책자·문구 시트). 삭제금지, 출처=DB 적재값. 권(QTY_UNIT.03)단위"
