prd_nm,분류,엑셀값,DB값,비고
화이트인쇄명함,별색→공정축 이동,화이트인쇄(단면)|화이트인쇄(양면)|클리어인쇄(없음)|클리어인쇄(단면)|클리어인쇄(양면),(공정 PROC_000008~012),"5토큰 별색=공정, 인쇄옵션서 제외"
화이트인쇄명함,별색전용(MATCH),별색만,(공정축),"일반인쇄면 없음=별색이 인쇄, 공정축 정합"
스탠다드 쿠폰/상품권,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
프리미엄 쿠폰/상품권,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
인쇄배경지(OPP봉투타입),MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
인쇄배경지(투명케이스타입),MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
인쇄헤더택,MATCH,단면,단면,print_side 대조(별색 제외)
라벨/택,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
소량전단지,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
접지리플렛,MATCH,양면,양면,print_side 대조(별색 제외)
와이드 접지리플렛,MATCH,양면,양면,print_side 대조(별색 제외)
썬캡,MATCH,단면,단면,print_side 대조(별색 제외)
반칼 자유형 스티커,MATCH,단면,단면,print_side 대조(별색 제외)
반칼 자유형 투명스티커,별색→공정축 이동,화이트인쇄(단면),(공정 PROC_000008~012),"1토큰 별색=공정, 인쇄옵션서 제외"
반칼 자유형 투명스티커,MATCH,단면,단면,print_side 대조(별색 제외)
반칼 자유형 홀로그램스티커,별색→공정축 이동,화이트인쇄(단면),(공정 PROC_000008~012),"1토큰 별색=공정, 인쇄옵션서 제외"
반칼 자유형 홀로그램스티커,MATCH,단면,단면,print_side 대조(별색 제외)
낱장 자유형 스티커,MATCH,단면,단면,print_side 대조(별색 제외)
낱장 자유형 투명스티커,별색→공정축 이동,화이트인쇄(단면),(공정 PROC_000008~012),"1토큰 별색=공정, 인쇄옵션서 제외"
낱장 자유형 투명스티커,MATCH,단면,단면,print_side 대조(별색 제외)
대형 자유형 스티커,MATCH,단면,단면,print_side 대조(별색 제외)
반칼원형스티커,MATCH,단면,단면,print_side 대조(별색 제외)
반칼정사각스티커,MATCH,단면,단면,print_side 대조(별색 제외)
반칼직사각스티커,MATCH,단면,단면,print_side 대조(별색 제외)
반칼띠지스티커,MATCH,단면,단면,print_side 대조(별색 제외)
반칼팬시스티커,MATCH,단면,단면,print_side 대조(별색 제외)
반칼팬시투명스티커,별색→공정축 이동,화이트인쇄(없음)|화이트인쇄(단면),(공정 PROC_000008~012),"2토큰 별색=공정, 인쇄옵션서 제외"
반칼팬시투명스티커,MATCH,단면,단면,print_side 대조(별색 제외)
소량자유형스티커,MATCH,단면,단면,print_side 대조(별색 제외)
스티커팩,MATCH,단면,단면,print_side 대조(별색 제외)
합판도무송스티커,MATCH,단면,단면,print_side 대조(별색 제외)
타투스티커,MATCH,단면,단면,print_side 대조(별색 제외)
중철책자,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
무선책자,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
PUR책자,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
트윈링책자,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
하드커버책자,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
레더 하드커버책자,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
하드커버 링책자,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
레더 링바인더,MATCH,단면,단면,print_side 대조(별색 제외)
엽서북,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
떡메모지,MATCH,단면,단면,print_side 대조(별색 제외)
포토북 [디자인명],MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
탁상형캘린더,MATCH,양면,양면,print_side 대조(별색 제외)
미니탁상형캘린더,MATCH,양면,양면,print_side 대조(별색 제외)
엽서캘린더,MATCH,단면,단면,print_side 대조(별색 제외)
벽걸이캘린더,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
와이드벽걸이캘린더,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
탁상형캘린더,MATCH,양면,양면,print_side 대조(별색 제외)
미니탁상형캘린더,MATCH,양면,양면,print_side 대조(별색 제외)
엽서캘린더,MATCH,단면,단면,print_side 대조(별색 제외)
벽걸이캘린더,MATCH,단면,단면|양면,print_side 대조(별색 제외)
와이드벽걸이캘린더,MATCH,단면,단면|양면,print_side 대조(별색 제외)
접착투명포스터,MISSING,단면,(DB 미적재),인쇄면 DB 미연결
아크릴키링,MATCH,배면양면,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
아크릴마그넷,MISMATCH,단면인쇄|풀빼다,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
아크릴뱃지,MATCH,풀빼다,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
아크릴집게,MATCH,풀빼다,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
아크릴스마트톡,MATCH,,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
맥세이프 스마트톡,MATCH,,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
아크릴명찰,MATCH,풀빼다,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
아크릴명찰(골드실버),MATCH,풀빼다,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
아크릴볼펜,MATCH,풀빼다,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
아크릴지비츠,MATCH,풀빼다,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
아크릴네임택,MATCH,배면양면,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
아크릴 포카키링,MATCH,배면양면,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
아크릴 코스터,MATCH,배면양면,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
아크릴자유형스탠드,MATCH,배면양면,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
판아크릴,MATCH,배면양면,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
아크릴포카스탠드,MATCH,배면양면,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
아크릴미니파츠,MATCH,배면양면,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
아크릴코롯토,MATCH,배면양면,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
포카코롯토,MATCH,배면양면,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
아크릴카라비너,MATCH,배면양면,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
지비츠★,MATCH,,배면양면|투명테두리|풀빼다,print_side 대조(별색 제외)
만년다이어리(소프트커버),MATCH,단면,단면,print_side 대조(별색 제외)
먼슬리플래너,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
스프링노트,MATCH,단면,단면,print_side 대조(별색 제외)
스프링수첩,MATCH,단면,단면,print_side 대조(별색 제외)
메모패드,MATCH,단면,단면,print_side 대조(별색 제외)
중철노트,MATCH,단면,단면,print_side 대조(별색 제외)
떡메모지,MATCH,단면,단면,print_side 대조(별색 제외)
