no,order,new_code,new_name,comp_typ_cd,prc_typ_cd,use_dims_to_pick,inherited_from,plan_prc_typ,prc_typ_conflict,products_in_scope,formula_cnt,authority_loc,note,typ_inherited,prc_inherited
19,12,POSTER_LINEN_PRINT,포스터_린넨_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_width,siz_height,min_qty",COMP_POSTER_LINEN_FABRIC,,,1,1,포스터사인 r118~r131 c1~c6 · 52칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r118~r131 c1~c6 · 52칸] 대체: COMP_POSTER_LINEN_FABRIC. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
24,13,POSTER_PLACARD_PRINT,포스터_일반현수막_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_width,siz_height,min_qty",COMP_POSTER_BANNER_NORMAL,,,1,1,포스터사인 r287~r303 c1~c7 · 80칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r287~r303 c1~c7 · 80칸] 대체: COMP_POSTER_BANNER_NORMAL. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
25,14,POSTER_MESHPLACARD_PRINT,포스터_메쉬현수막_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_width,siz_height,min_qty",COMP_POSTER_BANNER_MESH,,,1,1,포스터사인 r310~r326 c1~c5 · 48칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r310~r326 c1~c5 · 48칸] 대체: COMP_POSTER_BANNER_MESH. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
26,15,POSTER_LINEN_FINISHING,포스터_린넨_가공가,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"opt_cd,min_qty",COMP_POSTEROPT_LINEN_FINISH,,,1,1,포스터사인 r118~r123 c10~c11 · 5칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r118~r123 c10~c11 · 5칸] 대체: COMP_POSTEROPT_LINEN_FINISH. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
27,16,POSTER_PLACARD_FINISHING,포스터_현수막_가공가,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"opt_cd,min_qty",COMP_BANNER_OPTION,,,1,1,포스터사인 r287~r293 c10~c11 · 6칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r287~r293 c10~c11 · 6칸] 대체: COMP_BANNER_OPTION. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01
28,17,POSTER_PLACARD_ADDON,포스터_현수막_부자재,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"opt_cd,min_qty",COMP_BANNER_ADDON,,,1,1,포스터사인 r287~r292 c13~c14 · 5칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r287~r292 c13~c14 · 5칸] 대체: COMP_BANNER_ADDON. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
29,18,POSTER_HANGINGCANVAS_ADDON,포스터_캔버스행잉_부자재,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"opt_cd,siz_cd,min_qty",COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,,,1,1,포스터사인 r251~r253 c10~c13 · 6칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r251~r253 c10~c13 · 6칸] 대체: COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
30,19,POSTER_HANGINGLINEN_ADDON,포스터_린넨우드봉_부자재,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"opt_cd,siz_cd,min_qty",COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,,,1,1,포스터사인 r260~r262 c10~c13 · 6칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r260~r262 c10~c13 · 6칸] 대체: COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
31,20,POSTER_FORMBOARD_PRINT,포스터_폼보드_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"opt_cd,siz_cd,min_qty",COMP_POSTER_FOAMBOARD_BOARD,,,1,1,포스터사인 r213~r215 c1~c4 · 6칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r213~r215 c1~c4 · 6칸] 대체: COMP_POSTER_FOAMBOARD_BOARD. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01
32,21,POSTER_FOAMEX_PRINT,포스터_포맥스_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"opt_cd,siz_cd,min_qty",COMP_POSTER_FOMEXBOARD_BOARD,,,1,1,포스터사인 r221~r223 c1~c4 · 6칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r221~r223 c1~c4 · 6칸] 대체: COMP_POSTER_FOMEXBOARD_BOARD. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
33,22,POSTER_WOODPANEL_PRINT,포스터_나무판넬_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_cd,min_qty",COMP_POSTER_FRAMELESS_WOOD,,,1,1,포스터사인 r229~r230 c1~c4 · 3칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r229~r230 c1~c4 · 3칸] 대체: COMP_POSTER_FRAMELESS_WOOD. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
34,23,POSTER_LEATHERPANEL_PRINT,포스터_레더아트액자_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_cd,min_qty",COMP_POSTER_LEATHER_FRAME,,,1,1,포스터사인 r236~r237 c1~c7 · 6칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r236~r237 c1~c7 · 6칸] 대체: COMP_POSTER_LEATHER_FRAME. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
35,24,POSTER_HANGINGSCROLL_PRINT,포스터_족자_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_cd,min_qty",COMP_POSTER_JOKJA,,,1,1,포스터사인 r243~r245 c1~c6 · 5칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r243~r245 c1~c6 · 5칸] 대체: COMP_POSTER_JOKJA. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
36,25,POSTER_HANGINGCANVAS_PRINT,포스터_캔버스행잉_제작가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_width,siz_height,siz_cd,min_qty",COMP_POSTER_CANVAS_HANGING,,,1,1,포스터사인 r251~r252 c1~c4 · 3칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r251~r252 c1~c4 · 3칸] 대체: COMP_POSTER_CANVAS_HANGING. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
37,26,POSTER_HANGINGLINEN_PRINT,포스터_린넨우드봉_제작가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_cd,min_qty",COMP_POSTER_LINEN_WOODBONG,,,1,1,포스터사인 r260~r261 c1~c4 · 3칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r260~r261 c1~c4 · 3칸] 대체: COMP_POSTER_LINEN_WOODBONG. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
38,27,POSTER_PETBANNER_PRINT,포스터_PET배너_제작가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_cd,min_qty",COMP_POSTER_PET_BANNER,,,1,1,포스터사인 r279~r280 c1~c2 · 1칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r279~r280 c1~c2 · 1칸] 대체: COMP_POSTER_PET_BANNER. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
39,28,POSTER_MESHBANNER_PRINT,포스터_메쉬배너_제작가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_cd,min_qty",COMP_POSTER_MESH_BANNER,,,1,1,권위 코드 오기(D-3),[권위 인쇄상품 가격표 260902_2 · 권위 코드 오기(D-3)] 대체: COMP_POSTER_MESH_BANNER. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
42,29,POSTER_MINIBOARD_FINAL,포스터_미니스탠딩보드_제작가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"siz_cd,min_qty",COMP_POSTER_MINI_STANDBOARD,,,1,1,포스터사인 r351~r356 c1~c4 · 15칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r351~r356 c1~c4 · 15칸] 대체: COMP_POSTER_MINI_STANDBOARD. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
43,30,POSTER_MINIBANNER_FINAL,포스터_미니배너_제작가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"siz_cd,min_qty",COMP_POSTER_MINI_BANNER,,,1,1,포스터사인 r363~r368 c1~c3 · 10칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r363~r368 c1~c3 · 10칸] 대체: COMP_POSTER_MINI_BANNER. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
1,31,ACRYLIC_CLEAR3T_PRINT,아크릴_투명3T_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"mat_cd,siz_width,siz_height,min_qty",COMP_ACRYL_CLEAR3T,PRICE_TYPE.01,★계획 PRICE_TYPE.01 ≠ 라이브 PRICE_TYPE.02,9,8,아크릴 r4~r18 c1~c15 · 196칸,[권위 인쇄상품 가격표 260902_2 · 아크릴 r4~r18 c1~c15 · 196칸] 대체: COMP_ACRYL_CLEAR3T. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.01,PRICE_TYPE.02
4,32,ACRYLIC_TOTAL_FINISHING,아크릴_종합_부자재,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"opt_cd,min_qty",COMP_ACRYL_FINISH,PRICE_TYPE.01,,9,9,아크릴 r69~r94 c1~c4 · 25칸,[권위 인쇄상품 가격표 260902_2 · 아크릴 r69~r94 c1~c4 · 25칸] 대체: COMP_ACRYL_FINISH. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01
5,33,ACRYLIC_CLEAR8T_PRINT,아크릴_투명8T_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_width,siz_height,min_qty",COMP_ACRYL_COROTTO,PRICE_TYPE.01,,1,2,아크릴 r101~r107 c1~c7 · 36칸,[권위 인쇄상품 가격표 260902_2 · 아크릴 r101~r107 c1~c7 · 36칸] 대체: COMP_ACRYL_COROTTO. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01
13,34,POSTER_PHOTOPAPER_PRINT,포스터_인화지_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_width,siz_height,min_qty",COMP_POSTER_ARTPRINT_PHOTO,,,4,5,포스터사인 r4~r17 c1~c6 · 52칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r4~r17 c1~c6 · 52칸] 대체: COMP_POSTER_ARTPRINT_PHOTO. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
15,35,POSTER_PET_PRINT,포스터_PET_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_width,siz_height,min_qty",COMP_POSTER_ARTPRINT_PHOTO,,,4,5,포스터사인 r42~r55 c1~c6 · 52칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r42~r55 c1~c6 · 52칸] 대체: COMP_POSTER_ARTPRINT_PHOTO. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
16,36,POSTER_PVC_PRINT,포스터_PVC_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_width,siz_height,min_qty",COMP_POSTER_ARTPRINT_PHOTO,,,4,5,포스터사인 r61~r74 c1~c6 · 52칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r61~r74 c1~c6 · 52칸] 대체: COMP_POSTER_ARTPRINT_PHOTO. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
18,37,POSTER_GRAPHIC_PRINT,포스터_그래픽천_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_width,siz_height,min_qty",COMP_POSTER_ARTPRINT_PHOTO,,,4,5,포스터사인 r99~r112 c1~c6 · 52칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r99~r112 c1~c6 · 52칸] 대체: COMP_POSTER_ARTPRINT_PHOTO. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
20,38,POSTER_OXFORD_PRINT,포스터_캔버스옥스포드_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_width,siz_height,min_qty",COMP_POSTER_CANVAS_FABRIC,,,4,4,포스터사인 r137~r150 c1~c6 · 52칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r137~r150 c1~c6 · 52칸] 대체: COMP_POSTER_CANVAS_FABRIC. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
21,39,POSTER_LEATHER_PRINT,포스터_레더_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_width,siz_height,min_qty",COMP_POSTER_CANVAS_FABRIC,,,4,4,포스터사인 r156~r169 c1~c6 · 52칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r156~r169 c1~c6 · 52칸] 대체: COMP_POSTER_CANVAS_FABRIC. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
22,40,POSTER_TYVEK_PRINT,포스터_타이벡_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_width,siz_height,min_qty",COMP_POSTER_CANVAS_FABRIC,,,4,4,포스터사인 r175~r188 c1~c6 · 52칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r175~r188 c1~c6 · 52칸] 대체: COMP_POSTER_CANVAS_FABRIC. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
23,41,POSTER_MESH_PRINT,포스터_메쉬_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_width,siz_height,min_qty",COMP_POSTER_CANVAS_FABRIC,,,4,4,포스터사인 r194~r207 c1~c6 · 52칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r194~r207 c1~c6 · 52칸] 대체: COMP_POSTER_CANVAS_FABRIC. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
40,42,POSTER_SHEETCUT_FINAL,포스터_시트커팅_제작가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"siz_cd,mat_cd,min_qty",COMP_POSTER_SHEETCUT_MATTE,,,2,2,포스터사인 r333~r335 c1~c4 · 6칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r333~r335 c1~c4 · 6칸] 대체: COMP_POSTER_SHEETCUT_MATTE. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
41,43,POSTER_ACRYLICSTICKER_FINAL,포스터_아크릴스티커_제작가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"siz_cd,mat_cd,min_qty",COMP_POSTER_ACRYLSTK_GLOSS,,,2,2,포스터사인 r342~r344 c1~c5 · 8칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r342~r344 c1~c5 · 8칸] 대체: COMP_POSTER_ACRYLSTK_GLOSS. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
