std_id,대분류,기능,매핑legacy_id,매핑asis_id,상태,근거,사유
STD-OPT-024,옵션·견적,코팅 선택(무광/유광 × 단면/양면),F-039;SCOPE-039;IA-039;X-ENGINE-SETCOAT-01,WA-003;WA-025,partial,X-ENGINE-SETCOAT-01 price_simulate_set이 coat_side_cnt 드롭 → 셋트 경로 표지 코팅비 누락(C트랙),"단품 경로는 배선, 셋트 경로 코드 결함"
STD-OPT-025,옵션·견적,박 선택(색상 다종 × 면 × 크기 × 내용같음/틀림),F-044;SCOPE-044;IA-044;X-ENGINE-FOIL-01;P-FOIL-DTLOPT-01,WA-003,partial,X-ENGINE-FOIL-01 박 엔진 미지원 — 027/028/029 박 가산 전부 0(데이터로 못 고침·C트랙),옵션 축은 있으나 가격 엔진이 미지원
STD-OPT-026,옵션·견적,형압(양각/음각) 선택,F-044;SCOPE-044;IA-044,WA-003,partial,raw/webadmin/webadmin/config/urls.py:356-360 (옵션 축) · X-ENGINE-FOIL-01 동일 엔진 경로,형압도 박과 같은 공정 그릇 — 엔진 미지원 영향권
STD-OPT-027,옵션·견적,오시 선택(줄 수 × 방향),F-041;SCOPE-041;IA-041,WA-003,partial,raw/webadmin/webadmin/config/urls.py:356-360 · 오배선 실증 huni-product-lifecycle §7.4,오시 표(합가) vs 카드접지 표 혼선 확정 결함 잔존
STD-OPT-028,옵션·견적,미싱 선택,F-041;SCOPE-041;IA-041;P-DEDUP-PROC-3-01,WA-003,partial,P-DEDUP-PROC-3-01 공정 중복정리 BLOCKED 3건(미싱086 포함) — 부모↔자식 가격사슬 단절,축은 있으나 정리 BLOCKED
STD-OPT-029,옵션·견적,타공 선택(직경 × 개수 × 위치),F-040;SCOPE-040;IA-040;X-WGT-PUNCH-01;P-PED-PUNCH-01,WA-003,partial,X-WGT-PUNCH-01 시뮬레이터/위젯이 procs detail{타공수}를 전송해야 타공수별 가산 작동(코드트랙),타공수 차원 전송 미구현
STD-OPT-030,옵션·견적,귀돌이/라운딩 선택(반경 × 모서리 위치),F-040;SCOPE-040;IA-040;X-WGT-ATTB-01,WA-003,partial,X-WGT-ATTB-01 합성 ATTB / size-linked 반경 잠복 — 컨버전 시 보정 필요,귀돌이 반경이 사이즈 연동 축이라 미보정
STD-OPT-031,옵션·견적,도무송(전체/부분·모양·개수) 선택,F-040;SCOPE-040;IA-040;P-DIECUT-2-01,WA-003,done,raw/webadmin/webadmin/config/urls.py:356-360 (옵션 항목 CRUD),도무송 축 배선. 절대값 골든 미검증은 검증대기 항목
STD-OPT-032,옵션·견적,넘버링(일반/난수 × 자릿수 × 개수) 선택,,,new,print-story/02_capture/order-flow-steps.md §C-7-5 넘버링,넘버링 축 legacy 부재. 근거=경쟁사 실측 → 오염 없음
STD-OPT-033,옵션·견적,부분UV/에폭시 선택,X-GAP-UVFORM-01;P-UNDER-5-01,,partial,X-GAP-UVFORM-01 webadmin UV 변형 입력 폼 적재경로 '미상' 정직 표기 잔존,부분UV 입력 경로 미확정
STD-OPT-034,옵션·견적,부자재 선택(케이스·폴리백·포장),F-047;SCOPE-047;IA-047;F-046;SCOPE-046;IA-046,WA-004;WA-009,done,raw/webadmin/webadmin/config/urls.py:363-365 (상품 템플릿/추가상품) · :378 (SKU 카탈로그),부자재=추가상품 템플릿 그릇으로 배선
STD-OPT-035,옵션·견적,상품별 기본제공 부자재 규칙 표시,F-046;SCOPE-046;IA-046,,todo,F-046/SCOPE-046/IA-046 B13 추가상품 PARTIAL·미착수,기본제공 규칙 표시는 L2 근거 없음
STD-OPT-036,옵션·견적,추가상품(악세사리) 템플릿 묶음 선택,F-046;SCOPE-046;IA-046,WA-004;WA-009,done,raw/webadmin/webadmin/config/urls.py:363-365 · :378,추가상품 템플릿 묶음 선택 배선
STD-OPT-037,옵션·견적,옵션 조합 제약 규칙 평가(불가 조합 차단·사유 표시),F-048;SCOPE-048;IA-048;X-CR-ENFORCE-CLIENT-01;X-CR-ENFORCE-ENGINE-01;X-CR-HANDOFF-01,WA-006;WA-036,partial,raw/webadmin/webadmin/config/urls.py:371 (제약규칙 관리) · :249 (validate) — 그러나 X-CR-ENFORCE-CLIENT-01: 위젯/장바구니/주문 어디에도 validate 호출 없음,생성은 되나 강제 지점 부재 → 불가 조합 통과
STD-OPT-038,옵션·견적,자재→가능 인쇄방식 게이팅,F-048;SCOPE-048;IA-048;X-CR-ENFORCE-ENGINE-01,WA-006,partial,raw/webadmin/webadmin/config/urls.py:371 · X-CR-ENFORCE-ENGINE-01 가격엔진이 제약을 전혀 참조하지 않음,게이팅 규칙 그릇만 존재
STD-OPT-039,옵션·견적,공정 택일 그룹(상호배타) 처리,F-048;SCOPE-048;IA-048;P-CPQ-CLASSA-01,WA-006;WA-003,partial,raw/webadmin/webadmin/config/urls.py:371 · P-CPQ-CLASSA-01 PRD_000146 고리 그룹 sel_typ/min/max NULL,택일 그룹 메타 결손
STD-OPT-040,옵션·견적,필수 동반 옵션 강제(예 인쇄없음 시 후가공 필수),F-048;SCOPE-048;IA-048;X-CR-C9-01,WA-006,partial,X-CR-C9-01 폼빌더에 수치 범위 조건 타입 부재 — 자유치수 19건+raw-only 7건 UI 관리 불가,필수동반 규칙 표현력 제약
STD-OPT-041,옵션·견적,수량 최소/최대/증분 검증,F-036;SCOPE-036;IA-036;P-MINIBOARD-QTY-01,WA-003;WA-007,partial,raw/webadmin/webadmin/config/urls.py:373 (validate) · P-MINIBOARD-QTY-01 min1 < 완제품가 시작4 저청구,수량 규칙 그릇은 있으나 오적재 확인
STD-OPT-042,옵션·견적,사이즈 범위·비율 검증(매트릭스 밖 사이즈 차단),F-035;SCOPE-035;IA-035;X-CR-C9-01,WA-007,partial,X-CR-C9-01 수치 범위 조건 타입 부재,사이즈 범위 검증 표현 불가
STD-OPT-043,옵션·견적,옵션 변경 시 실시간 재견적,F-049;SCOPE-049;IA-049,WA-035;SB-011;SB-025,done,raw/webadmin/webadmin/config/urls.py:248 (api/w/v1/price) · huni-widget.tsx:162-176 · src/app/api/printly/requote/route.ts:16-50,옵션 변경→재견적 종단 배선 확인
STD-OPT-044,옵션·견적,서버 권위 가격 계산(클라이언트 계산 금지),F-049;SCOPE-049;IA-049,WA-025;WA-035,done,raw/webadmin/webadmin/catalog/pricing.py:1 (evaluate_price 1561줄) · config/urls.py:248,서버 권위 계산 실재
STD-OPT-045,옵션·견적,가격 0원/계산불가 상태 처리 및 사용자 안내,P-ZEROQUOTE-119-01;P-ANCHOR-149-01;P-QUOTE0-100-01;P-PRICED0-6-01,,todo,P-ZEROQUOTE-119-01 0원 견적 조합 119건/32상품 — 손님이 0원에 주문 가능(4주째 OPEN),0원 상태 가드/안내 자체가 없음 (가드가 is None만 본다)
STD-OPT-046,옵션·견적,가격 내역 분해 표시(인쇄비·후가공비·부가세),F-063;SCOPE-063;IA-063,WA-022;SB-011,partial,"raw/webadmin/webadmin/config/urls.py:157,159 (가격 다이어그램/소스 추적 — 운영자용) · huni-widget.tsx:162-176","운영자 분해는 done, 고객 화면 비목 분해 노출 근거 없음"
STD-OPT-047,옵션·견적,수량구간 할인 적용,F-050;SCOPE-050;IA-050,WA-023,partial,"raw/webadmin/webadmin/config/urls.py:137,177-181 (수량구간 할인표 관리)",할인 적용 그릇 done. 고객 '수량별 가격표 보기'(C2)는 미구현
STD-OPT-048,옵션·견적,면적 기반 가격 계산(실사·현수막·아크릴),P-AREA-CUSTOM-01;P-ACRYL-INTEGRITY-156-01;P-POSTER-FORMULA-SPLIT-01;P-POSTER-TRANSPOSE-01,WA-025,partial,raw/webadmin/webadmin/catalog/pricing.py:1 · P-ACRYL-INTEGRITY-156-01 면적 미적재 156셀 + 12/13 상품 공식 0바인딩,면적형 엔진은 있으나 적재 미완
STD-OPT-049,옵션·견적,원자합산형 가격 계산(디지털인쇄),P-L1-109-01;P-ORPHAN-211-01;P-OVERCHARGE-8-01,WA-025;WA-018,partial,raw/webadmin/webadmin/catalog/pricing.py:1 · config/urls.py:144-148 (단가 그리드 편집) · P-L1-109-01 109상품 가격공식 미바인딩,"원자합산 엔진 done, 배선 미완"
STD-OPT-050,옵션·견적,고정가형 가격 계산(수량×옵션),P-ACC-20-01;P-GOODS-DIRECTPRICE-01;P-GOODS57-LOAD-01,WA-025;WA-024,partial,raw/webadmin/webadmin/catalog/pricing.py:1 · config/urls.py:113-117 (시작가) · P-GOODS-DIRECTPRICE-01 굿즈파우치 직접단가 110건 미적재,"고정가형 경로 done, 적재 구멍 최대"
STD-OPT-051,옵션·견적,셋트/부품조립 상품 합산 가격 계산,P-SET-072-01;P-SET-088-01;P-VERIFY-SET7-01;X-SET-SIZCD-01,WA-008;WA-021,partial,raw/webadmin/webadmin/config/urls.py:336 (셋트상품 관리) · :169 (셋트 가격 시뮬레이션) · X-SET-SIZCD-01 고정가형 셋트 화면 0원,"셋트 합산 경로 배선, siz_cd 미전파 결함"
STD-OPT-052,옵션·견적,판걸이수 기반 판형 원가 반영,X-ENGINE-PANSU-01;P-AXIS-265-01,WA-025,partial,X-ENGINE-PANSU-01 fn_calc_pansu에 prd_cd 인자 추가 + pricing.py 수정 필요(C트랙),판걸이수 계산은 있으나 자재종속 미지원
STD-OPT-053,옵션·견적,견적 결과 저장(옵션보관함),F-065;SCOPE-065;IA-065;F-011;SCOPE-011;IA-011,,todo,F-065/SCOPE-065/IA-065 F5 옵션 보관함 저장·불러오기 CUSTOM·미착수,L2 근거 없음
STD-OPT-054,옵션·견적,견적서 PDF/출력물 발급,F-051;SCOPE-051;IA-051,,todo,F-051/SCOPE-051/IA-051 C3 견적서 생성·다운로드 CUSTOM·미착수,L2 근거 없음
STD-OPT-055,옵션·견적,대량주문 견적 문의 접수,F-070;SCOPE-070;IA-070;F-116;SCOPE-116;IA-116,SB-056,todo,huni-skin-shopby src/app/(main) 하위 inquiry/qna 라우트 부재 (SB-056 absent),대량주문 견적문의 접수 경로 없음
STD-ART-001,원고·파일,인쇄원고 파일 업로드(PDF/AI/EPS),F-052;SCOPE-052;IA-052,WA-037;SB-019,partial,"raw/webadmin/webadmin/config/urls.py:250,252 · catalog/s3_artwork.py:208-280 (presign done) — 그러나 SB-019 stub: configurator-actions.tsx:74-86 버튼 라벨만 업로드·실동작은 장바구니 담기","서버 업로드 계약 done, 고객 화면 미배선 (§4-5 존중)"
STD-ART-002,원고·파일,대용량 파일 분할/재개 업로드,F-052;SCOPE-052;IA-052,WA-037,partial,raw/webadmin/webadmin/catalog/s3_artwork.py:208-280 (멀티파트),멀티파트 서버측만
STD-ART-003,원고·파일,업로드 진행률·실패 재시도,F-052;SCOPE-052;IA-052,,todo,F-052/SCOPE-052/IA-052 D1 파일 업로드 CUSTOM·미착수,진행률/재시도 UI 근거 없음
STD-ART-004,원고·파일,건수별 개별 파일 업로드(디자인 N종),,,new,print-story/02_capture/order-flow-steps.md §A-4 건수 · §C-8 앞/뒷면 각각,건수별 개별 파일 업로드 legacy 부재. 근거=경쟁사 실측 → 오염 없음
STD-ART-005,원고·파일,앞면/뒷면 파일 분리 업로드,,,new,print-story/02_capture/order-flow-steps.md §C-8,앞/뒷면 분리 업로드 legacy 부재. 근거=경쟁사 실측 → 오염 없음
STD-ART-006,원고·파일,주문 이후 파일 업로드 경로(결제 후 입고),F-075;SCOPE-075;IA-075,WA-052,partial,raw/webadmin/webadmin/catalog/artwork_promote.py:1 (tmp→order 버킷 승격) · models.py:1081,"주문 후 원고 승격 경로 done, 고객 업로드 진입 미배선"
STD-ART-007,원고·파일,파일 재업로드·버전 이력 보관,F-137;SCOPE-137;IA-137,WA-052,partial,raw/webadmin/webadmin/catalog/artwork_promote.py:1,승격 이력은 남으나 고객 재업로드·버전 이력 UI 근거 없음
STD-ART-008,원고·파일,파일 포맷 유효성 검사,X-DEC-FILECHECK-01;F-137;SCOPE-137;IA-137,,todo,X-DEC-FILECHECK-01 OQ-G11 파일 검수 기준 미확정(1차),"검판 포맷 유효성 검사 — 기준 자체가 미확정, L2 근거 없음"
STD-ART-009,원고·파일,재단선/블리드 3mm 확보 검사,X-DEC-FILECHECK-01;F-137;SCOPE-137;IA-137,,todo,X-DEC-FILECHECK-01 OQ-G11 파일 검수 기준 미확정(1차),"검판 블리드 3mm 검사 — 기준 자체가 미확정, L2 근거 없음"
STD-ART-010,원고·파일,색공간(CMYK) 검사 및 RGB 경고,X-DEC-FILECHECK-01;F-137;SCOPE-137;IA-137,,todo,X-DEC-FILECHECK-01 OQ-G11 파일 검수 기준 미확정(1차),"검판 CMYK 검사 — 기준 자체가 미확정, L2 근거 없음"
STD-ART-011,원고·파일,해상도(dpi) 검사,X-DEC-FILECHECK-01;F-137;SCOPE-137;IA-137,,todo,X-DEC-FILECHECK-01 OQ-G11 파일 검수 기준 미확정(1차),"검판 해상도 검사 — 기준 자체가 미확정, L2 근거 없음"
STD-ART-012,원고·파일,폰트 아웃라인 여부 검사,X-DEC-FILECHECK-01;F-137;SCOPE-137;IA-137,,todo,X-DEC-FILECHECK-01 OQ-G11 파일 검수 기준 미확정(1차),"검판 폰트 아웃라인 검사 — 기준 자체가 미확정, L2 근거 없음"
STD-ART-013,원고·파일,주문 사양과 파일 실측 사이즈 대조,X-DEC-FILECHECK-01;F-137;SCOPE-137;IA-137,,todo,X-DEC-FILECHECK-01 OQ-G11 파일 검수 기준 미확정(1차),"검판 사양 대조 검사 — 기준 자체가 미확정, L2 근거 없음"
STD-ART-014,원고·파일,별색 채널·오버프린트 검사,X-DEC-FILECHECK-01;F-137;SCOPE-137;IA-137,,todo,X-DEC-FILECHECK-01 OQ-G11 파일 검수 기준 미확정(1차),"검판 별색·오버프린트 검사 — 기준 자체가 미확정, L2 근거 없음"
STD-ART-015,원고·파일,검판 결과 리포트 고객 노출,F-137;SCOPE-137;IA-137,,todo,F-137/SCOPE-137/IA-137 파일확인처리 CUSTOM·미착수,검판 결과 고객 노출 근거 없음
STD-ART-016,원고·파일,자동검판 도구 연동(PitStop 등),,,new,print-kb/wiki/policy/order-mgmt.md#OMG-02 PitStop 연동 후보,자동검판 도구 연동 legacy 부재. 근거=인쇄 KB → 오염 없음
STD-ART-017,원고·파일,검판 게이트 통과/보류 상태 관리,F-137;SCOPE-137;IA-137,,todo,F-137/SCOPE-137/IA-137 파일확인처리,검판 게이트 상태 관리 근거 없음
STD-ART-018,원고·파일,재업로드 요청 발송(문자/알림),F-138;SCOPE-138;IA-138,,todo,F-138/SCOPE-138/IA-138 재업로드요청 문자 발송 PARTIAL·대기 · X-SMS-CONTRACT-01 알림톡/SMS 계약 미체결,발송 경로 L2 근거 없음
STD-ART-019,원고·파일,업로드 파일 썸네일·PDF 미리보기,F-053;SCOPE-053;IA-053;F-160;SCOPE-160,,todo,F-053/SCOPE-053/IA-053 D2 편집상품 미리보기·썸네일 CUSTOM·미착수,L2 근거 없음
STD-ART-020,원고·파일,재단선 오버레이 미리보기,SCOPE-058;IA-058,,todo,SCOPE-058/IA-058 E2 인쇄영역·도련 가이드 PARTIAL·미착수,재단선 오버레이 근거 없음
STD-ART-021,원고·파일,온라인 디자인 에디터 진입,F-054;SCOPE-054;IA-054,WA-041;SB-020,partial,"raw/webadmin/webadmin/config/urls.py:274,275 · catalog/edicus_lookup.py:214-260 (resolve/token done) — 그러나 SB-020 stub: configurator-actions.tsx:170-176 onClick 없음(데드 버튼)","서버 진입 계약 done, 고객 버튼 미배선 (§4-5 존중)"
