legacy_id,원천,기능서술,원판정,돈여부,주문여부,비고
P-REVERSE-4-01,runway,역방향 4건 (인쇄배경지 74×74류 SIZ_000039~042) — 올바른 판형 회신 대기,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-REVIEW-25-01,runway,REVIEW 잔여 25건 — 대부분 분담 FP·기추적,검증대기,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-SET-INNER-PAGE-01,runway,D-2 내지 페이지가격 미실현 — semi_role.01 부재로 내지비 0,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-SET-MEMBRANE-PRINT-01,runway,D-3 인쇄면지(082 MAT_385·088) 인쇄비 0 — 면지 멤버 무공식,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-SET-PREMIUM-UNDER-01,runway,"프리미엄 정확값 트랙 저청구 잔존 (077 레더 +3,900 · 082 면지 유료 · 표지/면지 ×2)",미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-SILENT-7-01,runway,돈크리티컬 silent 합산 7건 — 타 상품 부속이 자재로 묵음 가산,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-SOT-RELOAD-65-01,runway,SOT 260702 재적재 후속 33+32셀 별도 High 큐,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-STATIONERY-SPARSE-01,runway,문구 sparse grid 충전 · 무지내지 min/max · 177 재분류 · 굿즈 NEITHER-gap 가격 적재,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-STICKER-INTEGRITY-01,runway,스티커 무결성 게이트 NO-GO — 돈크리티컬 실결함 다수 라이브 재현,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-STICKER-REPRICE-01,runway,가격표 260702 스티커 소재 연당가 변경 → 스티커 가격사슬 재적재 필요 (High),미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-UNDERCHARGE-BATCH-3-01,runway,배치 적발 저청구 3건 실무진 액션 대기 — 메쉬배너 타공 dtl_opt 누락 · TRAP_MIN 8상품 · 출력소재 specialty 30셀 미적재,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-USAGECD-3-01,runway,usage_cd 표시명 정합 (068~070 표지/내지 자재) — 가격 무관,미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-VERIFY-104-01,runway,I-VERIFY-1 가격소스 보유 104상품 strict 실호출 final_price>0 실비율 미검증,검증대기,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-WIDGET-BLOCKED-200-01,runway,위젯 선행 불가 200상품 (준비도 L3 미만),미착수,False,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-WIRE-PROPOSAL-LOAD-01,runway,round-19 가격 폐루프 제안본 3종 DB 미적재 (명함 공식분리·031 박·033 MATGROUP·042 박 공용 comp),설계완료·구현대기,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-WRONGCODE-4-01,runway,사이즈 WRONG_CODE 4건 미교정 — 스티커 그리드 540행 재키 결합 블로커,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-YELLOW-CAT-01,runway,OQ-8 YELLOW 카테고리 미적재 상품 — 진성 부재인가 적재 대상인가 미판정,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
X-AGED-ADMIN-01,runway,admin-analysis / feature-matrix 출처 AGED (3.5개월) — 라이브 재확인 권장,검증대기,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
X-AUTH-CONTRACT-01,runway,OQ-G9 휴대폰 본인인증 서비스 계약 미체결 (1차 영향),미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
X-BATCH-REST-01,runway,통합 배치 hdx 가격 파일럿 잔여 (전부 선택) — codex 2차 · 타 도메인 확장,미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
X-BFF-ENDPOINT-01,runway,후니 evaluate_price 호출 가능 HTTP 엔드포인트·인증 미특정 · CPQ 옵션/제약 조회 쿼리 미확정,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
X-CHK-BACKUP-01,runway,백업·복구 절차 미확인 (DB 스냅샷·복구 리허설),미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
X-CHK-CAPACITY-01,runway,서버 용량·오토스케일·모니터링 기준 미확인,미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
X-CHK-CS-01,runway,고객센터 응대 스크립트·FAQ 미확인,미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
X-CHK-DELIVERY-01,runway,배송사 연동·송장 발행·배송추적 경로 미확인,미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
