row_uid,card,scope,dup_key,merged_from,system,group,screen_id,screen_name,role,function,work_type,counterpart,direction,owner_side,plan_row_id,status,evidence
t50:110,t50,out,docs/edicus.man/src/hooks/useEdicus.ts:65-183,,edicus,편집 캔버스,EDI-22,useEdicus/useHuniEditor 훅(SDK 통합 참조코드),시스템(무인),EdicusClient 생명주기 React 통합·create_project/open_project/postToEditor 배선 — docs/edicus.man은 별도 참조 프로젝트(운영 huni-skin-shopby 아님),provided,edicus,,외부,NEW,완료,"[오픈분모밖] docs/edicus.man(edicus-man)은 별도 참조/데모 리포지토리 — README.md에 자체 SaaS로 소개되며 운영 위젯(huni-skin-shopby, 이 저장소 밖)과 별개 코드베이스. 이번 오픈은 huni-skin-shopby 코드로 진행되므로 이 참조코드 자체는 오픈 분모 밖(참고자료) — docs/edicus.man/src/hooks/useEdicus.ts:65-183 · useHuniEditor.ts:19-137 · docs/edicus.man/README.md 1-13행('웹-투-프린트 SaaS 플랫폼', package.json name=edicus-man) — 참조용, 운영 위젯(huni-skin-shopby, 이 저장소 밖)과는 별개 리포지토리"
t50:93,t50,in,raw/webadmin/webadmin/catalog/widget_api.py:5758-5789,,edicus,편집기 진입,EDI-04,옵션조합→PSCode/템플릿 서버 해석(POST /api/w/v1/editor/resolve),시스템(무인),고객이 고른 옵션조합(또는 선택 디자인)을 어느 PSCode·템플릿URI로 열지 서버가 결정,build,,,webadmin,STD-ART-030,완료,raw/webadmin/webadmin/catalog/widget_api.py:5758-5789(api_editor_resolve) · catalog/edicus_lookup.py:165-200(resolve)
t50:94,t50,in,raw/webadmin/webadmin/catalog/widget_api.py:5770-5776,,edicus,편집기 진입,EDI-05,디자인 우선 편집기 해석(dsn_cd 경로),시스템(무인),"디자인을 고르고 들어온 경우 그 디자인의 PSCode/URI로 직결(옵션조합 매핑 조회 생략, 1디자인 1사이즈 확정)",build,,,webadmin,NEW,완료,raw/webadmin/webadmin/catalog/widget_api.py:5770-5776 · catalog/designs.py(get_for_order — 파일 상단 주석 '편집기 해석(edicus 우선순위)')
t50:95,t50,in,raw/webadmin/webadmin/catalog/widget_api.py:5803-5832,,edicus,편집기 진입,EDI-06,Edicus 사용자토큰 대리발급(POST /api/w/v1/editor/token),시스템(무인),webadmin이 비밀 API키로 Edicus 서버에 토큰 요청 후 사용자토큰만 위젯에 전달(비밀키 노출 차단),integrate,edicus,webadmin→edicus,webadmin,STD-ART-022,완료,raw/webadmin/webadmin/catalog/widget_api.py:5803-5832(api_editor_token) · catalog/edicus_lookup.py:245-287(issue_token) · _workspace/huni-edicus-product-map/02_contract/editor-launch-contract.md §2(토큰 흐름·서버전용경계)
t50:96,t50,in,raw/webadmin/webadmin/config/urls.py:274,,edicus,편집기 진입,EDI-07,위젯→webadmin 편집기 진입 요청(버튼 클릭),고객,위젯 화면에서 「에디터로 편집하기」를 눌러 resolve/token 두 API를 순차 호출해 에디터를 띄운다,integrate,webadmin,widget→webadmin,widget,STD-ART-021,진행,"planrows-edicus.csv row STD-ART-021: raw/webadmin/webadmin/config/urls.py:274,275 · catalog/edicus_lookup.py:214-260(webadmin측 done) — 그러나 SB-020 stub: huni-skin-shopby/src/components/product/configurator-actions.tsx:170-176 onClick 없음(데드버튼, 이 저장소 범위 밖·재확인 불가)"
t50:107,t50,in,,,edicus,편집기 진입,EDI-19,신규몰(위젯) 디자인 목록 API 소비,고객,webadmin 등록분 디자인 목록을 위젯이 불러와 화면에 렌더 — 위젯측 소비 코드 미확인,integrate,webadmin,widget→webadmin,widget,STD-CAT-036,미착수,"planrows-edicus.csv row STD-CAT-036: 'webadmin 에 디자인 1건을 등록한 뒤 신규몰 디자인 목록을 새로고침해 그 디자인이 보이면 완료' — 상태 미착수(9/17 원장 기준, webadmin측 API는 EDI-18에서 완료 확인됐으나 위젯 소비측 코드는 이 저장소 범위 밖)"
t48:96,t48,in,/notice/page.tsx:1-27,,huni-mall,고객지원,MALL-FAQ,자주묻는질문(라우트 부재),고객,공지사항·FAQ 열람,integrate,shopby,huni-mall→shopby,huni-mall,STD-CLM-018,진행,huni-skin-shopby/src/app/(main)/notice/page.tsx:1-27 · src/lib/api/server/board.ts:1 (공지 done) — FAQ 라우트 부재(SB-056 absent)
t48:97,t48,in,,,huni-mall,고객지원,MALL-FAQ,자주묻는질문(라우트 부재),고객,자주묻는질문(FAQ) 고객 화면,integrate,shopby,huni-mall→shopby,huni-mall,STD-INF-006,미착수,https://shopby.huniprinting.co.kr/faq 404 @ 2026-09-16 21:27
t48:100,t48,in,,,huni-mall,고객지원,MALL-GUIDE,이용가이드(/guide),고객,가이드북 고객 화면(작업 유의사항 11종),build,,,,STD-INF-007,진행,https://shopby.huniprinting.co.kr/guide @ 2026-09-16 21:27
t48:98,t48,in,huni-skin-shopby/src/lib/guide-data.ts:41-50,,huni-mall,고객지원,MALL-GUIDE,이용가이드(/guide),고객,인쇄 가이드 콘텐츠(11종),build,,,,STD-CAT-019,진행,"huni-skin-shopby/src/lib/guide-data.ts:41-50,158-202"
t48:99,t48,in,raw/webadmin/webadmin/config/urls.py:280,,huni-mall,고객지원,MALL-GUIDE,이용가이드(/guide),고객,템플릿/샘플 다운로드 제공,build,,,,STD-CAT-020,미확인,"raw/webadmin/webadmin/config/urls.py:280,283,285,287,288 (가이드파일 조회) · :72-87 (업로드/관리)"
t48:101,t48,in,,,huni-mall,고객지원,MALL-INQUIRY,1:1·상담 문의(미구현),고객,인쇄 불량 접수(사진 첨부),build,,,,STD-CLM-014,미착수,print-kb/wiki/policy/operations.md#OPS-04 클레임/불량
t48:102,t48,in,,,huni-mall,고객지원,MALL-INQUIRY,1:1·상담 문의(미구현),고객,1:1 문의 등록·답변,integrate,shopby,huni-mall→shopby,huni-mall,STD-CLM-016,미착수,huni-skin-shopby/src/app/(main) 하위 inquiry/qna 라우트 부재 (SB-056 absent)
t48:103,t48,in,,,huni-mall,고객지원,MALL-INQUIRY,1:1·상담 문의(미구현),고객,기업인쇄 상담 접수,build,,,,STD-CLM-019,미착수,huni-skin-shopby src/app/(main) 하위 inquiry 라우트 부재 (SB-056 absent)
t48:104,t48,in,,,huni-mall,고객지원,MALL-INQUIRY,1:1·상담 문의(미구현),고객,디자인 상담 접수,build,,,,STD-CLM-020,미착수,huni-skin-shopby src/app/(main) 하위 inquiry 라우트 부재 (SB-056 absent)
t48:105,t48,in,,,huni-mall,고객지원,MALL-NOTICE,공지사항(/notice · /notice/[articleNo]),고객,공지사항 고객 화면(목록·상세),integrate,shopby,huni-mall→shopby,huni-mall,STD-INF-005,진행,https://shopby.huniprinting.co.kr/notice @ 2026-09-16 21:27
t48:106,t48,in,,,huni-mall,고객지원,MALL-NOTICE,공지사항(/notice · /notice/[articleNo]),고객,뉴스·소식 공간 신설(갤러리형/게시판형/커뮤니티형 중 택1 + 메뉴명),build,,,,STD-INF-012,미착수,후니-오픈잔여작업-실무진안내_260909.html §항목 5 · ④ 완료 기준
t48:107,t48,in,,,huni-mall,고객지원,MALL-QNA,상품 Q&A(미구현),고객,상품 Q&A 게시,integrate,shopby,huni-mall→shopby,huni-mall,STD-CAT-013,미착수,huni-skin-shopby/src/app/(main) 하위 inquiry/qna 라우트 부재 (SB-056 absent)
t48:108,t48,in,,,huni-mall,고객지원,MALL-QNA,상품 Q&A(미구현),고객,상품 Q&A 등록·답변,integrate,shopby,huni-mall→shopby,huni-mall,STD-CLM-017,미착수,huni-skin-shopby/src/app/(main) 하위 inquiry/qna 라우트 부재 (SB-056 absent)
t48:109,t48,in,,,huni-mall,고객지원,MALL-REVIEWS,이용후기 메인(미구현),고객,이용후기 메인(전체 리뷰 모아보기),integrate,shopby,huni-mall→shopby,huni-mall,STD-PRM-016,미착수,https://shopby.huniprinting.co.kr/ @ 2026-09-16 21:26
t48:110,t48,in,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:42,,huni-mall,마이페이지,MALL-MY-ACCOUNT,계정정보(/mypage/account),고객,회원정보 수정(비밀번호 재확인),integrate,shopby,huni-mall→shopby,huni-mall,STD-MEM-015,진행,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:42
t48:111,t48,in,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:42,,huni-mall,마이페이지,MALL-MY-ACCOUNT,계정정보(/mypage/account),고객,비밀번호 변경,integrate,shopby,huni-mall→shopby,huni-mall,STD-MEM-016,진행,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:42
t48:112,t48,in,,,huni-mall,마이페이지,MALL-MY-ACCOUNT,계정정보(/mypage/account),고객,마케팅 수신동의 관리,integrate,shopby,huni-mall→shopby,huni-mall,STD-PRM-014,완료,https://shopby.huniprinting.co.kr/signup@2026-09-16 21:27
t48:113,t48,in,huni-skin-shopby/src/lib/api/hooks/use-shipping-address.ts:65-125,,huni-mall,마이페이지,MALL-MY-ADDRESS,배송지 관리(/mypage/address),고객,배송지 주소록 관리,integrate,shopby,huni-mall→shopby,huni-mall,STD-MYP-016,진행,SB-048 done — huni-skin-shopby/src/lib/api/hooks/use-shipping-address.ts:65-125 · SB-028 src/components/checkout/address-modal.tsx:1
t48:114,t48,in,huni-skin-shopby/src/lib/api/hooks/use-shipping-address.ts:65-125,,huni-mall,마이페이지,MALL-MY-ADDRESS,배송지 관리(/mypage/address),고객,배송지 변경/추가,integrate,shopby,huni-mall→shopby,huni-mall,STD-SHP-015,진행,huni-skin-shopby/src/lib/api/hooks/use-shipping-address.ts:65-125 (CRUD·기본배송지)
t48:115,t48,in,huni-skin-shopby/src/components/mypage/point-section.tsx:11-14,,huni-mall,마이페이지,MALL-MY-CHARGE,프린트머니 충전(/mypage/point/charge),고객,프린팅머니 충전(PG 결제→적립 전환),integrate,shopby,huni-mall→shopby,huni-mall,STD-MYP-007,진행,SB-051 stub — huni-skin-shopby/src/components/mypage/point-section.tsx:11-14 → src/lib/legacy-data/hooks.ts:423-432 (no-op)
t48:116,t48,in,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:290,,huni-mall,마이페이지,MALL-MY-CHARGE,프린트머니 충전(/mypage/point/charge),고객,프린트머니 구현 M2 — 스킨 충전 화면 배선(useChargePoint → 충전권 주문서),integrate,webadmin,huni-mall→webadmin,huni-mall,STD-MYP-044,미착수,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:290
t48:117,t48,in,huni-skin-shopby/src/lib/api/hooks/use-coupons.ts:71,,huni-mall,마이페이지,MALL-MY-COUPON,쿠폰(/mypage/coupon · /register),고객,보유 쿠폰 목록,integrate,shopby,huni-mall→shopby,huni-mall,STD-MYP-010,진행,huni-skin-shopby/src/lib/api/hooks/use-coupons.ts:71
t48:118,t48,in,huni-skin-shopby/src/lib/api/hooks/use-coupons.ts:71,,huni-mall,마이페이지,MALL-MY-COUPON,쿠폰(/mypage/coupon · /register),고객,쿠폰 번호 등록,integrate,shopby,huni-mall→shopby,huni-mall,STD-MYP-011,진행,huni-skin-shopby/src/lib/api/hooks/use-coupons.ts:71
t48:119,t48,in,huni-skin-shopby/src/components/mypage/document-section.tsx:1-6,,huni-mall,마이페이지,MALL-MY-DOCUMENT,증빙서류(/mypage/document),고객,증빙서류 발급내역 조회,integrate,shopby,huni-mall→shopby,huni-mall,STD-MYP-014,미착수,SB-053 stub — huni-skin-shopby/src/components/mypage/document-section.tsx:1-6 (정적 표 UI·API 호출 0) · D-18 endpoint='(호출 지점 없음)'
t48:120,t48,in,document-section.tsx:1-6,,huni-mall,마이페이지,MALL-MY-DOCUMENT,증빙서류(/mypage/document),고객,현금영수증 정보 관리,integrate,shopby,huni-mall→shopby,huni-mall,STD-MYP-015,미착수,SB-053 stub — document-section.tsx:1-6 · D-18 호출 지점 없음
t48:121,t48,in,,,huni-mall,마이페이지,MALL-MY-DOCUMENT,증빙서류(/mypage/document),고객,사업자정보 목록,build,,,,STD-MYP-020,미착수,https://www.huniprinting.com/mypage/tax01.asp @ 2026-09-16 21:33
t48:122,t48,in,,,huni-mall,마이페이지,MALL-MY-DOCUMENT,증빙서류(/mypage/document),고객,사업자정보 등록(쓰기),build,,,,STD-MYP-021,미착수,https://www.huniprinting.com/mypage/tax01.asp @ 2026-09-16 21:33
t48:123,t48,in,,,huni-mall,마이페이지,MALL-MY-DOCUMENT,증빙서류(/mypage/document),고객,증빙 신청 탭 3개(신청 가능 / 신청 완료 / 신용카드 결제),integrate,shopby,huni-mall→shopby,huni-mall,STD-MYP-034,미착수,후니정기미팅 정리260915.html §증빙서류 · 확정 3
t48:124,t48,in,,,huni-mall,마이페이지,MALL-MY-DOCUMENT,증빙서류(/mypage/document),고객,현금 결제 건만 신청 대상 — 세금계산서·현금영수증 중 택1,integrate,shopby,huni-mall→shopby,huni-mall,STD-MYP-035,미착수,후니정기미팅 정리260915.html §증빙서류 · 확정 4
t48:125,t48,in,,,huni-mall,마이페이지,MALL-MY-DOCUMENT,증빙서류(/mypage/document),고객,카드 결제 건·발행 완료 건은 목록에 보이되 비활성+사유 표시,integrate,shopby,huni-mall→shopby,huni-mall,STD-MYP-036,미착수,후니정기미팅 정리260915.html §증빙서류 · 확정 5
t48:126,t48,in,huni-skin-shopby/src/components/mypage/document-section.tsx:1-6,,huni-mall,마이페이지,MALL-MY-DOCUMENT,증빙서류(/mypage/document),고객,현금영수증 발급,integrate,shopby,huni-mall→shopby,huni-mall,STD-PAY-015,미착수,huni-skin-shopby/src/components/mypage/document-section.tsx:1-6 (정적 표 UI만·API 호출 없음 = stub) · X-TAXDOC-01 팝빌 연동 미결
t48:127,t48,in,huni-skin-shopby/src/components/mypage/document-section.tsx:1-6,,huni-mall,마이페이지,MALL-MY-DOCUMENT,증빙서류(/mypage/document),고객,세금계산서 발급 신청·내역,integrate,shopby,huni-mall→shopby,huni-mall,STD-PAY-016,미착수,huni-skin-shopby/src/components/mypage/document-section.tsx:1-6 (stub)
t48:128,t48,in,validations/checkout.ts:35-43,,huni-mall,마이페이지,MALL-MY-DOCUMENT,증빙서류(/mypage/document),고객,사업자정보 등록·관리,build,,,,STD-PAY-017,미착수,F-026/027·SCOPE-026/027·IA-026/027 사업자정보 목록·등록 PARTIAL·미착수 || [t48 교정] S1-skin/api-wiring.csv D4 「사업자정보 보관·재사용」 wired=N(validations/checkout.ts:35-43 스키마만) 실사
t48:129,t48,in,document-section.tsx:41-51,,huni-mall,마이페이지,MALL-MY-DOCUMENT,증빙서류(/mypage/document),고객,거래명세서 출력,integrate,shopby,huni-mall→shopby,huni-mall,STD-PAY-018,미착수,F-142/SCOPE-142/IA-142 증빙서류발급 관리 PARTIAL·미착수 || [t48 교정] S1-skin/api-wiring.csv D4 「증빙서류 신청·발급 목록」 stub·없음(document-section.tsx:41-51) 실사
t48:130,t48,in,,,huni-mall,마이페이지,MALL-MY-INQUIRY,내 문의·Q&A 조회(미구현),고객,내 상품Q&A/1:1문의 조회,integrate,shopby,huni-mall→shopby,huni-mall,STD-MYP-013,미착수,SB-056 absent — huni-skin-shopby/src/app/(main) 하위 inquiry/qna 라우트 부재
t48:131,t48,in,,,huni-mall,마이페이지,MALL-MY-ORDER,주문 상세(/mypage/orders/[orderNo]),고객,주문 전체 취소 신청,integrate,shopby,huni-mall→shopby,huni-mall,STD-CLM-001,미착수,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*
t48:132,t48,in,,,huni-mall,마이페이지,MALL-MY-ORDER,주문 상세(/mypage/orders/[orderNo]),고객,옵션 부분 취소 신청,integrate,shopby,huni-mall→shopby,huni-mall,STD-CLM-002,미착수,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*
t48:133,t48,in,,,huni-mall,마이페이지,MALL-MY-ORDER,주문 상세(/mypage/orders/[orderNo]),고객,제작 착수 후 취소 제한·협의 안내,integrate,shopby,huni-mall→shopby,huni-mall,STD-CLM-004,미착수,print-kb/wiki/policy/operations.md#OPS-01 케이스별 협의
t48:134,t48,in,,,huni-mall,마이페이지,MALL-MY-ORDER,주문 상세(/mypage/orders/[orderNo]),고객,반품 신청(단일·복수),integrate,shopby,huni-mall→shopby,huni-mall,STD-CLM-005,미착수,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*
t48:135,t48,in,,,huni-mall,마이페이지,MALL-MY-ORDER,주문 상세(/mypage/orders/[orderNo]),고객,교환 신청(출고 전/후),integrate,shopby,huni-mall→shopby,huni-mall,STD-CLM-006,미착수,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*
t48:136,t48,in,,,huni-mall,마이페이지,MALL-MY-ORDER,주문 상세(/mypage/orders/[orderNo]),고객,환불 예상금액 계산,integrate,shopby,huni-mall→shopby,huni-mall,STD-CLM-007,미착수,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*
t48:137,t48,in,,,huni-mall,마이페이지,MALL-MY-ORDER,주문 상세(/mypage/orders/[orderNo]),고객,환불계좌 등록·수정,integrate,shopby,huni-mall→shopby,huni-mall,STD-CLM-008,미착수,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*
t48:138,t48,in,,,huni-mall,마이페이지,MALL-MY-ORDER,주문 상세(/mypage/orders/[orderNo]),고객,클레임 철회,integrate,shopby,huni-mall→shopby,huni-mall,STD-CLM-009,미착수,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*
t48:139,t48,in,,,huni-mall,마이페이지,MALL-MY-ORDER,주문 상세(/mypage/orders/[orderNo]),고객,클레임 사유 분류 선택(12종),integrate,shopby,huni-mall→shopby,huni-mall,STD-CLM-010,미착수,huni-shopby/01_research/order-to-delivery-contract.md §4.2 claimReasonType
t48:140,t48,in,huni-skin-shopby/src/lib/api/hooks/use-my-orders.ts:84,,huni-mall,마이페이지,MALL-MY-ORDER,주문 상세(/mypage/orders/[orderNo]),고객,주문 상세 조회(사양·파일·상태),integrate,shopby,huni-mall→shopby,huni-mall,STD-MYP-002,진행,huni-skin-shopby/src/lib/api/hooks/use-my-orders.ts:84 (목록/상세)
