prd_cd,prd_nm,use_yn,l1_size_value,category,candidate_siz_cd,size_loaded,plate_loaded,verdict
PRD_000239,캔버스 플랫 파우치,Y,L,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000240,캔버스 삼각 파우치,Y,M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000240,캔버스 삼각 파우치,Y,L,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000241,캔버스 스트랩 라벨파우치,Y,70*100,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,1,1,기적재(skip)
PRD_000242,광목 스트링 라벨파우치,Y,100*70,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,2,2,기적재(skip)
PRD_000242,광목 스트링 라벨파우치,Y,100*40,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,2,2,기적재(skip)
PRD_000243,린넨 스트링 파우치,Y,S,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,3,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000243,린넨 스트링 파우치,Y,M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,3,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000243,린넨 스트링 파우치,Y,L,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,3,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000244,타이벡 플랫 파우치,Y,M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,3,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000244,타이벡 플랫 파우치,Y,L,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,3,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000244,타이벡 플랫 파우치,Y,XL,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,3,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000245,타이벡 슬림 파우치,Y,M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000245,타이벡 슬림 파우치,Y,L,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000246,타이벡 삼각 파우치,Y,M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000246,타이벡 삼각 파우치,Y,L,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000247,타이벡 스트링 파우치,Y,M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,3,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000247,타이벡 스트링 파우치,Y,L,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,3,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000247,타이벡 스트링 파우치,Y,XL,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,3,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000249,메쉬슬림파우치,Y,M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000249,메쉬슬림파우치,Y,L,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000250,메쉬볼륨파우치,Y,직사각L,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000252,레더 슬림 미니파우치,Y,직사각,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000252,레더 슬림 미니파우치,Y,정사각,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000254,레더 볼륨 미니파우치,Y,정사각,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000254,레더 볼륨 미니파우치,Y,직사각,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000255,레더 원형 미니파우치,Y,마카롱,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000264,레더숄더백,Y,세로형,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000267,린넨 에코백,Y,세로형,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000267,린넨 에코백,Y,가로형,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000268,캔버스심플백,Y,세로M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000269,캔버스 포켓심플백,Y,블랙M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000270,캔버스에코백,Y,가로L,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000271,캔버스숄더백,Y,세로형,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000273,타이벡 양면 백팩,Y,M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000273,타이벡 양면 백팩,Y,L,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000274,타이벡보냉보틀백,Y,M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000274,타이벡보냉보틀백,Y,L,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000276,타이벡 에코백,Y,세로형,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000277,타이벡 보냉에코백,Y,세로형,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000278,메쉬 토트백,Y,가로형,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000279,메쉬 에코백,Y,가로형,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000280,레더라벨제작,Y,레더 15x30mm,RESOLVABLE(마스터 cut 일치),SIZ_000492,3,3,기적재(skip)
PRD_000280,레더라벨제작,Y,레더 20x40mm,RESOLVABLE(마스터 cut 일치),SIZ_000494,3,3,기적재(skip)
PRD_000280,레더라벨제작,Y,레더 30x50mm,RESOLVABLE(마스터 cut 일치),SIZ_000496,3,3,기적재(skip)
