mat_cd,mat_nm,mat_typ_cd,mat_typ_nm,classification,verdict_basis,weight,width,height,depth,bdl_qty,price_ref,wire,active_child,upr_mat_cd
MAT_000230,우드행거 320mm + 면끈,MAT_TYPE.07,포장부자재,STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000226,우드봉 360mm + 면끈,MAT_TYPE.07,포장부자재,STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000231,우드행거 440mm + 면끈,MAT_TYPE.07,포장부자재,STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000227,우드봉 480mm + 면끈,MAT_TYPE.07,포장부자재,STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000247,D링 D링(31mm),MAT_TYPE.07,포장부자재,STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,MAT_000017
MAT_000248,D링 D링(42mm),MAT_TYPE.07,포장부자재,STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,MAT_000017
MAT_000205,볼체인 민트그린 (3개1팩),MAT_TYPE.10,악세사리상품(추가상품),STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,3,0,1,0,
MAT_000207,볼체인 바이올렛 (3개1팩),MAT_TYPE.10,악세사리상품(추가상품),STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000202,볼체인 오렌지 (3개1팩),MAT_TYPE.10,악세사리상품(추가상품),STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000204,볼체인 핫핑크 (3개1팩),MAT_TYPE.10,악세사리상품(추가상품),STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,3,0,1,0,
MAT_000209,볼체인 화이트 (3개1팩),MAT_TYPE.10,악세사리상품(추가상품),STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000208,볼체인 블랙 (3개1팩),MAT_TYPE.10,악세사리상품(추가상품),STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000206,볼체인 블루 (3개1팩),MAT_TYPE.10,악세사리상품(추가상품),STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000203,볼체인 핑크 (3개1팩),MAT_TYPE.10,악세사리상품(추가상품),STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000232,만년스탬프 리필잉크 청보라 (5cc),MAT_TYPE.10,악세사리상품(추가상품),STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000235,만년스탬프 리필잉크 검정 (5cc),MAT_TYPE.10,악세사리상품(추가상품),STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000239,만년스탬프 리필잉크 노랑 (5cc),MAT_TYPE.10,악세사리상품(추가상품),STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000234,만년스탬프 리필잉크 빨강 (5cc),MAT_TYPE.10,악세사리상품(추가상품),STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000237,만년스탬프 리필잉크 초록 (5cc),MAT_TYPE.10,악세사리상품(추가상품),STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000236,만년스탬프 리필잉크 파랑 (5cc),MAT_TYPE.10,악세사리상품(추가상품),STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000238,만년스탬프 리필잉크 핑크 (5cc),MAT_TYPE.10,악세사리상품(추가상품),STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000293,틴케이스,MAT_TYPE.12,사입자재,STOCK(physical),정당 무차원 stock(재고관리 가능 부속),,,,,,0,1,1,
MAT_000269,워터북보틀,MAT_TYPE.12,사입자재,STOCK(physical),정당 무차원 stock(재고관리 가능 부속),,,,,,0,1,2,
MAT_000341,미니틴케이스,MAT_TYPE.12,사입자재,STOCK(physical),정당 무차원 stock(재고관리 가능 부속),,,,,,0,0,0,MAT_000293
MAT_000268,화이트머그 (11온스),MAT_TYPE.12,사입자재,STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,1,0,
MAT_000342,워터북보틀 350ml,MAT_TYPE.12,사입자재,STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,0,0,MAT_000269
MAT_000343,워터북보틀 500ml,MAT_TYPE.12,사입자재,STOCK(physical),치수/규격/번들 명시 → 정당 stock,,,,,,0,0,0,MAT_000269
MAT_000281,미니CD키링 세트,MAT_TYPE.12,사입자재,STOCK(physical),정당 무차원 stock(재고관리 가능 부속),,,,,,0,1,0,
