prd_cd,product_group,axis,needed,verdict,live_frm_cd,defect_id,money_impact,note
PRD_000047,인쇄홍보물,가격엔진,Y,MATCH,PRF_DGP_D,,none,소량전단지 인쇄+코팅+용지+후가공(유광 V-4)
PRD_000048,인쇄홍보물,가격엔진,Y,MATCH,PRF_FOLD_SUM,,none,접지리플렛 FOLD_CARD_2H 48행
PRD_000049,인쇄홍보물,가격엔진,Y,MISSING,,DEF-PE-01,차단,와이드 접지리플렛 미바인딩=견적0원. 정답 PRF_DGP_E or FOLD_SUM(접지타입 컨펌)
PRD_000050,인쇄홍보물,가격엔진,Y,MATCH,PRF_ENV_MAKING,,none,봉투제작 COMP_ENV_MAKING 40행
PRD_000051,인쇄홍보물,가격엔진,Y,MATCH,PRF_DGP_F,,none,썬캡 PRF_DGP_F(미출시·MES 보류·바인딩 실재)
PRD_000100,포토북,가격엔진,Y,MISSING,,DEF-PE-06,차단,포토북 본체 frm_cd 미바인딩=견적0원. 정답 PRF_PHOTOBOOK_SUM(신설)+base24/per2p comp 신설. 세트BOM 7행·page_rule 24/150/2 실재. CONFIRM Q-PB-SETPRICE(base24+per2p·base_min 하드24/소프트4)
PRD_000108,캘린더,가격엔진,Y,MISSING,,DEF-PE-06,차단,탁상형캘린더 미바인딩=견적0원. 정답 PRF_CAL_DESK220(신설). COMP_BIND_CAL_DESK220 실재(del_yn=Y 논리삭제)·WALL통합(del_yn=N) 대안
PRD_000109,캘린더,가격엔진,Y,MISSING,,DEF-PE-06,차단,미니탁상형캘린더 미바인딩=견적0원. 정답 PRF_CAL_DESKMINI(신설). COMP_BIND_CAL_DESKMINI 실재(del_yn=Y)
PRD_000110,캘린더,가격엔진,Y,MISSING,,DEF-PE-06,차단,엽서캘린더 미바인딩=견적0원. 정답 PRF_CAL_POSTCARD(신설·제본없음). COMP_CALOPT_STAND 신설 필요(우드거치대/타공)
PRD_000111,캘린더,가격엔진,Y,MISSING,,DEF-PE-06,차단,벽걸이캘린더 미바인딩=견적0원. 정답 PRF_CAL_WALL(신설). COMP_BIND_CAL_WALL 실재(del_yn=N·proc99~102 통합 24행)
PRD_000112,캘린더,가격엔진,Y,MISSING,,DEF-PE-06,차단,와이드벽걸이캘린더 미바인딩=견적0원. 정답 PRF_CAL_WALLWIDE(신설). COMP_BIND_CAL_WALL 재사용(3절 SIZ_000077 인쇄비)
PRD_000068,책자,가격엔진,Y,MISMATCH,PRF_BIND_SUM,DEF-PE-08,차단/오류,중철책자. PRF_BIND_SUM이 del_yn=Y삭제 COMP_BIND_JUNGCHEOL만 배선(G-BK-2 stale)·표지내지 comp 0행(G-BK-3)=제본비만(미완성가). del필터부재라 중철값은 매김
PRD_000069,책자,가격엔진,Y,MISMATCH,PRF_BIND_SUM,DEF-PE-08,과소/오류,무선책자가 중철공식 바인딩=무선제본비(COMP_BIND_MUSEON) 못받고 중철값 misfire+표지내지 누락. proc_cd 미주입 시 4제본 silent합산 위험
PRD_000070,책자,가격엔진,Y,MISMATCH,PRF_BIND_SUM,DEF-PE-08,과소/오류,PUR책자가 중철공식 바인딩=PUR제본비 misfire+표지내지 누락
PRD_000071,책자,가격엔진,Y,MISMATCH,PRF_BIND_SUM,DEF-PE-08,과소/오류,트윈링책자가 중철공식 바인딩=트윈링제본비 misfire+표지내지 누락. COMP_BIND_TWINRING(활성32행) 미배선
PRD_000072,책자,가격엔진,Y,MISSING,,DEF-PE-09,차단,하드커버책자 미바인딩=견적0원. 표지/내지 comp 0행+HC제본 del_yn=Y=full WIRE 필요(공식신설+comp신설+단가충전+바인딩). 세트BOM 실재
PRD_000077,책자,가격엔진,Y,MISSING,,DEF-PE-09,차단,레더하드커버책자 미바인딩=견적0원. full WIRE 필요
PRD_000082,책자,가격엔진,Y,MISSING,,DEF-PE-09,차단,하드커버링책자 미바인딩=견적0원. full WIRE 필요
PRD_000088,책자,가격엔진,Y,MISSING,,DEF-PE-09,차단,레더링바인더 미바인딩=견적0원. COMP_BIND_SSABARI(활성18행) 재사용 가능·표지내지 신설
PRD_000094,책자,가격엔진,Y,MISMATCH,PRF_PCB_FIXED,DEF-PE-10,과대,엽서북. S1_20P+S2_20P 둘다 print_opt_cd=NULL→단/양면 silent 이중합산(+11500/장). 30p variant orphan(20p값으로 매겨짐)·페이지축 판별불가
PRD_000097,책자,가격엔진,Y,MISSING,,DEF-PE-11,차단,떡메모지 미바인딩=견적0원. PRF_TTEOKME_FIXED+COMP_TTEOKME(112행 충전) 실재→바인딩만 필요(신규mint0). DSC_STAT_QTY 링크 누락
PRD_000172,문구,가격엔진,Y,MISSING,,DEF-PE-12,차단,만년다이어리(소프트) 미가격=견적0원. product_prices 0행(PRODUCT_PRICE 경로·AC열 고정가 INSERT 필요). DSC_STAT_QTY 링크 실재(base0에 dead)
PRD_000173,문구,가격엔진,Y,MISSING,,DEF-PE-12,차단,만년다이어리(하드) 미가격. product_prices 0+DSC링크 누락(173/174/175)
PRD_000174,문구,가격엔진,Y,MISSING,,DEF-PE-12,차단,만년다이어리(레더하드) 미가격. product_prices 0+DSC링크 누락
PRD_000175,문구,가격엔진,Y,MISSING,,DEF-PE-12,차단,만년다이어리(레더소프트) 미가격. product_prices 0+DSC링크 누락
PRD_000176,문구,가격엔진,Y,MISSING,,DEF-PE-12,차단,먼슬리플래너 미가격. product_prices 0(DSC_STAT_QTY 링크 실재)
PRD_000177,문구,가격엔진,Y,MISSING,,DEF-PE-12,차단,스프링노트(반제품 PRD_TYPE.02) 미가격. product_prices 0(DSC링크 실재)
PRD_000178,문구,가격엔진,Y,MISSING,,DEF-PE-12,차단,스프링수첩 미가격. product_prices 0(DSC링크 실재)
PRD_000179,문구,가격엔진,Y,MISSING,,DEF-PE-12,차단,메모패드 미가격. product_prices 0(DSC링크 실재)
PRD_000181,문구,가격엔진,Y,MISSING,,DEF-PE-12,차단,중철노트 미가격. product_prices 0(DSC링크 실재)
PRD_000001,상품악세사리,가격엔진,Y,MISSING,,DEF-PE-13,차단,OPP접착봉투 미가격. AC-2 변형고정가(FORMULA)·공식0+comp0+단가0=full mint+봉투addon TEMPLATE_PRICE도 0(이중역할). 평탄화 가드 G-AC-1
PRD_000002,상품악세사리,가격엔진,Y,MISSING,,DEF-PE-13,차단,OPP비접착봉투 미가격. AC-2 full mint. 묶음(50장)=.01 팩단가 가드 G-AC-2(합가형 오적용 금지)
PRD_000003,상품악세사리,가격엔진,Y,MISSING,,DEF-PE-13,차단,트래싱지 카드봉투 미가격. AC-2 variant-매트릭스(규격x묶음) full mint
PRD_000004,상품악세사리,가격엔진,Y,MISSING,,DEF-PE-13,차단,카드봉투 미가격. AC-2(2색 variant) full mint
PRD_000005,상품악세사리,가격엔진,Y,MISSING,,DEF-PE-13,차단,캘린더봉투 미가격. AC-2 full mint
PRD_000006,상품악세사리,가격엔진,Y,MISSING,,DEF-PE-14,차단,볼체인 미가격. AC-1 단일고정가(PRODUCT_PRICE)·product_prices INSERT
PRD_000007,상품악세사리,가격엔진,Y,MISSING,,DEF-PE-14,차단,와이어링 미가격. AC-1 단일고정가
PRD_000008,상품악세사리,가격엔진,N,EXCLUDED,,,none,천정고리 use_yn=N(판매중지)=가격적재 대상 제외(Q-AC-CEIL 컨펌). needed=N
PRD_000009,상품악세사리,가격엔진,Y,MISSING,,DEF-PE-13,차단,투명케이스 미가격. AC-2(3D variant) full mint
PRD_000010,상품악세사리,가격엔진,Y,MISSING,,DEF-PE-13,차단,행택끈 미가격. AC-2 full mint
PRD_000011,상품악세사리,가격엔진,Y,MISSING,,DEF-PE-13,차단,자석고정용고무판 미가격. AC-2 full mint
PRD_000012,상품악세사리,가격엔진,Y,MISSING,,DEF-PE-13,차단,우드거치대 미가격. AC-2(우드 3길이 variant) full mint
PRD_000013,상품악세사리,가격엔진,Y,MISSING,,DEF-PE-13,차단,우드봉 미가격. AC-2 full mint
PRD_000014,상품악세사리,가격엔진,Y,MISSING,,DEF-PE-13,차단,우드행거 미가격. AC-2 full mint
PRD_000015,상품악세사리,가격엔진,Y,MISSING,,DEF-PE-14,차단,만년스탬프 리필잉크 미가격. AC-1 단일고정가(PRODUCT_PRICE)
