prd_cd,prd_nm,group,frm_cd,binding_status,wiring_status,use_dims,discriminator_charge,verdict,money_impact,repro_sql
PRD_000137,메쉬배너,silsa,PRF_POSTER_MESH_BANNER,BOUND,WIRED(1 comp),"[siz_cd,min_qty]",FULL(티어형),MATCH,none,
PRD_000138,일반현수막,silsa,PRF_POSTER_BANNER_N,BOUND,WIRED(2 comp: body+punch add-on),"body[siz_width,siz_height] / punch[proc_cd,min_qty,proc_grp]",FULL(punch proc_cd charged·NULL 0),MATCH,none,"SELECT count(*) FILTER(WHERE proc_cd IS NULL) FROM t_prc_component_prices WHERE comp_cd='COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_4'"
PRD_000139,메쉬현수막,silsa,PRF_POSTER_BANNER_M,BOUND,WIRED(1 comp),"[siz_width,siz_height]",FULL,MATCH,none,
PRD_000140,무광시트커팅,silsa,PRF_POSTER_SHEETCUT_MATTE,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000141,홀로그램 시트커팅,silsa,PRF_POSTER_SHEETCUT_HOLO,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000142,유광아크릴스티커,silsa,PRF_POSTER_ACRYLSTK_GLOSS,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000143,미러아크릴스티커,silsa,PRF_POSTER_ACRYLSTK_MIRROR,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000144,미니보드스탠딩,silsa,PRF_POSTER_MINI_STANDBOARD,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000145,미니배너,silsa,PRF_POSTER_MINI_BANNER,BOUND,WIRED(1 comp),"[siz_cd,min_qty]",FULL(티어형),MATCH,none,
PRD_000146,아크릴키링,acrylic,PRF_CLR_ACRYL,BOUND,WIRED(COMP_ACRYL_CLEAR3T 합가형 PRICE_TYPE.02),"[siz_width,siz_height,mat_cd]",FULL(mat_cd 두께 2티어 charged·min_qty=1 전행 P4-3 안전),MATCH,none,"SELECT mat_cd,count(*) FILTER(WHERE min_qty IS NULL OR min_qty=0) FROM t_prc_component_prices WHERE comp_cd='COMP_ACRYL_CLEAR3T' GROUP BY mat_cd"
PRD_000147,아크릴마그넷,acrylic,(MISSING),MISSING_BIND,NO product-formula binding,n/a,n/a,MISSING_BIND,차단(가격 0·견적 불가),"SELECT prd_cd FROM t_prd_product_price_formulas WHERE prd_cd='PRD_000147'"
PRD_000148,아크릴뱃지,acrylic,(MISSING),MISSING_BIND,no binding,n/a,n/a,MISSING_BIND,차단,
PRD_000149,아크릴집게,acrylic,(MISSING),MISSING_BIND,no binding,n/a,n/a,MISSING_BIND,차단,
PRD_000150,아크릴스마트톡,acrylic,(MISSING),MISSING_BIND,no binding,n/a,n/a,MISSING_BIND,차단,
PRD_000151,맥세이프 스마트톡,acrylic,(MISSING),MISSING_BIND,no binding,n/a,n/a,MISSING_BIND,차단,
PRD_000152,아크릴명찰,acrylic,(MISSING),MISSING_BIND,no binding,n/a,n/a,MISSING_BIND,차단,
PRD_000153,아크릴명찰(골드실버),acrylic,(MISSING),MISSING_BIND,no binding,n/a,n/a,MISSING_BIND,차단,
PRD_000154,아크릴 머리끈,acrylic,(MISSING),MISSING_BIND,no binding,n/a,n/a,MISSING_BIND,차단,
PRD_000155,아크릴볼펜,acrylic,(MISSING),MISSING_BIND,no binding,n/a,n/a,MISSING_BIND,차단,
PRD_000156,아크릴지비츠,acrylic,(MISSING),MISSING_BIND,no binding,n/a,n/a,MISSING_BIND,차단,
PRD_000157,아크릴네임택,acrylic,(MISSING),MISSING_BIND,no binding,n/a,n/a,MISSING_BIND,차단,
PRD_000158,아크릴 포카키링,acrylic,(MISSING),MISSING_BIND,no binding (COMP_ACRYL_KEYRING 2 price rows exist·unwired),n/a,n/a,MISSING_BIND,차단,"SELECT (SELECT count(*) FROM t_prc_formula_components WHERE comp_cd='COMP_ACRYL_KEYRING') link"
PRD_000159,아크릴 코스터,acrylic,(MISSING),MISSING_BIND,no binding,n/a,n/a,MISSING_BIND,차단,
PRD_000160,아크릴자유형스탠드,acrylic,(MISSING),MISSING_BIND,no binding (조합형 SKU·discount table 존재),n/a,n/a,MISSING_BIND,차단,
PRD_000161,판아크릴,acrylic,(MISSING),MISSING_BIND,no binding,n/a,n/a,MISSING_BIND,차단,
PRD_000162,아크릴포카스탠드,acrylic,(MISSING),MISSING_BIND,no binding,n/a,n/a,MISSING_BIND,차단,
PRD_000163,아크릴미니파츠,acrylic,(MISSING),MISSING_BIND,no binding,n/a,n/a,MISSING_BIND,차단,
PRD_000164,아크릴코롯토,acrylic,(MISSING),MISSING_BIND,formula PRF_COROTTO_ACRYL wired(COMP_ACRYL_COROTTO 21 price rows) but 0 product bound,n/a,n/a,MISSING_BIND,차단(공식·단가 존재·product binding만 부재),"SELECT (SELECT count(*) FROM t_prd_product_price_formulas WHERE frm_cd='PRF_COROTTO_ACRYL') nprd"
PRD_000165,포카코롯토,acrylic,(MISSING),MISSING_BIND,no binding,n/a,n/a,MISSING_BIND,차단,
PRD_000166,아크릴카라비너,acrylic,(MISSING),MISSING_BIND,no binding,n/a,n/a,MISSING_BIND,차단,
