no,code,name,authority_cells,authority_loc,plan_claimed_rows,live_target,live_exists,live_use_yn,live_price_rows,live_prc_typ,live_use_dims
24,POSTER_PLACARD_PRINT,포스터_일반현수막_출력가,80,r287~r303 c1~c7,80,COMP_POSTER_BANNER_NORMAL,Y,Y,80,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]"
25,POSTER_MESHPLACARD_PRINT,포스터_메쉬현수막_출력가,48,r310~r326 c1~c5,48,COMP_POSTER_BANNER_MESH,Y,Y,48,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]"
26,POSTER_LINEN_FINISHING,포스터_린넨_가공가,5,r118~r123 c10~c11,5,COMP_POSTEROPT_LINEN_FINISH,Y,Y,5,PRICE_TYPE.01,"[""opt_cd""  ""min_qty""]"
27,POSTER_PLACARD_FINISHING,포스터_현수막_가공가,6,r287~r293 c10~c11,6,COMP_BANNER_OPTION,Y,Y,6,PRICE_TYPE.01,"[""opt_cd""  ""min_qty""  ""opt_grp:OPT_000003""]"
28,POSTER_PLACARD_ADDON,포스터_현수막_부자재,5,r287~r292 c13~c14,4,COMP_BANNER_ADDON,Y,Y,4,PRICE_TYPE.01,"[""opt_cd""  ""min_qty""  ""opt_grp:OPT_000004""]"
29,POSTER_HANGINGCANVAS_ADDON,포스터_캔버스행잉_부자재,6,r251~r253 c10~c13,3,COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,Y,Y,3,PRICE_TYPE.01,"[""opt_cd""  ""siz_cd""  ""min_qty""  ""opt_grp:OPT_000283""]"
30,POSTER_HANGINGLINEN_ADDON,포스터_린넨우드봉_부자재,6,r260~r262 c10~c13,3,COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,Y,Y,3,PRICE_TYPE.01,"[""opt_cd""  ""siz_cd""  ""min_qty""  ""opt_grp:OPT_000266""]"
31,POSTER_FORMBOARD_PRINT,포스터_폼보드_출력가,6,r213~r215 c1~c4,4,COMP_POSTER_FOAMBOARD_BOARD,Y,Y,4,PRICE_TYPE.01,"[""opt_cd""  ""siz_cd""  ""min_qty""]"
32,POSTER_FOAMEX_PRINT,포스터_포맥스_출력가,6,r221~r223 c1~c4,4,COMP_POSTER_FOMEXBOARD_BOARD,Y,Y,4,PRICE_TYPE.01,"[""opt_cd""  ""siz_cd""  ""min_qty""]"
33,POSTER_WOODPANEL_PRINT,포스터_나무판넬_출력가,3,r229~r230 c1~c4,2,COMP_POSTER_FRAMELESS_WOOD,Y,Y,2,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]"
34,POSTER_LEATHERPANEL_PRINT,포스터_레더아트액자_출력가,6,r236~r237 c1~c7,6,COMP_POSTER_LEATHER_FRAME,Y,Y,6,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]"
35,POSTER_HANGINGSCROLL_PRINT,포스터_족자_출력가,5,r243~r245 c1~c6,5,COMP_POSTER_JOKJA,Y,Y,5,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]"
36,POSTER_HANGINGCANVAS_PRINT,포스터_캔버스행잉_제작가,3,r251~r252 c1~c4,3,COMP_POSTER_CANVAS_HANGING,Y,Y,3,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""siz_cd""  ""min_qty""]"
37,POSTER_HANGINGLINEN_PRINT,포스터_린넨우드봉_제작가,3,r260~r261 c1~c4,3,COMP_POSTER_LINEN_WOODBONG,Y,Y,3,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]"
38,POSTER_PETBANNER_PRINT,포스터_PET배너_제작가,1,r268~r272 c1~c2,1,COMP_POSTER_PET_BANNER,Y,Y,1,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]"
39,POSTER_MESHBANNER_PRINT,포스터_메쉬배너_제작가,,,1,COMP_POSTER_MESH_BANNER,Y,Y,1,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]"
40,POSTER_SHEETCUT_FINAL,포스터_시트커팅_제작가,6,r333~r335 c1~c4,9,COMP_POSTER_SHEETCUT_MATTE+HOLO,N,,,,
41,POSTER_ACRYLICSTICKER_FINAL,포스터_아크릴스티커_제작가,8,r342~r344 c1~c5,8,COMP_POSTER_ACRYLSTK_GLOSS+MIRROR,N,,,,
42,POSTER_MINIBOARD_FINAL,포스터_미니스탠딩보드_제작가,15,r351~r356 c1~c4,15,COMP_POSTER_MINI_STANDBOARD,Y,Y,15,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]"
43,POSTER_MINIBANNER_FINAL,포스터_미니배너_제작가,10,r363~r368 c1~c3,10,COMP_POSTER_MINI_BANNER,Y,Y,10,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]"
