L0,L1,L2,process_id,process_name,step_no,step,row_id,기능,시스템,담당자,상태,원장판정,근거,cross,원장전용
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,로그인,P02,소셜 로그인 가입·연결,3,2. 네이버 소셜 로그인,STD-MEM-011,네이버 소셜 로그인,huni-mall,김동학,부분,담당맞음,SB-041 stub — sns-buttons.tsx:74-80 · D-16,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,로그인,P02,소셜 로그인 가입·연결,4,3. 구글/애플 소셜 로그인,STD-MEM-012,구글/애플 소셜 로그인,huni-mall,김동학,부분,담당맞음,SB-041 stub — sns-buttons.tsx:74-80 · D-16,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,로그인(원장전용),P02,소셜 로그인 가입·연결,5,4. 최초 로그인 가입완료(WAITING→ACTIVE) 추가정보,STD-MEM-024,소셜 최초 로그인 가입완료(WAITING→ACTIVE) 추가정보 화면 실검증 — 약관 타입·필수항목이 몰 설정과 맞는지,huni-mall → 샵바이,김동학,미착수,담당맞음,commit 4f33a67 · huni-skin-shopby/src/app/api/auth/social-join/route.ts:1-9 · https://shopby.huniprinting.co.kr/social-join 200 「추가정보 입력」 @ 2026-09-16 22:00,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,로그인,P03,로그인·세션 유지·비회원 세션,1,1. 아이디/비밀번호 로그인,STD-MEM-007,아이디/비밀번호 로그인,huni-mall → 샵바이,김동학,부분,담당맞음,huni-skin-shopby/src/lib/auth/auth.config.ts:12-22 · src/lib/auth/shopby-auth.ts:1,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,세션,P03,로그인·세션 유지·비회원 세션,2,2. 로그인 세션 유지·자동 갱신,STD-MEM-013,로그인 세션 유지·자동 갱신,huni-mall,김동학,부분,담당맞음,SB-040 done — huni-skin-shopby/src/lib/auth/auth.config.ts:18-22 · src/app/api/shop/[...path]/route.ts:20-27,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,세션,P03,로그인·세션 유지·비회원 세션,3,3. 비회원 게스트 세션 처리,STD-MEM-014,비회원 게스트 세션 처리,huni-mall,김동학,작동,담당맞음,https://shopby.huniprinting.co.kr/cart@2026-09-16 21:27,t63 장바구니·주문(비회원 주문),N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,로그인,P04,계정 찾기(아이디·비밀번호),1,1. 아이디 찾기(마스킹),STD-MEM-008,아이디 찾기(마스킹),huni-mall → 샵바이,김동학,미착수,담당맞음,SB-042 stub — huni-skin-shopby/src/components/auth/find-id-form.tsx:50-56 (토스트 '준비 중'),,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,로그인,P04,계정 찾기(아이디·비밀번호),2,2. 비밀번호 재설정(이메일 링크),STD-MEM-009,비밀번호 재설정(이메일 링크),huni-mall → 샵바이,김동학,미착수,담당맞음,SB-042 stub — find-id-form.tsx:50-56,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,회원,P05,회원정보 변경·탈퇴,1,1. 회원정보 수정(비밀번호 재확인),STD-MEM-015,회원정보 수정(비밀번호 재확인),huni-mall → 샵바이,김동학,부분,담당맞음,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:42,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,회원,P05,회원정보 변경·탈퇴,2,2. 비밀번호 변경,STD-MEM-016,비밀번호 변경,huni-mall → 샵바이,김동학,부분,담당맞음,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:42,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,회원,P05,회원정보 변경·탈퇴,3,3. 회원탈퇴,STD-MEM-017,회원탈퇴,huni-mall → 샵바이,김동학,부분,담당맞음,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:112 · src/components/mypage/withdraw-section.tsx:4,P10 프린팅머니(잔액 처리 미정),N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,회원,P06,회원등급·휴면 생애주기,1,1. 회원등급 산정·자동 승급,STD-MEM-018,회원등급 산정·자동 승급,샵바이,서희항,미착수,재배정,[L4b보강] huni-skin-shopby/src/lib/api/hooks/use-profile.ts:39 (memberGradeName 표시 필드만),P19 쿠폰 발행(등급 쿠폰),N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,회원,P06,회원등급·휴면 생애주기,2,2. 회원등급 수동 조정,STD-ADC-002,회원등급 수동 조정,운영자(셀러어드민),김동학,미착수,담당맞음,print-kb/wiki/policy/membership-auth.md#MEM-06 · L4 사유: grade_cd ↔ 샵바이 memberGrade 매핑이 미결(X-DEC-GRADE) — 등급가가 걸려 돈 영향,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,회원,P06,회원등급·휴면 생애주기,3,3. 휴면계정 전환·복구,STD-MEM-019,휴면계정 전환·복구,샵바이,최숙진,미착수,담당맞음,[L4b보강] huni-skin-shopby/src/lib/auth/shopby-auth.ts:28 (휴면 응답 주석만·전환/복구 화면 0건),,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,회원(원장전용),P07,구 사이트 회원·프린트머니 잔액 이관,1,0. 구 ASP 코드·DB 미제공 전제 확정,STD-MYP-026,구 ASP 코드·DB 미제공 전제 — 이관 원천은 잔액 스냅샷만,결정(최숙진),최숙진,미착수,미정,후니정기미팅 정리260915.html §프린팅머니 · 확정 4,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,회원(원장전용),P07,구 사이트 회원·프린트머니 잔액 이관,2,1. 이관·PitStop 연동 담당 확정,STD-MYP-024,기존 회원·잔액 이관 / PitStop Server 연동 담당 확정,결정(미정),미정,미착수,미정,후니정기미팅 정리260915.html §개발 역할 분담 · 미결 4,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,회원,P07,구 사이트 회원·프린트머니 잔액 이관,3,2. 기존 회원 데이터 이관,STD-MEM-020,기존 회원 데이터 이관(구 사이트),운영자 → 샵바이,서희항,미착수,재배정,print-kb/wiki/policy/membership-auth.md#MEM-01 마이그레이션 이슈 명시 · L4 사유: 돈 걸림. 구 DB 미접근(X-OLDDB-ACCESS-01)이 20개 질문의 공통 선행 블로커. 이관 리허설 미실행.,t65 시스템·플랫폼(컷오버 일정),N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,적립금,P07,구 사이트 회원·프린트머니 잔액 이관,4,3. 기존 프린트머니 잔액 이관,STD-MYP-009,기존 프린트머니 잔액 이관,webadmin,서희항,미착수,재배정,print-kb/wiki/policy/mypage.md#MYP-02 · print-kb/wiki/policy/custom-dev.md#CST-04 · L4 사유: 돈 걸림. 컷오버 대사 불일치 시 즉시 NO-GO 게이트.,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),회원·인증,회원(원장전용),P07,구 사이트 회원·프린트머니 잔액 이관,5,4. 프린트머니 M5 — 마이그레이션 시드 실행,STD-MYP-047,프린트머니 구현 M5 — 구 잔액 마이그레이션 시드 실행(260630 스펙),webadmin,미정,미착수,미정,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:293,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,주문(원장전용),P08,마이페이지 주문 조회·상세,1,1. 마이페이지 메인 대시보드,STD-MYP-017,마이페이지 메인 대시보드(주문요약·프린팅머니·쿠폰 한눈에),huni-mall,김동학,부분,담당맞음,"L3/legacy-normalized.json#F-029,IA-029,SCOPE-029 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:30 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A30:K30 · L2/as-is-inventory.csv#SB-044 huni-skin-shopby/src/components/mypage/dashboard-section.tsx:17-59",,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,주문(원장전용),P08,마이페이지 주문 조회·상세,2,2. 마이페이지 서브메인(기능군 랜딩),STD-MYP-018,마이페이지 서브메인(기능군 랜딩) 화면,huni-mall,김동학,부분,담당맞음,"L3/legacy-normalized.json#F-030,IA-030,SCOPE-030 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:31 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A31:K31 || P1판정(260902): huni-skin-shopby/src/app/(main)/mypage/page.tsx:10 DashboardSection · layout.tsx (중첩 라우트 전환)",,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,주문,P08,마이페이지 주문 조회·상세,3,3. 주문 목록 조회,STD-MYP-001,주문 목록 조회,huni-mall → 샵바이,김동학,부분,담당맞음,huni-skin-shopby/src/lib/api/hooks/use-my-orders.ts:84,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,주문,P08,마이페이지 주문 조회·상세,4,4. 주문 상세 조회(사양·파일·상태),STD-MYP-002,주문 상세 조회(사양·파일·상태),huni-mall → 샵바이,김동학,부분,담당맞음,huni-skin-shopby/src/lib/api/hooks/use-my-orders.ts:84 (목록/상세),,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,주문,P08,마이페이지 주문 조회·상세,5,5. 편집상품 미리보기,STD-MYP-003,편집상품 미리보기,huni-mall + 위젯/Edicus,서희항+김동학,미착수,분할,SB-020 stub — huni-skin-shopby/src/components/product/configurator-actions.tsx:170-176 (onClick 없음),t63 원고·파일(에디터·시안),N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,주문(원장전용),P08,마이페이지 주문 조회·상세,6,6. 마이페이지 통합 검색결과 LIST,STD-MYP-019,마이페이지 통합 검색결과 LIST 화면,huni-mall,김동학,미착수,재배정,"L3/legacy-normalized.json#F-031,IA-031,SCOPE-031 · _workspace/huni-launch-scope/02_gap/fit-gap-matrix.csv:32 · docs/huni/후니프린팅_통합IA_일정_역할분담_260616.xlsx#02_IA마스터!A32:K32 || P1판정(260902): huni-skin-shopby 전수 grep 'mypage.*search' 0건(260902) — 마이페이지 통합 검색 라우트 없음",,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,보관함(원장전용),P09,편집 디자인·옵션 보관함,1,1. 편집 디자인 보관함(편집 종료 후 보관),STD-MYP-030,"편집 디자인 보관함 — 편집 종료 후 보관, 장바구니 담기 전까지 수정 가능",huni-mall + 위젯,김동학+서희항,부분,분할,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 확정 7 / 후니-오픈잔여작업-실무진안내_260909.html §항목 11 · ④ 완료 기준,t63 원고·파일(에디터·업로드),Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,보관함(원장전용),P09,편집 디자인·옵션 보관함,2,2. 보관함 저장 시점 결정,STD-MYP-031,보관함 저장 시점 결정(저장 버튼 vs 편집 종료 시 자동),결정(신우진),신우진,미착수,담당맞음,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 미결 2,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,보관함,P09,편집 디자인·옵션 보관함,3,3. 옵션보관함 저장/불러오기,STD-MYP-004,옵션보관함 저장/불러오기,huni-mall,김동학,미착수,재배정,[L4b보강] huni-skin-shopby/src/components/cart/cart-page.tsx:6 ('shopby 장바구니에는 보관함(draft) 개념이 없어 단일 목록으로 렌더'),,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,보관함,P09,편집 디자인·옵션 보관함,4,4. 보관 기간 정책 적용·만료 처리,STD-MYP-005,보관 기간 정책 적용·만료 처리,huni-mall/webadmin,김동학,미착수,재배정,print-kb/wiki/policy/mypage.md#MYP-01 3개월 권장 · L4 사유: new — 보관 만료 정책은 화면이 아니라 배치 규칙이라 legacy 화면 분모에 수록된 적 없음. 근거 print-kb/mypage.md(ia.md 오염 아님).,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,보관함(원장전용),P09,편집 디자인·옵션 보관함,5,5. 편집 후 이탈 고객 안내 방법,STD-MYP-032,편집 후 장바구니를 누르지 않고 이탈한 고객 안내 방법,huni-mall,김동학,미착수,재배정,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 미결 3,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,보관함(원장전용),P09,편집 디자인·옵션 보관함,6,6. 보관함을 일반 상품까지 확대할지,STD-MYP-033,보관함을 일반 상품까지 확대할지 여부,결정(신우진),신우진,미착수,담당맞음,후니정기미팅 정리260915.html §디자인 상품·편집기·보관함 · 미결 6,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금(원장전용),P10,프린팅머니 충전(무통장·가상계좌),1,0-1. 원장 소유 결정 — A(샵바이 적립금) vs B′(후니 원장+외부포인트),STD-MYP-051,프린트머니 결정 요청 — 원장 소유 결정 A(샵바이 적립금) vs B′(후니 원장+외부포인트 연동),결정(지니),지니,미착수,담당맞음,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:303,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금(원장전용),P10,프린팅머니 충전(무통장·가상계좌),2,0-2. 프린트머니 정책 — 소멸기한 없음·충전 1:1·추가 적립 없음,STD-MYP-025,프린트머니 정책 — 소멸기한 없음·충전 1:1·추가 적립 없음,결정(신우진),신우진,미착수,미정,후니정기미팅 정리260915.html §프린팅머니 · 확정 3,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금(원장전용),P10,프린팅머니 충전(무통장·가상계좌),3,0-3. 충전 단위·최소/최대 유지 여부,STD-MYP-049,"프린트머니 결정 요청 — 충전 단위·최소/최대(현 화면 6종 10,000~500,000) 유지 여부",결정(지니),지니,미착수,담당맞음,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:299,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금(원장전용),P10,프린팅머니 충전(무통장·가상계좌),4,0-4. 충전 전용 입금계좌 분리·과입금/부분입금 정책,STD-MYP-052,프린트머니 결정 요청 — 충전 전용 입금계좌 분리 여부 · 과입금·부분입금 정책,결정(지니),지니,미착수,담당맞음,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:306,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금(원장전용),P10,프린팅머니 충전(무통장·가상계좌),5,0-5. 개발 주체·화면 배치 확정,STD-MYP-022,프린트머니 원장·외부포인트 API 5종·증빙 발행·충전 운영 화면의 개발 주체·배치 확정,결정(신우진),신우진,미착수,담당맞음,후니정기미팅 정리260915.html §개발 역할 분담 · 미결 2,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금(원장전용),P10,프린팅머니 충전(무통장·가상계좌),6,0-6. 토스 가상계좌 API 연동 담당 확정,STD-MYP-023,토스 가상계좌 API 연동·입금 알림 수신 담당 확정,결정(미정),미정,미착수,미정,후니정기미팅 정리260915.html §개발 역할 분담 · 미결 3,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금(원장전용),P10,프린팅머니 충전(무통장·가상계좌),7,1. 샵바이 외부포인트 연동 협의,STD-MYP-027,샵바이 외부포인트 연동 협의 완료,샵바이,외부(샵바이(NHN커머스)),구현-미검증,미정,후니정기미팅 정리260915.html §프린팅머니 · 확정 6,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금(원장전용),P10,프린팅머니 충전(무통장·가상계좌),8,2. M0 — 어드민 설정 + 충전권 상품 6종 + 실측 V1~V8,STD-MYP-042,프린트머니 구현 M0 — 어드민 설정 + 충전권 상품 6종 + 실측 V1~V8,운영자/webadmin,미정,미착수,미정,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:288,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금(원장전용),P10,프린팅머니 충전(무통장·가상계좌),9,3. M1 — `t_pm_charge_txn` + 감지·지급 잡(폴링),STD-MYP-043,프린트머니 구현 M1 — webadmin t_pm_charge_txn + 감지·지급 잡(폴링) + 웹훅 신호 연결,webadmin,미정,미착수,미정,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:289,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금(원장전용),P10,프린팅머니 충전(무통장·가상계좌),10,4. 충전 입금 확인 = 토스 가상계좌 직접 발급,STD-MYP-028,충전 입금 확인 = 토스페이먼츠 가상계좌 API 직접 발급,webadmin → 토스,미정,미착수,미정,후니정기미팅 정리260915.html §프린팅머니 · 확정 8,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금(원장전용),P10,프린팅머니 충전(무통장·가상계좌),11,5. 입금 확인 자동화 — DEPOSIT_CALLBACK 웹훅,STD-MYP-029,입금 확인 자동화 — 가상계좌 DEPOSIT_CALLBACK 웹훅 수신→자동 충전,webadmin,미정,미착수,미정,후니정기미팅 정리260915.html §프린팅머니 · 확정 9(「입금 확인은 가상계좌 입금 알림으로 자동 처리」까지) · DEPOSIT_CALLBACK 명칭 출처: _workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:316,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금(원장전용),P10,프린팅머니 충전(무통장·가상계좌),12,6. M2 — 충전 화면 배선(useChargePoint → 충전권 주문서),STD-MYP-044,프린트머니 구현 M2 — 스킨 충전 화면 배선(useChargePoint → 충전권 주문서),huni-mall,미정,미착수,미정,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:290,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금,P10,프린팅머니 충전(무통장·가상계좌),13,7. 프린팅머니 충전(PG 결제→적립 전환),STD-MYP-007,프린팅머니 충전(PG 결제→적립 전환),huni-mall,김동학,부분,담당맞음,SB-051 stub — huni-skin-shopby/src/components/mypage/point-section.tsx:11-14 → src/lib/legacy-data/hooks.ts:423-432 (no-op),t63 결제(PG·결제수단),N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금,P10,프린팅머니 충전(무통장·가상계좌),14,8. 프린팅머니 잔액·내역 조회,STD-MYP-006,프린팅머니 잔액·내역 조회,huni-mall → 샵바이,김동학,부분,담당맞음,huni-skin-shopby/src/lib/api/hooks/use-points.ts:22,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금(원장전용),P10,프린팅머니 충전(무통장·가상계좌),15,9. M6 — PG 계약 후 카드 충전 활성,STD-MYP-048,프린트머니 구현 M6 — PG 계약 후 카드 충전 활성(코드 변경 없이 availablePayTypes 로 자동),huni-mall,미정,미착수,미정,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:294,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금(원장전용),P10,프린팅머니 충전(무통장·가상계좌),16,10. 테스트몰 실측 12항,STD-MYP-053,테스트몰 실측 12항(전액결제 payType 조합·expireYmd 생략·externalKey 유일성·웹훅 페이로드 등),webadmin/huni-mall,미정,미착수,미정,_workspace/huni-shopby/HANDOFF.md:16,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금(원장전용),P11,프린팅머니 사용·충전 취소·환불,1,1. M3 — 체크아웃 전액결제 분기,STD-MYP-045,프린트머니 구현 M3 — 체크아웃 전액결제 분기,huni-mall,미정,미착수,미정,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:291,t63 결제 · t65 클레임(환불),Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금(원장전용),P11,프린팅머니 사용·충전 취소·환불,2,2. M4 — 충전 취소/환불 처리 + 운영 화면(txn 목록·재시도),STD-MYP-046,프린트머니 구현 M4 — 충전 취소/환불 처리 + 운영 화면(txn 목록·재시도),webadmin,미정,미착수,미정,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:292,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금(원장전용),P11,프린팅머니 사용·충전 취소·환불,3,3. 일부 사용 후 충전 취소 정책 결정,STD-MYP-050,프린트머니 결정 요청 — 일부 사용 후 충전 취소 정책(불가 vs 미사용분 부분 환불),결정(지니),지니,미착수,담당맞음,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:300,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),마이페이지,적립금,P12,적립금 적립·운영자 수동 지급,1,1. 구매확정 적립금 자동 지급,STD-MYP-008,구매확정 적립금 자동 지급,샵바이,최숙진,미착수,provided,SB-030 partial — huni-skin-shopby/src/components/checkout/checkout-form.tsx:52 (조회는 실API·적립/충전은 mock),t63 장바구니·주문(구매확정),N
