comp_cd,comp_nm,note,comp_typ_cd,use_yn
COMP_COAT_GLOSSY,유광코팅비,유광 코팅비. 출력매수·사이즈·코팅면수(단면/양면)별 장당 단가표.,PRC_COMPONENT_TYPE.02,Y
COMP_COAT_MATTE,무광코팅비,무광 코팅비. 출력매수·사이즈·코팅면수(단면/양면)별 장당 단가표.,PRC_COMPONENT_TYPE.02,Y
COMP_CUT_FULL_DIECUT,커팅 합가(완제품가) [COMP_CUT_FULL_DIECUT],커팅(완칼/미싱) 포함 완제품가. 소재·사이즈·수량을 합산한 1장당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_CUT_FULL_PERF_1H6,커팅 합가(완제품가) [COMP_CUT_FULL_PERF_1H6],커팅(완칼/미싱) 포함 완제품가. 소재·사이즈·수량을 합산한 1장당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_CUT_FULL_PERF_2H6,커팅 합가(완제품가) [COMP_CUT_FULL_PERF_2H6],커팅(완칼/미싱) 포함 완제품가. 소재·사이즈·수량을 합산한 1장당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_CUT_PERF_1H6,타공비(후가공) [COMP_CUT_PERF_1H6],타공(구멍 뚫기) 가공비(후가공). 구 수·출력매수별 단가표.,PRC_COMPONENT_TYPE.04,Y
COMP_ENV_MAKING,봉투제작 완제품가,봉투 제작 완제품가(용지 포함). 봉투 종류·소재·주문수량 구간별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_FOLD_CARD_2H,접지비(후가공) [COMP_FOLD_CARD_2H],접지(접는 가공)비(후가공). 접지 종류·주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.04,Y
COMP_FOLD_CARD_3H,접지비(후가공) [COMP_FOLD_CARD_3H],접지(접는 가공)비(후가공). 접지 종류·주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.04,Y
COMP_FOLD_CARD_6CR,접지비(후가공) [COMP_FOLD_CARD_6CR],접지(접는 가공)비(후가공). 접지 종류·주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.04,Y
COMP_FOLD_LEAF_3FOLD,접지비(후가공) [COMP_FOLD_LEAF_3FOLD],접지(접는 가공)비(후가공). 접지 종류·주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.04,Y
COMP_FOLD_LEAF_4ACC,접지비(후가공) [COMP_FOLD_LEAF_4ACC],접지(접는 가공)비(후가공). 접지 종류·주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.04,Y
COMP_FOLD_LEAF_4GATE,접지비(후가공) [COMP_FOLD_LEAF_4GATE],접지(접는 가공)비(후가공). 접지 종류·주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.04,Y
COMP_FOLD_LEAF_HALF,접지비(후가공) [COMP_FOLD_LEAF_HALF],접지(접는 가공)비(후가공). 접지 종류·주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.04,Y
COMP_GANGPAN_PRINT,합판도무송 단가(완제품가) [COMP_GANGPAN_PRINT],합판 도무송(목형 따기) 완제품가. 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_CLEAR_S1,명함 단가(용지포함 완제품가) [COMP_NAMECARD_CLEAR_S1],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_COAT_S1,명함 단가(용지포함 완제품가) [COMP_NAMECARD_COAT_S1],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_COAT_S2,명함 단가(용지포함 완제품가) [COMP_NAMECARD_COAT_S2],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_FOIL_S1_HOLO,오리지널박 합가(완제품가) [COMP_NAMECARD_FOIL_S1_HOLO],오리지널 박명함 완제품가(종이+동판+박 가공 합산). 인쇄면·박 종류·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_FOIL_S1_STD,오리지널박 합가(완제품가) [COMP_NAMECARD_FOIL_S1_STD],오리지널 박명함 완제품가(종이+동판+박 가공 합산). 인쇄면·박 종류·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_FOIL_S2_HOLO,오리지널박 합가(완제품가) [COMP_NAMECARD_FOIL_S2_HOLO],오리지널 박명함 완제품가(종이+동판+박 가공 합산). 인쇄면·박 종류·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_FOIL_S2_STD,오리지널박 합가(완제품가) [COMP_NAMECARD_FOIL_S2_STD],오리지널 박명함 완제품가(종이+동판+박 가공 합산). 인쇄면·박 종류·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_FOIL_SETUP_S1_STD,박형압 동판셋업비 [COMP_NAMECARD_FOIL_SETUP_S1_STD],박·형압용 동판 셋업비. 주문 1건당 한 번 부과(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.05,Y
COMP_NAMECARD_FOIL_SETUP_S2_STD,박형압 동판셋업비 [COMP_NAMECARD_FOIL_SETUP_S2_STD],박·형압용 동판 셋업비. 주문 1건당 한 번 부과(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.05,Y
COMP_NAMECARD_MINISHAPE_S1,명함 단가(용지포함 완제품가) [COMP_NAMECARD_MINISHAPE_S1],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_MINISHAPE_S2,명함 단가(용지포함 완제품가) [COMP_NAMECARD_MINISHAPE_S2],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_PEARL_S1,명함 단가(용지포함 완제품가) [COMP_NAMECARD_PEARL_S1],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_PEARL_S2,명함 단가(용지포함 완제품가) [COMP_NAMECARD_PEARL_S2],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_PREMIUM_S1_MGA,명함 단가(용지포함 완제품가) [COMP_NAMECARD_PREMIUM_S1_MGA],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_PREMIUM_S1_MGB,명함 단가(용지포함 완제품가) [COMP_NAMECARD_PREMIUM_S1_MGB],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_PREMIUM_S2_MGA,명함 단가(용지포함 완제품가) [COMP_NAMECARD_PREMIUM_S2_MGA],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_PREMIUM_S2_MGB,명함 단가(용지포함 완제품가) [COMP_NAMECARD_PREMIUM_S2_MGB],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_SHAPE_S1,명함 단가(용지포함 완제품가) [COMP_NAMECARD_SHAPE_S1],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_SHAPE_S2,명함 단가(용지포함 완제품가) [COMP_NAMECARD_SHAPE_S2],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_STD_S1,명함 단가(용지포함 완제품가) [COMP_NAMECARD_STD_S1],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_STD_S2,명함 단가(용지포함 완제품가) [COMP_NAMECARD_STD_S2],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_WHITE_S1W_CL,명함 단가(용지포함 완제품가) [COMP_NAMECARD_WHITE_S1W_CL],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_WHITE_S1W_NOCL,명함 단가(용지포함 완제품가) [COMP_NAMECARD_WHITE_S1W_NOCL],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_WHITE_S2W_CL,명함 단가(용지포함 완제품가) [COMP_NAMECARD_WHITE_S2W_CL],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_NAMECARD_WHITE_S2W_NOCL,명함 단가(용지포함 완제품가) [COMP_NAMECARD_WHITE_S2W_NOCL],명함 완제품가(용지 포함). 소재·인쇄면·수량을 합산한 1건당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_PAPER,용지비(종이별 절가),용지비. 선택한 종이·출력규격(국4절/3절)별 절가. 실제 청구는 출력매수만큼 시스템이 자동 계산.,PRC_COMPONENT_TYPE.03,Y
COMP_PCB_S1_20P,엽서북 단가(완제품가) [COMP_PCB_S1_20P],엽서북 완제품가. 인쇄면·페이지수·수량별 1권당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_PCB_S1_30P,엽서북 단가(완제품가) [COMP_PCB_S1_30P],엽서북 완제품가. 인쇄면·페이지수·수량별 1권당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_PCB_S2_20P,엽서북 단가(완제품가) [COMP_PCB_S2_20P],엽서북 완제품가. 인쇄면·페이지수·수량별 1권당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_PCB_S2_30P,엽서북 단가(완제품가) [COMP_PCB_S2_30P],엽서북 완제품가. 인쇄면·페이지수·수량별 1권당 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_PHOTOCARD_BULK,포토카드 단가(완제품가) [COMP_PHOTOCARD_BULK],포토카드 완제품가. 구성·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_PHOTOCARD_CLEAR_SET,포토카드 단가(완제품가) [COMP_PHOTOCARD_CLEAR_SET],포토카드 완제품가. 구성·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_PHOTOCARD_SET,포토카드 단가(완제품가) [COMP_PHOTOCARD_SET],포토카드 완제품가. 구성·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POPT_BNR_GAKMOK_STR_900_4,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POPT_BNR_GAKMOK_STR_900_4],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POPT_BNR_GAKMOK_STR_900_4_GT,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POPT_BNR_GAKMOK_STR_900_4_GT],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POPT_BNR_GAKMOK_STR_900_4_LE,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POPT_BNR_GAKMOK_STR_900_4_LE],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_ACRYLSTK_GLOSS,포스터 완제품가(포함항목 통가격) [COMP_POSTER_ACRYLSTK_GLOSS],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_ACRYLSTK_MIRROR,포스터 완제품가(포함항목 통가격) [COMP_POSTER_ACRYLSTK_MIRROR],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_ADH_CLEAR_PVC,실사 완제품가 (접착투명포스터),"[단독] 동형 없음 · 가격축: 가로×세로 구간(52셀) · 골든 600×1800=59,400원",PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_ADH_WATERPROOF_PVC,포스터 완제품가(포함항목 통가격) [COMP_POSTER_ADH_WATERPROOF_PVC],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,N
COMP_POSTER_ARTFABRIC_GRAPHIC,포스터 완제품가(포함항목 통가격) [COMP_POSTER_ARTFABRIC_GRAPHIC],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,N
COMP_POSTER_ARTPAPER_MATTE,실사 완제품가 (아트페이퍼포스터),[단독] 동형 없음 · 가격축: 가로×세로 구간(39셀),PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),"[동형결합] 가격표 동일 4소재 통합 · 결합소재: 아트프린트포스터, 접착방수포스터, 아트패브릭포스터, 방수포스터 · 가격축: 가로×세로 구간(52셀) · 골든 600×1800=21,600원 · 정본 COMP_POSTER_ARTPRINT_PHOTO(레거시 3종 ADH_WATERPROOF_PVC/ARTFABRIC_GRAPHIC/WATERPROOF_PET use_yn=N) · PRF_POSTER_FIXED 범용배선 보유(정본이라 무변경 보존)",PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_BANNER_MESH,실사 완제품가 (메쉬현수막),[단독] 동형 없음 · 가격축: 가로×세로 구간(46셀),PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_BANNER_NORMAL,실사 완제품가 (일반현수막),[단독] 동형 없음 · 가격축: 가로×세로 구간(79셀),PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_CANVAS_FABRIC,실사 완제품가 (캔버스패브릭포스터·레더아트프린트·메쉬프린트·타이벡프린트),"[동형결합] 가격표 동일 4소재 통합 · 결합소재: 캔버스패브릭포스터, 레더아트프린트, 메쉬프린트, 타이벡프린트 · 가격축: 가로×세로 구간(52셀) · 골든 600×1800=37,800원 · 정본 COMP_POSTER_CANVAS_FABRIC(레거시 3종 LEATHER_ARTPRINT/MESH_PRINT/TYVEK_PRINT use_yn=N)",PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_CANVAS_HANGING,포스터 완제품가(포함항목 통가격) [COMP_POSTER_CANVAS_HANGING],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_FOAMBOARD_BLACK,포스터 완제품가(포함항목 통가격) [COMP_POSTER_FOAMBOARD_BLACK],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_FOAMBOARD_WHITE,포스터 완제품가(포함항목 통가격) [COMP_POSTER_FOAMBOARD_WHITE],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_FOMEXBOARD_WHITE3MM,포스터 완제품가(포함항목 통가격) [COMP_POSTER_FOMEXBOARD_WHITE3MM],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_FOMEXBOARD_WHITE5MM,포스터 완제품가(포함항목 통가격) [COMP_POSTER_FOMEXBOARD_WHITE5MM],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_FRAMELESS_WOOD,포스터 완제품가(포함항목 통가격) [COMP_POSTER_FRAMELESS_WOOD],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_JOKJA,포스터 완제품가(포함항목 통가격) [COMP_POSTER_JOKJA],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_LEATHER_ARTPRINT,포스터 완제품가(포함항목 통가격) [COMP_POSTER_LEATHER_ARTPRINT],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,N
COMP_POSTER_LEATHER_FRAME,포스터 완제품가(포함항목 통가격) [COMP_POSTER_LEATHER_FRAME],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_LINEN_FABRIC,실사 완제품가 (린넨패브릭포스터),"[단독] 동형 없음 · 가격축: 가로×세로 구간(52셀) · 골든 600×1800=32,400원",PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_LINEN_WOODBONG,포스터 완제품가(포함항목 통가격) [COMP_POSTER_LINEN_WOODBONG],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_MESH_BANNER,포스터 완제품가(포함항목 통가격) [COMP_POSTER_MESH_BANNER],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_MESH_PRINT,포스터 완제품가(포함항목 통가격) [COMP_POSTER_MESH_PRINT],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,N
COMP_POSTER_MINI_BANNER,포스터 완제품가(포함항목 통가격) [COMP_POSTER_MINI_BANNER],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_MINI_STANDBOARD,포스터 완제품가(포함항목 통가격) [COMP_POSTER_MINI_STANDBOARD],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_BANNER_MESH_ADD_QBANG_4,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_MESH_ADD_QBANG_4],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_BANNER_MESH_ADD_STRING_4,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_MESH_ADD_STRING_4],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_BANNER_MESH_PROC_OPT,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_MESH_PROC_OPT],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_4,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_4],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_6,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_6],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_8,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_8],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_BANNER_NORMAL_ADD_QBANG_4,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_NORMAL_ADD_QBANG_4],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_BANNER_NORMAL_ADD_STRING_4,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_NORMAL_ADD_STRING_4],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_BONGSEW,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_NORMAL_PROC_BONGSEW],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_CUTEDGE,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_NORMAL_PROC_CUTEDGE],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_DTAPE,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_NORMAL_PROC_DTAPE],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_4,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_4],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_6,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_6],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_8,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_8],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_JOKJA_CEILHOOK,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_JOKJA_CEILHOOK],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_LINEN_FINISH,린넨 마감가공비,린넨패브릭포스터 마감가공(오버로크/말아박기/봉미싱·복합) 옵션 단가·opt_cd 매칭,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_PET_BANNER_STAND_IN,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_PET_BANNER_STAND_IN],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_PET_BANNER_STAND_OUT_S1,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_PET_BANNER_STAND_OUT_S1],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTEROPT_PET_BANNER_STAND_OUT_S2,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_PET_BANNER_STAND_OUT_S2],포스터·사인 추가옵션 가격(거치대·끈·타공 등 별도 추가). 옵션·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
