"gate","scenario","productCode","call_label","check","method","oracle_value","reconstruction_value","verdict","evidence"
"VP-1","NF-FLD-DFT","NCCDDFT","FLD_DFT 4단접지 FO008","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-FLD-DFT_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-FLD-DFT","NCCDDFT","FLD_DFT 4단접지 FO008","result_sum.PRICE 매핑","differential-response","29700","mapPriceResponse.finalPrice=29700","PASS","NF-FLD-DFT_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-FLD-DFT","NCCDDFT","FLD_DFT 4단접지 FO008","PRICE!=0 sanity","golden-read","29700",">0","PASS","NF-FLD-DFT_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-FLD-DFT","NCCDDFT","FLD_DFT 대문접지 FO002","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-FLD-DFT_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-FLD-DFT","NCCDDFT","FLD_DFT 대문접지 FO002","result_sum.PRICE 매핑","differential-response","30700","mapPriceResponse.finalPrice=30700","PASS","NF-FLD-DFT_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-FLD-DFT","NCCDDFT","FLD_DFT 대문접지 FO002","PRICE!=0 sanity","golden-read","30700",">0","PASS","NF-FLD-DFT_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-ORDCNT","NCCDDFT","ORD_CNT=1 (baseline)","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-ORDCNT_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-ORDCNT","NCCDDFT","ORD_CNT=1 (baseline)","result_sum.PRICE 매핑","differential-response","12700","mapPriceResponse.finalPrice=12700","PASS","NF-ORDCNT_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-ORDCNT","NCCDDFT","ORD_CNT=1 (baseline)","PRICE!=0 sanity","golden-read","12700",">0","PASS","NF-ORDCNT_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-ORDCNT","NCCDDFT","ORD_CNT=2","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-ORDCNT_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-ORDCNT","NCCDDFT","ORD_CNT=2","result_sum.PRICE 매핑","differential-response","25400","mapPriceResponse.finalPrice=25400","PASS","NF-ORDCNT_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-ORDCNT","NCCDDFT","ORD_CNT=2","PRICE!=0 sanity","golden-read","25400",">0","PASS","NF-ORDCNT_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-ORDCNT","NCCDDFT","ORD_CNT=5","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-ORDCNT_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-ORDCNT","NCCDDFT","ORD_CNT=5","result_sum.PRICE 매핑","differential-response","63500","mapPriceResponse.finalPrice=63500","PASS","NF-ORDCNT_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-ORDCNT","NCCDDFT","ORD_CNT=5","PRICE!=0 sanity","golden-read","63500",">0","PASS","NF-ORDCNT_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-POSTPCS","NCCDDFT","후가공 없음 (baseline)","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-POSTPCS_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-POSTPCS","NCCDDFT","후가공 없음 (baseline)","result_sum.PRICE 매핑","differential-response","12700","mapPriceResponse.finalPrice=12700","PASS","NF-POSTPCS_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-POSTPCS","NCCDDFT","후가공 없음 (baseline)","PRICE!=0 sanity","golden-read","12700",">0","PASS","NF-POSTPCS_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-POSTPCS","NCCDDFT","HOL_DFT 타공","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-POSTPCS_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-POSTPCS","NCCDDFT","HOL_DFT 타공","result_sum.PRICE 매핑","differential-response","16800","mapPriceResponse.finalPrice=16800","PASS","NF-POSTPCS_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-POSTPCS","NCCDDFT","HOL_DFT 타공","PRICE!=0 sanity","golden-read","16800",">0","PASS","NF-POSTPCS_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-POSTPCS","NCCDDFT","ROU_DFT 귀돌이 4코너","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-POSTPCS_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-POSTPCS","NCCDDFT","ROU_DFT 귀돌이 4코너","result_sum.PRICE 매핑","differential-response","16200","mapPriceResponse.finalPrice=16200","PASS","NF-POSTPCS_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-POSTPCS","NCCDDFT","ROU_DFT 귀돌이 4코너","PRICE!=0 sanity","golden-read","16200",">0","PASS","NF-POSTPCS_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-POSTPCS","NCCDDFT","MIS_DFT 미싱","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-POSTPCS_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-POSTPCS","NCCDDFT","MIS_DFT 미싱","result_sum.PRICE 매핑","differential-response","18200","mapPriceResponse.finalPrice=18200","PASS","NF-POSTPCS_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-POSTPCS","NCCDDFT","MIS_DFT 미싱","PRICE!=0 sanity","golden-read","18200",">0","PASS","NF-POSTPCS_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-POSTPCS","NCCDDFT","OSI_DFT 오시","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-POSTPCS_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-POSTPCS","NCCDDFT","OSI_DFT 오시","result_sum.PRICE 매핑","differential-response","18200","mapPriceResponse.finalPrice=18200","PASS","NF-POSTPCS_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-POSTPCS","NCCDDFT","OSI_DFT 오시","PRICE!=0 sanity","golden-read","18200",">0","PASS","NF-POSTPCS_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-PRNCNT-MODELB","NCCDDFT","PRN_CNT=500 (DFT)","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-PRNCNT-modelB_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-PRNCNT-MODELB","NCCDDFT","PRN_CNT=500 (DFT)","result_sum.PRICE 매핑","differential-response","12700","mapPriceResponse.finalPrice=12700","PASS","NF-PRNCNT-modelB_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-PRNCNT-MODELB","NCCDDFT","PRN_CNT=500 (DFT)","PRICE!=0 sanity","golden-read","12700",">0","PASS","NF-PRNCNT-modelB_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-PRNCNT-MODELB","NCCDDFT","PRN_CNT=1000","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-PRNCNT-modelB_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-PRNCNT-MODELB","NCCDDFT","PRN_CNT=1000","result_sum.PRICE 매핑","differential-response","23900","mapPriceResponse.finalPrice=23900","PASS","NF-PRNCNT-modelB_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-PRNCNT-MODELB","NCCDDFT","PRN_CNT=1000","PRICE!=0 sanity","golden-read","23900",">0","PASS","NF-PRNCNT-modelB_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-PRNCNT-MODELB","NCCDDFT","PRN_CNT=2000","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-PRNCNT-modelB_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-PRNCNT-MODELB","NCCDDFT","PRN_CNT=2000","result_sum.PRICE 매핑","differential-response","43100","mapPriceResponse.finalPrice=43100","PASS","NF-PRNCNT-modelB_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-PRNCNT-MODELB","NCCDDFT","PRN_CNT=2000","PRICE!=0 sanity","golden-read","43100",">0","PASS","NF-PRNCNT-modelB_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-REAMCNT","NCCDDFT","REAM_CNT=0 PRN500","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-REAMCNT_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-REAMCNT","NCCDDFT","REAM_CNT=0 PRN500","result_sum.PRICE 매핑","differential-response","12700","mapPriceResponse.finalPrice=12700","PASS","NF-REAMCNT_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-REAMCNT","NCCDDFT","REAM_CNT=0 PRN500","PRICE!=0 sanity","golden-read","12700",">0","PASS","NF-REAMCNT_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-REAMCNT","NCCDDFT","REAM_CNT=1 PRN500","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-REAMCNT_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-REAMCNT","NCCDDFT","REAM_CNT=1 PRN500","result_sum.PRICE 매핑","differential-response","12700","mapPriceResponse.finalPrice=12700","PASS","NF-REAMCNT_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-REAMCNT","NCCDDFT","REAM_CNT=1 PRN500","PRICE!=0 sanity","golden-read","12700",">0","PASS","NF-REAMCNT_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-REAMCNT","NCCDDFT","REAM_CNT=2 PRN500","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: ADD_CLR_YN+REAM_CNT+DOSU_COD","emit omits all (no slot)","FAIL","NF-REAMCNT_NCCDDFT.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-REAMCNT","NCCDDFT","REAM_CNT=2 PRN500","result_sum.PRICE 매핑","differential-response","12700","mapPriceResponse.finalPrice=12700","PASS","NF-REAMCNT_NCCDDFT.json result_sum.PRICE"
"VP-3","NF-REAMCNT","NCCDDFT","REAM_CNT=2 PRN500","PRICE!=0 sanity","golden-read","12700",">0","PASS","NF-REAMCNT_NCCDDFT.json result_sum.PRICE"
"VP-1","NF-TIERED-MODELB","GSTGMIC","PRN_CNT=1","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: DOSU_COD","emit omits all (no slot)","FAIL","NF-TIERED-modelB_GSTGMIC.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-TIERED-MODELB","GSTGMIC","PRN_CNT=1","result_sum.PRICE 매핑","differential-response","7000","mapPriceResponse.finalPrice=7000","PASS","NF-TIERED-modelB_GSTGMIC.json result_sum.PRICE"
"VP-3","NF-TIERED-MODELB","GSTGMIC","PRN_CNT=1","PRICE!=0 sanity","golden-read","7000",">0","PASS","NF-TIERED-modelB_GSTGMIC.json result_sum.PRICE"
"VP-1","NF-TIERED-MODELB","GSTGMIC","PRN_CNT=2","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: DOSU_COD","emit omits all (no slot)","FAIL","NF-TIERED-modelB_GSTGMIC.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-TIERED-MODELB","GSTGMIC","PRN_CNT=2","result_sum.PRICE 매핑","differential-response","13600","mapPriceResponse.finalPrice=13600","PASS","NF-TIERED-modelB_GSTGMIC.json result_sum.PRICE"
"VP-3","NF-TIERED-MODELB","GSTGMIC","PRN_CNT=2","PRICE!=0 sanity","golden-read","13600",">0","PASS","NF-TIERED-modelB_GSTGMIC.json result_sum.PRICE"
"VP-1","NF-TIERED-MODELB","GSTGMIC","PRN_CNT=5","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: DOSU_COD","emit omits all (no slot)","FAIL","NF-TIERED-modelB_GSTGMIC.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-TIERED-MODELB","GSTGMIC","PRN_CNT=5","result_sum.PRICE 매핑","differential-response","33400","mapPriceResponse.finalPrice=33400","PASS","NF-TIERED-modelB_GSTGMIC.json result_sum.PRICE"
"VP-3","NF-TIERED-MODELB","GSTGMIC","PRN_CNT=5","PRICE!=0 sanity","golden-read","33400",">0","PASS","NF-TIERED-modelB_GSTGMIC.json result_sum.PRICE"
"VP-1","NF-TIERED-MODELB","GSTGMIC","PRN_CNT=10","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: DOSU_COD","emit omits all (no slot)","FAIL","NF-TIERED-modelB_GSTGMIC.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-TIERED-MODELB","GSTGMIC","PRN_CNT=10","result_sum.PRICE 매핑","differential-response","66200","mapPriceResponse.finalPrice=66200","PASS","NF-TIERED-modelB_GSTGMIC.json result_sum.PRICE"
"VP-3","NF-TIERED-MODELB","GSTGMIC","PRN_CNT=10","PRICE!=0 sanity","golden-read","66200",">0","PASS","NF-TIERED-modelB_GSTGMIC.json result_sum.PRICE"
"VP-1","NF-TIERED-MODELB","GSTGMIC","PRN_CNT=30","신규필드 reqBody 정합","differential-serialize","golden ORD_INFO has: DOSU_COD","emit omits all (no slot)","FAIL","NF-TIERED-modelB_GSTGMIC.json reqBody.dataJson.ORD_INFO[0]"
"VP-2","NF-TIERED-MODELB","GSTGMIC","PRN_CNT=30","result_sum.PRICE 매핑","differential-response","194200","mapPriceResponse.finalPrice=194200","PASS","NF-TIERED-modelB_GSTGMIC.json result_sum.PRICE"
"VP-3","NF-TIERED-MODELB","GSTGMIC","PRN_CNT=30","PRICE!=0 sanity","golden-read","194200",">0","PASS","NF-TIERED-modelB_GSTGMIC.json result_sum.PRICE"
"VP-5","MR-1 수량↑⇒price 비감소 (ORD_CNT)","NCCDDFT","ORD_CNT","metamorphic monotone/relation","metamorphic-live","12700->25400->63500","live sequence","PASS","NF-ORDCNT_NCCDDFT.json"
"VP-5","MR-2 수량↑⇒price 비감소 (PRN_CNT 모델 B)","NCCDDFT (offset2023_item, pdt_prn_cnt_info 행기반)","PRN_CNT","metamorphic monotone/relation","metamorphic-live","12700->23900->43100","live sequence","PASS","NF-PRNCNT-modelB_NCCDDFT.json"
"VP-5","MR-3 수량↑⇒price 단조증가 (tiered 모델 B)","GSTGMIC (tiered_price, FIR_CNT/INC_CNT/INC_STEP base)","PRN_CNT","metamorphic monotone/relation","metamorphic-live","7000->13600->33400->66200->194200","live sequence","PASS","NF-TIERED-modelB_GSTGMIC.json"
"VP-5","MR-4 +후가공⇒price↑ (FLD_DFT 접지)","NCCDDFT","FLD_DFT","metamorphic monotone/relation","metamorphic-live","12700->29700->29700->29700->30700","live sequence","PASS","NF-FLD-DFT_NCCDDFT.json"
"VP-5","MR-5 +후가공⇒price↑ (HOL/ROU/MIS/OSI)","NCCDDFT","HOL_DFT / ROU_DFT / MIS_DFT / OSI_DFT","metamorphic monotone/relation","metamorphic-live","12700->16800->16200->18200->18200","live sequence","FAIL(def-error:diff-pcs-types)","NF-POSTPCS_NCCDDFT.json"
"VP-5","MR-6 ADD_CLR_YN 자재/도수 조건부 (negative result)","NCCDDFT","ADD_CLR_YN","metamorphic monotone/relation","metamorphic-live","12700->12700->15900->15900","live sequence","N/A(acceptance/negative)","NF-ADDCLR_NCCDDFT.json"
"VP-5","MR-7 신규필드 엔진 수용·PRICE 보존 (REAM_CNT)","NCCDDFT","REAM_CNT","metamorphic monotone/relation","metamorphic-live","12700->12700->12700","live sequence","N/A(acceptance/negative)","NF-REAMCNT_NCCDDFT.json"
"VP-5","MR-8 PACK/MAX/모델A 엔진 수용 (acceptance only)","NCCDDFT","PACK_PRN_CNT / MAX_PRN_CNT / MIN_ORD_PRN_CNT+ADD_ORD_PRN_CNT(모델A 래더)","metamorphic monotone/relation","metamorphic-live","12700->12700->12700->12700","live sequence","N/A(acceptance/negative)","NF-ACCEPTANCE_NCCDDFT.json"
"VP-4","ALL","-","-","result_sum authority (ignore per-line)","code-read","result_sum.PRICE only","red-adapter.ts:650","PASS","NF-ORDCNT perLine[0].PRICE=0 ignored"
"VP-6","ALL","-","-","field-dict + unsupported-decl","field-dict","dict new fields","emit invents 0; new fields unsupported","FAIL(unsupported)","ADD_CLR_YN/REAM_CNT/MAX/PACK/modelA unsupported"
