gap_id,process_id,process_name,대분류,종류,종류설명,내용,제안담당,선행
G-t65-029,P10,FAQ·가이드북 등록·열람,정보·콘텐츠,다,다 — 코드는 있는데 연결 안 됨,"가이드북은 화면이 다 만들어져 있는데 콘텐츠가 `src/lib/guide-data.ts` 상수다 — 운영자가 못 고친다. 게다가 일부 항목은 본문이 「이 가이드는 준비 중입니다. 곧 상세 내용이 업데이트됩니다.」 자리표시로 남아 있고, 「폰트 아웃라인 (Create Outlines) 미적용시 해결법」이 네 항목(outline-1~4)에 같은 제목으로 들어 있다.",최숙진,가이드 콘텐츠 원고 확정
G-t65-030,P10,FAQ·가이드북 등록·열람,정보·콘텐츠,라,라 — 결정 미정,"FAQ 와 가이드북의 경계가 정해지지 않았다. 둘 다 「자주 묻는 것」을 담는데 하나는 게시판, 하나는 코드 상수라 같은 질문이 두 곳에 갈릴 수 있다.",신우진,없음 — 결정 자체가 선행
G-t65-031,P11,이용후기·뉴스 콘텐츠 운영,정보·콘텐츠,라,라 — 결정 미정,"뉴스·소식 공간의 **형태와 메뉴 이름**이 정해지지 않았다(갤러리형/게시판형/커뮤니티형 중 택1). 형태에 따라 게시판 하나로 끝날 수도, 새 화면을 만들어야 할 수도 있다.",신우진,없음 — 결정 자체가 선행
G-t65-032,P11,이용후기·뉴스 콘텐츠 운영,정보·콘텐츠,라,라 — 결정 미정,관리자가 직접 등록한 후기를 허용할지 정해지지 않았다. 허용하면 표시 규칙(작성자 표기·구매 인증 배지)이 함께 필요하다.,최숙진,없음 — 운영 규칙 작성
G-t65-033,P11,이용후기·뉴스 콘텐츠 운영,정보·콘텐츠,나,나 — 행은 있는데 코드 0,뉴스·소식 화면이 몰에 없다 — 형태가 정해지면 공지(P09)와 같은 게시판 배선으로 만들 수 있다.,김동학,형태·메뉴명 결정
G-t65-034,P12,기초데이터 마스터 등록·관리,운영자·상품가격,라,라 — 결정 미정,기초코드를 새로 만들 권한과 절차가 사람 규칙으로만 있다. 화면은 누구나 등록할 수 있어 중복 코드가 생기면 단가행이 갈라진다 — 이미 표시중복 정리 하네스가 따로 돌 만큼 쌓인 문제다.,서희항,없음 — 운영 규칙 작성
G-t65-035,P12,기초데이터 마스터 등록·관리,운영자·상품가격,다,다 — 코드는 있는데 연결 안 됨,여섯 화면이 각자 살아 있어 「이 코드를 쓰는 상품이 몇 건인가」를 한 화면에서 못 본다. 사용처 조회는 가격 구성요소 쪽에만 있다(`price-viewer/comp/{comp_cd}/usage/`).,서희항,없음
G-t65-036,P13,판형·제본·공정 규칙 관리,운영자·상품가격,다,다 — 코드는 있는데 연결 안 됨,"공정 택일그룹 모델이 제거되고 옵션그룹으로 흡수됐는데(`catalog/admin.py:1595` 「(제거됨 — Phase 7/07-08) 공정 택일그룹 모델: 옵션그룹으로 흡수·DROP」), 흡수 뒤 기존 택일 제약이 옵션그룹에서 같은 효과를 내는지 실화면으로 확인된 기록을 찾지 못했다. 원장 상태도 「구현-미검증」이다.",서희항,없음 — 실화면 검증
G-t65-037,P13,판형·제본·공정 규칙 관리,운영자·상품가격,다,다 — 코드는 있는데 연결 안 됨,책등 계산(`catalog/spine_calc.py`)이 구현돼 있으나 「구현-미검증」이다. 책등폭 → 표지 크기 → 그보다 큰 판형 선택이라는 규칙이 실제 상품에서 재현되는지 확인이 남았다.,서희항,없음 — 실화면 검증
G-t65-038,P13,판형·제본·공정 규칙 관리,운영자·상품가격,라,라 — 결정 미정,"판걸이수 계산의 권위가 가격표 「판걸이수」 시트인데, 시트와 DB 등록값이 어긋날 때 어느 쪽을 고칠지 절차가 없다.",서희항,없음 — 운영 규칙 작성
G-t65-039,P14,상품 등록·진열·셋트 구성,운영자·상품가격,라,라 — 결정 미정,수작 상품이 **어느 시스템에 사는지** 확정되지 않았다(원장 「미실측」·담당 「서희항·최숙진」 공동). webadmin 상품인지 셀러어드민 상품인지에 따라 가격·옵션·주문 경로가 통째로 달라진다.,신우진,없음 — 결정 자체가 선행
G-t65-040,P14,상품 등록·진열·셋트 구성,운영자·상품가격,다,다 — 코드는 있는데 연결 안 됨,상품을 등록해도 샵바이로 넘어가는 축이 메인이미지와 전시 여부 둘뿐이다(`shopby_sync.py:118`·`:315`). 시작가·옵션은 스킨이 webadmin 을 당겨 가는 pull 이라 「등록했는데 몰에서 안 보인다」가 여기서 갈린다 — P30 에서 이어진다.,서희항,P30 동기화 축 확정
G-t65-041,P14,상품 등록·진열·셋트 구성,운영자·상품가격,라,라 — 결정 미정,상품 유형 5종(완제품·반제품·기성·디자인·추가) 중 디자인상품(.04)은 폐기·재분류 대상인데 `admin/design-md/` 화면이 살아 있다. 두 정본이 공존한다.,서희항,상품유형 분류 SOT 적용 범위 확인
G-t65-042,P15,상품 상세페이지 콘텐츠 편집·발행,운영자·상품가격,라,라 — 결정 미정,페이지빌더 게이트가 NO-GO 이고 미해소 15건이 남아 있어 설계 문서가 정본으로 올라가지 못했다. 그 상태에서 몰은 이미 발행 결과를 읽고 있다 — 읽는 쪽이 쓰는 쪽보다 먼저 서 있다.,신우진,없음 — 게이트 해소가 선행
G-t65-043,P15,상품 상세페이지 콘텐츠 편집·발행,운영자·상품가격,다,다 — 코드는 있는데 연결 안 됨,몰이 Railway 뷰 `vc_v_product_detail_tabs` 를 직접 SELECT 하는데 `publications.ts:48-56` 의 `pg.Pool` 에 타임아웃 옵션이 없다. DB 가 느려지면 상품 상세가 통째로 멈춘다. 이 뷰의 DDL 소유자도 정해져 있지 않다.,김동학,뷰 소유·계약 확정(P30)
G-t65-044,P15,상품 상세페이지 콘텐츠 편집·발행,운영자·상품가격,라,라 — 결정 미정,"상세 탭을 상품마다 만들지, 상품군 공통으로 만들지가 정해지지 않았다. 상품 수만큼 탭을 만들면 운영 부담이 그대로 곱해진다.",신우진,없음 — 결정 자체가 선행
G-t65-045,P16,옵션그룹 구성·차원 연결·무결성 검증,운영자·상품가격,다,다 — 코드는 있는데 연결 안 됨,옵션그룹 CRUD(`config/urls.py:356-360`)와 유효성 검증(`:373`)이 구현돼 있으나 둘 다 원장 상태가 「구현-미검증」이다. 검증이 무엇을 잡고 무엇을 놓치는지 실화면 기록을 찾지 못했다.,서희항,없음 — 실화면 검증
G-t65-046,P16,옵션그룹 구성·차원 연결·무결성 검증,운영자·상품가격,라,라 — 결정 미정,옵션(가격 무관)과 차원(가격축)의 경계가 화면에서 구분되지 않아 운영자가 가격에 영향 없는 것을 차원으로 올리거나 그 반대를 하기 쉽다. 적재 거버넌스 하네스가 따로 도는 이유이기도 하다.,서희항,없음 — 운영 규칙·화면 안내
G-t65-047,P16,옵션그룹 구성·차원 연결·무결성 검증,운영자·상품가격,나,나 — 행은 있는데 코드 0,유효성 검증 결과를 정기적으로 돌려 보는 절차가 없다. 지금은 사람이 생각날 때 누른다.,서희항,없음
G-t65-048,P17,제약규칙 등록·시뮬레이션,운영자·상품가격,다,다 — 코드는 있는데 연결 안 됨,"제약규칙 관리(`config/urls.py:371` JSONLogic)와 모델(`catalog/models.py:801`), 시뮬레이션(`config/urls.py:169` `price_sim_constraints` — 「제약 cascade: 현재 선택 → 각 차원 불가값(비활성)」)이 다 구현돼 있는데 둘 다 「구현-미검증」이다. 만든 규칙이 위젯에서 같은 결과를 내는지 실화면 기록이 없다.",서희항,없음 — 실화면 검증
G-t65-049,P17,제약규칙 등록·시뮬레이션,운영자·상품가격,라,라 — 결정 미정,과다 차단(정상 조합까지 막힘)을 어떻게 잡아낼지 절차가 없다. 제약은 틀려도 화면이 조용해서 매출이 조용히 새는 쪽이다.,서희항,없음 — 검증 절차 작성
G-t65-050,P17,제약규칙 등록·시뮬레이션,운영자·상품가격,나,나 — 행은 있는데 코드 0,제약규칙 전수 목록과 그 규칙이 붙은 상품 수를 한 화면에서 보는 곳이 없다.,서희항,없음
G-t65-051,P18,가격공식·구성요소 설계·바인딩,운영자·상품가격,다,다 — 코드는 있는데 연결 안 됨,단가유형 설정이 「구현-미검증」이다 — `catalog/admin.py:2816` 이 「Phase 11: 사용차원 순서지정 위젯 + 단가유형 그룹제한(basecodes prc_typ_cd)」 으로 기록돼 있으나 실제 계산에서 단가형/합가형이 갈리는 것을 확인한 기록을 찾지 못했다.,서희항,없음 — 실화면 검증
G-t65-052,P18,가격공식·구성요소 설계·바인딩,운영자·상품가격,라,라 — 결정 미정,"가격공식의 권위가 상품마스터 「계산공식집초안」 시트인데, 시트와 등록 공식이 어긋날 때 누가 어느 쪽을 고치는지 절차가 없다.",서희항,없음 — 운영 규칙 작성
G-t65-053,P18,가격공식·구성요소 설계·바인딩,운영자·상품가격,나,나 — 행은 있는데 코드 0,구성요소가 어떤 상품군에 유효한지(배선 유효성)를 검사하는 장치가 없다. 엉뚱한 상품군에 구성요소가 붙어도 화면은 조용하다.,서희항,없음
G-t65-054,P19,단가행 적재·할인·이력 관리,운영자·상품가격,다,다 — 코드는 있는데 연결 안 됨,"단가행 일괄 등록과 면적 매트릭스가 둘 다 「구현-미검증」이다. `price_views.py:1650` 이 「그리드에 보이는 행이 곧 이 구성요소의 전체 단가표(엑셀처럼)」 라고 적어 둔 대로 동작하는지, 붙여넣기 실패가 조용히 넘어가지 않는지 확인 기록을 찾지 못했다.",서희항,없음 — 실화면 검증
G-t65-055,P19,단가행 적재·할인·이력 관리,운영자·상품가격,나,나 — 행은 있는데 코드 0,적재된 격자에 **빈 셀이 남았는지** 한 화면에서 보는 장치가 없다. 빈 셀은 계산에서 그 조합만 조용히 빠지므로 「가격이 이상하다」가 뒤늦게 발견된다. 가격테이블 무결성 하네스가 따로 도는 이유다.,서희항,없음
G-t65-056,P19,단가행 적재·할인·이력 관리,운영자·상품가격,라,라 — 결정 미정,가격표 엑셀 최신본 판정 절차가 사람 기억에 걸려 있다. 파일명 날짜를 믿었다가 구본을 적재한 전례가 있다.,서희항,없음 — 운영 규칙 작성
G-t65-057,P20,가격 검산·기본사양가 진단·게시 위젯 전수 대조,운영자·상품가격,다,다 — 코드는 있는데 연결 안 됨,"원장 행 이름은 「가격 미산출(0원) 상품 진단 리포트」인데 그 근거가 가리키는 `admin/start-price/` 화면의 실제 이름은 **「상품 › 상품별 기본사양가」** 다(운영자 매뉴얼 `tools/manual_content.py:696`·화면 title `catalog/start_price_views.py:57`). 이 화면은 진단 리포트가 아니라 **자사몰 목록에 나갈 대표가를 관리하는 화면**이고, 자동/수기/없음(실패) 탭과 실패사유 열이 0원 진단 구실을 겸한다. 매뉴얼은 기본사양가가 「예전 이름 시작가 · API 필드 `start_price` · 최저가가 아니다」 라고 못 박아 두었다(`manual_content.py:77`) — 원장 행 이름으로는 이 화면을 찾을 수 없다.",서희항,없음 — 화면명 통일 또는 원장 행 이름 정정
G-t65-058,P20,가격 검산·기본사양가 진단·게시 위젯 전수 대조,운영자·상품가격,나,나 — 행은 있는데 코드 0,게시 위젯 전수 대조가 아직 「부분」이다. 대조 결과를 담는 원장이 없어 어디까지 봤는지가 사람 기억에 남는다. 3차 승인 체계만 정해져 있다.,서희항,권위 가격표 최신본 확정
G-t65-059,P20,가격 검산·기본사양가 진단·게시 위젯 전수 대조,운영자·상품가격,라,라 — 결정 미정,제외된 구성요소가 「진짜 결함」인지 「형제 구성요소가 이미 커버하는 정상 미매칭」인지 자동으로 갈리지 않아 사람이 매번 판정한다. 판정 기준이 문서로 없다.,서희항,없음 — 판정 기준 작성
G-t65-060,P21,매출·결제수단·할인 집계,정산·통계,라,라 — 결정 미정,네 행이 모두 셀러어드민 `/statistic/sales/period` 한 화면 하나를 근거로 「작동·provided」로 판정돼 있다. 그 한 화면이 네 질문에 다 답하는지 항목 단위로 대조한 기록은 찾지 못했다 — 특히 결제수단별 집계가 무통장·가상계좌를 따로 세는지가 1차 런칭에서 중요하다.,최숙진,없음 — 화면 항목 대조
G-t65-061,P21,매출·결제수단·할인 집계,정산·통계,라,라 — 결정 미정,매출의 권위가 샵바이 주문 라인인지 후니 계산가인지 정해져 있지 않다(원장 `X-SETTLE-AUTH` 미관측). 위젯 계산가가 카트에 주입되는 구조(P31)라 두 값이 갈리면 매출 숫자 자체가 갈린다.,신우진,P31 카트 주입 값의 권위 확정
G-t65-062,P22,고객군·상품군 판매 통계,정산·통계,라,라 — 결정 미정,"구 사이트 상품군 통계 4종(인쇄/제본·굿즈·패키지·수작)이 샵바이 카테고리 묶음으로 재현되는지가 미정이다. webadmin 에는 통계 화면이 없다(@2026-09-16 실측). 재현되면 카테고리 설정만으로 끝나고, 안 되면 개발 항목이 4개 생긴다.",최숙진,P14 카테고리 귀속 정리
G-t65-063,P22,고객군·상품군 판매 통계,정산·통계,나,나 — 행은 있는데 코드 0,상품군 통계 4행이 모두 「미실측」이다 — 셀러어드민 통계 메뉴를 열어 대체 가능 여부를 판정한 사람이 아직 없다.,최숙진,없음 — 셀러어드민 실화면 확인
G-t65-064,P22,고객군·상품군 판매 통계,정산·통계,라,라 — 결정 미정,수작 상품이 어느 시스템에 사는지 미정(P14)이라 수작 통계는 분모부터 정해지지 않는다.,신우진,P14 수작 상품 시스템 결정
G-t65-065,P23,생산·외주 작업량·발주정산,정산·통계,라,라 — 결정 미정,"공정/팀별 작업량이 MES 현행 기능인지, 신규 개발인지가 갈리지 않았다. 신규면 담당이 사내 4인 밖(MES 담당)으로 나간다 — 범위 결정이 선행이다.",신우진,MES 연동 범위 확정(t64)
G-t65-066,P23,생산·외주 작업량·발주정산,정산·통계,나,나 — 행은 있는데 코드 0,외주 발주/정산 엑셀과 굿즈 발주/정산이 구 사이트에 있었으나 새 시스템에 그릇이 없다. 두 행 모두 「사는 시스템 미확인」이다.,최숙진,외주 발주가 사는 시스템 결정
G-t65-067,P23,생산·외주 작업량·발주정산,정산·통계,라,라 — 결정 미정,굿즈 외주 발주를 커머스(샵바이 주문)에서 뽑을지 생산(MES)에서 뽑을지 정해지지 않았다.,신우진,없음 — 결정 자체가 선행
G-t65-068,P24,PG 정산 대사·계좌·미수금,정산·통계,라,라 — 결정 미정,샵바이 정산이 주문 라인의 `salePrice`/`addPrice` 를 권위로 쓰는지가 관측되지 않았다(원장 `X-SETTLE-AUTH`). 위젯이 계산한 값을 카트에 주입하는 구조(P31)에서 이 질문에 답하지 못하면 대사 설계 자체를 시작할 수 없다.,최숙진,P31 카트 주입 값의 권위 확정
G-t65-069,P24,PG 정산 대사·계좌·미수금,정산·통계,라,라 — 결정 미정,"가상계좌 정산한도 1,000만 원 초과 처리가 미정이고 담당이 외부(토스페이먼츠)다. 무통장·가상계좌가 현재 유일하게 동작하는 결제 수단이라(P29) 런칭 초기에 바로 걸린다.",신우진,PG 연동 범위 확정(P29)
G-t65-070,P24,PG 정산 대사·계좌·미수금,정산·통계,나,나 — 행은 있는데 코드 0,계좌관리·업체별 미수금 화면이 webadmin 에 없다(@2026-09-16 실측). 프린팅머니 원장 배치가 미정(9/15 회의)이라 그릇 위치부터 정해지지 않았다.,최숙진,t62 프린팅머니 원장 소유 결정
G-t65-071,P25,프린팅머니 부채 집계·내보내기·외부회계 연동,정산·통계,라,라 — 결정 미정,프린팅머니 원장을 샵바이 적립금(A안)으로 둘지 후니 원장(B′안)으로 둘지가 아직 결정되지 않았다(t62 `STD-MYP-051`). 부채 집계는 원장이 있는 쪽에서만 만들 수 있어 이 결정이 열리기 전에는 착수 자체가 막힌다.,신우진,t62 프린팅머니 원장 소유 결정
G-t65-072,P25,프린팅머니 부채 집계·내보내기·외부회계 연동,정산·통계,라,라 — 결정 미정,적립금 만료 기본값이 명문화돼 있지 않다(원장 `X-MIG-EXPIRY`). 만료 정책이 곧 부채가 언제 사라지는지이므로 회계 숫자가 이 하나에 매인다.,최숙진,t62 프린팅머니 원장 소유 결정
G-t65-073,P25,프린팅머니 부채 집계·내보내기·외부회계 연동,정산·통계,나,나 — 행은 있는데 코드 0,전역 엑셀 내보내기가 없다 — 구 사이트 통계 2건에 부분적으로만 붙어 있었다. MS·이카운트 연동 방식(수기/파일/API)도 정해지지 않았다.,최숙진,원장 소유 결정
G-t65-074,P26,관리자 계정·권한·감사로그,시스템·플랫폼,나,나 — 행은 있는데 코드 0,"셀러어드민에 권한그룹이 0개다(마스터 1명뿐). 실무진이 각자 계정으로 들어가려면 그룹부터 만들어야 하는데, 지금은 한 계정을 나눠 쓰는 상태로 보인다 — 그러면 감사로그가 누가 했는지 구분하지 못한다.",최숙진,없음 — 바로 착수 가능
