block,product_group,dim_type,price_model,siz_label,mat_group,mat_codes,qty_band,value,source,note
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x110_12판,grp3,MAT162투명/MAT163홀로그램,1,7700,price-sticker-price-l1.csv:S5,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp1,MAT153유포/MAT084비코팅/MAT242미색,2,6000,price-sticker-price-l1.csv:B6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp2,MAT155무광/MAT156유광,2,7000,price-sticker-price-l1.csv:C6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp3,MAT162투명/MAT163홀로그램,2,7000,price-sticker-price-l1.csv:D6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp1,MAT153유포/MAT084비코팅/MAT242미색,2,5000,price-sticker-price-l1.csv:E6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp2,MAT155무광/MAT156유광,2,6000,price-sticker-price-l1.csv:F6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp3,MAT162투명/MAT163홀로그램,2,6000,price-sticker-price-l1.csv:G6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A3_1판,grp1,MAT153유포/MAT084비코팅/MAT242미색,2,5000,price-sticker-price-l1.csv:H6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A3_1판,grp2,MAT155무광/MAT156유광,2,6000,price-sticker-price-l1.csv:I6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A3_1판,grp3,MAT162투명/MAT163홀로그램,2,6000,price-sticker-price-l1.csv:J6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x190_6판,grp1,MAT153유포/MAT084비코팅/MAT242미색,2,6000,price-sticker-price-l1.csv:K6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x190_6판,grp2,MAT155무광/MAT156유광,2,7000,price-sticker-price-l1.csv:L6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x190_6판,grp3,MAT162투명/MAT163홀로그램,2,7000,price-sticker-price-l1.csv:M6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,100x148_8판,grp1,MAT153유포/MAT084비코팅/MAT242미색,2,6700,price-sticker-price-l1.csv:N6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,100x148_8판,grp2,MAT155무광/MAT156유광,2,7700,price-sticker-price-l1.csv:O6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,100x148_8판,grp3,MAT162투명/MAT163홀로그램,2,7700,price-sticker-price-l1.csv:P6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x110_12판,grp1,MAT153유포/MAT084비코팅/MAT242미색,2,6700,price-sticker-price-l1.csv:Q6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x110_12판,grp2,MAT155무광/MAT156유광,2,7700,price-sticker-price-l1.csv:R6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x110_12판,grp3,MAT162투명/MAT163홀로그램,2,7700,price-sticker-price-l1.csv:S6,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp1,MAT153유포/MAT084비코팅/MAT242미색,3,5900,price-sticker-price-l1.csv:B7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp2,MAT155무광/MAT156유광,3,6900,price-sticker-price-l1.csv:C7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp3,MAT162투명/MAT163홀로그램,3,6900,price-sticker-price-l1.csv:D7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp1,MAT153유포/MAT084비코팅/MAT242미색,3,5000,price-sticker-price-l1.csv:E7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp2,MAT155무광/MAT156유광,3,6000,price-sticker-price-l1.csv:F7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp3,MAT162투명/MAT163홀로그램,3,6000,price-sticker-price-l1.csv:G7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A3_1판,grp1,MAT153유포/MAT084비코팅/MAT242미색,3,5000,price-sticker-price-l1.csv:H7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A3_1판,grp2,MAT155무광/MAT156유광,3,6000,price-sticker-price-l1.csv:I7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A3_1판,grp3,MAT162투명/MAT163홀로그램,3,6000,price-sticker-price-l1.csv:J7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x190_6판,grp1,MAT153유포/MAT084비코팅/MAT242미색,3,5800,price-sticker-price-l1.csv:K7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x190_6판,grp2,MAT155무광/MAT156유광,3,6800,price-sticker-price-l1.csv:L7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x190_6판,grp3,MAT162투명/MAT163홀로그램,3,6800,price-sticker-price-l1.csv:M7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,100x148_8판,grp1,MAT153유포/MAT084비코팅/MAT242미색,3,6500,price-sticker-price-l1.csv:N7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,100x148_8판,grp2,MAT155무광/MAT156유광,3,7500,price-sticker-price-l1.csv:O7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,100x148_8판,grp3,MAT162투명/MAT163홀로그램,3,7500,price-sticker-price-l1.csv:P7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x110_12판,grp1,MAT153유포/MAT084비코팅/MAT242미색,3,6500,price-sticker-price-l1.csv:Q7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x110_12판,grp2,MAT155무광/MAT156유광,3,7500,price-sticker-price-l1.csv:R7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x110_12판,grp3,MAT162투명/MAT163홀로그램,3,7500,price-sticker-price-l1.csv:S7,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp1,MAT153유포/MAT084비코팅/MAT242미색,4,5800,price-sticker-price-l1.csv:B8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp2,MAT155무광/MAT156유광,4,6800,price-sticker-price-l1.csv:C8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp3,MAT162투명/MAT163홀로그램,4,6800,price-sticker-price-l1.csv:D8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp1,MAT153유포/MAT084비코팅/MAT242미색,4,5000,price-sticker-price-l1.csv:E8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp2,MAT155무광/MAT156유광,4,6000,price-sticker-price-l1.csv:F8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp3,MAT162투명/MAT163홀로그램,4,6000,price-sticker-price-l1.csv:G8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A3_1판,grp1,MAT153유포/MAT084비코팅/MAT242미색,4,5000,price-sticker-price-l1.csv:H8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A3_1판,grp2,MAT155무광/MAT156유광,4,6000,price-sticker-price-l1.csv:I8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A3_1판,grp3,MAT162투명/MAT163홀로그램,4,6000,price-sticker-price-l1.csv:J8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x190_6판,grp1,MAT153유포/MAT084비코팅/MAT242미색,4,5800,price-sticker-price-l1.csv:K8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x190_6판,grp2,MAT155무광/MAT156유광,4,6800,price-sticker-price-l1.csv:L8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x190_6판,grp3,MAT162투명/MAT163홀로그램,4,6800,price-sticker-price-l1.csv:M8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,100x148_8판,grp1,MAT153유포/MAT084비코팅/MAT242미색,4,6500,price-sticker-price-l1.csv:N8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,100x148_8판,grp2,MAT155무광/MAT156유광,4,7500,price-sticker-price-l1.csv:O8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,100x148_8판,grp3,MAT162투명/MAT163홀로그램,4,7500,price-sticker-price-l1.csv:P8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x110_12판,grp1,MAT153유포/MAT084비코팅/MAT242미색,4,6400,price-sticker-price-l1.csv:Q8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x110_12판,grp2,MAT155무광/MAT156유광,4,7400,price-sticker-price-l1.csv:R8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x110_12판,grp3,MAT162투명/MAT163홀로그램,4,7400,price-sticker-price-l1.csv:S8,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp1,MAT153유포/MAT084비코팅/MAT242미색,5,5800,price-sticker-price-l1.csv:B9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp2,MAT155무광/MAT156유광,5,6800,price-sticker-price-l1.csv:C9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp3,MAT162투명/MAT163홀로그램,5,6800,price-sticker-price-l1.csv:D9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp1,MAT153유포/MAT084비코팅/MAT242미색,5,5000,price-sticker-price-l1.csv:E9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp2,MAT155무광/MAT156유광,5,6000,price-sticker-price-l1.csv:F9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp3,MAT162투명/MAT163홀로그램,5,6000,price-sticker-price-l1.csv:G9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A3_1판,grp1,MAT153유포/MAT084비코팅/MAT242미색,5,5000,price-sticker-price-l1.csv:H9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A3_1판,grp2,MAT155무광/MAT156유광,5,6000,price-sticker-price-l1.csv:I9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A3_1판,grp3,MAT162투명/MAT163홀로그램,5,6000,price-sticker-price-l1.csv:J9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x190_6판,grp1,MAT153유포/MAT084비코팅/MAT242미색,5,5800,price-sticker-price-l1.csv:K9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x190_6판,grp2,MAT155무광/MAT156유광,5,6800,price-sticker-price-l1.csv:L9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x190_6판,grp3,MAT162투명/MAT163홀로그램,5,6800,price-sticker-price-l1.csv:M9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,100x148_8판,grp1,MAT153유포/MAT084비코팅/MAT242미색,5,6400,price-sticker-price-l1.csv:N9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,100x148_8판,grp2,MAT155무광/MAT156유광,5,7400,price-sticker-price-l1.csv:O9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,100x148_8판,grp3,MAT162투명/MAT163홀로그램,5,7400,price-sticker-price-l1.csv:P9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x110_12판,grp1,MAT153유포/MAT084비코팅/MAT242미색,5,6300,price-sticker-price-l1.csv:Q9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x110_12판,grp2,MAT155무광/MAT156유광,5,7300,price-sticker-price-l1.csv:R9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,90x110_12판,grp3,MAT162투명/MAT163홀로그램,5,7300,price-sticker-price-l1.csv:S9,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp1,MAT153유포/MAT084비코팅/MAT242미색,6,5700,price-sticker-price-l1.csv:B10,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp2,MAT155무광/MAT156유광,6,6700,price-sticker-price-l1.csv:C10,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A5_124x186_4판,grp3,MAT162투명/MAT163홀로그램,6,6700,price-sticker-price-l1.csv:D10,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp1,MAT153유포/MAT084비코팅/MAT242미색,6,5000,price-sticker-price-l1.csv:E10,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp2,MAT155무광/MAT156유광,6,6000,price-sticker-price-l1.csv:F10,장당단가형(.01) ×주문수량
B01,반칼자유형(공유:반칼/투명/홀로그램+원형/정사각/직사각/띠지/팬시/소량),siz_cd×mat×qty(이산단가형),고정가by-siz_cd,A4_2판,grp3,MAT162투명/MAT163홀로그램,6,6000,price-sticker-price-l1.csv:G10,장당단가형(.01) ×주문수량
