id,axis,product_or_formula,authority_value,live_value,defect_type,severity,root_cause,fix_route,evidence
C3-D01,1-price,FOMEXBOARD/COMP_POSTER_FOMEXBOARD_WHITE3MM A3(SIZ_000315),8300,8500,WRONG,HIGH,본체 단가 오적재(권위 마스터 포맥스보드 A3=8300원 vs 라이브 8500원 200원 과대),dbmap 단가행 교정(unit_price 8500->8300),"silsa-l1 포맥스보드 A3 price=8300.0 / live cp comp=COMP_POSTER_FOMEXBOARD_WHITE3MM siz=SIZ_000315 unit_price=8500"
C3-D02,1-price,FOMEXBOARD/COMP_POSTER_FOMEXBOARD_WHITE3MM A2(SIZ_000317),11500,13000,WRONG,HIGH,본체 단가 오적재(권위 마스터 포맥스보드 A2=11500원 vs 라이브 13000원 1500원 과대),dbmap 단가행 교정(unit_price 13000->11500),"silsa-l1 포맥스보드 A2 price=11500.0 / live cp siz=SIZ_000317 unit_price=13000"
C3-D03,1-price,BANNER_NORMAL/COMP_POSTER_BANNER_NORMAL 1750mm 세로밴드,세로=900/1000/1200/1500(권위 4밴드),세로=...+1750(5밴드 16행 잉여),EXTRA,HIGH,"권위 B26 일반현수막 세로 4밴드(900/1000/1200/1500)뿐인데 라이브에 1750mm 밴드 16행 추가 적재(권위 미존재 단가·견적 시 잘못된 구간 선택 위험)",dbmap 1750 밴드 16행 삭제 또는 권위 재확인,"price-poster-sign B26 widths=[900,1000,1200,1500] / live COMP_POSTER_BANNER_NORMAL siz_height=1750 16행 존재"
C3-D04,1-price,FOMEXBOARD A1(SIZ_000294=A1),20000,(부재),MISSING,MED,권위 포맥스보드 A1=20000원 단가행 미적재(A1 사이즈 견적 불가),dbmap A1 단가행 추가,"silsa-l1 포맥스보드 A1(594x841) price=20000.0 / live comp 행에 SIZ_000294 없음(FOAMBOARD엔 있음)"
C3-D05,1-price,FRAMELESS/COMP_POSTER_FRAMELESS_WOOD A1(SIZ_000317->A1),35000,(부재),MISSING,MED,포스터사인 B12 프레임리스우드액자 A1=35000 미적재(A1 견적 불가),dbmap A1 단가행 추가,"price-poster-sign B13 사이즈/수량 A1=35000 / live COMP_POSTER_FRAMELESS_WOOD A3=16000,A2=23000만(A1 없음)"
C3-D06,1-price,LEATHER_FRAME/COMP_POSTER_LEATHER_FRAME 소형4사이즈,5x5=9000;5x7=10000;8x8=11000;8x10=13000,(부재 4사이즈),MISSING,MED,포스터사인 B14 레더아트액자 6사이즈 중 소형 4사이즈 미적재(A4/A3만 적재),dbmap 소형 4사이즈 단가행 추가,"price-poster-sign B15 5x5/5x7/8x8/8x10/A4/A3=9000/10000/11000/13000/16000/21000 / live LEATHER_FRAME SIZ_000258(A4)=16000,SIZ_000315(A3)=21000만"
C3-D07,1-price,JOKJA/COMP_POSTER_JOKJA A1(SIZ A1),22000,(부재),MISSING,MED,포스터사인 B16 족자포스터 A1=22000 미적재(A3/A2/300x600/900x1200만 적재),dbmap A1 단가행 추가,"price-poster-sign B17 A3/A2/A1/300*600/900*1200=13000/15000/22000/15000/32000 / live JOKJA 4행(A1 누락)"
C3-D08,1-price,BANNER_M/COMP_POSTER_BANNER_MESH 세로900 2셀,가로1200x세로900;가로5000x세로900,(부재 2셀),MISSING,MED,권위 B27 메쉬현수막 48셀 중 2셀 미적재(라이브 46행),dbmap 2셀 추가,"price-poster-sign B27 cells=48 / live COMP_POSTER_BANNER_MESH=46(missing 가로1200/5000 x 세로900)"
C3-D09,1-price,BANNER_N/COMP_POSTER_BANNER_NORMAL 가로5000x세로900,36000,(부재),MISSING,MED,권위 B26 64셀 중 5000x900 1셀 미적재,dbmap 1셀 추가,"price-poster-sign B26 가로5000 세로900=36000 / live BANNER_NORMAL 해당셀 부재"
C3-D10,3-bind,POSTER_FIXED,완제품가 조회 fallback 공식(소재무관),0 바인딩 use_yn=Y,UNBOUND,LOW,소재별 PRF_POSTER_<MATERIAL> 28공식이 대체구현하여 POSTER_FIXED는 미사용 스캐폴드(결함 아님·정리대상),dbmap use_yn=N 논리비활성 또는 유지,"t_prc_price_formulas PRF_POSTER_FIXED note=포스터사인 완제품가 fallback / 바인딩 0건"
C4-D01,wiring,PRF_BIND_SUM,"4종 책자 각 고유 제본(중철/무선/PUR/트윈링)","COMP_BIND_JUNGCHEOL 단 1개만 배선(중철 PROC_000018)",WRONG,HIGH,"다종-1배선: 무선/PUR/트윈링 책자가 중철 단가만 매칭 가능. proc 불일치시 제본비 0 silent skip(과소) 또는 중철로 오청구(PUR ~5배 과소)","dbmap: 상품별 공식분리 또는 상품별 bind comp 배선(MUSEON/PUR/TWINRING 단가행 이미 존재)·인간승인","t_prc_formula_components WHERE frm_cd='PRF_BIND_SUM' → COMP_BIND_JUNGCHEOL 1행; 바인딩 4상품 068-071"
C4-D02,wiring,PRF_FOLD_SUM,"접지리플렛=리플렛 접지(3단/4단/반접지 등)","COMP_FOLD_CARD_2H(카드 2단)만 배선",WRONG,HIGH,"리플렛인데 카드2단 접지비 배선. LEAF 접지 comp(3FOLD/4ACC/4GATE/HALF 각48행) 미배선. PRD_000048 옵션그룹0=접지종류 선택불가","dbmap: COMP_FOLD_LEAF_* 배선+접지옵션 그룹 추가·인간승인","t_prc_formula_components WHERE frm_cd='PRF_FOLD_SUM' → COMP_FOLD_CARD_2H 1행; PRD_000048 opt_groups=0"
C4-D03,binding,아크릴 23상품,"각 아크릴 상품 가격공식 보유","바인딩 0(공식 미연결)",UNBOUND,HIGH,"아크릴 26상품 중 3개만 바인딩(142/143/146). 마그넷·뱃지·명찰·코롯토·쉐이커 등 23상품 견적불가","dbmap/§18: 공식 설계+바인딩·인간승인","t_prd_products 아크릴26 LEFT JOIN price_formulas → bound 3"
C4-D04,binding,PRF_COROTTO_ACRYL,"코롯토 상품(164/165/168/226) 바인딩","바인딩 0(고아 공식)",UNBOUND,HIGH,"PRF_COROTTO_ACRYL(use_yn=Y)+COMP_ACRYL_COROTTO(21행 면적매트릭스) 완비됐으나 상품-공식 바인딩만 누락. '마지막 한 칸'","dbmap: 코롯토 4상품 PRF_COROTTO_ACRYL 바인딩·인간승인","t_prd_product_price_formulas WHERE frm_cd='PRF_COROTTO_ACRYL' → 0행; 코롯토 상품 전부 (none)"
C4-D05,wiring,COMP_ACRYL_MIRROR3T,"미러아크릴 사용상품 배선/바인딩","52행 적재·미배선·미바인딩(고아)",EXTRA,HIGH,"미러아크릴3T 단가(권위 B03 =B3*2) 적재됐으나 어느 공식·상품에도 미연결. 데이터 사장",dbmap: 미러아크릴 상품 식별 후 공식 배선 또는 use_yn=N 정리·인간승인,"t_prc_formula_components WHERE comp_cd='COMP_ACRYL_MIRROR3T' → 0행; comp_prices 52행"
C4-D06,binding,PRD_000070 PUR책자,"정상 책자 옵션그룹(사이즈/내지/표지/제본 등 9개)","OPT-000011 'Test' 단 1개(스텁)",MISSING,HIGH,"PUR책자가 미완성 상품. 옵션 선택 불가→견적 불가. D01 제본 배선결함과 중복","dbmap/§7: 069 무선책자 옵션구조 복제+PUR화·인간승인","t_prd_product_option_groups WHERE prd_cd='PRD_000070' → OPT-000011 'Test' 1행"
C4-D07,wiring,PRF_CLR_ACRYL,"키링 본체+키링고리 부속비","COMP_ACRYL_CLEAR3T(본체)만 배선",MISSING,MED,"키링고리(COMP_ACRYL_KEYRING) 후가공/부속 addtn 미배선 의심. 별도 템플릿경로 미확인",§23/§7: 키링 부속 배선경로 확인·인간승인,"t_prc_formula_components WHERE frm_cd='PRF_CLR_ACRYL' → COMP_ACRYL_CLEAR3T 1행(addtn_yn=N)"
C4-D08,data,COMP_BIND_TWINRING,"트윈링 단가 1벌","4 proc(PROC_000018~021) 4벌 적재(32행)",DUP,MED,"트윈링 comp에 4종 제본단가 전부 복제. 값은 각 proc=정확하나 매칭 오선택 위험(잉여 3벌)",dbmap: 트윈링 proc(PROC_000021)만 보존 검토·인간승인,"t_prc_component_prices WHERE comp_cd='COMP_BIND_TWINRING' → 32행 4 proc"
C4-D09,data,COMP_ACRYL_CLEAR3T,"대칭 면적매트릭스 전조합","w<=h 131행+w>h 34행=165(부분 대칭저장)",WRONG,MED,"완전 대칭 아니라 일부만 양방향. 특정 w>h 조합 매칭 누락 가능. 스폿 OK",dbmap: 대각 전수 무결성 검증·인간승인,"t_prc_component_prices comp_cd='COMP_ACRYL_CLEAR3T' tri 분포 131/34"
C4-D10,data,COMP_PHOTOCARD_SET/CLEAR_SET,"세트당 고정단가 6000/8500 verbatim","6000/8500(모델 정합·셀 원천 미수록)",MISSING,MED,"고정세트가 모델은 권위 정합하나 6000/8500 셀단위 verbatim 추출본 미수록",상품마스터 가격포함 시트 원본 셀 확인,"calc-formula-draft '[고정가형 포토카드] 판매가=[세트당 고정단가]'; comp_prices 각 1행"
C4-D11,positive,PRF_PHOTOCARD_FIXED,"NORMAL/CLEAR 공식분리(silent-sum 방지)","use_yn=N 폐기(SET+CLEAR_SET 합산 공식 비활성)",NONE,LOW,"260623 V3 교정의 정상 결과. NORMAL/CLEAR 분리로 silent 이중합산 제거됨. 결함 아님(정합 근거)",없음(정상),"frm_cd='PRF_PHOTOCARD_FIXED' use_yn=N; NORMAL→SET·CLEAR→CLEAR_SET 분리 배선"
C4-D12,scope,COMP_COAT_MATTE,"책자 표지코팅 배선","PRF_DGP_A/D/E(디지털인쇄)에 배선·C4 아님",NONE,LOW,"코팅 92행은 디지털인쇄(C1) 사슬. 책자 표지코팅(중철책자 무광/유광코팅) 가격 배선여부는 별개 추후",§23: 책자 표지코팅 가격경로 확인,"t_prc_formula_components WHERE comp_cd='COMP_COAT_MATTE' → PRF_DGP_* only"
C5-D1,wiring,PRF_PCB_FIXED / COMP_PCB_S1_30P+S2_30P,"30P 페이지 선택 시 30P 단가(예 SIZ_000003 단면 min100=5100)로 견적","30P comp 미배선(고아)→엔진이 20P comp만 매칭→20P 단가(4500)로 silent 견적=장당 600원 저청구",UNBOUND,HIGH,"페이지(20P/30P)가 어떤 comp use_dims에도 없고(comp 식별자로만 구분) PRF_PCB_FIXED에 20P comp 2종만 배선. 30P 선택해도 엔진이 20P로 fallback 매칭→under-charge(견적불가 아님·silent).","§18 가격엔진설계/dbmap: 30P comp 배선(disp_seq 3·4)+페이지 차원→공식분기+★30P comp에 print_opt_cd 차원 보강(미보강 시 이중합산 활성). 인간 승인. set 적재본 범위 밖.","live: formula_components(PRF_PCB_FIXED)=S1_20P/S2_20P 2건만·S1_30P/S2_30P 0행(고아). S1_20P min100=4500 vs S1_30P min100=5100(권위 verbatim 동일). 100부=60000원 손실."
C5-D2,wiring,COMP_PCB_S1_30P / S2_30P (잠재),"30P 양면 주문 시 양면 단가 1건만","use_dims=[siz_cd,min_qty]에 print_opt_cd 미포함+단가행 print_opt NULL 전건→배선 시 단면/양면 무관 S1_30P·S2_30P 둘 다 매칭→S1+S2 silent 이중합산(R-3 활성)",WRONG,MED,"20P comp는 round-16 이후 print_opt_cd 차원 보강받아 배타 매칭 성립했으나 30P comp는 보강 누락→무차원 와일드카드. 현재 미배선이라 미트리거(잠재).","C5-D1 교정 시 동시 처리: 30P 배선과 함께 print_opt_cd 차원+단가행 print_opt 채우기(20P 패턴). §18/dbmap.","live: S1_30P/S2_30P print_opt_cd NULL 전건·use_dims=[siz_cd,min_qty]. 가정검증 SIZ_000003 min<=100: S1_30P 14행·S2_30P 14행(둘다 매칭). pricing.py _row_matches NULL=와일드카드."
C5-N1,drift,PRD_000094 binding/composition,"set-verdict CONDITIONAL GO(미적재)·round-16 094 바인딩 0행","094→PRF_PCB_FIXED 바인딩 실재·구성원95/96 보정·prd_typ 04→01 교정 모두 라이브 적용됨",NA,LOW,"검증 입력 문서(현황판 '094=결함보유'·round-16)가 stale. 094 set 설계가 그 후 COMMIT됨. 094 잔여 결함=30P 1건뿐(바인딩/구성/유형은 정합).","문서 갱신만(현황판 094 상태=20P정합+30P결함으로 정정). 데이터 변경 0.","live BIND: PRD_000094|PRF_PCB_FIXED|2026-06-01. SETMEMBER094: 95(min20/max30/incr10·disp1)·96(disp2). PRD094_TYPE=PRD_TYPE.01."
C5-N2,drift,COMP_PCB_S1_20P / S2_20P use_dims,"round-16 분해·import 워크북 use_dims=[siz_cd,min_qty]·print_opt 전건 빈칸","use_dims=[siz_cd,min_qty,print_opt_cd]·단가행 print_opt 채워짐(S1=POPT_000001/S2=POPT_000002 전건)",NA,LOW,"20P comp가 round-16 이후 print_opt_cd 차원 보강받음(배타 매칭 성립→R-3 20P 해소). 데이터 진화·결함 아님. 현황판 R-3 진술은 20P에 한해 false-positive.","문서 정정(R-3는 20P 미적용·30P 잠재로 분리). 데이터 변경 0.","live: COMP_PCB_S1_20P use_dims=[siz_cd,min_qty,print_opt_cd]. import 워크북 4_component_prices_RU print_opt 전건 None. 양면선택 S1_20P 매칭=0(배타)."
