화면,매뉴얼 원문 위치,요소(설명 발췌),selector,경로,경로 종류,실측 결과,data-owner,data-work,note
[webadmin] 기준정보 › 카테고리 › category_master_main,manual_content.py:425,편집 — 카테고리 변경 폼(팝업).,.edit,/admin/category-master/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 기준정보 › 카테고리 › category_master_main,manual_content.py:426,삭제 — 논리삭제.,.del,/admin/category-master/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 기준정보 › 자재·공정·기초코드 (마스터-디테일) › master_mat,manual_content.py:437,검색 — 좌측 상위(부모) 목록을 좁힙니다.,#srch,/admin/master/mat/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/master/mat/@2026-09-17 07:56:40),huni,dev,선행조작: click .row
[webadmin] 기준정보 › 자재·공정·기초코드 (마스터-디테일) › master_mat,manual_content.py:438,좌측 행 — 선택하면 오른쪽에 하위 항목 표가 나타납니다.,.row,/admin/master/mat/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/master/mat/@2026-09-17 07:56:40),huni,dev,선행조작: click .row
[webadmin] 기준정보 › 자재·공정·기초코드 (마스터-디테일) › master_mat,manual_content.py:439,+ 추가 — 상위/하위 항목을 팝업으로 추가합니다(하위 추가 시 상위 자동 지정).,.add,/admin/master/mat/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 기준정보 › 자재·공정·기초코드 (마스터-디테일) › master_mat,manual_content.py:440,편집 — 항목 변경 폼(팝업).,.edit,/admin/master/mat/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 기준정보 › 자재·공정·기초코드 (마스터-디테일) › master_proc,manual_content.py:446,사용 상품 — 그 공정을 실제로 쓰고 있는 상품이 몇 개인지입니다(2026-09-14 신설). 연초록 배지로 표시되고 0이면 빈칸입니다. 「이 공정을 지워도 되나 · 이름을 바꿔도 되나」를 판단할 때 먼저 보는 숫자,text=사용 상품,/admin/master/proc/,읽기+쓰기,동작확인(https://huni-admin.printly.co.kr/admin/master/proc/@2026-09-17 07:56:44),huni,dev,쓰기 부분 dev 필요
[webadmin] 기준정보 › 자재·공정·기초코드 (마스터-디테일) › master_proc,manual_content.py:455,"배지를 누르면 상품 목록 팝업이 열립니다 — 상품명·상품코드와 「연결 부분」(어느 갈래로 걸려 있는지) 배지가 나오고, 상품명을 누르면 상품 뷰어가 새 탭으로 열립니다. 읽기 전용이라 목록이 바뀌지 않습니다.",.badge.cnt,/admin/master/proc/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/master/proc/@2026-09-17 07:56:44),huni,dev,
[webadmin] 기준정보 › 자재·공정·기초코드 (마스터-디테일) › master_proc_spine,manual_content.py:473,여유분 (mm) — 계산된 내지 두께에 더하는 값.,#spMgn,/admin/spine-calc/PROC_000021/page/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/spine-calc/PROC_000021/page/@2026-09-17 07:56:47),huni,dev,선행조작: wait_for(생략)
[webadmin] 기준정보 › 자재·공정·기초코드 (마스터-디테일) › master_proc_spine,manual_content.py:474,올림 방식 — 정수 올림·짝수 올림·규격표 올림 중 선택.,#spRnd,/admin/spine-calc/PROC_000021/page/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/spine-calc/PROC_000021/page/@2026-09-17 07:56:47),huni,dev,선행조작: wait_for(생략)
[webadmin] 기준정보 › 자재·공정·기초코드 (마스터-디테일) › master_proc_spine,manual_content.py:475,표지 두께 포함 — Y면 표지 용지 두께까지 더해 책등을 잡습니다.,#spCover,/admin/spine-calc/PROC_000021/page/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/spine-calc/PROC_000021/page/@2026-09-17 07:56:47),huni,dev,선행조작: wait_for(생략)
[webadmin] 기준정보 › 자재·공정·기초코드 (마스터-디테일) › master_proc_spine,manual_content.py:476,규격표 저장 — 색상·직경·길이·자재 행을 저장합니다.,#spBtnSaveSpecs,/admin/spine-calc/PROC_000021/page/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 기준정보 › 자재·공정·기초코드 (마스터-디테일) › master_proc_spine,manual_content.py:478,표지 규칙 — 책(본품) 사이즈에서 표지 종이 크기를 계산하는 규칙입니다.,#cvWrap,/admin/spine-calc/PROC_000021/page/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/spine-calc/PROC_000021/page/@2026-09-17 07:56:47),huni,dev,선행조작: wait_for(생략)
[webadmin] 기준정보 › 자재·공정·기초코드 (마스터-디테일) › master_proc_spine,manual_content.py:479,권당 조각 수 — 펼침 1·낱장 2. 표지 수량 = 부수 × 이 값.,#cvPcs,/admin/spine-calc/PROC_000021/page/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/spine-calc/PROC_000021/page/@2026-09-17 07:56:47),huni,dev,선행조작: wait_for(생략)
[webadmin] 기준정보 › 자재·공정·기초코드 (마스터-디테일) › master_proc_spine,manual_content.py:480,사용 여부 — 「사용 중」/「꺼짐」. 저장은 이 값을 바꾸지 않습니다.,#cvChip,/admin/spine-calc/PROC_000021/page/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 가격 관리 › 가격 뷰어 › price_viewer_main,manual_content.py:493,상품 검색 — 좌측 상품 트리를 좁힙니다.,#qv-q,/admin/price-viewer/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/price-viewer/@2026-09-17 07:56:54),huni,dev,선행조작: click .qv-item
[webadmin] 가격 관리 › 가격 뷰어 › price_viewer_main,manual_content.py:391,상품 클릭 — 오른쪽에 그 상품의 가격 구성(직접단가/공식/할인)이 표시됩니다.,.qv-item,/admin/price-viewer/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/price-viewer/@2026-09-17 07:56:54),huni,dev,선행조작: click .qv-item
[webadmin] 가격 관리 › 가격 뷰어 › price_viewer_main,manual_content.py:495,가격 구조 보기 — 공식→구성요소→단가표 구조를 다이어그램으로 새 탭에 엽니다.,text=가격 구조 보기,/admin/price-viewer/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/price-viewer/@2026-09-17 07:56:54),huni,dev,선행조작: click .qv-item
[webadmin] 가격 관리 › 가격 뷰어 › price_viewer_main,manual_content.py:496,직접단가/가격공식/할인테이블을 적용일자와 함께 연결합니다.,text=직접단가,/admin/price-viewer/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 가격 관리 › 가격 뷰어 › price_viewer_main,manual_content.py:497,"할인 적용 대상 — 비우면 전체 금액 할인, 구성요소를 고르면 그 부품 금액에만 할인(예: 인쇄가공비만).",#dsc-comp,/admin/price-viewer/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 가격 관리 › 가격 뷰어 › price_diagram,manual_content.py:504,단가표 편집 ↗ — 해당 구성요소의 단가표 그리드를 새 탭에서 엽니다.,text=단가표 편집,/admin/price-viewer/{code}/diagram/,읽기,동작확인(/admin/price-viewer/PRD_000145/diagram/@2026-09-17 08:25:24 KST),huni,dev,
[webadmin] 가격 관리 › 가격 시뮬레이터 › price_simulator_main,manual_content.py:515,상품 검색 — 시뮬레이션할 상품을 찾습니다.,#sim-q,/admin/price-simulator/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/price-simulator/@2026-09-17 07:57:01),huni,dev,선행조작: click .pitem
[webadmin] 가격 관리 › 가격 시뮬레이터 › price_simulator_main,manual_content.py:516,상품 선택 — 가운데에 그 상품의 입력 조건(차원·옵션·공정·수량)이 생성됩니다.,.pitem,/admin/price-simulator/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/price-simulator/@2026-09-17 07:57:01),huni,dev,선행조작: click .pitem
[webadmin] 가격 관리 › 가격 시뮬레이터 › price_simulator_main,manual_content.py:517,수량 — 필수. 수량 구간 할인이 여기에 적용됩니다.,#sc-qty,/admin/price-simulator/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 가격 관리 › 가격 시뮬레이터 › price_simulator_main,manual_content.py:518,가격 계산 ▶ — 입력 조건으로 구성요소별 단가·할인·총합계를 계산해 우측에 표시합니다.,text=가격 계산,/admin/price-simulator/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/price-simulator/@2026-09-17 07:57:01),huni,dev,선행조작: click .pitem
[webadmin] 가격 관리 › 가격공식 (MD) › price_formula_md_main,manual_content.py:548,검색 — 좌측 공식 목록을 좁힙니다.,#srch,/admin/price-formula-md/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/price-formula-md/@2026-09-17 07:57:08),huni,dev,선행조작: click .row
[webadmin] 가격 관리 › 가격공식 (MD) › price_formula_md_main,manual_content.py:549,+ 새 공식 — 새 가격공식을 추가합니다.,#addBtn,/admin/price-formula-md/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 가격 관리 › 가격공식 (MD) › price_formula_md_main,manual_content.py:438,좌측 행 — 선택하면 오른쪽에 그 공식의 편집 폼(구성요소 포함)이 열립니다.,.row,/admin/price-formula-md/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/price-formula-md/@2026-09-17 07:57:08),huni,dev,선행조작: click .row
[webadmin] 가격 관리 › 가격공식 (MD) › price_formula_md_main,manual_content.py:551,삭제 — 공식을 삭제합니다.,#delBtn,/admin/price-formula-md/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 가격 관리 › 가격구성요소 (MD) › price_component_md_main,manual_content.py:584,좌측 행 — 구성요소를 선택합니다.,.row,/admin/price-component-md/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/price-component-md/@2026-09-17 07:57:15),huni,dev,선행조작: click .row
[webadmin] 가격 관리 › 가격구성요소 (MD) › price_component_md_main,manual_content.py:585,단가표 편집 — 차원별 단가를 그리드 팝업으로 편집합니다.,text=단가표 편집,/admin/price-component-md/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/price-component-md/@2026-09-17 07:57:15),huni,dev,선행조작: click .row
[webadmin] 가격 관리 › 가격구성요소 (MD) › price_component_md_main,manual_content.py:586,+ 새 구성요소 — 구성요소를 추가합니다.,#addBtn,/admin/price-component-md/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 가격 관리 › 가격구성요소 (MD) › comp_price_grid,manual_content.py:593,변경분 저장 — 편집한 단가를 DB에 반영합니다.,text=변경분 저장,/admin/price-viewer/comp/{code}/edit/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 가격 관리 › 가격구성요소 (MD) › comp_price_grid,manual_content.py:594,+ 빈 행 10개 — 새 단가 행을 추가합니다.,text=빈 행,/admin/price-viewer/comp/{code}/edit/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 가격 관리 › 가격구성요소 (MD) › comp_price_grid,manual_content.py:595,선택영역 새 적용일로 개정 — 선택 단가를 새 적용일자로 복제(시계열 개정).,text=새 적용일로 개정,/admin/price-viewer/comp/{code}/edit/,읽기+쓰기,동작확인(/admin/price-viewer/comp/COMP_ACC_ENV_OPP_NADH/edit/@2026-09-17 08:25:21 KST),huni,dev,쓰기 부분 dev 필요
[webadmin] 가격 관리 › 가격구성요소 (MD) › comp_price_grid,manual_content.py:596,⚠ 중복 검사 — 같은 차원에 중복 단가가 있는지 점검합니다.,text=중복 검사,/admin/price-viewer/comp/{code}/edit/,읽기,동작확인(/admin/price-viewer/comp/COMP_ACC_ENV_OPP_NADH/edit/@2026-09-17 08:25:21 KST),huni,dev,
[webadmin] 가격 관리 › 할인테이블 (MD) › discount_table_md_main,manual_content.py:610,검색 — 좌측 할인테이블 목록을 좁힙니다.,#srch,/admin/discount-table-md/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/discount-table-md/@2026-09-17 07:57:21),huni,dev,선행조작: click .row
[webadmin] 가격 관리 › 할인테이블 (MD) › discount_table_md_main,manual_content.py:611,+ 새 할인테이블 — 새 테이블을 추가합니다(저장 후 구간 그리드 활성).,#addBtn,/admin/discount-table-md/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 가격 관리 › 할인테이블 (MD) › discount_table_md_main,manual_content.py:438,좌측 행 — 선택하면 오른쪽에 폼·사용 상품·구간 그리드가 표시됩니다.,.row,/admin/discount-table-md/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/discount-table-md/@2026-09-17 07:57:21),huni,dev,선행조작: click .row
[webadmin] 가격 관리 › 할인테이블 (MD) › disc_grid,manual_content.py:621,변경분 저장 — 수량 구간별 할인을 저장합니다.,text=변경분 저장,/admin/discount/{code}/edit/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 위젯 › 위젯빌더 › widget_builder_main,manual_content.py:641,상품 선택 — 위젯을 만들 상품을 고릅니다.,#wb-prd-host,/admin/widget-builder/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/widget-builder/?prd=PRD_000069&wgt=WGT_000288@2026-09-17 07:57:29),huni,dev,
[webadmin] 위젯 › 위젯빌더 › widget_builder_main,manual_content.py:642,팔레트 — 이 상품이 쓸 수 있는 부품(상품 설정에서 옵니다).,#wb-pal,/admin/widget-builder/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/widget-builder/?prd=PRD_000069&wgt=WGT_000288@2026-09-17 07:57:29),huni,dev,
[webadmin] 위젯 › 위젯빌더 › widget_builder_main,manual_content.py:643,캔버스 — 실제 배치.,#wb-canvas,/admin/widget-builder/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/widget-builder/?prd=PRD_000069&wgt=WGT_000288@2026-09-17 07:57:29),huni,dev,
[webadmin] 위젯 › 위젯빌더 › widget_builder_main,manual_content.py:644,속성창 — 선택한 항목의 설정.,#wb-props,/admin/widget-builder/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/widget-builder/?prd=PRD_000069&wgt=WGT_000288@2026-09-17 07:57:29),huni,dev,
[webadmin] 위젯 › 위젯빌더 › widget_builder_main,manual_content.py:645,게시 — 이 순간의 구성을 버전으로 굳혀 고객 화면에 내보냅니다.,#wb-publish,/admin/widget-builder/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 상품 › 상품별 Edicus 템플릿 연결 › edicus_template_main,manual_content.py:686,검색 — 좌측 판매 완제품 목록을 좁힙니다.,#srch,/admin/edicus-template-md/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/edicus-template-md/@2026-09-17 07:57:38),huni,dev,선행조작: click #list .row
[webadmin] 상품 › 상품별 Edicus 템플릿 연결 › edicus_template_main,manual_content.py:687,"상품 클릭 — 오른쪽에 사용차원과 템플릿 시트가 열립니다(파란 배지=등록된 템플릿 행 수, 빨간 ⚠ 배지=편집기가 안 열리는 조합 수).",#list .row,/admin/edicus-template-md/,읽기+쓰기,동작확인(https://huni-admin.printly.co.kr/admin/edicus-template-md/@2026-09-17 07:57:38),huni,dev,선행조작: click #list .row / 쓰기 부분 dev 필요
[webadmin] 상품 › 상품별 Edicus 템플릿 연결 › edicus_template_main,manual_content.py:688,① 사용차원 — 칩을 클릭해 왼↔오로 옮깁니다. 오른쪽 순서가 곧 시트의 열 순서입니다.,.chip,/admin/edicus-template-md/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/edicus-template-md/@2026-09-17 07:57:38),huni,dev,선행조작: click #list .row
[webadmin] 상품 › 상품별 Edicus 템플릿 연결 › edicus_template_main,manual_content.py:392,🔄 조합 생성/갱신 — 고른 차원의 모든 조합을 시트에 깝니다(기존 입력 유지).,#genBtn,/admin/edicus-template-md/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/edicus-template-md/@2026-09-17 07:57:38),huni,dev,선행조작: click #list .row
[webadmin] 상품 › 상품별 Edicus 템플릿 연결 › edicus_template_main,manual_content.py:690,저장 — 시트 전체를 저장합니다. PSCode·URI 둘 다 채워야 합니다.,#saveBtn,/admin/edicus-template-md/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 상품 › 상품별 Edicus 템플릿 연결 › edicus_template_main,manual_content.py:691,연결 — ⚠ 인 줄은 편집기가 열리지 않습니다. 칸에 마우스를 올리면 이유가 나옵니다.,#ss-wrap thead td:nth-child(2),/admin/edicus-template-md/,읽기+쓰기,동작확인(https://huni-admin.printly.co.kr/admin/edicus-template-md/@2026-09-17 07:57:38),huni,dev,선행조작: click #list .row / 쓰기 부분 dev 필요
[webadmin] 상품 › 상품별 기본사양가 › start_price_main,manual_content.py:726,상태 필터 — 전체/자동/수기만/없음(실패). '없음'이 곧 숙제 목록입니다.,#spx-tabs,/admin/start-price/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/start-price/@2026-09-17 07:57:42),huni,dev,
[webadmin] 상품 › 상품별 기본사양가 › start_price_main,manual_content.py:727,검색 — 상품명·코드.,#spx-q,/admin/start-price/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/start-price/@2026-09-17 07:57:42),huni,dev,
[webadmin] 상품 › 상품별 기본사양가 › start_price_main,manual_content.py:728,수기 금액·기준수량 — 입력 후 [수기 저장]. 금액을 비우고 저장하면 수기 해제.,input.mi,/admin/start-price/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 상품 › 상품별 기본사양가 › start_price_main,manual_content.py:729,[수기 저장] / [지금 다시 계산] — 재계산은 그 상품만 즉시 다시 계산합니다.,button.act,/admin/start-price/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 상품 › 상품별 디자인 › design_md_main,manual_content.py:768,상품 검색 — 배지 숫자는 등록된 디자인 수.,#dsn-srch,/admin/design-md/,읽기+쓰기,동작확인(https://huni-admin.printly.co.kr/admin/design-md/@2026-09-17 07:57:48),huni,dev,선행조작: click #dsn-plist .row / 쓰기 부분 dev 필요
[webadmin] 상품 › 상품별 디자인 › design_md_main,manual_content.py:769,[+ 디자인 추가] — 팝업에서 썸네일 업로드·PSCode·URI·태그·고정 사양·표시여부를 입력합니다.,#dsn-add,/admin/design-md/,읽기+쓰기,동작확인(https://huni-admin.printly.co.kr/admin/design-md/@2026-09-17 07:57:48),huni,dev,선행조작: click #dsn-plist .row / 쓰기 부분 dev 필요
