sheet,block_id,title,geometry,band_depth,n_rows,n_cols,n_cells,header_row,source_file,notes
명함포토카드,B05,투명명함,declared,2,1,1,1,30,price-namecard-photocard-l1.csv,
명함포토카드,B06,화이트인쇄명함 (큐리어스스킨),declared,2,1,1,0,37,price-namecard-photocard-l1.csv,
명함포토카드,B07,모양명함 (90x50),declared,2,1,2,2,44,price-namecard-photocard-l1.csv,
명함포토카드,B08,미니모양명함 (50x50),declared,2,1,2,2,51,price-namecard-photocard-l1.csv,
명함포토카드,B09,오리지널박명함,declared,3,9,2,18,58,price-namecard-photocard-l1.csv,
명함포토카드,B10,포토카드(20장1세트),declared,1,3,0,0,75,price-namecard-photocard-l1.csv,
명함포토카드,B11,투명포토카드(20장1세트),declared,1,1,1,1,75,price-namecard-photocard-l1.csv,
명함포토카드,B12,포토카드(대랑제작),declared,1,50,1,50,83,price-namecard-photocard-l1.csv,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",declared,1,9,2,18,2,price-post-process-l1.csv,
인쇄후가공,B02,100장당 1000원씩 올립니다.,unresolved,0,0,0,0,,price-post-process-l1.csv,header_rows 비어 있음 — 기하 미확정
인쇄후가공,B03,오시 (합가),declared,1,11,4,70,16,price-post-process-l1.csv,
인쇄후가공,B04,가변(텍스트),declared,1,24,3,72,33,price-post-process-l1.csv,
인쇄후가공,B05,가변(이미지),declared,1,24,4,96,33,price-post-process-l1.csv,
엽서북떡메,B01,엽서북,declared,3,40,12,480,2,price-postcard-book-l1.csv,
엽서북떡메,B02,떡메모지,recovered,1,0,2,0,48,price-postcard-book-l1.csv,"data_start_row=None — header_rows[0]=48 만 헤더로 복구, 데이터행 0개"
엽서북떡메,B03,장수 / 수량,unresolved,0,0,0,0,,price-postcard-book-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B01,아트프린트포스터 (인화지),recovered,1,13,4,52,2,price-poster-sign-l1.csv,"data_start_row=None — header_rows[0]=2 만 헤더로 복구, 데이터행 13개"
포스터사인,B02,아트페이퍼포스터 (매트지),recovered,1,13,3,39,19,price-poster-sign-l1.csv,"data_start_row=None — header_rows[0]=19 만 헤더로 복구, 데이터행 13개"
포스터사인,B03,방수포스터 (PET),recovered,1,13,4,52,36,price-poster-sign-l1.csv,"data_start_row=None — header_rows[0]=36 만 헤더로 복구, 데이터행 13개"
포스터사인,B04,접착방수포스터 (PVC),recovered,1,13,4,52,53,price-poster-sign-l1.csv,"data_start_row=None — header_rows[0]=53 만 헤더로 복구, 데이터행 13개"
포스터사인,B05,접착투명포스터 (투명PVC),recovered,1,13,4,52,70,price-poster-sign-l1.csv,"data_start_row=None — header_rows[0]=70 만 헤더로 복구, 데이터행 13개"
포스터사인,B06,아트패브릭포스터 (그래픽천),recovered,1,13,4,52,87,price-poster-sign-l1.csv,"data_start_row=None — header_rows[0]=87 만 헤더로 복구, 데이터행 13개"
포스터사인,B07,린넨패브릭포스터,recovered,1,13,6,57,104,price-poster-sign-l1.csv,"data_start_row=None — header_rows[0]=104 만 헤더로 복구, 데이터행 13개"
포스터사인,B08,캔버스패브릭포스터,recovered,1,13,4,52,121,price-poster-sign-l1.csv,"data_start_row=None — header_rows[0]=121 만 헤더로 복구, 데이터행 13개"
포스터사인,B09,레더아트프린트,recovered,1,13,4,52,138,price-poster-sign-l1.csv,"data_start_row=None — header_rows[0]=138 만 헤더로 복구, 데이터행 13개"
포스터사인,B10,타이벡프린트 (하드 / 소프트),recovered,1,13,4,52,155,price-poster-sign-l1.csv,"data_start_row=None — header_rows[0]=155 만 헤더로 복구, 데이터행 13개"
포스터사인,B11,메쉬프린트,recovered,1,20,4,64,172,price-poster-sign-l1.csv,"data_start_row=None — header_rows[0]=172 만 헤더로 복구, 데이터행 21개"
포스터사인,B12,프레임리스우드액자,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B13,사이즈 / 수량,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B14,레더아트액자,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B15,사이즈 / 수량,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B16,족자포스터,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B17,사이즈 / 수량,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B18,캔버스행잉포스터,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B19,사이즈 / 수량,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B20,린넨우드봉족자,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B21,사이즈 / 수량,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B22,PET배너,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B23,사이즈 / 수량,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B24,메쉬배너,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B25,사이즈 / 수량,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B26,일반현수막,recovered,1,16,7,80,245,price-poster-sign-l1.csv,"data_start_row=None — header_rows[0]=245 만 헤더로 복구, 데이터행 16개"
포스터사인,B27,메쉬현수막,recovered,1,23,5,60,266,price-poster-sign-l1.csv,"data_start_row=None — header_rows[0]=266 만 헤더로 복구, 데이터행 24개"
포스터사인,B28,미니스탠딩보드,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B29,사이즈 / 수량,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B30,미니배너,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
포스터사인,B31,사이즈 / 수량,unresolved,0,0,0,0,,price-poster-sign-l1.csv,header_rows 비어 있음 — 기하 미확정
스티커,B01,반칼 자유형/규격 스티커 (국4절),declared,2,36,19,648,2,price-sticker-price-l1.csv,
스티커,B02,낱장(완칼) 자유형 스티커,declared,1,6,5,30,46,price-sticker-price-l1.csv,
스티커,B03,낱장(완칼) 자유형 투명스티커,declared,1,6,5,30,57,price-sticker-price-l1.csv,
스티커,B04,대형(완칼) 자유형 스티커,declared,1,6,1,6,68,price-sticker-price-l1.csv,
스티커,B05,타투 스티커 (3장단위),recovered,1,0,2,0,79,price-sticker-price-l1.csv,"data_start_row=None — header_rows[0]=79 만 헤더로 복구, 데이터행 0개"
스티커,B06,기본가,unresolved,0,0,0,0,,price-sticker-price-l1.csv,header_rows 비어 있음 — 기하 미확정
스티커,B07,스티커팩 (54장 1세트),declared,1,2,1,2,87,price-sticker-price-l1.csv,
스티커,B08,new 스티커팩 (16장 1세트),declared,1,2,1,2,92,price-sticker-price-l1.csv,
