proposed_siz_cd,siz_nm,work_width,work_height,cut_width,cut_height,impos_yn,note
SIZ_000529,800x1800,800.00,1800.00,800.00,1800.00,N,"포스터사인 면적매트릭스 치수 800x1800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000530,800x2000,800.00,2000.00,800.00,2000.00,N,"포스터사인 면적매트릭스 치수 800x2000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000531,800x2200,800.00,2200.00,800.00,2200.00,N,"포스터사인 면적매트릭스 치수 800x2200mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000532,800x2400,800.00,2400.00,800.00,2400.00,N,"포스터사인 면적매트릭스 치수 800x2400mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000533,800x2600,800.00,2600.00,800.00,2600.00,N,"포스터사인 면적매트릭스 치수 800x2600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000534,800x2800,800.00,2800.00,800.00,2800.00,N,"포스터사인 면적매트릭스 치수 800x2800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000535,800x3000,800.00,3000.00,800.00,3000.00,N,"포스터사인 면적매트릭스 치수 800x3000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000536,900x600,900.00,600.00,900.00,600.00,N,"포스터사인 면적매트릭스 치수 900x600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000537,900x800,900.00,800.00,900.00,800.00,N,"포스터사인 면적매트릭스 치수 900x800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000538,900x1000,900.00,1000.00,900.00,1000.00,N,"포스터사인 면적매트릭스 치수 900x1000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000539,900x1400,900.00,1400.00,900.00,1400.00,N,"포스터사인 면적매트릭스 치수 900x1400mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000540,900x1600,900.00,1600.00,900.00,1600.00,N,"포스터사인 면적매트릭스 치수 900x1600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000541,900x1800,900.00,1800.00,900.00,1800.00,N,"포스터사인 면적매트릭스 치수 900x1800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000542,900x2000,900.00,2000.00,900.00,2000.00,N,"포스터사인 면적매트릭스 치수 900x2000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000543,900x2200,900.00,2200.00,900.00,2200.00,N,"포스터사인 면적매트릭스 치수 900x2200mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000544,900x2400,900.00,2400.00,900.00,2400.00,N,"포스터사인 면적매트릭스 치수 900x2400mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000545,900x2600,900.00,2600.00,900.00,2600.00,N,"포스터사인 면적매트릭스 치수 900x2600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000546,900x2800,900.00,2800.00,900.00,2800.00,N,"포스터사인 면적매트릭스 치수 900x2800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000547,900x3000,900.00,3000.00,900.00,3000.00,N,"포스터사인 면적매트릭스 치수 900x3000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000548,900x3500,900.00,3500.00,900.00,3500.00,N,"포스터사인 면적매트릭스 치수 900x3500mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000549,900x4000,900.00,4000.00,900.00,4000.00,N,"포스터사인 면적매트릭스 치수 900x4000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000550,900x4500,900.00,4500.00,900.00,4500.00,N,"포스터사인 면적매트릭스 치수 900x4500mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000551,900x5000,900.00,5000.00,900.00,5000.00,N,"포스터사인 면적매트릭스 치수 900x5000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000552,1000x600,1000.00,600.00,1000.00,600.00,N,"포스터사인 면적매트릭스 치수 1000x600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000553,1000x800,1000.00,800.00,1000.00,800.00,N,"포스터사인 면적매트릭스 치수 1000x800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000554,1000x900,1000.00,900.00,1000.00,900.00,N,"포스터사인 면적매트릭스 치수 1000x900mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000555,1000x1000,1000.00,1000.00,1000.00,1000.00,N,"포스터사인 면적매트릭스 치수 1000x1000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000556,1000x1200,1000.00,1200.00,1000.00,1200.00,N,"포스터사인 면적매트릭스 치수 1000x1200mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000557,1000x1400,1000.00,1400.00,1000.00,1400.00,N,"포스터사인 면적매트릭스 치수 1000x1400mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000558,1000x1600,1000.00,1600.00,1000.00,1600.00,N,"포스터사인 면적매트릭스 치수 1000x1600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000559,1000x1800,1000.00,1800.00,1000.00,1800.00,N,"포스터사인 면적매트릭스 치수 1000x1800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000560,1000x2000,1000.00,2000.00,1000.00,2000.00,N,"포스터사인 면적매트릭스 치수 1000x2000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000561,1000x2200,1000.00,2200.00,1000.00,2200.00,N,"포스터사인 면적매트릭스 치수 1000x2200mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000562,1000x2400,1000.00,2400.00,1000.00,2400.00,N,"포스터사인 면적매트릭스 치수 1000x2400mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000563,1000x2600,1000.00,2600.00,1000.00,2600.00,N,"포스터사인 면적매트릭스 치수 1000x2600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000564,1000x2800,1000.00,2800.00,1000.00,2800.00,N,"포스터사인 면적매트릭스 치수 1000x2800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000565,1000x3000,1000.00,3000.00,1000.00,3000.00,N,"포스터사인 면적매트릭스 치수 1000x3000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000566,1000x3500,1000.00,3500.00,1000.00,3500.00,N,"포스터사인 면적매트릭스 치수 1000x3500mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000567,1000x4000,1000.00,4000.00,1000.00,4000.00,N,"포스터사인 면적매트릭스 치수 1000x4000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000568,1000x4500,1000.00,4500.00,1000.00,4500.00,N,"포스터사인 면적매트릭스 치수 1000x4500mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000569,1000x5000,1000.00,5000.00,1000.00,5000.00,N,"포스터사인 면적매트릭스 치수 1000x5000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000570,1200x600,1200.00,600.00,1200.00,600.00,N,"포스터사인 면적매트릭스 치수 1200x600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000571,1200x800,1200.00,800.00,1200.00,800.00,N,"포스터사인 면적매트릭스 치수 1200x800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000572,1200x900,1200.00,900.00,1200.00,900.00,N,"포스터사인 면적매트릭스 치수 1200x900mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000573,1200x1000,1200.00,1000.00,1200.00,1000.00,N,"포스터사인 면적매트릭스 치수 1200x1000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000574,1200x1200,1200.00,1200.00,1200.00,1200.00,N,"포스터사인 면적매트릭스 치수 1200x1200mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000575,1200x1400,1200.00,1400.00,1200.00,1400.00,N,"포스터사인 면적매트릭스 치수 1200x1400mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000576,1200x1600,1200.00,1600.00,1200.00,1600.00,N,"포스터사인 면적매트릭스 치수 1200x1600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000577,1200x1800,1200.00,1800.00,1200.00,1800.00,N,"포스터사인 면적매트릭스 치수 1200x1800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000578,1200x2000,1200.00,2000.00,1200.00,2000.00,N,"포스터사인 면적매트릭스 치수 1200x2000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000579,1200x2200,1200.00,2200.00,1200.00,2200.00,N,"포스터사인 면적매트릭스 치수 1200x2200mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000580,1200x2400,1200.00,2400.00,1200.00,2400.00,N,"포스터사인 면적매트릭스 치수 1200x2400mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000581,1200x2600,1200.00,2600.00,1200.00,2600.00,N,"포스터사인 면적매트릭스 치수 1200x2600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000582,1200x2800,1200.00,2800.00,1200.00,2800.00,N,"포스터사인 면적매트릭스 치수 1200x2800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000583,1200x3000,1200.00,3000.00,1200.00,3000.00,N,"포스터사인 면적매트릭스 치수 1200x3000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000584,1200x3500,1200.00,3500.00,1200.00,3500.00,N,"포스터사인 면적매트릭스 치수 1200x3500mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000585,1200x4000,1200.00,4000.00,1200.00,4000.00,N,"포스터사인 면적매트릭스 치수 1200x4000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000586,1200x4500,1200.00,4500.00,1200.00,4500.00,N,"포스터사인 면적매트릭스 치수 1200x4500mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000587,1200x5000,1200.00,5000.00,1200.00,5000.00,N,"포스터사인 면적매트릭스 치수 1200x5000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000588,1500x900,1500.00,900.00,1500.00,900.00,N,"포스터사인 면적매트릭스 치수 1500x900mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000589,1500x1200,1500.00,1200.00,1500.00,1200.00,N,"포스터사인 면적매트릭스 치수 1500x1200mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000590,1500x1400,1500.00,1400.00,1500.00,1400.00,N,"포스터사인 면적매트릭스 치수 1500x1400mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000591,1500x1600,1500.00,1600.00,1500.00,1600.00,N,"포스터사인 면적매트릭스 치수 1500x1600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000592,1500x1800,1500.00,1800.00,1500.00,1800.00,N,"포스터사인 면적매트릭스 치수 1500x1800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000593,1500x2000,1500.00,2000.00,1500.00,2000.00,N,"포스터사인 면적매트릭스 치수 1500x2000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000594,1500x2200,1500.00,2200.00,1500.00,2200.00,N,"포스터사인 면적매트릭스 치수 1500x2200mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000595,1500x2400,1500.00,2400.00,1500.00,2400.00,N,"포스터사인 면적매트릭스 치수 1500x2400mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000596,1500x2600,1500.00,2600.00,1500.00,2600.00,N,"포스터사인 면적매트릭스 치수 1500x2600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000597,1500x2800,1500.00,2800.00,1500.00,2800.00,N,"포스터사인 면적매트릭스 치수 1500x2800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000598,1500x3000,1500.00,3000.00,1500.00,3000.00,N,"포스터사인 면적매트릭스 치수 1500x3000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000599,1500x3500,1500.00,3500.00,1500.00,3500.00,N,"포스터사인 면적매트릭스 치수 1500x3500mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000600,1500x4000,1500.00,4000.00,1500.00,4000.00,N,"포스터사인 면적매트릭스 치수 1500x4000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000601,1500x4500,1500.00,4500.00,1500.00,4500.00,N,"포스터사인 면적매트릭스 치수 1500x4500mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000602,1500x5000,1500.00,5000.00,1500.00,5000.00,N,"포스터사인 면적매트릭스 치수 1500x5000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000603,1750x900,1750.00,900.00,1750.00,900.00,N,"포스터사인 면적매트릭스 치수 1750x900mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000604,1750x1000,1750.00,1000.00,1750.00,1000.00,N,"포스터사인 면적매트릭스 치수 1750x1000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000605,1750x1200,1750.00,1200.00,1750.00,1200.00,N,"포스터사인 면적매트릭스 치수 1750x1200mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000606,1750x1400,1750.00,1400.00,1750.00,1400.00,N,"포스터사인 면적매트릭스 치수 1750x1400mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000607,1750x1600,1750.00,1600.00,1750.00,1600.00,N,"포스터사인 면적매트릭스 치수 1750x1600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000608,1750x1800,1750.00,1800.00,1750.00,1800.00,N,"포스터사인 면적매트릭스 치수 1750x1800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000609,1750x2000,1750.00,2000.00,1750.00,2000.00,N,"포스터사인 면적매트릭스 치수 1750x2000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000610,1750x2200,1750.00,2200.00,1750.00,2200.00,N,"포스터사인 면적매트릭스 치수 1750x2200mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000611,1750x2400,1750.00,2400.00,1750.00,2400.00,N,"포스터사인 면적매트릭스 치수 1750x2400mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000612,1750x2600,1750.00,2600.00,1750.00,2600.00,N,"포스터사인 면적매트릭스 치수 1750x2600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000613,1750x2800,1750.00,2800.00,1750.00,2800.00,N,"포스터사인 면적매트릭스 치수 1750x2800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000614,1750x3000,1750.00,3000.00,1750.00,3000.00,N,"포스터사인 면적매트릭스 치수 1750x3000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000615,1750x3500,1750.00,3500.00,1750.00,3500.00,N,"포스터사인 면적매트릭스 치수 1750x3500mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000616,1750x4000,1750.00,4000.00,1750.00,4000.00,N,"포스터사인 면적매트릭스 치수 1750x4000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000617,1750x4500,1750.00,4500.00,1750.00,4500.00,N,"포스터사인 면적매트릭스 치수 1750x4500mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000618,1750x5000,1750.00,5000.00,1750.00,5000.00,N,"포스터사인 면적매트릭스 치수 1750x5000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
