frm_cd,comp_cd,calc_formula_row,comp_reuse_status
PRF_DGP_B,COMP_PRINT_DIGITAL_S2,r15-r16,live 재사용 (round-2 적재됨)
PRF_DGP_B,COMP_PAPER,r15-r16,신규 mint (COMP_PAPER)
PRF_DGP_B,COMP_CUT_FULL_DIECUT,r15-r16,live 재사용 (round-2 적재됨)
PRF_DGP_C,COMP_PRINT_DIGITAL_S1,r19-r22,live 재사용 (round-2 적재됨)
PRF_DGP_C,COMP_PRINT_DIGITAL_S2,r19-r22,live 재사용 (round-2 적재됨)
PRF_DGP_C,COMP_PAPER,r19-r22,신규 mint (COMP_PAPER)
PRF_DGP_C,COMP_FOLD_CARD_2H,r19-r22,live 재사용 (round-2 적재됨)
PRF_DGP_C,COMP_CUT_PERF_1H6,r19-r22,live 재사용 (round-2 적재됨)
PRF_DGP_D,COMP_PRINT_DIGITAL_S1,r25,live 재사용 (round-2 적재됨)
PRF_DGP_D,COMP_PRINT_DIGITAL_S2,r25,live 재사용 (round-2 적재됨)
PRF_DGP_D,COMP_COAT_GLOSSY,r25,live 재사용 (round-2 적재됨)
PRF_DGP_D,COMP_COAT_MATTE,r25,live 재사용 (round-2 적재됨)
PRF_DGP_D,COMP_PAPER,r25,신규 mint (COMP_PAPER)
PRF_DGP_D,COMP_CUT_PERF_1H6,r25,live 재사용 (round-2 적재됨)
PRF_DGP_D,COMP_PP_CREASE_1L,r25,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_D,COMP_PP_CREASE_2L,r25,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_D,COMP_PP_CREASE_3L,r25,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_D,COMP_PP_PERF_1L,r25,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_D,COMP_PP_PERF_2L,r25,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_D,COMP_PP_PERF_3L,r25,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_D,COMP_PP_VARTEXT_1EA,r25,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_D,COMP_PP_VARTEXT_2EA,r25,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_D,COMP_PP_VARTEXT_3EA,r25,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_D,COMP_PP_VARIMG_1EA,r25,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_D,COMP_PP_VARIMG_2EA,r25,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_D,COMP_PP_VARIMG_3EA,r25,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_D,COMP_PP_CORNER_RIGHT,r25,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_D,COMP_PP_CORNER_ROUND,r25,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_E,COMP_PRINT_DIGITAL_S1,r29-r30,live 재사용 (round-2 적재됨)
PRF_DGP_E,COMP_PRINT_DIGITAL_S2,r29-r30,live 재사용 (round-2 적재됨)
PRF_DGP_E,COMP_COAT_GLOSSY,r29-r30,live 재사용 (round-2 적재됨)
PRF_DGP_E,COMP_COAT_MATTE,r29-r30,live 재사용 (round-2 적재됨)
PRF_DGP_E,COMP_PAPER,r29-r30,신규 mint (COMP_PAPER)
PRF_DGP_E,COMP_FOLD_LEAF_HALF,r29-r30,live 재사용 (round-2 적재됨)
PRF_DGP_E,COMP_FOLD_LEAF_3FOLD,r29-r30,live 재사용 (round-2 적재됨)
PRF_DGP_E,COMP_FOLD_LEAF_4ACC,r29-r30,live 재사용 (round-2 적재됨)
PRF_DGP_E,COMP_FOLD_LEAF_4GATE,r29-r30,live 재사용 (round-2 적재됨)
PRF_DGP_E,COMP_CUT_PERF_1H6,r29-r30,live 재사용 (round-2 적재됨)
PRF_DGP_F,COMP_PAPER,r49,신규 mint (COMP_PAPER)
PRF_DGP_F,COMP_PRINT_DIGITAL_S1,r49,live 재사용 (round-2 적재됨)
PRF_DGP_F,COMP_PRINT_DIGITAL_S2,r49,live 재사용 (round-2 적재됨)
PRF_DGP_F,COMP_CUT_FULL_DIECUT,r49,live 재사용 (round-2 적재됨)
