frm_cd,frm_nm,comp_cd,comp_nm,disp_seq,addtn_yn
PRF_POSTER_BANNER_M,메쉬현수막 완제품가(면적/규격 단가),COMP_BANNER_MESH_OPTION,메쉬현수막 가공옵션,,""
PRF_POSTER_BANNER_N,일반현수막 완제품가(면적/규격 단가),COMP_POSTER_BANNER_NORMAL,일반현수막 출력,1,Y
PRF_POSTER_BANNER_N,일반현수막 완제품가(면적/규격 단가),COMP_BANNER_ADDON,일반 현수막 부자재,,""
PRF_POSTER_BANNER_N,일반현수막 완제품가(면적/규격 단가),COMP_BANNER_OPTION,일반현수막 가공옵션,,""
PRF_POSTER_CANVAS,캔버스패브릭포스터 완제품가(면적/규격 단가),COMP_POSTER_CANVAS_FABRIC,실사 완제품가 (캔버스패브릭포스터·레더아트프린트·메쉬프린트·타이벡프린트),1,Y
PRF_POSTER_CANVAS_HANGING,캔버스 행잉포스터 완제품가(면적/규격 단가),COMP_POSTER_CANVAS_HANGING,캔버스 행잉포스터 완제품가,1,""
PRF_POSTER_CANVAS_HANGING,캔버스 행잉포스터 완제품가(면적/규격 단가),COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,캔버스행잉포스터 우드행거+면끈 추가가격,2,Y
PRF_POSTER_FIXED,포스터사인 소재/사이즈/수량별 완제품가(포함항목 통가격),COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),1,Y
PRF_POSTER_FOAMBOARD,폼보드 완제품가(면적/규격 단가),COMP_POSTER_FOAMBOARD_BOARD,폼보드(보드칼라×사이즈) 완제품가,2,Y
PRF_POSTER_FOMEXBOARD,포맥스보드 완제품가(면적/규격 단가),COMP_POSTER_FOMEXBOARD_BOARD,포맥스보드(두께×사이즈) 완제품가,1,Y
PRF_POSTER_FRAMELESS,프레임리스우드액자 완제품가(면적/규격 단가),COMP_POSTER_FRAMELESS_WOOD,프레임리스우드액자 완제품가,1,Y
PRF_POSTER_JOKJA,족자포스터 완제품가(면적/규격 단가),COMP_POSTER_JOKJA,족자포스터 완제품가,1,Y
PRF_POSTER_LEATHER_AP,레더아트프린트 완제품가(면적/규격 단가),COMP_POSTER_CANVAS_FABRIC,실사 완제품가 (캔버스패브릭포스터·레더아트프린트·메쉬프린트·타이벡프린트),1,Y
PRF_POSTER_LEATHER_FRAME,레더아트액자 완제품가(면적/규격 단가),COMP_POSTER_LEATHER_FRAME,레더아트액자 완제품가,1,Y
PRF_POSTER_LINEN,린넨패브릭포스터 완제품가(면적/규격 단가),COMP_POSTER_LINEN_FABRIC,실사 완제품가 (린넨패브릭포스터),1,Y
PRF_POSTER_LINEN,린넨패브릭포스터 완제품가(면적/규격 단가),COMP_POSTEROPT_LINEN_FINISH,린넨 마감가공비,2,Y
PRF_POSTER_LINEN_WOODBONG,린넨 우드봉 족자 완제품가(면적/규격 단가),COMP_POSTER_LINEN_WOODBONG,린넨우드봉족자 출력 가공,1,Y
PRF_POSTER_LINEN_WOODBONG,린넨 우드봉 족자 완제품가(면적/규격 단가),COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,린넨우드봉족자 우드봉+면끈,2,Y
PRF_POSTER_MESH,메쉬프린트 완제품가(면적/규격 단가),COMP_POSTER_CANVAS_FABRIC,실사 완제품가 (캔버스패브릭포스터·레더아트프린트·메쉬프린트·타이벡프린트),1,Y
PRF_POSTER_MESH_BANNER,메쉬배너 완제품가(면적/규격 단가),COMP_POSTER_MESH_BANNER,메쉬배너 출력가공,1,Y
PRF_POSTER_MINI_BANNER,미니배너 완제품가(면적/규격 단가),COMP_POSTER_MINI_BANNER,미니배너 완제품가,1,Y
PRF_POSTER_MINI_STANDBOARD,미니보드스탠딩 완제품가(면적/규격 단가),COMP_POSTER_MINI_STANDBOARD,미니보드스탠딩 완제품가,1,Y
PRF_POSTER_PET_BANNER,PET배너 완제품가(면적/규격 단가),COMP_POSTER_PET_BANNER,PET배너 출력가공,1,Y
PRF_POSTER_SHEETCUT_HOLO,홀로그램 시트커팅 완제품가(면적/규격 단가),COMP_POSTER_SHEETCUT_HOLO,홀로그램 시트커팅 완제품가,1,Y
PRF_POSTER_SHEETCUT_MATTE,무광시트커팅 완제품가(면적/규격 단가),COMP_POSTER_SHEETCUT_MATTE,무광시트커팅 완제품가,1,Y
PRF_POSTER_TYVEK,타이벡프린트 완제품가(면적/규격 단가),COMP_POSTER_CANVAS_FABRIC,실사 완제품가 (캔버스패브릭포스터·레더아트프린트·메쉬프린트·타이벡프린트),1,Y
PRF_POSTER_WATERPROOF,방수포스터 완제품가(면적/규격 단가),COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),1,Y
PRF_STK_FIXED,스티커 규격/소재/수량별 단가,COMP_STK_PRINT,스티커 완제품가(소재·규격),1,Y
PRF_STK_TATTOO,타투스티커 합가형(3장당 4000),COMP_STK_TATTOO,타투스티커 완제품가(3장세트),1,Y
PRF_ZIBITZ_ACRYL,아크릴지비츠 가공단가,COMP_ACRYL_FINISH,아크릴 후가공 부속(통합),1,""
