target_table,frm_cd,frm_nm,frm_typ_cd,prd_cd,comp_cd,disp_seq,addtn_yn,use_yn,note
t_prc_formula_components,PRF_FOMEXBOARD_FIXED,,,,COMP_FOMEXBOARD_WHITE,1,N,,"화이트"
t_prc_formula_components,PRF_FOMEXBOARD_FIXED,,,,COMP_FOMEXBOARD_BLACK,2,N,,"검정"
t_prc_formula_components,PRF_FRAMELESS_WOOD_FIXED,,,,COMP_POSTER_FRAMELESS_WOOD,1,N,,"단순형 룩업"
t_prc_formula_components,PRF_LEATHER_FRAME_FIXED,,,,COMP_POSTER_LEATHER_FRAME,1,N,,"단순형 룩업"
t_prc_formula_components,PRF_CANVAS_HANGING_FIXED,,,,COMP_POSTER_CANVAS_HANGING,1,N,,"단순형 룩업"
t_prc_formula_components,PRF_LINEN_WOODBONG_FIXED,,,,COMP_POSTER_LINEN_WOODBONG,1,N,,"단순형 룩업"
t_prc_formula_components,PRF_JOKJA_FIXED,,,,COMP_POSTER_JOKJA,1,N,,"단순형 룩업"
t_prc_formula_components,PRF_PET_BANNER_FIXED,,,,COMP_POSTER_PET_BANNER,1,N,,"단순형 룩업"
t_prc_formula_components,PRF_MESH_BANNER_FIXED,,,,COMP_POSTER_MESH_BANNER,1,N,,"단순형 룩업"
t_prc_formula_components,PRF_SHEETCUT_MATTE_FIXED,,,,COMP_POSTER_SHEETCUT_MATTE,1,N,,"단순형 룩업"
t_prc_formula_components,PRF_SHEETCUT_HOLO_FIXED,,,,COMP_POSTER_SHEETCUT_HOLO,1,N,,"단순형 룩업"
t_prc_formula_components,PRF_ACRYLSTK_GLOSS_FIXED,,,,COMP_POSTER_ACRYLSTK_GLOSS,1,N,,"단순형 룩업"
t_prc_formula_components,PRF_ACRYLSTK_MIRROR_FIXED,,,,COMP_POSTER_ACRYLSTK_MIRROR,1,N,,"단순형 룩업"
t_prc_formula_components,PRF_MINI_STANDBOARD_FIXED,,,,COMP_POSTER_MINI_STANDBOARD,1,N,,"단순형 룩업(규격×수량구간)"
t_prc_formula_components,PRF_MINI_BANNER_FIXED,,,,COMP_POSTER_MINI_BANNER,1,N,,"단순형 룩업(규격×수량구간)"
t_prd_product_price_formulas,PRF_FOAMBOARD_FIXED,,,PRD_000129,,,,,"폼보드→고정가형 바인딩. PRF_POSTER_FIXED 오바인딩 대체(apply_bgn_ymd=2026-06-01 메모)"
t_prd_product_price_formulas,PRF_FOMEXBOARD_FIXED,,,PRD_000130,,,,,"포맥스보드→고정가형 바인딩. PRF_POSTER_FIXED 오바인딩 대체"
t_prd_product_price_formulas,PRF_FRAMELESS_WOOD_FIXED,,,PRD_000131,,,,,"프레임리스우드액자→고정가형 바인딩"
t_prd_product_price_formulas,PRF_LEATHER_FRAME_FIXED,,,PRD_000132,,,,,"레더아트액자→고정가형 바인딩"
t_prd_product_price_formulas,PRF_CANVAS_HANGING_FIXED,,,PRD_000133,,,,,"캔버스행잉포스터→고정가형 바인딩"
t_prd_product_price_formulas,PRF_LINEN_WOODBONG_FIXED,,,PRD_000134,,,,,"린넨우드봉족자→고정가형 바인딩"
t_prd_product_price_formulas,PRF_JOKJA_FIXED,,,PRD_000135,,,,,"족자포스터→고정가형 바인딩"
t_prd_product_price_formulas,PRF_PET_BANNER_FIXED,,,PRD_000136,,,,,"PET배너→고정가형 바인딩"
t_prd_product_price_formulas,PRF_MESH_BANNER_FIXED,,,PRD_000137,,,,,"메쉬배너→고정가형 바인딩"
t_prd_product_price_formulas,PRF_SHEETCUT_MATTE_FIXED,,,PRD_000140,,,,,"무광시트커팅→고정가형 바인딩"
t_prd_product_price_formulas,PRF_SHEETCUT_HOLO_FIXED,,,PRD_000141,,,,,"홀로그램 시트커팅→고정가형 바인딩"
t_prd_product_price_formulas,PRF_ACRYLSTK_GLOSS_FIXED,,,PRD_000142,,,,,"유광아크릴스티커→고정가형 바인딩"
t_prd_product_price_formulas,PRF_ACRYLSTK_MIRROR_FIXED,,,PRD_000143,,,,,"미러아크릴스티커→고정가형 바인딩"
t_prd_product_price_formulas,PRF_MINI_STANDBOARD_FIXED,,,PRD_000144,,,,,"미니보드스탠딩→고정가형 바인딩"
t_prd_product_price_formulas,PRF_MINI_BANNER_FIXED,,,PRD_000145,,,,,"미니배너→고정가형 바인딩"
