prd_cd,상품명,상품군,종이류,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,등급,완성률,위젯클래스,다음한걸음,근거,widget_eligible,golden_status
PRD_000057,대형 자유형 스티커,스티커,Y,PASS,PASS,PASS,PASS,PASS,PASS,WARN,N/A,N/A,PASS,PASS,L3,95.5,W-FIX,CPQ/판형 적재(D7)→L4,calc=OK;frm=PRF_STK_FIXED;OC=60;pfm=BOUND_OK,Y,체인완전(바인딩·단가행 OK)·골든 미대조
PRD_000097,떡메모지,책자,Y,PASS,PASS,PASS,PASS,PASS,WARN,WARN,N/A,N/A,PASS,WARN,L3,87.5,W-SET,CPQ/판형 적재(D7)→L4,calc=PRICED-완제품가;frm=PRF_TTEOKME_FIXED;pfm=BOUND_OK,Y,표본 라이브 PRICE>0 실측확인 (골든 전수대조는 후속)
PRD_000098,,책자,N,PASS,N/A,N/A,N/A,N/A,PASS,N/A,N/A,N/A,N/A,N/A,L2(반제품),100.0,W-SET(구성원),셋트 부모 공식 바인딩(§23)→구성원 가격연결,calc=n/a;pfm=NA_NO_FORMULA,N,n/a (L3 미만)
PRD_000046,라벨/택,디지털인쇄,Y,PASS,PASS,PASS,PASS,PASS,PASS,WARN,N/A,WARN,PASS,PASS,L3,92.6,W-CASCADE,"CPQ/판형 적재(D7,D9)→L4",calc=OK;frm=PRF_DGP_B;OC=80;pfm=BOUND_OK,Y,체인완전(바인딩·단가행 OK)·골든 미대조
PRD_000280,레더라벨제작,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000088,레더 링바인더,책자,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,WARN,N/A,N/A,N/A,WARN,L1,25.0,W-SET(설계후확정),가격공식 바인딩(§18 설계→§7 적재),calc=BLOCKED-미바인딩;pfm=DESIGNED_NOT_LOADED,N,n/a (L3 미만)
PRD_000092,,책자,Y,PASS,N/A,N/A,N/A,N/A,PASS,N/A,N/A,N/A,N/A,N/A,L2(반제품),100.0,W-SET(구성원),셋트 부모 공식 바인딩(§23)→구성원 가격연결,calc=n/a;pfm=NA_NO_FORMULA,N,n/a (L3 미만)
PRD_000091,,책자,Y,PASS,N/A,N/A,N/A,N/A,PASS,N/A,N/A,N/A,N/A,N/A,L2(반제품),100.0,W-SET(구성원),셋트 부모 공식 바인딩(§23)→구성원 가격연결,calc=n/a;pfm=NA_NO_FORMULA,N,n/a (L3 미만)
PRD_000093,,책자,Y,PASS,N/A,N/A,N/A,N/A,PASS,N/A,N/A,N/A,N/A,N/A,L2(반제품),100.0,W-SET(구성원),셋트 부모 공식 바인딩(§23)→구성원 가격연결,calc=n/a;pfm=NA_NO_FORMULA,N,n/a (L3 미만)
PRD_000090,,책자,Y,PASS,N/A,N/A,N/A,N/A,PASS,N/A,N/A,N/A,N/A,N/A,L2(반제품),100.0,W-SET(구성원),셋트 부모 공식 바인딩(§23)→구성원 가격연결,calc=n/a;pfm=NA_NO_FORMULA,N,n/a (L3 미만)
PRD_000089,,책자,Y,PASS,N/A,N/A,N/A,N/A,PASS,N/A,N/A,N/A,N/A,N/A,L2(반제품),100.0,W-SET(구성원),셋트 부모 공식 바인딩(§23)→구성원 가격연결,calc=n/a;pfm=NA_NO_FORMULA,N,n/a (L3 미만)
PRD_000254,레더 볼륨 미니파우치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000233,레더 볼륨 파우치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000259,레더 볼륨 필통,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000253,레더 삼각 미니파우치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000237,레더 삼각 클러치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000232,레더 삼각 파우치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000258,레더 삼각 필통,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000264,레더숄더백,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000201,레더스트랩키링,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000235,레더 스트링 원형파우치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000234,레더 스트링 파우치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000252,레더 슬림 미니파우치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000231,레더 슬림 파우치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000257,레더 슬림 필통,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000238,레더 아이패드/노트북 파우치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000132,레더아트액자,실사,N,PASS,PASS,FAIL,FAIL,FAIL,WARN,PASS,N/A,WARN,N/A,WARN,L2,44.4,W-AREA,PRICED-0 결함 교정(단가행/판형 적재·§26/§7),calc=PRICED-0;frm=PRF_POSTER_LEATHER_FRAME;OC=100;pfm=BOUND_OK,N,n/a (L3 미만)
PRD_000126,레더아트프린트,실사,N,PASS,PASS,PASS,PASS,PASS,PASS,WARN,N/A,WARN,N/A,PASS,L3,92.2,W-AREA,"CPQ/판형 적재(D7,D9)→L4",calc=OK;frm=PRF_POSTER_LEATHER_AP;OC=67;pfm=BOUND_OK,Y,표본 라이브 PRICE>0 실측확인 (골든 전수대조는 후속)
PRD_000196,레더여권케이스,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000255,레더 원형 미니파우치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000260,레더 원형 필통,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000188,레더코스터,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000263,레더토트백,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000251,레더 플랫 미니파우치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000236,레더 플랫 클러치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000230,레더 플랫 파우치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000256,레더 플랫 필통,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000077,레더 하드커버책자,책자,Y,PASS,FAIL,FAIL,FAIL,FAIL,WARN,WARN,N/A,N/A,WARN,WARN,L1,26.1,W-SET(설계후확정),가격공식 바인딩(§18 설계→§7 적재),calc=BLOCKED-미바인딩;pfm=DESIGNED_NOT_LOADED,N,n/a (L3 미만)
PRD_000081,,책자,Y,PASS,N/A,N/A,N/A,N/A,PASS,N/A,N/A,N/A,N/A,N/A,L2(반제품),100.0,W-SET(구성원),셋트 부모 공식 바인딩(§23)→구성원 가격연결,calc=n/a;pfm=NA_NO_FORMULA,N,n/a (L3 미만)
PRD_000080,,책자,Y,PASS,N/A,N/A,N/A,N/A,PASS,N/A,N/A,N/A,N/A,N/A,L2(반제품),100.0,W-SET(구성원),셋트 부모 공식 바인딩(§23)→구성원 가격연결,calc=n/a;pfm=NA_NO_FORMULA,N,n/a (L3 미만)
PRD_000079,,책자,Y,PASS,N/A,N/A,N/A,N/A,PASS,N/A,N/A,N/A,N/A,N/A,L2(반제품),100.0,W-SET(구성원),셋트 부모 공식 바인딩(§23)→구성원 가격연결,calc=n/a;pfm=NA_NO_FORMULA,N,n/a (L3 미만)
PRD_000078,,책자,Y,PASS,N/A,N/A,N/A,N/A,PASS,N/A,N/A,N/A,N/A,N/A,L2(반제품),100.0,W-SET(구성원),셋트 부모 공식 바인딩(§23)→구성원 가격연결,calc=n/a;pfm=NA_NO_FORMULA,N,n/a (L3 미만)
PRD_000265,린넨 미니에코백,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000243,린넨 스트링 파우치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000267,린넨 에코백,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000134,린넨 우드봉 족자,실사,N,PASS,PASS,PASS,PASS,PASS,PASS,WARN,N/A,WARN,N/A,PASS,L3,92.2,W-AREA,"CPQ/판형 적재(D7,D9)→L4",calc=OK;frm=PRF_POSTER_LINEN_WOODBONG;OC=67;pfm=BOUND_OK,Y,체인완전(바인딩·단가행 OK)·골든 미대조
PRD_000266,린넨 토트백,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000191,린넨패브릭코스터,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000124,린넨패브릭포스터,실사,N,PASS,PASS,PASS,PASS,PASS,PASS,WARN,N/A,WARN,N/A,PASS,L3,92.2,W-AREA,"CPQ/판형 적재(D7,D9)→L4",calc=OK;frm=PRF_POSTER_LINEN;OC=67;pfm=BOUND_OK,Y,체인완전(바인딩·단가행 OK)·골든 미대조
(미등록),링바인더 (보류중),책자,Y,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,L0,0.0,W-SET(설계후확정),상품·구성요소 라이브 등록(엑셀-only),calc=n/a,N,n/a (L3 미만)
PRD_000175,만년다이어리(레더소프트커버),문구,Y,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,N/A,PASS,WARN,L4,96.6,W-CASCADE,위젯 구현(가격모델 클래스 기반),calc=OK;frm=PRF_STN_DIARY_LSOFT;R1=MAT_000186(레더);OC=100;pfm=DESIGNED_NOT_LOADED,Y,체인완전(바인딩·단가행 OK)·골든 미대조
PRD_000174,만년다이어리(레더하드커버),문구,Y,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,N/A,PASS,WARN,L4,96.6,W-CASCADE,위젯 구현(가격모델 클래스 기반),calc=OK;frm=PRF_STN_DIARY_LHARD;R1=MAT_000186(레더);OC=100;pfm=DESIGNED_NOT_LOADED,Y,체인완전(바인딩·단가행 OK)·골든 미대조
PRD_000172,만년다이어리(소프트커버),문구,Y,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,N/A,PASS,PASS,L4,100.0,W-CASCADE,위젯 구현(가격모델 클래스 기반),calc=OK;frm=PRF_STN_DIARY_SOFT;OC=100;pfm=DESIGNED_NOT_LOADED,Y,표본 라이브 PRICE>0 실측확인 (골든 전수대조는 후속)
PRD_000173,만년다이어리(하드커버),문구,Y,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,N/A,PASS,PASS,L4,100.0,W-CASCADE,위젯 구현(가격모델 클래스 기반),calc=OK;frm=PRF_STN_DIARY_HARD;OC=100;pfm=DESIGNED_NOT_LOADED,Y,체인완전(바인딩·단가행 OK)·골든 미대조
PRD_000217,만년스탬프,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,WARN,N/A,N/A,WARN,L1,31.1,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=DESIGNED_NOT_LOADED,N,n/a (L3 미만)
PRD_000015,만년스탬프 리필잉크,상품악세사리,N,PASS,N/A,N/A,N/A,N/A,PASS,N/A,N/A,N/A,N/A,N/A,L1(기성),100.0,W-ADDON(부속),기성 고정가 적재 확인(§7),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NA_NO_FORMULA,N,n/a (L3 미만)
PRD_000224,말랑네임택,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000225,말랑여권케이스,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000222,말랑증사홀더,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,WARN,N/A,N/A,WARN,L1,31.1,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000221,말랑키링,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,WARN,N/A,N/A,WARN,L1,31.1,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000223,말랑포카홀더,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,WARN,N/A,N/A,WARN,L1,31.1,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000151,맥세이프 스마트톡,아크릴,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,WARN,N/A,N/A,N/A,WARN,L1,25.0,W-AREA(설계후확정),가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-NO-PRICE;OC=67;pfm=LIVE_UNBOUND,N,n/a (L3 미만)
PRD_000193,머그컵,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000176,먼슬리플래너,문구,Y,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,N/A,PASS,PASS,L4,100.0,W-CASCADE,위젯 구현(가격모델 클래스 기반),calc=OK;frm=PRF_STN_MONTHLY;OC=100;pfm=DESIGNED_NOT_LOADED,Y,체인완전(바인딩·단가행 OK)·골든 미대조
PRD_000179,메모패드,문구,Y,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,N/A,PASS,PASS,L4,100.0,W-CASCADE,위젯 구현(가격모델 클래스 기반),calc=OK;frm=PRF_STN_MEMOPAD;OC=100;pfm=DESIGNED_NOT_LOADED,Y,체인완전(바인딩·단가행 OK)·골든 미대조
PRD_000180,메모패드(내지커스텀) 준비중,문구,Y,PASS,N/A,N/A,N/A,N/A,PASS,N/A,N/A,N/A,N/A,N/A,L1(기성),100.0,W-ADDON(부속),기성 고정가 적재 확인(§7),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NA_NO_FORMULA,N,n/a (L3 미만)
PRD_000137,메쉬배너,실사,N,PASS,PASS,PASS,PASS,PASS,PASS,WARN,N/A,WARN,N/A,PASS,L3,92.2,W-AREA,"CPQ/판형 적재(D7,D9)→L4",calc=OK;frm=PRF_POSTER_MESH_BANNER;OC=67;pfm=BOUND_OK,Y,체인완전(바인딩·단가행 OK)·골든 미대조
PRD_000250,메쉬볼륨파우치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
PRD_000249,메쉬슬림파우치,굿즈파우치,N,PASS,FAIL,FAIL,FAIL,FAIL,WARN,PASS,N/A,N/A,N/A,WARN,L1,29.8,TBD,가격공식 바인딩(§18 설계→§7 적재),calc=UNBOUND-PRICE-IN-SHEET;OC=100;pfm=NEEDS_BASICS_FIRST,N,n/a (L3 미만)
